Date,Close/Last,Volume,Open,High,Low
01/05/2024,$20.85,4999749,$20.70,$21.005,$20.53
01/04/2024,$20.82,6084652,$20.69,$20.98,$20.65
01/03/2024,$20.72,6741584,$21.05,$21.08,$20.665
01/02/2024,$21.28,12644440,$21.24,$21.565,$21.10
12/29/2023,$21.31,21799310,$21.77,$21.79,$21.27
12/28/2023,$21.80,6952149,$21.68,$21.82,$21.56
12/27/2023,$21.77,5747538,$21.90,$21.91,$21.615
12/26/2023,$21.86,3832953,$21.82,$21.8875,$21.695
12/22/2023,$21.76,4310511,$21.89,$22.11,$21.705
12/21/2023,$21.84,6398578,$21.94,$22.03,$21.63
12/20/2023,$21.74,5245216,$22.14,$22.29,$21.72
12/19/2023,$22.10,4963492,$22.05,$22.28,$21.93
12/18/2023,$21.90,5891692,$22.43,$22.50,$21.89
12/15/2023,$22.33,10579100,$22.40,$22.605,$22.12
12/14/2023,$22.59,11676330,$22.04,$22.835,$22.00
12/13/2023,$21.47,8315686,$20.34,$21.58,$20.27
12/12/2023,$20.27,7022111,$20.35,$20.40,$20.175
12/11/2023,$20.35,4741343,$20.21,$20.43,$20.12
12/08/2023,$20.24,5814715,$20.05,$20.24,$19.875
12/07/2023,$20.13,6370823,$20.26,$20.31,$19.99
12/06/2023,$20.18,8054267,$20.28,$20.58,$20.071
12/05/2023,$20.54,9417735,$20.46,$20.68,$20.27
12/04/2023,$20.55,4968490,$19.91,$20.58,$19.86
12/01/2023,$20.05,6544458,$19.35,$20.08,$19.245
11/30/2023,$19.32,5868533,$19.00,$19.36,$19.00
11/29/2023,$19.02,4953234,$19.17,$19.33,$19.01
11/28/2023,$18.97,4000483,$18.81,$18.99,$18.68
11/27/2023,$18.89,3314231,$18.69,$19.02,$18.605
11/24/2023,$18.71,1114498,$18.76,$18.83,$18.62
11/22/2023,$18.75,2544722,$18.77,$18.85,$18.67
11/21/2023,$18.61,2903134,$18.68,$18.77,$18.53
11/20/2023,$18.82,3205066,$18.83,$18.865,$18.565
11/17/2023,$18.80,5562613,$18.99,$19.00,$18.64
11/16/2023,$18.78,6952530,$18.93,$19.04,$18.545
11/15/2023,$18.95,6343393,$18.91,$19.05,$18.58
11/14/2023,$18.90,5144295,$18.35,$19.145,$18.20
11/13/2023,$17.58,3778242,$17.80,$17.805,$17.515
11/10/2023,$17.90,3356909,$17.89,$17.96,$17.685
11/09/2023,$17.70,4316687,$18.32,$18.32,$17.63
11/08/2023,$18.23,2273680,$18.22,$18.31,$18.155
11/07/2023,$18.21,2629513,$18.55,$18.56,$18.17
11/06/2023,$18.56,4389268,$18.65,$18.71,$18.425
11/03/2023,$18.75,4497804,$18.89,$19.145,$18.73
11/02/2023,$18.53,4690873,$18.39,$18.625,$18.34
11/01/2023,$18.10,5458576,$17.98,$18.22,$17.90
10/31/2023,$17.94,5969741,$17.41,$17.96,$17.31
10/30/2023,$17.28,5514117,$17.02,$17.34,$16.865
10/27/2023,$16.87,6609420,$17.35,$17.35,$16.78
10/26/2023,$17.21,8106455,$16.63,$17.30,$16.49
10/25/2023,$16.38,4505945,$16.68,$16.75,$16.34
10/24/2023,$16.82,4625882,$16.59,$16.84,$16.59
10/23/2023,$16.48,4258172,$16.55,$16.79,$16.46
10/20/2023,$16.70,5006053,$16.96,$17.05,$16.69
10/19/2023,$16.88,6239855,$17.10,$17.31,$16.85
10/18/2023,$17.22,3765659,$17.51,$17.54,$17.18
10/17/2023,$17.62,5055204,$17.06,$17.75,$17.02
10/16/2023,$17.22,3703454,$17.26,$17.38,$17.055
10/13/2023,$17.09,3831072,$17.24,$17.395,$16.96
10/12/2023,$17.23,3277843,$17.33,$17.33,$17.06
10/11/2023,$17.40,4604190,$17.09,$17.44,$17.09
10/10/2023,$17.04,6283178,$16.79,$17.20,$16.66
10/09/2023,$16.72,4539771,$16.41,$16.82,$16.38
10/06/2023,$16.52,7619485,$16.77,$16.84,$16.36
10/05/2023,$16.91,4712583,$16.83,$16.975,$16.70
10/04/2023,$16.88,3886237,$16.79,$16.89,$16.50
10/03/2023,$16.69,5184984,$16.97,$17.06,$16.48
10/02/2023,$17.10,5996160,$17.53,$17.62,$16.90
09/29/2023,$17.59,4894897,$17.89,$18.01,$17.47
09/28/2023,$17.63,4485119,$17.59,$17.80,$17.53
09/27/2023,$17.49,6859775,$17.49,$17.735,$17.42
09/26/2023,$17.44,4741981,$17.54,$17.63,$17.31
09/25/2023,$17.69,3316313,$17.60,$17.75,$17.51
09/22/2023,$17.69,4052476,$17.97,$18.075,$17.67
09/21/2023,$17.97,3539520,$18.33,$18.3375,$17.94
09/20/2023,$18.45,4416587,$18.69,$18.78,$18.43
09/19/2023,$18.49,3626965,$18.62,$18.73,$18.48
09/18/2023,$18.61,5010904,$18.93,$18.975,$18.57
09/15/2023,$18.88,7223387,$19.06,$19.095,$18.84
09/14/2023,$19.06,4099757,$18.75,$19.175,$18.70
09/13/2023,$18.57,4171631,$18.86,$18.89,$18.475
09/12/2023,$18.76,3914827,$18.54,$18.815,$18.47
09/11/2023,$18.57,4305243,$18.73,$18.73,$18.43
09/08/2023,$18.58,5972612,$18.55,$18.69,$18.475
09/07/2023,$18.56,4998871,$18.62,$18.715,$18.42
09/06/2023,$18.62,5573960,$18.32,$18.64,$18.26
09/05/2023,$18.53,6366701,$18.84,$18.86,$18.49
09/01/2023,$18.88,5406183,$19.07,$19.105,$18.85
08/31/2023,$18.94,6232654,$18.98,$19.08,$18.81
08/30/2023,$18.99,5573151,$18.88,$19.01,$18.745
08/29/2023,$18.85,7351346,$18.88,$18.94,$18.665
08/28/2023,$18.77,13377260,$18.48,$19.16,$18.43
08/25/2023,$18.75,4136249,$18.79,$18.9579,$18.71
08/24/2023,$18.72,4362830,$18.78,$19.09,$18.71
08/23/2023,$18.90,2224224,$18.63,$18.91,$18.535
08/22/2023,$18.58,3562369,$18.85,$18.91,$18.54
08/21/2023,$18.76,2334083,$19.03,$19.065,$18.575
08/18/2023,$19.09,3706411,$18.73,$19.175,$18.73
08/17/2023,$18.95,3426286,$19.26,$19.3697,$18.94
08/16/2023,$19.23,4480312,$19.78,$19.84,$19.22
08/15/2023,$19.81,2720558,$20.04,$20.04,$19.74
08/14/2023,$20.21,2780602,$20.32,$20.425,$20.105
08/11/2023,$20.37,3297090,$20.25,$20.39,$20.23
08/10/2023,$20.36,4485343,$20.49,$20.70,$20.29
08/09/2023,$20.38,3997282,$19.91,$20.54,$19.80
08/08/2023,$19.98,2344076,$19.91,$20.09,$19.81
08/07/2023,$20.13,2307033,$20.04,$20.225,$19.985
08/04/2023,$20.00,3541232,$20.08,$20.40,$19.88
08/03/2023,$20.08,7059601,$20.09,$20.165,$19.755
08/02/2023,$20.20,3181879,$20.01,$20.235,$19.87
08/01/2023,$20.17,4324699,$20.27,$20.31,$19.935
07/31/2023,$20.26,11341930,$20.20,$20.42,$20.09
07/28/2023,$20.18,3643314,$20.39,$20.41,$20.07
07/27/2023,$20.17,4405563,$21.05,$21.05,$20.105
07/26/2023,$20.73,7350831,$20.58,$20.78,$20.525
07/25/2023,$20.60,4307615,$20.93,$20.995,$20.56
07/24/2023,$20.96,3722086,$20.98,$21.09,$20.81
07/21/2023,$20.92,3829575,$20.97,$21.11,$20.765
07/20/2023,$20.87,3911235,$20.93,$20.95,$20.615
07/19/2023,$20.86,5141618,$20.65,$20.98,$20.60
07/18/2023,$20.51,6013580,$20.65,$20.71,$20.28
07/17/2023,$20.64,2670001,$20.44,$20.68,$20.36
07/14/2023,$20.51,2086447,$20.62,$20.63,$20.385
07/13/2023,$20.67,3399357,$20.45,$20.679,$20.35
07/12/2023,$20.45,5190890,$20.51,$20.61,$20.38
07/11/2023,$20.28,2644702,$19.92,$20.31,$19.845
07/10/2023,$19.79,4167090,$19.88,$19.97,$19.75
07/07/2023,$19.90,3817606,$20.11,$20.275,$19.87
07/06/2023,$20.23,3195240,$19.91,$20.26,$19.695
07/05/2023,$20.20,4377668,$19.99,$20.35,$19.78
07/03/2023,$20.12,1796258,$19.61,$20.20,$19.61
06/30/2023,$19.72,5166483,$19.96,$19.96,$19.42
06/29/2023,$19.70,2552921,$19.27,$19.725,$19.20
06/28/2023,$19.31,3914313,$19.35,$19.465,$19.16
06/27/2023,$19.38,2343507,$19.09,$19.405,$18.97
06/26/2023,$19.04,3497082,$18.41,$19.08,$18.39
06/23/2023,$18.42,5367899,$18.70,$18.79,$18.36
06/22/2023,$18.85,3170301,$19.19,$19.21,$18.63
06/21/2023,$19.10,3305839,$19.16,$19.22,$18.985
06/20/2023,$19.23,4246807,$19.40,$19.43,$19.00
06/16/2023,$19.45,4548327,$19.45,$19.53,$19.30
06/15/2023,$19.38,3062926,$19.23,$19.38,$19.04
06/14/2023,$19.30,3492822,$19.41,$19.64,$19.135
06/13/2023,$19.27,4674866,$19.36,$19.655,$19.26
06/12/2023,$19.37,3467084,$19.44,$19.47,$19.23
06/09/2023,$19.40,3968622,$19.18,$19.43,$19.13
06/08/2023,$19.22,4044695,$19.33,$19.375,$18.97
06/07/2023,$19.41,4813279,$18.89,$19.51,$18.795
06/06/2023,$18.95,3874894,$18.70,$18.995,$18.69
06/05/2023,$18.70,2852425,$18.68,$18.98,$18.67
06/02/2023,$18.76,4518821,$18.48,$18.845,$18.375
06/01/2023,$18.21,4568296,$18.43,$18.43,$18.01
05/31/2023,$18.38,7462993,$18.15,$18.42,$17.96
05/30/2023,$18.15,3903476,$18.13,$18.275,$18.00
05/26/2023,$18.07,3123444,$17.89,$18.10,$17.765
05/25/2023,$17.89,5101527,$17.93,$18.015,$17.60
05/24/2023,$18.03,3365636,$18.12,$18.18,$17.955
05/23/2023,$18.42,2678284,$18.81,$18.94,$18.405
05/22/2023,$18.78,4161838,$18.30,$18.80,$18.30
05/19/2023,$18.32,4051467,$18.52,$18.53,$18.125
05/18/2023,$18.38,5330637,$18.43,$18.53,$18.22
05/17/2023,$18.56,4343571,$18.20,$18.59,$18.075
05/16/2023,$18.06,4445224,$18.70,$18.70,$18.02
05/15/2023,$18.69,4355871,$18.44,$18.84,$18.33
05/12/2023,$18.27,5481150,$18.07,$18.30,$17.88
05/11/2023,$18.00,4364832,$17.97,$18.065,$17.82
05/10/2023,$18.13,2788385,$18.40,$18.44,$18.06
05/09/2023,$18.16,5330875,$18.31,$18.33,$17.98
05/08/2023,$18.50,5288681,$18.68,$18.81,$18.41
05/05/2023,$18.81,4341642,$18.56,$18.82,$18.51
05/04/2023,$18.44,5195405,$18.30,$18.58,$18.12
05/03/2023,$18.45,6259176,$18.58,$18.96,$18.42
05/02/2023,$18.53,4870308,$18.73,$18.82,$18.39
05/01/2023,$18.85,4391324,$19.13,$19.23,$18.75
04/28/2023,$19.19,4686412,$18.98,$19.375,$18.925
04/27/2023,$18.99,3958154,$18.75,$19.11,$18.59
04/26/2023,$18.66,3952968,$18.64,$18.96,$18.595
04/25/2023,$18.86,4971106,$18.69,$18.925,$18.61
04/24/2023,$18.82,4087239,$19.23,$19.2473,$18.76
04/21/2023,$19.18,3588071,$19.12,$19.23,$18.895
04/20/2023,$19.03,3515840,$19.10,$19.14,$18.93
04/19/2023,$19.20,3305049,$18.97,$19.27,$18.915
04/18/2023,$19.10,3993043,$19.12,$19.21,$19.00
04/17/2023,$19.12,5806289,$18.75,$19.14,$18.72
04/14/2023,$18.70,3935336,$19.00,$19.075,$18.55
04/13/2023,$18.83,4440750,$18.93,$18.95,$18.54
04/12/2023,$18.97,2904741,$19.53,$19.56,$18.96
04/11/2023,$19.29,3440178,$19.28,$19.48,$19.17
04/10/2023,$19.19,2846879,$19.03,$19.205,$18.83
04/06/2023,$19.07,3177281,$19.20,$19.20,$18.89
04/05/2023,$19.12,3533359,$19.15,$19.245,$18.98
04/04/2023,$19.34,3230559,$19.55,$19.58,$19.095
04/03/2023,$19.47,5760139,$19.55,$19.93,$19.345
03/31/2023,$19.53,6316840,$18.94,$19.55,$18.91
03/30/2023,$18.81,3796645,$18.96,$19.035,$18.77
03/29/2023,$18.60,4736451,$18.50,$18.63,$18.37
03/28/2023,$18.23,3052252,$17.92,$18.30,$17.92
03/27/2023,$18.17,6302486,$18.20,$18.30,$17.99
03/24/2023,$18.01,5366422,$17.40,$18.045,$17.38
03/23/2023,$17.51,5177631,$17.61,$17.92,$17.34
03/22/2023,$17.57,4319320,$17.99,$18.175,$17.56
03/21/2023,$18.22,4311513,$18.40,$18.53,$18.14
03/20/2023,$18.10,5710483,$17.79,$18.20,$17.645
03/17/2023,$17.67,8349967,$18.22,$18.28,$17.615
03/16/2023,$18.35,9764945,$18.535,$18.63,$18.045
03/15/2023,$18.67,6358940,$18.86,$18.865,$18.31
03/14/2023,$19.20,4796367,$19.34,$19.43,$19.005
03/13/2023,$18.96,5976400,$18.58,$19.14,$18.53
03/10/2023,$18.78,4766842,$19.54,$19.54,$18.64
03/09/2023,$19.58,3648042,$20.005,$20.03,$19.575
03/08/2023,$20.00,5140464,$19.51,$20.03,$19.45
03/07/2023,$19.71,4911188,$20.41,$20.48,$19.58
03/06/2023,$20.48,3971114,$20.80,$20.80,$20.42
03/03/2023,$20.66,4574617,$20.67,$20.74,$20.43
03/02/2023,$20.45,5715327,$20.39,$20.55,$20.28
