Date,Close/Last,Volume,Open,High,Low
01/05/2024,$81.27,2314398,$79.53,$81.54,$79.53
01/04/2024,$79.96,1666353,$80.00,$80.80,$79.88
01/03/2024,$79.89,3171980,$80.23,$80.62,$78.95
01/02/2024,$81.31,3273273,$82.00,$82.39,$80.215
12/29/2023,$82.85,1699703,$83.73,$83.73,$82.66
12/28/2023,$83.58,974112,$82.97,$83.72,$82.97
12/27/2023,$83.34,1353373,$82.50,$83.735,$82.05
12/26/2023,$82.18,2245163,$81.50,$82.50,$81.16
12/22/2023,$81.92,4140276,$81.62,$82.4427,$81.12
12/21/2023,$81.85,5426667,$82.85,$82.97,$80.01
12/20/2023,$82.03,4571098,$84.26,$84.74,$82.01
12/19/2023,$84.69,3374886,$84.50,$85.66,$84.18
12/18/2023,$84.47,5460953,$83.85,$85.21,$83.78
12/15/2023,$83.81,8285223,$83.01,$84.175,$82.41
12/14/2023,$83.01,6023569,$80.57,$83.423,$80.4623
12/13/2023,$79.58,4566881,$77.14,$80.10,$77.02
12/12/2023,$77.54,2368456,$77.24,$77.96,$76.87
12/11/2023,$77.23,2069228,$76.61,$77.69,$76.60
12/08/2023,$76.95,3281005,$75.16,$77.01,$75.16
12/07/2023,$75.49,1837194,$74.86,$75.78,$74.85
12/06/2023,$74.73,3098606,$76.05,$76.095,$74.69
12/05/2023,$75.44,2901721,$74.86,$75.86,$74.47
12/04/2023,$75.22,4967195,$73.06,$76.13,$73.04
12/01/2023,$74.87,5213777,$75.60,$75.93,$74.84
11/30/2023,$75.84,7853543,$74.75,$75.86,$74.27
11/29/2023,$74.74,11030630,$72.28,$75.15,$71.59
11/28/2023,$69.38,3723012,$69.00,$69.52,$68.895
11/27/2023,$69.06,3121026,$68.75,$69.489,$68.58
11/24/2023,$69.20,1342452,$67.99,$69.445,$67.99
11/22/2023,$68.45,2260212,$68.83,$68.99,$68.04
11/21/2023,$68.22,2078598,$67.87,$68.28,$67.635
11/20/2023,$68.09,2322365,$66.83,$68.25,$66.75
11/17/2023,$66.92,2358290,$66.26,$67.30,$66.11
11/16/2023,$66.03,2743449,$66.44,$66.92,$65.91
11/15/2023,$66.41,2968425,$66.72,$67.25,$66.31
11/14/2023,$66.63,5561203,$66.24,$67.55,$66.21
11/13/2023,$63.97,2403375,$62.92,$64.09,$62.92
11/10/2023,$63.55,2885923,$63.17,$63.59,$62.29
11/09/2023,$62.30,2914624,$62.64,$63.66,$62.235
11/08/2023,$62.41,3262533,$62.61,$62.785,$61.94
11/07/2023,$62.34,5975183,$59.08,$63.40,$59.08
11/06/2023,$59.38,3829778,$60.99,$61.59,$58.94
11/03/2023,$61.09,3803969,$59.57,$61.735,$59.57
11/02/2023,$58.72,3934862,$57.86,$58.875,$57.49
11/01/2023,$56.95,3229689,$55.78,$57.16,$55.78
10/31/2023,$55.40,2734934,$55.17,$55.90,$54.91
10/30/2023,$55.06,2330288,$54.66,$55.25,$54.14
10/27/2023,$54.10,1982498,$54.64,$54.85,$53.715
10/26/2023,$54.57,2919735,$54.59,$55.62,$54.42
10/25/2023,$54.88,1749855,$55.71,$56.02,$54.69
10/24/2023,$56.22,2725998,$55.22,$56.44,$55.22
10/23/2023,$55.23,3136198,$54.73,$55.85,$54.3101
10/20/2023,$54.91,3637583,$55.27,$55.53,$54.33
10/19/2023,$55.61,5312387,$56.87,$58.00,$55.34
10/18/2023,$57.95,3554958,$59.96,$60.02,$57.73
10/17/2023,$60.44,4310060,$59.81,$61.38,$59.665
10/16/2023,$60.34,3542459,$60.12,$61.03,$59.48
10/13/2023,$60.25,4288212,$61.71,$61.71,$59.165
10/12/2023,$61.30,3807923,$63.23,$63.27,$61.22
10/11/2023,$63.10,3355283,$62.26,$63.19,$62.04
10/10/2023,$62.07,2498615,$61.89,$62.76,$61.89
10/09/2023,$61.60,1874923,$61.26,$61.83,$60.92
10/06/2023,$62.03,3795270,$60.06,$62.21,$59.98
10/05/2023,$60.42,2782994,$59.68,$60.595,$59.20
10/04/2023,$59.77,4120109,$59.00,$59.985,$58.96
10/03/2023,$59.00,4492588,$60.37,$60.655,$58.53
10/02/2023,$60.99,1973672,$61.55,$61.87,$60.84
09/29/2023,$61.60,3514120,$63.20,$63.20,$61.46
09/28/2023,$62.55,2152720,$61.90,$62.79,$61.835
09/27/2023,$62.09,2667318,$62.00,$62.25,$61.275
09/26/2023,$61.51,2579313,$62.76,$63.21,$61.485
09/25/2023,$63.55,3966859,$61.87,$63.765,$61.87
09/22/2023,$62.16,3991671,$62.12,$62.635,$61.60
09/21/2023,$61.38,2982493,$62.68,$62.68,$61.36
09/20/2023,$63.63,2755454,$63.69,$64.77,$63.54
