Date,Close/Last,Volume,Open,High,Low
01/05/2024,$49.33,266753,$49.25,$50.19,$49.18
01/04/2024,$49.36,327719,$48.86,$49.74,$48.33
01/03/2024,$48.59,304591,$49.55,$49.55,$48.38
01/02/2024,$49.75,452469,$48.51,$50.04,$48.345
12/29/2023,$48.67,312270,$48.35,$49.15,$48.15
12/28/2023,$48.58,321527,$48.34,$48.63,$48.34
12/27/2023,$48.45,349801,$48.33,$48.785,$48.10
12/26/2023,$48.30,257930,$48.42,$48.48,$47.92
12/22/2023,$48.14,346044,$47.95,$48.48,$47.83
12/21/2023,$47.56,498451,$47.28,$47.635,$47.115
12/20/2023,$47.22,484535,$49.47,$49.49,$47.13
12/19/2023,$49.66,543873,$48.53,$49.74,$48.49
12/18/2023,$48.29,562888,$47.65,$48.71,$47.49
12/15/2023,$47.68,963315,$48.95,$49.31,$47.39
12/14/2023,$49.00,684997,$48.99,$49.08,$47.74
12/13/2023,$48.42,944421,$48.10,$49.32,$47.68
12/12/2023,$48.22,362578,$47.61,$48.22,$47.405
12/11/2023,$47.45,392379,$47.25,$47.78,$47.25
12/08/2023,$47.15,254577,$46.94,$47.305,$46.71
12/07/2023,$46.80,352314,$46.91,$47.06,$46.41
12/06/2023,$46.59,378953,$46.49,$47.095,$45.96
12/05/2023,$46.33,541460,$46.32,$47.36,$46.227
12/04/2023,$46.38,573461,$44.48,$46.87,$44.48
12/01/2023,$44.57,532047,$44.06,$45.18,$43.92
11/30/2023,$44.23,392449,$43.28,$44.25,$43.1822
11/29/2023,$43.26,407917,$43.86,$44.425,$43.11
11/28/2023,$43.18,284782,$43.30,$43.43,$42.32
11/27/2023,$42.89,409003,$42.48,$43.14,$42.4293
11/24/2023,$42.63,106908,$42.72,$43.06,$42.615
11/22/2023,$42.56,313660,$42.00,$42.72,$42.00
11/21/2023,$41.56,252180,$41.43,$41.835,$40.93
11/20/2023,$41.48,234816,$41.65,$41.65,$40.975
11/17/2023,$41.67,244821,$41.25,$41.74,$40.97
11/16/2023,$41.14,269300,$41.51,$41.80,$41.08
11/15/2023,$41.38,331622,$41.29,$42.08,$41.17
11/14/2023,$41.27,418098,$40.41,$41.435,$40.05
11/13/2023,$39.54,286486,$38.85,$39.57,$38.52
11/10/2023,$39.21,351393,$39.26,$39.505,$38.69
11/09/2023,$39.23,344143,$40.11,$40.295,$39.03
11/08/2023,$40.16,316748,$41.08,$41.28,$40.11
11/07/2023,$41.08,324046,$41.33,$41.83,$40.81
11/06/2023,$41.64,337643,$42.01,$42.01,$41.02
11/03/2023,$42.07,317512,$42.00,$42.73,$41.49
11/02/2023,$41.24,505721,$40.75,$41.70,$40.01
11/01/2023,$39.64,741704,$40.01,$41.475,$38.90
10/31/2023,$39.88,824072,$40.54,$43.72,$39.80
10/30/2023,$42.16,243113,$41.96,$42.30,$41.41
10/27/2023,$41.28,361197,$42.48,$42.825,$40.80
10/26/2023,$42.49,282838,$42.50,$43.575,$42.18
10/25/2023,$42.31,516151,$41.91,$42.71,$41.51
10/24/2023,$41.99,647805,$40.66,$42.06,$39.84
10/23/2023,$40.84,331194,$42.23,$42.25,$40.84
10/20/2023,$42.64,341341,$43.43,$43.77,$42.48
10/19/2023,$43.34,336136,$45.25,$45.25,$42.92
10/18/2023,$45.37,286485,$45.32,$45.81,$44.64
10/17/2023,$45.63,298575,$44.88,$46.24,$44.51
10/16/2023,$44.98,323160,$44.11,$45.28,$43.73
10/13/2023,$43.68,472751,$42.41,$43.90,$42.295
10/12/2023,$42.11,210519,$42.60,$42.795,$42.00
10/11/2023,$42.48,198970,$41.97,$42.61,$41.82
10/10/2023,$42.08,232985,$42.10,$42.71,$41.87
10/09/2023,$42.04,292726,$41.33,$42.43,$41.20
10/06/2023,$42.19,556523,$42.51,$43.50,$41.52
10/05/2023,$41.47,458473,$39.91,$41.52,$39.875
10/04/2023,$39.91,1013101,$40.51,$40.70,$38.32
10/03/2023,$40.39,397036,$41.36,$41.36,$39.80
10/02/2023,$41.70,251414,$41.88,$42.15,$41.19
09/29/2023,$42.03,306267,$42.34,$42.44,$41.40
09/28/2023,$42.20,356096,$42.54,$42.88,$41.73
09/27/2023,$42.45,364425,$43.02,$43.29,$41.88
09/26/2023,$42.83,276997,$43.11,$43.84,$42.81
09/25/2023,$43.29,230938,$43.63,$44.34,$43.00
09/22/2023,$43.89,276343,$44.51,$44.51,$43.67
09/21/2023,$44.44,273693,$45.53,$45.545,$44.08
09/20/2023,$45.68,410421,$46.57,$47.11,$45.62
09/19/2023,$46.37,404702,$47.22,$47.48,$46.33
09/18/2023,$46.98,492769,$46.37,$47.07,$45.6028
09/15/2023,$46.06,2021416,$50.63,$50.63,$45.29
09/14/2023,$51.03,654583,$50.62,$51.46,$50.37
09/13/2023,$50.12,461931,$49.56,$50.34,$48.9924
09/12/2023,$49.15,275325,$48.05,$49.29,$47.68
09/11/2023,$48.05,220178,$47.99,$48.495,$47.755
09/08/2023,$47.68,282056,$47.41,$48.005,$47.16
09/07/2023,$47.55,329556,$47.10,$48.39,$46.95
09/06/2023,$47.27,226716,$47.17,$47.67,$47.13
09/05/2023,$47.15,333804,$47.17,$48.11,$47.03
09/01/2023,$47.59,234659,$47.35,$48.025,$47.30
08/31/2023,$46.97,293986,$48.10,$48.30,$46.92
08/30/2023,$48.13,214565,$47.08,$48.45,$47.08
08/29/2023,$47.28,181075,$46.37,$47.29,$46.16
08/28/2023,$46.28,165689,$46.65,$47.46,$46.1951
08/25/2023,$46.38,264730,$46.35,$47.095,$45.79
08/24/2023,$46.42,166752,$46.07,$46.99,$45.9905
08/23/2023,$46.21,175923,$46.07,$46.37,$45.93
08/22/2023,$46.20,210869,$47.08,$47.71,$46.16
08/21/2023,$46.92,298681,$45.52,$47.02,$45.46
08/18/2023,$45.58,431791,$47.05,$47.41,$45.55
08/17/2023,$47.13,477254,$48.95,$49.05,$46.76
08/16/2023,$48.62,341421,$47.31,$48.82,$47.31
08/15/2023,$47.21,201197,$47.34,$47.7059,$46.93
08/14/2023,$47.89,293425,$47.75,$47.99,$46.78
08/11/2023,$47.86,474226,$47.99,$48.43,$47.77
08/10/2023,$48.45,409171,$48.13,$49.51,$47.85
08/09/2023,$47.60,525174,$47.75,$48.32,$46.62
08/08/2023,$47.71,602748,$54.44,$54.45,$47.25
08/07/2023,$51.52,393133,$51.17,$52.085,$50.755
08/04/2023,$51.07,329564,$50.65,$51.625,$50.18
08/03/2023,$50.61,256153,$50.04,$51.76,$50.00
08/02/2023,$50.40,196507,$50.19,$50.62,$49.87
08/01/2023,$50.53,159968,$50.47,$50.8377,$50.14
07/31/2023,$50.97,256907,$51.10,$51.50,$50.33
07/28/2023,$51.13,419201,$49.69,$51.93,$49.03
07/27/2023,$49.18,171320,$49.43,$49.83,$48.96
07/26/2023,$49.37,227387,$48.72,$49.78,$48.615
07/25/2023,$48.47,194302,$49.14,$49.34,$48.23
07/24/2023,$49.07,189525,$48.99,$49.66,$48.73
07/21/2023,$49.01,246121,$49.00,$49.49,$48.235
07/20/2023,$48.82,193897,$47.46,$48.885,$47.18
07/19/2023,$46.92,181499,$47.09,$47.54,$46.69
07/18/2023,$46.67,155582,$46.52,$47.90,$46.46
07/17/2023,$46.59,186313,$45.51,$46.86,$45.19
07/14/2023,$45.47,248890,$47.05,$47.05,$45.19
07/13/2023,$46.98,210309,$47.64,$47.945,$46.91
07/12/2023,$48.05,123781,$48.46,$48.46,$47.76
07/11/2023,$48.01,179934,$48.07,$48.42,$47.59
07/10/2023,$48.07,265893,$48.19,$48.87,$48.06
07/07/2023,$48.11,201877,$47.25,$48.155,$47.06
07/06/2023,$47.56,262055,$47.51,$47.89,$47.0161
07/05/2023,$47.00,311082,$47.89,$48.44,$46.42
07/03/2023,$48.21,182935,$48.35,$49.04,$48.21
06/30/2023,$48.26,386250,$49.17,$49.50,$48.21
06/29/2023,$48.87,330072,$48.58,$49.05,$48.58
