Date,Close/Last,Volume,Open,High,Low
10/23/2023,$46.72,289520,$46.75,$47.29,$46.65
10/20/2023,$47.10,524984,$47.01,$48.09,$47.01
10/19/2023,$46.62,553375,$47.52,$48.66,$46.39
10/18/2023,$45.89,343693,$45.67,$46.88,$45.32
10/17/2023,$46.00,498909,$44.27,$46.56,$43.75
10/16/2023,$44.33,266011,$43.51,$44.58,$43.31
10/13/2023,$43.04,233449,$43.34,$43.6799,$42.93
10/12/2023,$43.35,310046,$44.40,$44.40,$42.69
10/11/2023,$44.40,364130,$44.30,$44.55,$43.81
10/10/2023,$44.34,358328,$43.89,$44.79,$43.89
10/09/2023,$43.78,249905,$42.80,$43.93,$42.705
10/06/2023,$43.19,342696,$41.95,$43.55,$41.68
10/05/2023,$42.80,295646,$43.46,$43.74,$42.6951
10/04/2023,$43.53,294265,$43.04,$43.68,$42.32
10/03/2023,$42.86,351904,$43.55,$43.785,$42.31
10/02/2023,$43.70,371344,$43.74,$44.20,$43.38
09/29/2023,$43.91,594030,$44.39,$45.00,$43.90
09/28/2023,$43.87,593567,$42.67,$44.42,$42.24
09/27/2023,$42.70,369817,$42.16,$42.955,$42.00
09/26/2023,$41.82,257076,$42.47,$42.995,$41.77
09/25/2023,$42.73,207744,$42.48,$43.04,$42.43
09/22/2023,$42.87,204567,$43.27,$43.4133,$42.73
09/21/2023,$42.96,231064,$43.38,$43.61,$42.84
09/20/2023,$43.76,358072,$43.62,$44.76,$43.48
09/19/2023,$43.51,309213,$42.62,$43.61,$42.40
09/18/2023,$42.78,303718,$44.65,$44.65,$42.77
09/15/2023,$44.71,929671,$44.30,$44.74,$44.10
09/14/2023,$44.28,372533,$43.49,$44.31,$43.478
09/13/2023,$43.09,369326,$43.92,$43.92,$42.755
09/12/2023,$43.62,452186,$43.12,$44.39,$43.12
09/11/2023,$43.60,715158,$44.09,$44.35,$43.27
09/08/2023,$43.86,363542,$43.27,$43.87,$42.98
09/07/2023,$42.89,416958,$43.00,$43.205,$42.16
09/06/2023,$43.67,429555,$43.16,$43.70,$43.05
09/05/2023,$43.45,498224,$45.79,$45.79,$43.33
09/01/2023,$46.18,360719,$45.87,$46.5212,$45.78
08/31/2023,$45.79,630750,$45.24,$46.06,$45.02
08/30/2023,$45.04,871036,$45.63,$45.81,$44.95
08/29/2023,$45.70,579302,$46.64,$46.7699,$45.54
08/28/2023,$46.43,361749,$46.51,$47.30,$46.335
08/25/2023,$46.12,470787,$47.01,$47.19,$45.66
08/24/2023,$46.62,448139,$47.33,$47.625,$46.44
08/23/2023,$47.25,426666,$47.46,$47.66,$46.66
08/22/2023,$47.36,509502,$48.85,$48.85,$46.43
08/21/2023,$49.36,499670,$49.14,$49.70,$48.53
08/18/2023,$49.51,297015,$48.72,$49.86,$48.60
08/17/2023,$48.96,488887,$48.92,$49.62,$48.65
08/16/2023,$48.71,301894,$49.16,$49.80,$48.62
08/15/2023,$49.22,409521,$48.72,$49.32,$48.37
08/14/2023,$48.84,508343,$47.21,$49.02,$46.96
08/11/2023,$47.45,511236,$46.53,$47.77,$46.425
08/10/2023,$46.64,500461,$46.59,$47.31,$45.97
08/09/2023,$46.61,326058,$47.03,$47.04,$46.08
08/08/2023,$47.24,398035,$47.00,$47.24,$46.22
08/07/2023,$47.53,360188,$47.51,$48.165,$47.33
08/04/2023,$47.36,677998,$48.07,$48.86,$47.34
08/03/2023,$47.82,1063971,$43.42,$48.42,$43.29
08/02/2023,$40.63,591972,$41.00,$41.19,$40.295
08/01/2023,$41.52,520905,$42.21,$42.54,$41.36
07/31/2023,$42.36,338496,$42.63,$42.90,$42.13
07/28/2023,$42.24,297269,$41.86,$42.29,$41.58
07/27/2023,$41.60,336165,$42.34,$42.62,$41.44
07/26/2023,$42.24,355195,$41.52,$42.57,$41.52
07/25/2023,$41.41,327727,$41.30,$41.76,$41.03
07/24/2023,$41.12,443674,$40.08,$41.27,$40.00
07/21/2023,$40.39,445948,$41.20,$41.55,$40.34
07/20/2023,$40.87,399759,$40.81,$41.13,$40.09
07/19/2023,$40.76,309098,$40.01,$40.79,$39.88
07/18/2023,$40.11,258203,$39.38,$40.259,$39.38
07/17/2023,$39.60,302051,$38.88,$39.78,$38.49
07/14/2023,$39.11,301908,$39.83,$39.83,$38.49
07/13/2023,$40.12,480551,$39.38,$40.37,$39.24
07/12/2023,$39.34,642113,$39.41,$39.60,$38.58
07/11/2023,$38.88,499333,$38.08,$38.98,$37.92
07/10/2023,$37.74,857481,$37.29,$38.445,$37.10
07/07/2023,$37.19,981953,$39.50,$40.12,$37.17
07/06/2023,$41.08,398998,$41.29,$41.60,$40.48
07/05/2023,$41.68,468766,$42.31,$42.31,$41.27
07/03/2023,$42.68,209453,$42.12,$42.86,$42.065
06/30/2023,$42.10,397219,$42.73,$42.73,$41.80
06/29/2023,$42.52,238078,$41.89,$42.58,$41.65
06/28/2023,$41.87,309795,$41.65,$42.05,$41.31
06/27/2023,$41.90,220247,$41.39,$42.15,$41.23
06/26/2023,$41.16,446290,$40.69,$41.61,$40.545
06/23/2023,$40.40,802406,$40.85,$41.36,$40.18
06/22/2023,$41.42,275469,$41.89,$41.93,$41.21
06/21/2023,$41.94,284494,$41.68,$42.47,$41.536
06/20/2023,$41.80,250230,$41.99,$42.17,$41.34
06/16/2023,$42.21,948610,$42.86,$42.86,$41.78
06/15/2023,$42.53,397212,$42.27,$43.15,$42.00
06/14/2023,$42.39,347055,$42.42,$43.07,$42.19
06/13/2023,$42.33,370387,$42.04,$42.66,$41.8301
06/12/2023,$41.96,439779,$41.75,$42.39,$40.99
06/09/2023,$41.55,517726,$43.07,$43.2108,$41.29
06/08/2023,$42.97,441656,$41.94,$43.02,$41.64
06/07/2023,$42.54,506413,$41.52,$42.75,$41.35
06/06/2023,$41.40,610396,$40.11,$41.87,$39.8952
06/05/2023,$40.19,434325,$39.91,$40.305,$39.18
06/02/2023,$40.31,561571,$39.71,$40.31,$39.5378
06/01/2023,$38.63,418262,$39.04,$39.165,$38.421
05/31/2023,$39.16,320384,$40.13,$40.13,$38.80
05/30/2023,$40.50,471216,$41.40,$41.60,$40.29
05/26/2023,$41.08,328339,$40.30,$41.53,$40.30
05/25/2023,$40.28,601815,$39.70,$40.30,$39.495
05/24/2023,$39.60,379643,$40.52,$40.66,$39.52
05/23/2023,$40.23,347155,$40.23,$41.01,$39.93
05/22/2023,$40.51,332725,$40.08,$40.77,$39.74
05/19/2023,$40.03,532350,$40.78,$40.78,$39.26
05/18/2023,$40.96,347352,$40.84,$41.09,$40.34
05/17/2023,$40.74,526534,$39.35,$40.895,$39.02
