Date,Close/Last,Volume,Open,High,Low
01/05/2024,$26.32,481267,$26.445,$26.79,$25.66
01/04/2024,$26.48,744382,$26.40,$26.99,$26.28
01/03/2024,$26.69,688048,$26.98,$27.00,$26.16
01/02/2024,$27.01,871586,$27.55,$27.6675,$26.56
12/29/2023,$27.78,684434,$28.12,$28.61,$27.42
12/28/2023,$28.16,619791,$28.32,$28.63,$27.87
12/27/2023,$28.21,547319,$28.54,$28.705,$27.695
12/26/2023,$28.36,593770,$29.00,$29.49,$28.36
12/22/2023,$29.06,461498,$28.85,$29.75,$28.59
12/21/2023,$28.59,578060,$29.07,$29.49,$28.53
12/20/2023,$28.53,1019319,$27.17,$29.46,$26.80
12/19/2023,$27.34,1024498,$28.74,$28.7999,$27.24
12/18/2023,$28.20,1260508,$28.69,$28.87,$27.6264
12/15/2023,$28.63,2833431,$30.32,$30.4268,$28.62
12/14/2023,$30.37,827481,$31.00,$31.46,$30.02
12/13/2023,$30.10,999212,$30.17,$30.50,$28.93
12/12/2023,$30.20,540217,$30.45,$30.58,$29.545
12/11/2023,$30.17,471749,$29.65,$30.455,$29.0801
12/08/2023,$29.88,692336,$28.69,$29.89,$28.675
12/07/2023,$28.74,811477,$30.57,$30.96,$28.69
12/06/2023,$30.44,424574,$30.76,$31.86,$30.29
12/05/2023,$30.49,355910,$31.23,$31.31,$29.787
12/04/2023,$30.64,870402,$32.00,$32.96,$30.16
12/01/2023,$31.62,615168,$29.39,$31.94,$29.19
11/30/2023,$29.63,609833,$31.57,$32.15,$29.46
11/29/2023,$31.06,606313,$30.57,$32.31,$30.57
11/28/2023,$30.27,714875,$29.64,$31.045,$29.175
11/27/2023,$29.86,672664,$28.67,$30.24,$28.0342
11/24/2023,$28.55,230583,$27.72,$29.25,$27.3265
11/22/2023,$27.72,702554,$27.46,$28.03,$26.95
11/21/2023,$27.58,471113,$27.41,$28.3675,$27.41
11/20/2023,$27.76,342595,$27.80,$28.6194,$27.28
11/17/2023,$27.53,585103,$27.40,$28.15,$26.95
11/16/2023,$26.85,666666,$28.54,$29.00,$26.21
11/15/2023,$28.70,1162698,$27.88,$29.52,$27.51
11/14/2023,$27.41,596070,$26.46,$28.095,$26.365
11/13/2023,$25.64,595134,$25.63,$26.73,$24.98
11/10/2023,$25.30,638283,$25.01,$25.65,$24.3501
11/09/2023,$24.93,1244113,$28.02,$28.3225,$24.40
11/08/2023,$27.54,2038999,$31.00,$31.50,$26.995
11/07/2023,$32.51,1091162,$31.41,$33.07,$31.26
11/06/2023,$31.40,644236,$31.58,$32.87,$31.18
11/03/2023,$31.49,657225,$30.42,$32.77,$30.42
11/02/2023,$30.32,536930,$30.50,$30.59,$28.75
11/01/2023,$28.46,465863,$28.39,$28.63,$27.09
10/31/2023,$28.49,380423,$28.10,$28.65,$27.2901
10/30/2023,$27.90,377087,$27.46,$28.56,$27.01
10/27/2023,$26.99,499185,$27.16,$27.70,$26.15
10/26/2023,$27.05,539391,$28.32,$28.37,$26.85
10/25/2023,$28.40,298766,$28.95,$29.60,$27.8801
10/24/2023,$29.12,254160,$29.55,$30.55,$28.90
10/23/2023,$29.35,476565,$28.79,$30.22,$28.22
10/20/2023,$29.01,898438,$30.00,$30.0399,$27.40
10/19/2023,$30.00,1083490,$30.79,$31.63,$29.89
10/18/2023,$30.67,595469,$32.22,$32.3696,$30.01
10/17/2023,$32.22,620767,$31.51,$32.65,$30.50
10/16/2023,$31.53,903558,$31.24,$32.52,$30.25
10/13/2023,$31.53,849474,$33.45,$34.025,$31.30
10/12/2023,$33.02,1014623,$33.83,$33.83,$32.25
10/11/2023,$33.54,1074588,$34.81,$35.66,$33.02
10/10/2023,$34.70,516514,$34.04,$35.45,$33.34
10/09/2023,$33.78,431296,$32.49,$34.16,$32.11
10/06/2023,$32.62,547959,$31.46,$33.54,$30.71
10/05/2023,$31.30,511527,$32.40,$32.79,$31.096
10/04/2023,$32.82,962791,$31.48,$33.60,$30.44
10/03/2023,$31.24,1352195,$33.00,$33.19,$30.25
10/02/2023,$33.47,535737,$34.50,$35.27,$33.15
09/29/2023,$34.50,1128529,$36.63,$36.705,$33.50
09/28/2023,$36.30,1364080,$35.00,$37.36,$34.85
09/27/2023,$35.07,984269,$34.00,$36.20,$34.00
09/26/2023,$34.11,2508488,$33.86,$35.62,$33.31
09/25/2023,$34.66,1840451,$32.99,$34.74,$31.31
09/22/2023,$33.39,1803739,$34.22,$34.40,$31.55
09/21/2023,$33.72,5151106,$32.06,$34.87,$31.30
09/20/2023,$32.76,17083930,$36.75,$39.47,$30.26
