Date,Close/Last,Volume,Open,High,Low
01/05/2024,$71.19,683425,$70.90,$71.49,$70.77
01/04/2024,$70.70,657463,$70.72,$71.22,$70.68
01/03/2024,$70.27,709660,$70.49,$71.03,$70.23
01/02/2024,$70.46,774071,$69.65,$70.48,$69.64
12/29/2023,$69.59,611348,$69.56,$69.695,$69.19
12/28/2023,$69.47,409673,$69.24,$69.64,$69.24
12/27/2023,$69.18,432172,$68.81,$69.25,$68.76
12/26/2023,$68.99,416335,$68.70,$69.22,$68.49
12/22/2023,$68.80,436873,$68.80,$69.02,$68.58
12/21/2023,$68.52,489677,$68.10,$68.56,$67.85
12/20/2023,$68.11,783714,$68.65,$69.08,$68.03
12/19/2023,$68.90,1012655,$68.43,$69.04,$68.2018
12/18/2023,$68.50,1063059,$68.31,$68.66,$67.93
12/15/2023,$68.00,3219447,$68.09,$68.31,$67.20
12/14/2023,$68.69,1832530,$70.43,$70.43,$68.55
12/13/2023,$70.33,1025991,$69.91,$70.40,$69.70
12/12/2023,$69.94,652217,$69.65,$70.378,$69.56
12/11/2023,$69.72,736222,$68.89,$69.85,$68.89
12/08/2023,$68.84,618350,$68.86,$68.94,$68.48
12/07/2023,$68.82,1012487,$69.78,$69.945,$68.57
12/06/2023,$69.48,592376,$70.45,$70.74,$69.30
12/05/2023,$70.34,745583,$70.64,$70.875,$70.20
12/04/2023,$70.72,951726,$69.70,$70.845,$69.51
12/01/2023,$70.01,1356775,$70.08,$70.64,$69.92
11/30/2023,$70.29,6165240,$68.57,$70.45,$68.47
11/29/2023,$68.51,1136326,$68.71,$69.00,$68.47
11/28/2023,$68.64,905125,$69.24,$69.31,$68.50
11/27/2023,$69.18,859895,$68.99,$69.40,$68.9073
11/24/2023,$69.30,563840,$68.57,$69.37,$68.57
11/22/2023,$68.50,722989,$67.90,$68.62,$67.86
11/21/2023,$68.09,904748,$67.50,$68.39,$67.50
11/20/2023,$67.49,824082,$66.97,$67.79,$66.60
11/17/2023,$67.00,797310,$67.21,$67.46,$66.98
11/16/2023,$67.06,766604,$66.69,$67.22,$66.69
11/15/2023,$66.53,776253,$66.46,$66.86,$66.16
11/14/2023,$66.44,1310976,$65.94,$66.65,$65.92
11/13/2023,$65.97,679581,$65.88,$66.34,$65.702
11/10/2023,$65.89,506543,$65.53,$65.91,$65.24
11/09/2023,$65.25,483428,$65.08,$65.47,$64.97
11/08/2023,$64.94,519220,$65.58,$65.58,$64.84
11/07/2023,$65.42,547004,$65.29,$65.51,$65.13
11/06/2023,$65.40,618598,$65.82,$65.82,$65.26
11/03/2023,$65.79,688679,$65.49,$65.9225,$65.23
11/02/2023,$65.14,883922,$65.26,$65.80,$64.48
