Date,Close/Last,Volume,Open,High,Low
10/25/2023,$23.60,10493280,$23.95,$24.04,$23.575
10/24/2023,$23.90,6445090,$24.36,$24.47,$23.83
10/23/2023,$24.29,6910447,$24.09,$25.00,$23.96
10/20/2023,$24.20,7521971,$24.25,$24.53,$24.12
10/19/2023,$24.37,7268507,$24.66,$24.97,$24.35
10/18/2023,$24.70,7448250,$25.51,$25.52,$24.66
10/17/2023,$25.79,4495983,$25.48,$25.97,$25.46
10/16/2023,$25.61,5992097,$25.45,$25.72,$25.27
10/13/2023,$25.37,8382938,$25.25,$25.48,$25.07
10/12/2023,$25.45,8747837,$26.21,$26.25,$25.28
10/11/2023,$26.20,7150072,$26.50,$27.12,$26.13
10/10/2023,$26.65,7005637,$26.89,$27.23,$26.58
10/09/2023,$26.50,7451530,$26.57,$26.61,$25.94
10/06/2023,$27.08,6796840,$27.12,$27.475,$26.775
10/05/2023,$27.32,6775594,$27.37,$27.54,$27.065
10/04/2023,$27.20,11733670,$26.88,$27.66,$26.86
10/03/2023,$26.81,6603104,$27.15,$27.395,$26.68
10/02/2023,$27.19,6411127,$27.11,$27.36,$26.96
09/29/2023,$27.07,5941635,$27.31,$27.515,$26.90
09/28/2023,$27.22,6501548,$26.74,$27.43,$26.625
09/27/2023,$26.81,11127790,$26.58,$26.98,$26.4601
09/26/2023,$26.56,10208630,$27.27,$27.61,$26.545
09/25/2023,$27.50,6223392,$27.75,$27.86,$27.36
09/22/2023,$28.05,5313520,$28.31,$28.3975,$28.03
09/21/2023,$28.28,4960275,$28.40,$28.80,$28.28
09/20/2023,$28.52,5002642,$29.16,$29.23,$28.51
09/19/2023,$28.91,6514753,$29.08,$29.20,$28.67
09/18/2023,$29.08,5291989,$29.50,$29.62,$29.06
09/15/2023,$29.69,8547518,$28.87,$29.74,$28.81
09/14/2023,$28.94,8286211,$29.06,$29.11,$28.5801
09/13/2023,$28.79,8279218,$28.57,$28.95,$28.365
09/12/2023,$29.28,4291937,$29.50,$29.615,$29.16
09/11/2023,$29.41,4906405,$29.72,$29.7895,$29.14
09/08/2023,$29.53,8612716,$29.50,$29.58,$29.07
09/07/2023,$29.43,7910919,$29.93,$30.115,$29.36
09/06/2023,$29.97,8878301,$29.90,$30.855,$29.745
09/05/2023,$30.77,5519475,$31.07,$31.26,$30.5846
09/01/2023,$31.42,4208420,$31.77,$31.85,$31.255
08/31/2023,$31.60,5202819,$31.76,$31.85,$31.37
08/30/2023,$31.63,3231676,$31.72,$31.83,$31.44
08/29/2023,$31.81,4814158,$31.10,$31.965,$31.10
08/28/2023,$31.09,5515466,$31.39,$31.745,$30.88
08/25/2023,$31.22,3982895,$31.25,$31.40,$30.865
08/24/2023,$31.22,4420581,$31.30,$31.7542,$31.22
08/23/2023,$31.57,4300896,$31.49,$31.699,$31.38
08/22/2023,$31.50,6980838,$32.00,$32.08,$31.34
08/21/2023,$31.92,7323509,$32.20,$32.5231,$31.77
08/18/2023,$32.15,5452775,$31.98,$32.365,$31.90
08/17/2023,$32.23,5945735,$32.86,$32.99,$32.18
08/16/2023,$32.92,5381260,$32.99,$33.77,$32.91
08/15/2023,$33.12,4498942,$33.26,$33.32,$32.86
08/14/2023,$33.53,4164331,$33.53,$33.6925,$33.355
08/11/2023,$33.70,5061394,$33.81,$33.9299,$33.415
08/10/2023,$33.84,8003729,$33.91,$34.13,$33.35
08/09/2023,$33.63,8101464,$33.60,$33.79,$33.28
08/08/2023,$33.74,8051287,$32.61,$33.935,$32.55
08/07/2023,$32.97,8037217,$32.67,$32.99,$32.16
08/04/2023,$32.73,8305653,$32.53,$32.93,$32.335
08/03/2023,$32.26,10743210,$32.56,$33.02,$32.15
08/02/2023,$33.37,7350693,$33.05,$33.61,$33.05
08/01/2023,$33.43,8909453,$33.86,$33.8925,$33.05
