Date,Close/Last,Volume,Open,High,Low
01/05/2024,$76.67,567555,$76.19,$77.22,$75.45
01/04/2024,$77.68,279809,$76.89,$77.88,$76.77
01/03/2024,$77.28,198676,$78.55,$78.55,$77.18
01/02/2024,$79.12,193615,$79.24,$80.03,$78.705
12/29/2023,$79.47,305558,$79.70,$80.10,$79.22
12/28/2023,$79.74,166914,$79.50,$80.245,$79.50
12/27/2023,$79.70,213219,$79.65,$80.185,$79.38
12/26/2023,$79.39,146027,$79.50,$79.58,$78.79
12/22/2023,$79.27,167052,$79.23,$79.905,$79.23
12/21/2023,$78.78,193445,$78.44,$78.85,$77.955
12/20/2023,$78.04,209125,$79.38,$80.12,$77.94
12/19/2023,$79.58,238939,$79.45,$79.64,$78.71
12/18/2023,$78.98,171978,$79.83,$79.905,$78.66
12/15/2023,$79.23,589635,$79.75,$79.99,$78.83
12/14/2023,$79.62,430093,$77.16,$80.01,$77.03
12/13/2023,$76.09,495026,$75.36,$76.275,$73.89
12/12/2023,$75.67,203225,$76.50,$76.50,$75.59
12/11/2023,$76.48,231613,$76.05,$77.075,$76.05
12/08/2023,$76.20,175456,$76.23,$76.615,$75.79
12/07/2023,$76.05,266157,$75.55,$76.49,$75.26
12/06/2023,$75.52,188653,$76.29,$76.61,$75.31
12/05/2023,$75.78,184536,$76.85,$77.13,$75.40
12/04/2023,$77.26,276970,$75.50,$77.415,$75.3256
12/01/2023,$75.87,273404,$73.99,$75.91,$73.99
11/30/2023,$74.21,445259,$74.00,$74.64,$73.47
11/29/2023,$75.10,333591,$75.49,$76.05,$74.87
11/28/2023,$74.79,225373,$75.86,$75.86,$74.41
11/27/2023,$75.82,172383,$75.79,$76.00,$75.56
11/24/2023,$76.27,120727,$76.21,$76.40,$75.79
11/22/2023,$76.09,173765,$75.92,$76.5125,$74.83
11/21/2023,$75.32,204349,$75.90,$76.065,$75.03
11/20/2023,$76.31,166122,$75.14,$76.35,$74.78
11/17/2023,$75.32,224741,$75.57,$75.625,$74.62
11/16/2023,$74.79,183665,$75.20,$75.49,$73.94
11/15/2023,$75.25,209983,$74.30,$75.80,$74.04
11/14/2023,$74.14,277525,$73.29,$74.92,$73.29
11/13/2023,$71.74,283865,$73.86,$74.17,$71.72
11/10/2023,$73.84,196357,$73.05,$73.84,$72.515
11/09/2023,$73.00,209943,$72.97,$73.52,$72.49
11/08/2023,$72.45,317097,$72.53,$73.185,$72.18
11/07/2023,$72.57,286123,$73.04,$73.43,$72.545
11/06/2023,$73.56,173603,$73.25,$73.57,$72.70
11/03/2023,$73.24,181495,$73.43,$74.00,$73.02
11/02/2023,$72.42,242915,$70.24,$72.44,$70.24
11/01/2023,$69.60,209291,$69.75,$70.12,$68.87
10/31/2023,$69.97,228747,$69.75,$70.395,$69.32
10/30/2023,$69.53,207965,$69.95,$70.43,$69.22
10/27/2023,$69.28,323077,$69.64,$70.18,$69.04
10/26/2023,$69.54,560264,$68.70,$70.12,$68.70
10/25/2023,$68.43,375944,$68.05,$68.99,$68.05
10/24/2023,$69.10,386741,$69.67,$70.025,$68.39
10/23/2023,$69.49,626797,$69.61,$71.20,$69.09
10/20/2023,$70.04,656868,$69.44,$70.80,$69.22
10/19/2023,$69.50,870711,$69.00,$69.81,$67.35
10/18/2023,$71.21,348637,$72.49,$72.49,$71.065
10/17/2023,$73.29,361342,$72.09,$73.71,$72.09
10/16/2023,$72.41,249654,$72.10,$72.67,$71.70
10/13/2023,$71.52,301816,$72.42,$72.895,$71.18
10/12/2023,$72.34,223906,$73.37,$73.37,$71.84
10/11/2023,$73.51,366586,$73.92,$74.69,$73.46
10/10/2023,$73.64,254017,$73.47,$74.30,$73.22
10/09/2023,$73.64,177517,$72.66,$73.96,$72.36
10/06/2023,$73.07,211476,$72.54,$73.70,$72.02
10/05/2023,$73.02,216681,$72.59,$73.24,$72.47
10/04/2023,$72.93,253464,$72.57,$73.06,$71.88
10/03/2023,$72.64,333607,$72.50,$72.74,$71.97
10/02/2023,$72.36,247336,$73.14,$73.265,$71.73
09/29/2023,$73.32,279430,$73.61,$73.96,$72.90
09/28/2023,$73.09,264856,$73.03,$73.59,$72.81
09/27/2023,$72.87,352566,$72.33,$72.89,$72.00
09/26/2023,$71.82,255832,$73.25,$73.645,$71.64
09/25/2023,$73.59,292332,$73.15,$73.83,$73.15
09/22/2023,$73.36,255603,$74.27,$74.76,$73.33
09/21/2023,$74.19,244491,$74.02,$74.3699,$73.535
09/20/2023,$74.31,401741,$74.65,$75.915,$74.20
09/19/2023,$74.50,371879,$74.43,$74.8275,$74.23
09/18/2023,$74.40,370052,$75.00,$75.135,$74.26
09/15/2023,$75.02,1548521,$74.10,$75.125,$73.28
09/14/2023,$74.20,531547,$74.35,$75.03,$73.93
09/13/2023,$73.84,329239,$74.52,$74.52,$73.45
09/12/2023,$74.26,387633,$73.66,$74.465,$73.07
09/11/2023,$73.71,326832,$74.00,$74.00,$72.83
09/08/2023,$73.87,315129,$74.30,$74.66,$73.74
09/07/2023,$74.10,620390,$74.96,$75.51,$73.65
09/06/2023,$75.45,331050,$77.40,$77.40,$75.12
09/05/2023,$77.40,365371,$78.62,$79.045,$77.15
09/01/2023,$79.38,210802,$79.66,$80.14,$79.21
08/31/2023,$78.87,205607,$79.78,$79.925,$78.72
08/30/2023,$79.92,302165,$78.35,$80.57,$78.35
08/29/2023,$78.61,179202,$78.39,$78.9075,$78.12
08/28/2023,$78.05,244682,$78.00,$78.74,$77.51
08/25/2023,$77.93,270076,$77.84,$78.62,$77.235
08/24/2023,$77.53,287076,$77.07,$78.01,$77.07
08/23/2023,$77.11,543134,$76.98,$77.22,$76.30
08/22/2023,$76.69,303626,$77.40,$78.39,$76.69
08/21/2023,$76.90,291861,$77.00,$77.49,$76.75
08/18/2023,$77.13,366450,$77.11,$78.07,$76.70
08/17/2023,$77.32,275759,$77.22,$77.98,$77.14
08/16/2023,$77.07,254581,$76.30,$78.26,$76.30
08/15/2023,$76.42,261057,$75.86,$76.68,$75.62
08/14/2023,$76.55,211336,$76.21,$76.6699,$76.00
08/11/2023,$76.53,291103,$76.60,$76.80,$75.96
08/10/2023,$76.91,254638,$77.51,$78.265,$76.42
08/09/2023,$77.27,198299,$77.73,$78.075,$76.96
08/08/2023,$77.90,330862,$78.00,$78.00,$76.88
08/07/2023,$79.06,334834,$78.88,$80.32,$78.18
08/04/2023,$77.09,276191,$78.74,$79.09,$76.94
08/03/2023,$78.75,572926,$77.40,$78.855,$76.85
08/02/2023,$77.52,260855,$77.61,$77.91,$76.90
08/01/2023,$78.44,361878,$78.62,$79.095,$76.88
07/31/2023,$78.88,245025,$79.68,$80.15,$78.48
07/28/2023,$79.68,201885,$80.37,$81.09,$79.45
07/27/2023,$79.49,378551,$81.79,$81.79,$79.21
07/26/2023,$81.19,514167,$79.94,$82.38,$79.4303
07/25/2023,$81.02,428728,$79.84,$82.00,$79.45
07/24/2023,$80.22,535328,$77.29,$80.27,$77.29
