Date,Close/Last,Volume,Open,High,Low
01/03/2024,$19.94,1169519,$20.03,$20.14,$19.90
01/02/2024,$20.13,1448643,$20.19,$20.3322,$20.10
12/29/2023,$20.38,837716,$20.39,$20.5039,$20.32
12/28/2023,$20.43,1385059,$20.55,$20.60,$20.39
12/27/2023,$20.57,1459315,$20.54,$20.67,$20.25
12/26/2023,$20.52,5365126,$20.10,$20.84,$20.06
12/22/2023,$19.84,719477,$19.70,$19.9237,$19.57
12/21/2023,$19.64,558325,$19.75,$19.75,$19.4801
12/20/2023,$19.42,488764,$19.70,$20.00,$19.4152
12/19/2023,$19.74,630175,$19.44,$19.75,$19.3001
12/18/2023,$19.50,701254,$19.46,$19.88,$19.41
12/15/2023,$19.60,669697,$19.41,$19.60,$19.21
12/14/2023,$19.34,712735,$19.30,$19.51,$19.14
12/13/2023,$19.34,554754,$19.32,$19.55,$19.21
12/12/2023,$19.35,680262,$19.37,$19.59,$19.12
12/11/2023,$19.30,690641,$19.50,$19.54,$18.98
12/08/2023,$19.51,396932,$19.39,$19.60,$19.29
12/07/2023,$19.36,458614,$19.51,$19.53,$19.24
12/06/2023,$19.62,705122,$19.68,$19.80,$19.2849
12/05/2023,$19.68,803639,$19.61,$19.725,$19.54
12/04/2023,$19.64,1026634,$19.29,$19.77,$19.29
12/01/2023,$19.35,484344,$19.21,$19.39,$19.11
11/30/2023,$19.49,324432,$19.29,$19.49,$18.97
11/29/2023,$19.30,606251,$19.55,$19.69,$19.14
11/28/2023,$19.50,1083946,$19.62,$19.6629,$19.20
11/27/2023,$19.67,987498,$19.20,$19.84,$19.10
11/24/2023,$19.25,553622,$19.19,$19.35,$19.05
11/22/2023,$19.09,560656,$19.00,$19.46,$18.85
11/21/2023,$18.80,634832,$19.17,$19.22,$18.755
11/20/2023,$19.22,1118794,$19.79,$20.04,$19.175
11/17/2023,$19.88,3763657,$19.82,$20.35,$19.28
11/16/2023,$18.43,963501,$18.43,$18.75,$18.1582
11/15/2023,$18.43,1133628,$18.72,$19.05,$18.19
11/14/2023,$18.83,1724037,$18.25,$19.99,$18.05
11/13/2023,$17.93,440105,$18.14,$18.23,$17.89
11/10/2023,$18.10,306878,$18.11,$18.13,$17.81
11/09/2023,$18.03,447152,$18.06,$18.46,$17.74
11/08/2023,$18.05,484134,$18.25,$18.36,$18.03
11/07/2023,$18.32,808251,$18.06,$18.525,$18.06
11/06/2023,$18.15,554442,$18.61,$18.6894,$18.13
11/03/2023,$18.69,716384,$18.66,$18.78,$18.3258
11/02/2023,$17.92,559880,$18.00,$18.09,$17.75
11/01/2023,$17.92,480331,$17.87,$18.01,$17.56
10/31/2023,$17.93,537288,$17.98,$18.03,$17.65
10/30/2023,$17.99,577892,$17.86,$17.99,$17.56
10/27/2023,$17.69,858037,$17.66,$18.06,$17.63
10/26/2023,$17.73,1046427,$17.43,$17.77,$17.10
10/25/2023,$17.75,729018,$18.01,$18.34,$17.72
10/24/2023,$17.78,605970,$17.72,$18.03,$17.61
10/23/2023,$17.60,1063572,$17.96,$17.96,$17.47
10/20/2023,$18.09,1216356,$17.55,$18.26,$17.53
10/19/2023,$17.50,1866302,$17.75,$17.77,$17.02
10/18/2023,$17.55,1541016,$18.18,$18.27,$17.475
10/17/2023,$17.87,2104680,$17.64,$17.95,$17.21
10/16/2023,$17.90,6957191,$18.16,$18.93,$17.3342
10/13/2023,$19.98,579709,$19.69,$20.28,$19.65
10/12/2023,$19.74,3276089,$19.85,$20.51,$18.51
10/11/2023,$19.90,1484766,$19.09,$20.13,$19.06
10/10/2023,$19.00,1844429,$18.58,$19.23,$18.57
10/09/2023,$18.86,682641,$18.99,$19.20,$18.695
10/06/2023,$19.39,955722,$19.01,$19.59,$18.98
10/05/2023,$19.12,841263,$19.34,$19.61,$18.98
10/04/2023,$19.41,529368,$19.38,$19.63,$19.13
10/03/2023,$19.33,909065,$19.20,$19.50,$18.75
10/02/2023,$19.41,1353982,$19.80,$19.98,$18.71
09/29/2023,$19.79,425450,$20.13,$20.13,$19.66
09/28/2023,$19.96,554182,$20.20,$20.206,$19.76
09/27/2023,$20.25,1169271,$19.55,$20.525,$19.511
09/26/2023,$19.41,935573,$19.59,$20.049,$19.30
09/25/2023,$19.36,983153,$18.50,$19.91,$18.50
09/22/2023,$18.58,378848,$18.64,$18.88,$18.3416
09/21/2023,$18.27,996809,$18.72,$18.825,$18.18
09/20/2023,$18.85,838939,$19.00,$19.32,$18.84
09/19/2023,$18.94,651928,$19.27,$19.27,$18.83
09/18/2023,$19.46,1238281,$19.30,$19.6482,$19.0875
09/15/2023,$19.09,712569,$19.68,$19.87,$19.075
09/14/2023,$19.77,761156,$19.55,$19.8499,$19.37
09/13/2023,$19.48,636459,$19.60,$19.94,$19.41
09/12/2023,$19.74,619512,$19.83,$20.13,$19.701
09/11/2023,$19.83,1102065,$19.86,$20.20,$19.41
09/08/2023,$20.01,1477390,$19.66,$20.63,$19.65
09/07/2023,$19.74,1044529,$19.52,$20.10,$19.50
09/06/2023,$19.77,3361724,$19.81,$20.1486,$18.62
09/05/2023,$19.35,7521044,$20.90,$21.4719,$18.50
09/01/2023,$23.66,726644,$22.89,$23.75,$22.69
08/31/2023,$22.81,580347,$23.37,$23.37,$22.565
08/30/2023,$23.15,440430,$23.01,$23.21,$22.79
08/29/2023,$23.08,487483,$23.50,$23.69,$23.055
08/28/2023,$23.50,527578,$23.35,$23.63,$23.1981
08/25/2023,$23.37,584356,$23.46,$23.55,$23.1249
08/24/2023,$23.06,820089,$23.26,$23.44,$22.75
08/23/2023,$23.38,1750498,$22.70,$23.39,$22.54
08/22/2023,$21.80,365798,$21.90,$21.95,$21.63
08/21/2023,$21.83,488492,$22.21,$22.38,$21.44
08/18/2023,$22.27,1043506,$22.00,$23.00,$21.92
08/17/2023,$23.06,477379,$23.19,$23.35,$22.8275
08/16/2023,$23.13,543410,$23.63,$23.63,$23.01
08/15/2023,$23.63,1688234,$23.87,$24.50,$22.82
08/14/2023,$24.18,2267268,$23.90,$24.60,$23.40
08/11/2023,$22.90,422927,$22.80,$23.01,$22.61
08/10/2023,$22.84,681605,$22.95,$23.49,$22.71
08/09/2023,$22.95,603437,$23.50,$23.63,$22.62
08/08/2023,$23.43,1276572,$23.22,$23.85,$22.70
08/07/2023,$23.44,3493422,$21.65,$23.46,$21.5401
08/04/2023,$20.48,632155,$20.28,$20.54,$20.03
08/03/2023,$20.12,659692,$20.25,$20.81,$19.89
08/02/2023,$20.46,2450117,$20.15,$20.92,$19.73
08/01/2023,$20.26,3358956,$22.01,$22.35,$19.75
07/31/2023,$22.16,823258,$22.42,$22.64,$22.08
07/28/2023,$22.52,901525,$22.17,$22.70,$22.05
07/27/2023,$22.01,486337,$22.37,$22.449,$21.90
07/26/2023,$22.27,856107,$22.23,$22.53,$22.10
07/25/2023,$22.31,777270,$22.02,$22.51,$21.83
07/24/2023,$22.26,927625,$21.70,$22.26,$21.37
07/21/2023,$21.62,1300891,$22.01,$22.05,$21.34
07/20/2023,$21.95,898353,$21.91,$22.24,$21.64
07/19/2023,$22.07,2998829,$23.55,$23.84,$21.78
07/18/2023,$23.64,1066223,$23.74,$24.5845,$23.48
07/17/2023,$23.65,1942487,$22.80,$24.23,$22.40
07/14/2023,$22.92,914063,$22.95,$23.2162,$22.79
07/13/2023,$22.95,757101,$23.10,$23.28,$22.50
07/12/2023,$22.92,973663,$22.75,$22.93,$22.38
07/11/2023,$22.75,1078293,$23.24,$23.50,$22.53
07/10/2023,$23.18,1208844,$24.09,$24.21,$22.98
07/07/2023,$24.26,1007027,$24.21,$24.55,$23.95
07/06/2023,$24.31,1343562,$24.12,$24.55,$23.54
07/05/2023,$24.46,2050277,$24.43,$25.09,$24.31
07/03/2023,$24.41,664947,$24.49,$24.685,$24.20
06/30/2023,$24.38,1280997,$24.87,$24.94,$24.21
06/29/2023,$24.57,2059940,$24.99,$24.99,$23.87
06/28/2023,$25.12,4219971,$23.60,$26.00,$23.3667
06/27/2023,$24.00,2426660,$22.26,$24.21,$21.43
06/26/2023,$22.35,1695941,$22.41,$22.79,$21.80
06/23/2023,$22.60,1459311,$22.99,$23.60,$22.56
06/22/2023,$23.08,1686016,$22.675,$23.73,$22.50
06/21/2023,$22.75,1592277,$22.53,$23.30,$22.52
06/20/2023,$22.50,2380548,$23.61,$23.63,$22.28
06/16/2023,$23.65,3345232,$24.905,$24.95,$23.45
06/15/2023,$24.81,12284140,$23.75,$26.64,$22.96
06/14/2023,$23.22,2833245,$22.50,$23.79,$22.35
06/13/2023,$22.90,9670300,$22.33,$23.17,$21.59
06/12/2023,$20.13,2059966,$19.16,$20.2298,$18.80
06/09/2023,$19.36,1640185,$18.50,$19.675,$18.50
06/08/2023,$18.48,1359062,$19.04,$19.2333,$18.3929
06/07/2023,$18.94,2033557,$19.25,$19.39,$18.61
06/06/2023,$18.41,1109031,$18.03,$18.68,$17.60
06/05/2023,$18.05,1232678,$18.60,$18.74,$18.03
06/02/2023,$18.82,1307802,$18.73,$18.88,$18.2801
06/01/2023,$18.58,1433245,$19.19,$19.21,$18.46
05/31/2023,$19.32,2595591,$18.62,$19.93,$18.19
05/30/2023,$18.68,1487996,$18.98,$19.21,$18.04
05/26/2023,$18.97,917875,$19.11,$19.66,$18.97
05/25/2023,$19.25,531156,$19.50,$19.52,$19.10
05/24/2023,$19.52,877846,$19.21,$19.54,$19.05
05/23/2023,$19.18,962437,$19.52,$19.64,$19.02
05/22/2023,$19.58,1729205,$18.63,$19.66,$18.47
05/19/2023,$18.72,1585129,$18.80,$19.48,$18.68
05/18/2023,$18.84,1492605,$19.05,$19.24,$18.55
05/17/2023,$19.16,2674362,$19.82,$20.25,$18.72
05/16/2023,$18.97,2054588,$18.85,$19.74,$18.55
05/15/2023,$18.85,1806736,$18.21,$18.94,$18.17
05/12/2023,$18.13,2621901,$18.40,$19.43,$17.2601
05/11/2023,$18.37,2236183,$18.88,$19.16,$18.05
05/10/2023,$20.30,1112778,$20.07,$20.70,$19.86
05/09/2023,$20.09,2063081,$19.10,$20.51,$18.83
05/08/2023,$18.72,901886,$19.09,$19.44,$18.68
05/05/2023,$19.07,1210199,$19.39,$19.53,$18.98
05/04/2023,$19.34,775173,$20.05,$20.20,$19.21
05/03/2023,$20.13,1045833,$19.05,$20.48,$18.85
05/02/2023,$19.17,858030,$19.40,$19.65,$19.08
05/01/2023,$19.14,2018655,$19.20,$19.53,$18.85
04/28/2023,$20.05,2248468,$20.50,$21.25,$19.90
04/27/2023,$20.60,1030727,$20.62,$21.02,$20.41
04/26/2023,$20.57,1274099,$21.20,$21.36,$20.36
04/25/2023,$21.00,683622,$21.52,$21.585,$20.965
04/24/2023,$21.53,809664,$21.00,$21.60,$20.92
04/21/2023,$21.01,1123975,$20.60,$21.31,$20.55
04/20/2023,$20.78,1526696,$20.30,$21.05,$20.01
04/19/2023,$20.45,880173,$20.59,$20.8585,$20.23
04/18/2023,$20.57,1731679,$19.80,$20.88,$19.76
04/17/2023,$19.68,5689040,$21.00,$21.22,$18.91
04/14/2023,$22.02,3104513,$23.01,$23.30,$21.48
04/13/2023,$23.13,1262002,$23.50,$23.78,$23.11
04/12/2023,$23.39,1309340,$22.53,$23.475,$22.44
04/11/2023,$22.69,1283858,$21.50,$22.72,$21.36
04/10/2023,$21.32,858020,$21.51,$21.87,$21.25
04/06/2023,$21.69,886318,$21.55,$21.7899,$21.31
04/05/2023,$21.46,1763315,$21.51,$22.41,$21.208
04/04/2023,$21.85,935517,$21.52,$21.95,$21.12
04/03/2023,$21.50,1391722,$22.00,$22.03,$21.24
03/31/2023,$22.15,1527379,$22.87,$22.87,$21.94
03/30/2023,$22.84,1681438,$22.50,$23.16,$22.00
03/29/2023,$22.40,1067706,$22.50,$22.86,$22.305
03/28/2023,$22.47,1485229,$22.22,$22.82,$21.97
03/27/2023,$22.28,3611605,$23.49,$23.49,$21.75
03/24/2023,$23.92,8774022,$23.86,$25.45,$23.13
03/23/2023,$23.76,3231178,$24.85,$25.1785,$23.2899
03/22/2023,$25.62,4528965,$24.50,$26.06,$24.22
03/21/2023,$24.02,2596132,$23.63,$24.33,$23.16
03/20/2023,$23.56,1785564,$22.50,$23.57,$22.50
03/17/2023,$22.14,2302791,$21.81,$22.47,$21.65
03/16/2023,$21.73,1473431,$20.95,$22.48,$20.65
03/15/2023,$21.09,2469018,$20.16,$21.65,$19.85
03/14/2023,$20.58,839647,$20.76,$20.89,$20.44
03/13/2023,$20.50,1354845,$19.87,$20.675,$19.66
03/10/2023,$20.09,2046117,$20.92,$20.92,$19.63
03/09/2023,$20.89,1054548,$21.66,$21.80,$20.665
03/08/2023,$21.78,765964,$21.49,$21.925,$21.25
03/07/2023,$21.48,812436,$22.01,$22.12,$21.16
03/06/2023,$21.93,1431360,$21.64,$22.0499,$21.24
03/03/2023,$21.34,1186768,$21.35,$21.57,$20.84
03/02/2023,$21.13,1476432,$20.38,$21.39,$20.38
