Date,Close/Last,Volume,Open,High,Low
12/15/2023,$18.29,53947860,$17.35,$18.32,$17.05
12/14/2023,$17.82,60551550,$16.74,$17.99,$16.42
12/13/2023,$16.76,63715260,$14.74,$16.86,$14.48
12/12/2023,$14.89,35579530,$14.75,$15.11,$14.45
12/11/2023,$14.65,59302890,$15.67,$15.68,$14.225
12/08/2023,$16.78,53071220,$15.60,$16.79,$15.56
12/07/2023,$15.51,41151850,$14.90,$15.68,$14.71
12/06/2023,$15.54,56390730,$15.65,$16.17,$15.30
12/05/2023,$15.28,77635500,$14.82,$16.07,$14.81
12/04/2023,$14.86,81617850,$15.33,$15.53,$14.07
12/01/2023,$13.70,57061490,$12.20,$13.70,$12.18
11/30/2023,$11.97,29942460,$12.31,$12.43,$11.91
11/29/2023,$12.40,42596280,$12.42,$12.63,$12.04
11/28/2023,$12.38,62545110,$11.66,$12.40,$11.55
11/27/2023,$11.28,38413450,$10.94,$11.645,$10.76
11/24/2023,$11.41,42385870,$11.04,$11.60,$10.85
11/22/2023,$10.92,50015260,$10.32,$10.98,$9.88
11/21/2023,$10.31,42923540,$10.35,$10.56,$9.96
11/20/2023,$10.64,55879610,$10.20,$10.83,$10.13
11/17/2023,$10.00,27699590,$9.81,$10.11,$9.51
11/16/2023,$9.76,39678360,$9.82,$9.94,$9.21
11/15/2023,$10.24,64345270,$9.34,$10.43,$9.16
11/14/2023,$9.17,37575380,$9.38,$9.60,$8.88
11/13/2023,$9.18,31332280,$9.42,$9.46,$8.84
11/10/2023,$9.61,42444230,$9.41,$9.66,$8.8757
11/09/2023,$9.23,90786630,$9.67,$10.481,$9.16
11/08/2023,$8.55,32485790,$9.03,$9.05,$8.385
11/07/2023,$9.18,32002150,$9.15,$9.25,$8.66
11/06/2023,$9.24,30637670,$9.65,$10.06,$9.02
11/03/2023,$9.41,43816550,$9.62,$9.96,$9.292
11/02/2023,$9.86,41686650,$9.35,$9.865,$9.09
11/01/2023,$8.92,31215340,$9.00,$9.05,$8.51
10/31/2023,$8.81,22365560,$8.71,$8.975,$8.42
10/30/2023,$8.85,31761780,$9.20,$9.57,$8.61
10/27/2023,$8.86,27482800,$9.20,$9.40,$8.8181
10/26/2023,$8.99,32254610,$9.20,$9.5201,$8.78
10/25/2023,$9.47,53992940,$9.70,$10.08,$9.28
10/24/2023,$9.76,95449850,$9.89,$10.72,$9.35
10/23/2023,$8.75,63932620,$8.061,$9.02,$7.74
10/20/2023,$7.76,36236440,$7.95,$8.38,$7.6912
10/19/2023,$7.71,31017160,$8.00,$8.08,$7.625
10/18/2023,$7.74,28486950,$8.38,$8.65,$7.65
10/17/2023,$8.45,30035030,$7.98,$8.74,$7.91
10/16/2023,$8.10,52441560,$8.54,$8.94,$7.87
10/13/2023,$7.71,18436500,$8.04,$8.07,$7.55
10/12/2023,$7.78,17753950,$7.85,$8.13,$7.6701
10/11/2023,$7.90,28534790,$8.18,$8.30,$7.725
10/10/2023,$8.46,25100580,$8.26,$8.85,$8.23
10/09/2023,$8.36,27156350,$7.64,$8.38,$7.60
10/06/2023,$8.08,30916910,$7.20,$8.18,$7.16
10/05/2023,$7.42,25668980,$7.60,$7.88,$7.33
10/04/2023,$7.54,25114440,$7.47,$7.58,$7.18
10/03/2023,$7.30,33702910,$8.30,$8.41,$7.22
10/02/2023,$8.53,42145540,$9.20,$9.688,$8.51
09/29/2023,$8.50,20212700,$8.71,$8.88,$8.39
09/28/2023,$8.57,24186660,$8.06,$8.89,$7.93
09/27/2023,$8.01,22627050,$8.39,$8.55,$7.91
09/26/2023,$8.25,16815780,$8.46,$8.68,$8.22
09/25/2023,$8.56,19232030,$8.48,$8.89,$8.42
09/22/2023,$8.67,17195690,$9.17,$9.28,$8.655
09/21/2023,$9.16,16611240,$8.85,$9.30,$8.765
