Date,Close/Last,Volume,Open,High,Low
01/05/2024,$65.03,1529497,$64.02,$65.37,$63.86
01/04/2024,$64.23,2584101,$63.60,$64.8989,$63.60
01/03/2024,$64.27,3261782,$65.57,$65.81,$64.19
01/02/2024,$66.57,1879156,$66.33,$67.25,$65.64
12/29/2023,$66.98,1078957,$66.92,$67.41,$66.78
12/28/2023,$67.17,995111,$67.35,$67.44,$66.79
12/27/2023,$67.28,883505,$67.35,$67.60,$67.10
12/26/2023,$67.27,1055879,$67.21,$67.39,$66.95
12/22/2023,$67.22,1146995,$67.69,$67.69,$67.08
12/21/2023,$67.38,1683508,$67.74,$68.06,$66.53
12/20/2023,$67.04,1675459,$68.05,$68.61,$66.995
12/19/2023,$68.10,1558178,$68.45,$68.51,$67.84
12/18/2023,$67.95,1770469,$69.04,$69.04,$67.59
12/15/2023,$68.64,4637450,$68.92,$69.66,$68.24
12/14/2023,$69.32,3012222,$67.34,$69.58,$67.25
12/13/2023,$66.31,2018728,$64.34,$66.67,$64.06
12/12/2023,$64.34,1171007,$64.35,$64.67,$64.13
12/11/2023,$63.98,1232917,$64.12,$64.36,$63.82
12/08/2023,$64.00,1094274,$63.53,$64.175,$63.445
12/07/2023,$63.39,1185785,$63.42,$63.55,$62.95
12/06/2023,$63.43,1294219,$62.78,$63.75,$62.78
12/05/2023,$62.28,1228169,$62.24,$62.59,$61.91
12/04/2023,$62.44,1687733,$61.99,$62.8352,$61.82
12/01/2023,$62.16,1402916,$60.54,$62.21,$60.4542
11/30/2023,$60.55,2847812,$60.38,$60.91,$59.72
11/29/2023,$60.37,1176076,$60.28,$60.88,$60.09
11/28/2023,$59.49,1284923,$59.54,$59.88,$58.91
11/27/2023,$59.78,1898573,$59.08,$60.06,$59.00
11/24/2023,$59.19,377629,$59.01,$59.435,$59.01
11/22/2023,$59.28,1047571,$59.56,$59.79,$58.89
11/21/2023,$59.04,2019584,$59.67,$59.88,$58.90
11/20/2023,$60.17,1222880,$59.99,$60.29,$59.55
11/17/2023,$60.11,1382126,$59.72,$60.12,$59.68
11/16/2023,$59.37,1558685,$59.37,$59.91,$59.185
11/15/2023,$59.24,1692921,$59.21,$60.115,$59.11
11/14/2023,$59.09,2853494,$57.38,$59.45,$57.18
11/13/2023,$55.62,1457008,$55.81,$55.99,$55.43
11/10/2023,$56.17,1486013,$55.93,$56.225,$55.39
11/09/2023,$55.49,2677538,$56.45,$56.45,$55.125
11/08/2023,$56.42,2637544,$55.09,$56.48,$55.09
11/07/2023,$55.19,1580329,$54.73,$55.36,$54.675
11/06/2023,$54.64,1432904,$54.80,$55.10,$54.55
11/03/2023,$55.09,2564523,$54.89,$55.99,$54.82
11/02/2023,$53.87,1912115,$53.44,$54.41,$53.44
11/01/2023,$52.71,2248520,$52.07,$52.755,$51.72
10/31/2023,$52.09,1984426,$52.00,$52.23,$51.73
10/30/2023,$51.83,2214503,$51.52,$52.26,$50.983
10/27/2023,$51.04,2745881,$51.87,$51.88,$50.31
10/26/2023,$51.53,4388318,$51.96,$53.16,$49.24
10/25/2023,$48.33,3873908,$48.47,$48.65,$47.66
10/24/2023,$49.14,2016406,$50.26,$50.46,$49.10
10/23/2023,$49.78,1400933,$49.15,$50.27,$49.03
10/20/2023,$49.88,1483683,$50.17,$50.52,$49.81
10/19/2023,$50.12,1806204,$50.52,$51.11,$50.005
10/18/2023,$50.79,1981637,$51.38,$51.66,$50.78
10/17/2023,$52.55,1412303,$52.07,$53.31,$52.07
10/16/2023,$52.52,1275629,$51.98,$52.61,$51.295
10/13/2023,$51.12,1117032,$51.60,$51.88,$50.77
10/12/2023,$51.62,1827042,$52.70,$52.91,$50.54
10/11/2023,$53.63,1486294,$52.72,$53.78,$52.63
10/10/2023,$52.63,1559328,$52.20,$53.38,$51.98
10/09/2023,$52.21,1617097,$51.85,$52.59,$51.18
10/06/2023,$52.20,2058417,$51.43,$52.95,$51.43
10/05/2023,$52.22,1511005,$52.18,$52.775,$51.90
10/04/2023,$52.29,1864825,$51.87,$52.3799,$51.295
10/03/2023,$51.65,1618080,$52.39,$52.51,$51.31
10/02/2023,$52.58,1803321,$53.02,$53.57,$52.45
09/29/2023,$53.45,1610035,$54.54,$54.755,$53.29
09/28/2023,$54.32,1619590,$53.29,$54.6798,$53.14
09/27/2023,$53.21,1270190,$53.23,$53.81,$52.78
09/26/2023,$52.63,1177465,$52.56,$53.47,$52.56
09/25/2023,$53.28,1130465,$52.71,$53.59,$52.71
09/22/2023,$53.09,1239837,$53.84,$54.08,$52.80
09/21/2023,$53.59,1933180,$54.05,$54.19,$53.54
09/20/2023,$54.57,1560919,$55.76,$56.29,$54.53
09/19/2023,$55.46,1867315,$54.80,$55.5636,$54.605
09/18/2023,$55.02,1362398,$54.78,$55.31,$54.48
09/15/2023,$54.67,3303580,$55.39,$55.42,$54.48
09/14/2023,$55.88,1363565,$55.82,$56.275,$55.49
09/13/2023,$55.48,1560072,$55.83,$56.10,$54.96
09/12/2023,$55.84,1437237,$56.51,$56.60,$55.57
09/11/2023,$56.64,1718839,$56.95,$57.39,$56.53
09/08/2023,$56.23,1698886,$56.63,$57.16,$56.145
09/07/2023,$56.72,1841911,$57.45,$57.64,$56.33
09/06/2023,$57.68,2104762,$57.13,$58.177,$56.948
09/05/2023,$57.28,2092907,$59.38,$59.38,$57.26
09/01/2023,$59.72,1211869,$59.40,$60.00,$59.40
08/31/2023,$59.01,1692963,$58.97,$59.535,$58.83
08/30/2023,$58.82,1196902,$58.36,$59.107,$58.36
08/29/2023,$58.35,1454511,$56.72,$58.37,$56.54
08/28/2023,$56.80,1156846,$56.85,$57.27,$56.36
08/25/2023,$56.66,1325058,$56.77,$56.97,$55.46
08/24/2023,$56.54,886623,$56.70,$57.19,$56.425
08/23/2023,$57.04,936707,$56.58,$57.12,$56.37
08/22/2023,$56.11,1467660,$56.50,$56.98,$56.025
08/21/2023,$56.13,1010885,$56.85,$57.13,$55.72
08/18/2023,$56.79,2016855,$56.24,$57.32,$56.24
08/17/2023,$56.45,1600413,$58.09,$58.31,$56.34
08/16/2023,$57.99,1225532,$59.18,$59.45,$57.95
08/15/2023,$59.01,1014645,$59.10,$59.43,$58.79
08/14/2023,$59.24,959139,$58.79,$59.26,$58.44
08/11/2023,$58.62,944878,$58.79,$59.19,$58.52
08/10/2023,$58.81,1933889,$59.18,$59.76,$58.38
08/09/2023,$59.33,930942,$59.73,$59.91,$59.18
08/08/2023,$59.82,964963,$59.41,$59.85,$58.55
08/07/2023,$60.12,967412,$59.51,$60.18,$59.51
08/04/2023,$59.38,1230954,$59.63,$60.16,$59.17
08/03/2023,$59.32,2327975,$60.40,$60.44,$58.98
08/02/2023,$60.54,1553773,$60.75,$60.88,$60.17
08/01/2023,$61.45,1153093,$60.54,$61.47,$60.45
07/31/2023,$60.68,1891683,$61.49,$61.64,$60.15
07/28/2023,$61.25,2189933,$63.15,$63.30,$60.86
07/27/2023,$62.01,4783693,$62.47,$63.855,$61.69
07/26/2023,$61.61,3187670,$60.43,$61.72,$60.365
07/25/2023,$60.56,2480022,$59.15,$60.88,$59.15
07/24/2023,$59.38,2209055,$59.76,$60.285,$59.13
07/21/2023,$59.24,1799568,$59.91,$60.01,$59.02
07/20/2023,$59.72,1699176,$60.56,$60.60,$59.42
07/19/2023,$60.57,1439348,$60.72,$60.97,$60.12
07/18/2023,$60.78,1546517,$60.31,$61.27,$60.31
07/17/2023,$60.47,1410497,$59.88,$60.725,$59.48
07/14/2023,$59.98,1722813,$60.18,$60.18,$59.325
07/13/2023,$60.06,2071655,$59.33,$60.15,$59.15
07/12/2023,$59.01,2439729,$58.82,$59.435,$58.16
07/11/2023,$57.77,1965355,$57.24,$58.1506,$56.93
07/10/2023,$56.85,1686359,$55.05,$56.90,$54.96
07/07/2023,$55.21,2348717,$55.18,$56.14,$55.09
07/06/2023,$55.20,1860382,$55.59,$55.64,$54.781
07/05/2023,$56.15,1960082,$56.46,$56.76,$56.025
07/03/2023,$56.85,909592,$56.90,$57.19,$56.66
06/30/2023,$57.38,2098965,$57.93,$57.93,$57.21
06/29/2023,$57.34,1441622,$56.60,$57.39,$56.36
06/28/2023,$56.79,2088435,$56.96,$57.36,$56.56
06/27/2023,$57.00,2239913,$55.79,$57.43,$55.76
06/26/2023,$55.46,1875991,$55.46,$56.07,$55.04
06/23/2023,$55.26,1625805,$54.94,$55.53,$54.70
06/22/2023,$55.39,1417440,$56.08,$56.08,$55.12
06/21/2023,$56.17,1318370,$55.84,$56.39,$55.565
06/20/2023,$56.01,1846601,$55.22,$56.37,$55.075
06/16/2023,$55.50,3488060,$56.04,$56.24,$55.20
06/15/2023,$56.02,1168072,$55.37,$56.19,$55.295
06/14/2023,$55.29,1793550,$56.10,$56.505,$54.72
06/13/2023,$55.93,1371376,$55.10,$56.15,$55.10
06/12/2023,$55.14,1800331,$54.06,$55.50,$53.89
06/09/2023,$53.96,1652483,$54.48,$54.66,$53.71
06/08/2023,$54.65,2020927,$54.84,$55.17,$54.38
06/07/2023,$54.85,4018805,$53.15,$55.19,$53.15
06/06/2023,$53.05,2378238,$50.92,$53.14,$50.92
06/05/2023,$50.89,1102412,$51.21,$51.30,$50.70
06/02/2023,$51.47,1804833,$49.67,$51.525,$49.60
06/01/2023,$49.06,1454932,$48.56,$49.11,$47.99
05/31/2023,$48.32,3193338,$49.84,$49.95,$48.245
05/30/2023,$49.99,871753,$50.84,$51.07,$49.81
05/26/2023,$50.77,1175493,$50.30,$50.78,$49.79
05/25/2023,$50.23,2138136,$50.25,$50.50,$49.73
05/24/2023,$50.28,2233660,$51.25,$51.42,$50.18
05/23/2023,$51.12,1058758,$51.56,$51.78,$51.00
05/22/2023,$52.05,890859,$52.47,$52.705,$51.985
05/19/2023,$52.55,1043979,$54.07,$54.07,$52.39
05/18/2023,$53.60,1181364,$52.78,$53.69,$52.52
05/17/2023,$52.85,1331086,$51.64,$52.95,$51.45
05/16/2023,$51.44,2048856,$51.78,$51.785,$50.33
05/15/2023,$52.37,1163818,$51.91,$52.66,$51.56
05/12/2023,$52.00,1641821,$52.64,$52.93,$51.34
05/11/2023,$52.58,1284577,$52.91,$53.03,$52.32
05/10/2023,$53.24,993681,$54.08,$54.40,$52.59
05/09/2023,$53.76,962529,$53.80,$54.00,$53.48
05/08/2023,$53.90,1247033,$53.66,$54.005,$53.11
05/05/2023,$53.45,1440126,$53.21,$53.68,$52.93
05/04/2023,$52.73,1615070,$53.73,$53.81,$52.47
05/03/2023,$53.76,1416298,$53.62,$54.51,$53.49
05/02/2023,$53.33,2294295,$53.42,$53.51,$52.45
05/01/2023,$53.36,1558231,$53.43,$54.00,$53.00
04/28/2023,$53.51,1979687,$53.90,$54.03,$52.98
04/27/2023,$52.89,2416688,$51.88,$52.94,$51.72
04/26/2023,$50.85,6257360,$52.72,$54.88,$50.60
04/25/2023,$50.24,2639620,$50.99,$51.29,$50.24
04/24/2023,$51.03,1837104,$51.03,$51.19,$50.48
04/21/2023,$50.79,1445254,$51.25,$51.76,$50.485
04/20/2023,$51.00,2880424,$50.36,$51.68,$50.085
04/19/2023,$50.27,2638539,$49.73,$50.32,$49.38
04/18/2023,$50.06,1787011,$49.62,$50.185,$49.39
04/17/2023,$49.39,1321131,$48.75,$49.40,$48.56
04/14/2023,$48.64,1230510,$48.65,$49.24,$48.29
04/13/2023,$48.77,1448930,$48.46,$48.9478,$47.87
04/12/2023,$48.39,1705449,$49.05,$49.21,$48.125
04/11/2023,$48.49,3247029,$48.11,$48.85,$47.855
04/10/2023,$47.51,2652976,$46.90,$47.93,$46.77
04/06/2023,$47.04,1716845,$47.27,$47.37,$46.69
