Date,Close/Last,Volume,Open,High,Low
01/05/2024,$41.27,150600,$40.03,$41.41,$40.03
01/04/2024,$40.31,106679,$40.52,$40.74,$40.275
01/03/2024,$40.27,124729,$41.42,$41.475,$40.185
01/02/2024,$41.62,99437,$42.06,$42.34,$41.3807
12/29/2023,$42.58,90720,$43.11,$43.11,$42.45
12/28/2023,$43.24,60889,$43.45,$43.89,$43.15
12/27/2023,$43.31,106744,$43.20,$43.49,$42.93
12/26/2023,$43.19,100052,$42.26,$43.34,$42.0152
12/22/2023,$41.88,93423,$42.30,$42.50,$41.67
12/21/2023,$41.92,181855,$41.58,$42.04,$41.57
12/20/2023,$41.33,157627,$41.83,$42.68,$41.33
12/19/2023,$41.71,239617,$40.75,$41.71,$40.48
12/18/2023,$40.48,163667,$40.22,$40.645,$39.53
12/15/2023,$40.25,244105,$40.16,$40.9799,$39.5201
12/14/2023,$39.99,165813,$39.82,$40.35,$39.40
12/13/2023,$39.12,175136,$37.43,$39.15,$37.43
12/12/2023,$37.38,133498,$37.19,$37.5775,$36.89
12/11/2023,$36.97,104326,$37.40,$37.40,$36.4801
12/08/2023,$37.00,147305,$36.38,$37.135,$36.25
12/07/2023,$36.11,143309,$35.14,$36.15,$34.82
12/06/2023,$34.88,196100,$35.28,$35.75,$34.74
12/05/2023,$35.25,138140,$34.70,$35.59,$34.70
12/04/2023,$34.67,188134,$34.14,$34.75,$33.69
12/01/2023,$34.28,72169,$33.55,$34.40,$33.0506
11/30/2023,$33.65,63405,$33.89,$34.09,$33.55
11/29/2023,$33.77,67144,$33.48,$34.03,$33.35
11/28/2023,$33.39,117496,$32.99,$33.58,$32.52
11/27/2023,$32.88,63740,$33.55,$33.57,$32.83
11/24/2023,$33.69,31872,$33.88,$33.88,$33.47
11/22/2023,$33.72,130926,$33.73,$34.20,$33.38
11/21/2023,$33.48,121848,$33.48,$33.97,$32.98
11/20/2023,$33.49,235352,$33.15,$33.80,$32.88
11/17/2023,$33.10,279595,$32.88,$33.98,$32.70
11/16/2023,$32.60,140966,$32.90,$32.90,$32.56
11/15/2023,$32.88,253310,$32.49,$33.28,$32.42
11/14/2023,$32.28,728719,$32.00,$32.66,$31.84
11/13/2023,$31.66,46093,$31.59,$31.84,$31.30
11/10/2023,$31.60,57469,$31.65,$31.86,$31.33
11/09/2023,$31.45,64931,$31.86,$31.86,$31.24
11/08/2023,$31.67,68308,$31.77,$31.78,$31.26
