Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.49,19179450,$30.92,$31.25,$29.38
01/04/2024,$29.97,43103090,$28.33,$30.94,$28.19
01/03/2024,$39.72,2496047,$40.01,$40.58,$39.335
01/02/2024,$41.34,1709560,$42.83,$43.40,$40.86
12/29/2023,$43.32,1950975,$43.89,$44.28,$42.9845
12/28/2023,$43.84,1567612,$43.97,$44.48,$43.22
12/27/2023,$43.97,1340287,$43.85,$44.16,$43.12
12/26/2023,$43.85,994527,$43.00,$43.885,$42.8001
12/22/2023,$42.95,1343999,$43.15,$43.90,$42.58
12/21/2023,$42.91,1936621,$42.47,$42.95,$41.66
12/20/2023,$42.15,2504247,$41.76,$42.53,$41.58
12/19/2023,$42.22,1404762,$41.86,$42.8125,$41.75
12/18/2023,$41.49,2277721,$42.00,$42.005,$40.56
12/15/2023,$41.96,3161569,$42.45,$43.005,$41.30
12/14/2023,$42.30,2452787,$41.10,$42.37,$41.10
12/13/2023,$41.08,2227860,$40.30,$41.10,$38.68
12/12/2023,$40.35,1367891,$41.05,$41.19,$40.03
12/11/2023,$41.07,1688167,$40.00,$41.50,$39.73
12/08/2023,$40.21,5743632,$40.62,$41.98,$40.11
12/07/2023,$40.22,1610381,$40.00,$40.71,$39.60
12/06/2023,$39.75,1452174,$40.62,$41.35,$39.65
12/05/2023,$39.89,1764699,$39.62,$40.575,$39.5944
12/04/2023,$39.72,1778125,$38.90,$40.40,$38.84
12/01/2023,$39.27,2726041,$40.69,$40.974,$39.18
11/30/2023,$41.05,1674929,$41.37,$41.795,$40.52
11/29/2023,$41.38,1384821,$42.41,$42.41,$41.03
11/28/2023,$41.69,2274281,$42.50,$42.50,$41.13
11/27/2023,$42.66,1255894,$43.11,$43.61,$42.4975
11/24/2023,$43.56,570827,$43.00,$43.8316,$42.94
11/22/2023,$43.40,1397011,$42.96,$43.96,$42.46
11/21/2023,$42.68,1258513,$41.43,$42.90,$40.985
11/20/2023,$41.81,3116769,$41.50,$43.11,$41.49
11/17/2023,$41.50,1331449,$41.17,$41.77,$40.69
11/16/2023,$41.01,1833633,$40.195,$41.19,$40.05
11/15/2023,$40.74,1747706,$40.38,$41.33,$39.97
11/14/2023,$40.14,2193236,$39.53,$41.03,$39.485
11/13/2023,$38.37,1640068,$37.55,$38.49,$36.685
11/10/2023,$37.34,1440755,$36.88,$37.49,$36.4426
11/09/2023,$36.14,1325685,$37.04,$37.275,$35.99
11/08/2023,$36.66,968803,$37.00,$37.67,$36.18
11/07/2023,$36.97,1310350,$36.85,$37.28,$36.03
11/06/2023,$36.53,1171172,$37.26,$37.30,$35.545
11/03/2023,$36.80,2130516,$37.87,$38.07,$36.15
11/02/2023,$36.45,1280698,$36.03,$37.48,$36.03
11/01/2023,$35.77,1803675,$35.80,$36.35,$34.86
10/31/2023,$35.67,2520585,$34.49,$36.14,$34.02
10/30/2023,$33.82,3079061,$35.54,$35.8596,$33.01
10/27/2023,$35.05,2904299,$36.58,$36.81,$34.79
10/26/2023,$36.42,4992581,$36.00,$37.84,$35.87
10/25/2023,$33.96,3059158,$34.87,$35.39,$33.75
10/24/2023,$35.39,2229325,$34.99,$35.71,$34.79
10/23/2023,$34.92,1615355,$35.05,$35.745,$34.80
10/20/2023,$35.55,1627559,$34.80,$35.76,$34.62
10/19/2023,$35.01,1802254,$35.80,$36.19,$34.304
10/18/2023,$35.85,2870522,$36.36,$36.83,$35.83
10/17/2023,$36.61,2563790,$35.68,$37.05,$35.11
10/16/2023,$35.82,2088869,$35.05,$36.21,$35.05
10/13/2023,$34.56,4695601,$36.36,$36.61,$33.26
10/12/2023,$36.34,3502705,$37.02,$38.17,$36.01
10/11/2023,$36.98,3647428,$39.95,$40.2597,$36.8825
10/10/2023,$39.79,1853367,$39.35,$40.6059,$39.02
10/09/2023,$39.29,4506598,$39.59,$40.00,$37.85
10/06/2023,$41.49,3517897,$40.11,$41.81,$39.87
10/05/2023,$40.58,2513658,$41.00,$41.45,$39.81
10/04/2023,$41.11,1721002,$40.10,$41.13,$39.4254
