Date,Close/Last,Volume,Open,High,Low
10/23/2023,$450.00,513363,$452.00,$454.31,$448.01
10/20/2023,$452.81,865228,$454.15,$456.105,$450.22
10/19/2023,$453.27,600745,$455.72,$457.56,$450.41
10/18/2023,$455.72,569827,$457.84,$460.09,$454.755
10/17/2023,$455.25,696261,$455.30,$458.41,$453.49
10/16/2023,$455.29,900095,$463.56,$465.90,$454.25
10/13/2023,$462.56,843065,$461.00,$463.445,$456.54
10/12/2023,$459.22,1104974,$457.39,$461.32,$454.97
10/11/2023,$456.66,953965,$453.70,$457.615,$446.49
10/10/2023,$454.51,751538,$450.48,$454.61,$447.225
10/09/2023,$451.78,495744,$445.00,$451.78,$442.06
10/06/2023,$445.29,606221,$445.77,$449.68,$443.9525
10/05/2023,$445.80,713431,$444.92,$448.05,$444.11
10/04/2023,$442.03,665909,$438.63,$443.735,$437.12
10/03/2023,$438.49,463891,$435.89,$440.47,$435.89
10/02/2023,$437.42,492228,$433.55,$439.21,$433.1001
09/29/2023,$434.85,682147,$440.41,$441.97,$434.57
09/28/2023,$442.04,694570,$444.50,$446.39,$441.961
09/27/2023,$444.38,953737,$443.05,$446.39,$439.90
09/26/2023,$443.03,816562,$445.85,$446.865,$440.66
09/25/2023,$446.42,998979,$439.66,$446.95,$439.60
09/22/2023,$438.66,961535,$437.02,$441.21,$435.905
09/21/2023,$438.24,840296,$439.83,$442.22,$437.88
09/20/2023,$439.86,1037787,$434.00,$444.80,$434.00
09/19/2023,$432.07,677568,$430.32,$432.855,$428.50
09/18/2023,$427.29,553582,$422.15,$428.00,$422.15
09/15/2023,$420.13,1133703,$418.03,$422.765,$418.03
09/14/2023,$419.60,453224,$420.48,$422.7246,$417.65
09/13/2023,$420.48,416448,$423.21,$426.005,$420.001
09/12/2023,$422.10,515722,$423.00,$424.81,$419.95
09/11/2023,$423.90,541899,$420.74,$426.8252,$420.045
09/08/2023,$420.78,869730,$418.36,$425.49,$418.07
09/07/2023,$418.62,742551,$414.59,$421.81,$412.635
09/06/2023,$411.25,818838,$407.00,$412.77,$405.50
09/05/2023,$407.13,751609,$411.49,$411.49,$404.72
09/01/2023,$412.34,543735,$413.29,$417.06,$411.53
08/31/2023,$412.32,873127,$420.69,$423.22,$412.25
08/30/2023,$421.60,606753,$423.66,$424.61,$419.955
08/29/2023,$421.68,631435,$423.81,$424.545,$419.99
08/28/2023,$423.40,1082815,$423.43,$425.13,$421.885
08/25/2023,$423.30,578313,$424.78,$426.00,$421.94
08/24/2023,$423.35,529142,$421.08,$425.68,$421.08
08/23/2023,$421.29,594602,$419.31,$422.735,$418.49
08/22/2023,$418.39,590221,$424.84,$426.65,$417.90
08/21/2023,$425.85,863138,$420.00,$427.60,$419.02
08/18/2023,$420.43,833351,$415.62,$422.04,$413.53
08/17/2023,$416.95,1178971,$421.91,$422.145,$414.35
08/16/2023,$429.62,634290,$431.71,$433.70,$428.635
08/15/2023,$430.91,625151,$439.03,$439.53,$430.67
08/14/2023,$438.00,829923,$439.96,$440.64,$435.305
