Date,Close/Last,Volume,Open,High,Low
10/20/2023,$72.70,8399348,$72.46,$73.205,$72.01
10/19/2023,$72.35,7048594,$72.64,$72.86,$71.7004
10/18/2023,$72.70,7900724,$73.75,$73.94,$72.23
10/17/2023,$72.81,7936366,$71.50,$73.24,$71.33
10/16/2023,$71.75,9083720,$72.15,$72.74,$71.30
10/13/2023,$71.96,8169002,$71.26,$72.315,$70.97
10/12/2023,$71.29,10503290,$73.20,$73.41,$70.95
10/11/2023,$72.89,8881174,$75.69,$75.89,$72.41
10/10/2023,$76.18,6319652,$74.88,$76.56,$74.87
10/09/2023,$75.13,7825497,$75.66,$75.87,$74.3544
10/06/2023,$76.12,6762177,$75.60,$76.51,$74.95
10/05/2023,$76.15,7235932,$76.38,$76.78,$75.495
10/04/2023,$76.27,7115526,$76.92,$77.04,$75.82
10/03/2023,$76.54,5741007,$77.28,$77.385,$76.00
10/02/2023,$77.77,4517059,$77.90,$77.95,$77.115
09/29/2023,$78.36,6308865,$79.18,$80.31,$77.84
09/28/2023,$78.69,5354099,$78.34,$79.11,$78.2867
09/27/2023,$78.22,7418382,$79.05,$79.15,$77.435
09/26/2023,$78.95,5166964,$78.92,$79.49,$78.62
09/25/2023,$79.97,3799682,$80.00,$80.26,$79.51
09/22/2023,$80.27,5067970,$80.55,$80.77,$80.20
09/21/2023,$80.46,5620854,$80.61,$81.165,$80.19
09/20/2023,$81.48,5845709,$83.00,$83.10,$81.28
09/19/2023,$82.63,4655508,$82.84,$82.99,$81.78
09/18/2023,$82.80,5829589,$82.25,$83.64,$82.11
09/15/2023,$81.77,9072482,$82.00,$82.39,$81.57
09/14/2023,$81.96,5924239,$81.76,$82.38,$81.70
09/13/2023,$81.32,3521012,$81.25,$81.3995,$80.59
09/12/2023,$80.98,3328628,$81.58,$81.77,$80.785
09/11/2023,$81.40,4763674,$80.33,$81.53,$80.11
09/08/2023,$79.96,4208713,$79.57,$80.09,$79.415
09/07/2023,$79.93,4276553,$80.90,$81.20,$79.80
09/06/2023,$80.71,6795477,$79.64,$81.10,$78.92
09/05/2023,$80.20,5612119,$81.88,$82.02,$80.165
09/01/2023,$82.13,4238872,$82.11,$82.34,$81.519
08/31/2023,$81.50,4423232,$82.40,$82.72,$81.50
08/30/2023,$82.31,3881261,$82.37,$82.67,$81.89
08/29/2023,$82.08,3757915,$81.69,$82.10,$81.275
08/28/2023,$81.39,4308678,$82.79,$83.31,$81.04
08/25/2023,$82.19,4441640,$81.52,$82.49,$81.23
08/24/2023,$81.06,6765265,$82.81,$83.38,$81.00
08/23/2023,$83.68,5268336,$84.67,$84.94,$83.31
08/22/2023,$83.72,10016310,$82.61,$84.78,$82.50
08/21/2023,$81.61,4721954,$81.73,$82.29,$81.23
08/18/2023,$81.52,5205720,$81.38,$81.88,$81.29
08/17/2023,$81.56,4848255,$82.29,$82.35,$81.41
08/16/2023,$81.57,4222163,$82.48,$82.925,$81.56
08/15/2023,$82.84,3842365,$82.97,$83.32,$82.605
08/14/2023,$83.16,3296041,$83.38,$83.66,$83.04
08/11/2023,$83.45,3596218,$82.86,$83.70,$82.75
08/10/2023,$83.12,4128750,$83.40,$83.8699,$83.015
08/09/2023,$82.94,4535998,$82.27,$83.67,$82.14
08/08/2023,$82.24,8227639,$83.87,$84.07,$81.55
08/07/2023,$84.72,3361614,$84.38,$84.80,$84.24
08/04/2023,$84.04,5346634,$84.11,$85.00,$83.69
08/03/2023,$84.49,4414087,$85.00,$85.305,$84.43
08/02/2023,$85.46,5507361,$87.08,$87.34,$85.255
08/01/2023,$87.68,3514290,$87.30,$87.83,$87.20
07/31/2023,$87.76,5786819,$88.64,$88.64,$87.39
07/28/2023,$88.25,3446728,$88.95,$89.26,$88.20
07/27/2023,$88.51,4654787,$91.00,$91.00,$88.49
07/26/2023,$90.40,5472555,$88.56,$90.54,$88.51
07/25/2023,$88.96,3116216,$88.45,$89.175,$88.07
07/24/2023,$88.76,3930279,$89.09,$89.56,$88.75
07/21/2023,$88.96,4673985,$89.70,$89.98,$88.92
07/20/2023,$89.35,5982106,$87.25,$89.49,$87.125
07/19/2023,$86.12,4796836,$86.35,$87.01,$85.97
07/18/2023,$86.60,5697036,$86.13,$86.63,$84.10
07/17/2023,$86.71,4468963,$87.56,$87.85,$86.69
07/14/2023,$87.65,4394366,$87.97,$88.17,$87.22
07/13/2023,$88.05,4492649,$87.50,$88.34,$87.08
07/12/2023,$87.57,3847422,$87.81,$88.007,$87.27
07/11/2023,$87.29,2888352,$86.32,$87.33,$86.12
07/10/2023,$86.45,3234860,$86.15,$86.83,$86.08
07/07/2023,$85.89,5094806,$85.70,$86.67,$85.63
07/06/2023,$86.07,3910075,$86.28,$86.40,$85.43
