Date,Close/Last,Volume,Open,High,Low
10/20/2023,$86.55,2555438,$86.71,$87.32,$86.39
10/19/2023,$87.06,3066337,$88.00,$88.81,$87.021
10/18/2023,$88.40,2687377,$89.72,$89.80,$88.1317
10/17/2023,$90.55,2120204,$89.17,$91.04,$89.08
10/16/2023,$89.94,2664755,$88.92,$90.135,$88.55
10/13/2023,$88.68,2349556,$89.20,$89.85,$88.26
10/12/2023,$89.02,2338045,$90.53,$90.53,$88.46
10/11/2023,$90.39,2121244,$90.80,$90.98,$89.75
10/10/2023,$90.64,3708862,$90.00,$90.99,$89.21
10/09/2023,$89.05,2359835,$88.07,$89.08,$87.951
10/06/2023,$88.40,4458087,$87.40,$89.21,$86.33
10/05/2023,$87.83,4860196,$88.00,$88.24,$86.55
10/04/2023,$88.02,6521346,$88.60,$88.86,$87.31
10/03/2023,$88.79,5375110,$89.75,$89.94,$88.155
10/02/2023,$90.22,8213621,$92.65,$92.83,$89.31
09/29/2023,$93.62,3044072,$94.00,$94.34,$93.35
09/28/2023,$93.26,4083450,$93.05,$93.84,$92.41
09/27/2023,$93.46,3067848,$94.13,$94.368,$93.09
09/26/2023,$93.88,3478186,$94.36,$95.11,$93.62
09/25/2023,$94.79,4444241,$96.57,$96.90,$93.7616
09/22/2023,$97.04,3489187,$97.59,$97.80,$96.60
09/21/2023,$97.49,3556802,$98.55,$99.22,$97.40
09/20/2023,$98.99,2457435,$100.05,$100.895,$98.98
09/19/2023,$100.23,2669577,$101.01,$101.25,$99.87
09/18/2023,$101.04,4298607,$101.06,$101.90,$100.11
09/15/2023,$101.06,6002352,$101.89,$102.41,$100.65
09/14/2023,$102.32,4184063,$101.595,$103.57,$101.21
09/13/2023,$101.05,7575059,$107.14,$107.465,$100.51
09/12/2023,$107.16,3196622,$107.55,$108.80,$107.065
09/11/2023,$107.89,2841425,$107.00,$108.22,$106.79
09/08/2023,$106.24,2774697,$106.075,$106.39,$105.42
09/07/2023,$105.95,2906870,$106.18,$106.7899,$104.961
09/06/2023,$106.37,2684253,$106.52,$106.81,$105.34
09/05/2023,$106.85,4864287,$106.80,$108.255,$106.38
09/01/2023,$106.95,3640683,$107.30,$108.30,$106.11
08/31/2023,$106.67,6506051,$105.94,$108.33,$105.49
08/30/2023,$104.45,3273939,$105.49,$105.85,$103.608
08/29/2023,$105.57,5243159,$104.99,$106.85,$104.88
08/28/2023,$104.12,7638456,$105.31,$105.65,$102.59
08/25/2023,$98.95,2188616,$98.98,$99.41,$98.02
08/24/2023,$98.50,1900046,$99.27,$100.67,$98.49
08/23/2023,$99.65,3265062,$98.75,$100.18,$97.70
08/22/2023,$98.51,2590598,$99.67,$99.7199,$98.11
08/21/2023,$99.19,2302686,$100.00,$100.10,$98.53
08/18/2023,$100.01,2634379,$99.98,$100.49,$99.58
08/17/2023,$101.80,3404064,$101.23,$102.72,$101.10
08/16/2023,$100.79,2853394,$100.77,$101.73,$100.46
08/15/2023,$101.14,3345187,$102.55,$102.88,$100.92
