Date,Close/Last,Volume,Open,High,Low
10/23/2023,$344.64,275557,$348.73,$348.73,$342.42
10/20/2023,$348.89,429783,$351.57,$351.57,$346.37
10/19/2023,$349.62,449850,$358.41,$364.38,$347.67
10/18/2023,$360.12,394683,$364.41,$364.91,$358.40
10/17/2023,$359.97,425029,$355.70,$361.02,$352.64
10/16/2023,$355.73,325727,$350.80,$357.465,$350.65
10/13/2023,$348.91,522451,$342.32,$349.943,$342.32
10/12/2023,$339.73,268310,$341.44,$343.06,$338.16
10/11/2023,$340.48,415941,$338.70,$342.17,$335.98
10/10/2023,$340.11,380639,$337.29,$341.853,$336.40
10/09/2023,$338.40,294909,$333.67,$338.605,$330.34
10/06/2023,$333.13,240427,$329.31,$334.95,$326.00
10/05/2023,$329.09,168045,$329.02,$329.86,$325.43
10/04/2023,$328.00,311110,$323.58,$328.48,$321.54
10/03/2023,$322.10,363590,$332.25,$332.25,$320.92
10/02/2023,$332.46,280489,$326.96,$333.165,$323.40
09/29/2023,$327.89,322096,$333.34,$333.34,$327.89
09/28/2023,$333.32,410493,$333.56,$335.03,$331.82
09/27/2023,$331.06,340168,$335.10,$335.10,$330.20
09/26/2023,$334.00,409749,$341.59,$341.99,$332.53
09/25/2023,$341.40,472751,$334.42,$342.83,$332.955
09/22/2023,$334.59,288680,$332.51,$336.465,$331.777
09/21/2023,$334.77,416546,$334.41,$339.19,$332.86
09/20/2023,$333.51,255076,$330.92,$337.065,$328.55
09/19/2023,$329.44,259156,$328.15,$331.265,$326.89
09/18/2023,$329.00,249310,$328.88,$329.98,$326.43
09/15/2023,$327.60,471221,$327.18,$329.18,$324.17
09/14/2023,$326.99,423086,$330.00,$330.92,$323.51
09/13/2023,$328.28,350379,$322.11,$329.345,$322.11
09/12/2023,$321.02,329709,$320.00,$323.35,$315.06
09/11/2023,$321.95,254096,$320.47,$323.28,$320.00
09/08/2023,$320.47,334306,$315.82,$321.10,$314.95
09/07/2023,$316.15,310172,$312.63,$318.06,$310.92
09/06/2023,$310.82,224845,$312.28,$314.58,$310.44
09/05/2023,$312.72,303008,$311.21,$315.00,$310.395
09/01/2023,$310.44,251670,$312.19,$313.365,$310.25
08/31/2023,$310.12,402093,$322.94,$323.48,$310.01
08/30/2023,$322.35,149166,$322.25,$325.00,$321.65
08/29/2023,$322.28,190488,$321.44,$323.15,$317.95
08/28/2023,$321.22,249388,$320.73,$322.61,$318.96
08/25/2023,$318.96,289898,$319.54,$319.61,$316.08
08/24/2023,$318.07,359368,$319.91,$320.71,$317.045
08/23/2023,$319.00,394633,$318.00,$319.27,$317.14
08/22/2023,$317.75,304594,$319.01,$320.00,$314.43
08/21/2023,$320.00,245349,$314.00,$320.61,$314.00
08/18/2023,$314.23,296481,$310.04,$315.32,$308.905
08/17/2023,$309.80,383122,$312.12,$314.59,$308.06
08/16/2023,$314.50,211397,$316.27,$316.96,$313.36
08/15/2023,$315.61,267810,$319.07,$321.06,$315.175
08/14/2023,$319.57,416959,$315.72,$321.80,$314.33
08/11/2023,$315.73,213069,$316.18,$318.43,$315.35
08/10/2023,$315.50,420190,$313.88,$321.30,$313.88
08/09/2023,$314.00,435931,$310.44,$315.71,$310.26
08/08/2023,$310.00,267483,$309.66,$311.58,$307.47
08/07/2023,$311.00,436198,$303.74,$313.55,$303.74
08/04/2023,$302.96,326543,$301.46,$303.375,$300.23
08/03/2023,$302.18,320130,$302.61,$304.32,$301.16
08/02/2023,$304.60,449673,$304.70,$306.49,$300.655
08/01/2023,$302.01,333525,$304.84,$306.34,$300.87
07/31/2023,$304.49,359690,$302.08,$304.85,$300.12
07/28/2023,$301.46,690316,$308.83,$308.83,$293.58
07/27/2023,$307.34,715468,$317.80,$323.38,$306.14
07/26/2023,$311.17,525722,$315.14,$316.19,$310.67
07/25/2023,$315.65,415321,$313.24,$317.75,$311.57
07/24/2023,$313.97,528581,$317.88,$320.53,$311.70
07/21/2023,$318.47,2341557,$316.99,$323.75,$316.31
07/20/2023,$317.13,506080,$315.36,$317.895,$310.61
07/19/2023,$312.45,689945,$312.50,$318.71,$311.92
07/18/2023,$303.06,485285,$299.91,$306.21,$299.91
07/17/2023,$299.91,405666,$297.46,$301.76,$296.43
07/14/2023,$298.55,550958,$295.23,$304.10,$295.23
07/13/2023,$289.68,538898,$290.38,$292.51,$288.79
07/12/2023,$291.70,659533,$300.765,$300.785,$290.16
07/11/2023,$301.15,423479,$302.89,$304.97,$300.73
07/10/2023,$301.95,445431,$296.73,$302.38,$295.79
07/07/2023,$295.23,666917,$297.71,$301.24,$294.25
07/06/2023,$300.54,575325,$299.34,$302.34,$296.52
07/05/2023,$300.50,519146,$300.11,$302.07,$298.225
07/03/2023,$298.48,232986,$299.51,$301.64,$298.06
06/30/2023,$301.24,518710,$296.94,$304.11,$295.89
06/29/2023,$294.77,343816,$289.65,$295.94,$288.66
06/28/2023,$289.04,434370,$289.99,$290.37,$287.18
06/27/2023,$290.74,699112,$289.97,$292.27,$287.54
06/26/2023,$290.00,518999,$287.23,$291.635,$286.36
06/23/2023,$287.94,944407,$286.91,$289.17,$284.34
06/22/2023,$287.43,490722,$284.25,$288.2708,$283.571
06/21/2023,$283.00,414705,$277.12,$283.20,$276.89
06/20/2023,$278.81,545583,$274.58,$279.76,$273.63
06/16/2023,$278.02,763348,$284.58,$287.69,$273.58
06/15/2023,$283.81,471107,$277.68,$285.655,$275.50
06/14/2023,$275.49,934532,$273.02,$283.30,$269.674
06/13/2023,$290.85,619034,$287.43,$295.51,$287.16
06/12/2023,$288.67,355115,$283.39,$289.18,$283.21
06/09/2023,$284.34,336591,$286.43,$290.10,$284.10
06/08/2023,$287.34,234555,$283.72,$287.55,$282.8094
06/07/2023,$284.06,315572,$285.97,$287.29,$283.35
06/06/2023,$286.99,388719,$293.68,$293.995,$284.04
06/05/2023,$293.14,360570,$288.64,$293.56,$286.63
06/02/2023,$287.17,354651,$283.89,$289.305,$282.49
06/01/2023,$282.97,412336,$273.01,$285.07,$273.01
05/31/2023,$273.90,1302458,$268.88,$274.54,$266.35
05/30/2023,$269.86,440176,$271.50,$276.32,$269.59
05/26/2023,$273.03,403342,$272.60,$276.27,$272.07
05/25/2023,$273.41,463976,$279.13,$279.39,$271.5101
05/24/2023,$281.74,266212,$284.30,$285.02,$281.73
