Date,Close/Last,Volume,Open,High,Low
12/15/2023,$9.72,2925055,$9.37,$9.81,$8.90
12/14/2023,$9.60,2066371,$9.16,$9.615,$9.07
12/13/2023,$9.53,552502,$9.41,$9.66,$9.19
12/12/2023,$9.53,2652037,$9.21,$9.81,$9.20
12/11/2023,$8.83,4541506,$7.70,$9.2397,$7.61
12/08/2023,$7.05,1327915,$6.63,$7.20,$6.60
12/07/2023,$6.85,1513722,$6.85,$6.88,$6.48
12/06/2023,$7.19,1324464,$7.32,$7.34,$6.95
12/05/2023,$7.58,1309877,$7.19,$7.62,$7.16
12/04/2023,$7.21,1242209,$6.52,$7.28,$6.48
12/01/2023,$7.01,2438647,$6.37,$7.035,$6.2531
11/30/2023,$6.84,3401284,$6.25,$6.85,$6.21
11/29/2023,$5.95,2451010,$5.51,$5.95,$5.39
11/28/2023,$5.55,1842634,$5.03,$5.55,$5.01
11/27/2023,$5.15,2057582,$4.79,$5.179,$4.78
11/24/2023,$4.67,1285672,$4.44,$4.72,$4.44
11/22/2023,$4.55,2208161,$4.28,$4.63,$4.185
11/21/2023,$4.55,4491624,$4.73,$4.77,$4.3411
11/20/2023,$5.86,1166845,$5.87,$5.985,$5.73
11/17/2023,$5.84,759530,$6.11,$6.11,$5.79
11/16/2023,$6.20,1220681,$6.51,$6.57,$6.19
11/15/2023,$6.95,1100739,$7.41,$7.5975,$6.92
11/14/2023,$7.48,511242,$7.63,$7.71,$7.40
11/13/2023,$7.20,650230,$7.70,$7.70,$7.19
11/10/2023,$7.60,541063,$7.70,$7.76,$7.58
11/09/2023,$7.84,573203,$8.45,$8.46,$7.81
11/08/2023,$8.26,614188,$8.52,$8.55,$8.21
11/07/2023,$8.18,440194,$8.27,$8.31,$8.03
11/06/2023,$8.24,865877,$8.42,$8.5258,$8.185
11/03/2023,$7.93,857823,$8.01,$8.37,$7.885
11/02/2023,$7.52,643110,$8.30,$8.35,$7.52
11/01/2023,$8.12,623007,$7.94,$8.22,$7.90
10/31/2023,$7.97,192961,$8.13,$8.14,$7.93
10/30/2023,$7.80,143625,$7.84,$7.94,$7.80
10/27/2023,$7.62,309466,$7.80,$7.81,$7.54
10/26/2023,$7.59,220459,$7.45,$7.60,$7.275
10/25/2023,$7.15,270561,$7.09,$7.32,$7.00
10/24/2023,$6.88,172040,$6.96,$7.05,$6.85
10/23/2023,$6.83,214594,$6.71,$6.86,$6.65
10/20/2023,$6.59,164509,$6.72,$6.77,$6.585
10/19/2023,$6.59,174616,$6.71,$6.77,$6.56
10/18/2023,$6.78,156754,$6.94,$6.94,$6.76
10/17/2023,$6.79,526730,$6.80,$7.25,$6.73
10/16/2023,$6.73,356787,$6.51,$6.775,$6.48
10/13/2023,$6.50,421689,$6.35,$6.51,$6.21
10/12/2023,$6.16,154503,$6.17,$6.17,$6.05
10/11/2023,$6.16,150352,$6.19,$6.20,$5.99
10/10/2023,$6.27,167802,$6.24,$6.32,$6.20
10/09/2023,$5.94,80119,$5.97,$6.00,$5.90
10/06/2023,$6.15,54888,$6.03,$6.21,$5.99
10/05/2023,$6.06,120795,$6.04,$6.10,$5.91
10/04/2023,$5.91,1250007,$6.04,$6.04,$5.845
10/03/2023,$6.12,177053,$6.20,$6.24,$6.06
10/02/2023,$6.40,100750,$6.53,$6.57,$6.37
09/29/2023,$6.72,101320,$6.94,$6.94,$6.695
09/28/2023,$6.79,207596,$7.05,$7.05,$6.77
09/27/2023,$7.31,40236,$7.46,$7.46,$7.20
09/26/2023,$7.26,90193,$7.21,$7.41,$7.20
09/25/2023,$7.44,176665,$7.11,$7.50,$7.11
09/22/2023,$7.50,52616,$7.42,$7.54,$7.38
09/21/2023,$7.515,152048,$7.79,$7.79,$7.49
09/20/2023,$7.90,234846,$7.81,$8.06,$7.61
09/19/2023,$7.73,54418,$7.69,$7.74,$7.58
09/18/2023,$7.75,161829,$8.09,$8.09,$7.67
09/15/2023,$8.04,467937,$8.13,$8.30,$8.0125
09/14/2023,$7.98,196338,$8.00,$8.00,$7.83
09/13/2023,$7.92,89407,$8.08,$8.1311,$7.91
09/12/2023,$8.08,77784,$7.90,$8.11,$7.88
09/11/2023,$7.97,210304,$7.96,$7.99,$7.825
09/08/2023,$7.76,131300,$7.63,$7.78,$7.63
09/07/2023,$7.54,17356,$7.54,$7.60,$7.52
09/06/2023,$7.62,165892,$7.66,$7.68,$7.52
09/05/2023,$7.77,141149,$7.70,$7.79,$7.62
09/01/2023,$7.42,108293,$7.57,$7.62,$7.41
08/31/2023,$7.50,58795,$7.57,$7.63,$7.50
08/30/2023,$7.57,48515,$7.75,$7.75,$7.545
08/29/2023,$7.73,79617,$7.66,$7.80,$7.66
08/28/2023,$7.76,63159,$7.89,$7.89,$7.74
08/25/2023,$7.90,177600,$7.85,$7.95,$7.6611
08/24/2023,$7.90,313912,$8.01,$8.04,$7.75
08/23/2023,$8.07,240239,$7.99,$8.22,$7.98
08/22/2023,$7.93,163388,$8.00,$8.04,$7.92
08/21/2023,$7.85,167902,$7.83,$7.92,$7.79
08/18/2023,$7.61,117787,$7.52,$7.69,$7.52
08/17/2023,$7.80,116050,$7.74,$7.851,$7.68
08/16/2023,$7.71,329194,$7.60,$7.71,$7.495
08/15/2023,$7.66,63274,$7.78,$7.81,$7.645
08/14/2023,$7.66,79896,$7.52,$7.72,$7.45
08/11/2023,$7.53,49246,$7.55,$7.62,$7.50
08/10/2023,$7.54,149744,$7.79,$7.94,$7.49
08/09/2023,$7.50,47361,$7.58,$7.6451,$7.48
08/08/2023,$7.51,123457,$7.52,$7.5838,$7.44
08/07/2023,$7.56,158509,$7.68,$7.68,$7.39
08/04/2023,$7.75,173028,$7.64,$7.88,$7.58
08/03/2023,$7.66,178504,$7.67,$7.81,$7.63
08/02/2023,$7.56,243218,$7.42,$7.74,$7.33
08/01/2023,$7.69,180955,$7.34,$7.69,$7.32
07/31/2023,$7.35,68556,$7.29,$7.38,$7.21
07/28/2023,$7.35,279124,$7.32,$7.46,$7.31
07/27/2023,$7.19,763242,$7.82,$7.825,$7.145
07/26/2023,$8.01,187673,$7.86,$8.03,$7.81
07/25/2023,$8.05,217512,$8.02,$8.20,$8.00
07/24/2023,$8.22,269136,$8.29,$8.39,$8.22
07/21/2023,$8.46,94542,$8.42,$8.525,$8.36
07/20/2023,$8.60,488046,$8.58,$8.67,$8.4605
07/19/2023,$8.49,436466,$8.27,$8.54,$8.24
07/18/2023,$8.35,343211,$8.38,$8.415,$8.262
07/17/2023,$8.12,227708,$8.00,$8.24,$7.97
07/14/2023,$7.84,196961,$7.70,$7.94,$7.67
07/13/2023,$7.56,104525,$7.62,$7.665,$7.51
07/12/2023,$7.62,128803,$7.52,$7.64,$7.3799
07/11/2023,$7.78,157479,$7.80,$7.91,$7.7498
07/10/2023,$7.86,109711,$7.61,$7.86,$7.5468
07/07/2023,$7.76,200077,$7.72,$7.8425,$7.66
07/06/2023,$7.46,238949,$7.44,$7.47,$7.24
07/05/2023,$7.19,165668,$7.02,$7.23,$7.00
07/03/2023,$7.11,127146,$7.24,$7.2499,$7.09
06/30/2023,$7.47,159968,$7.46,$7.61,$7.42
06/29/2023,$7.42,219040,$7.22,$7.44,$7.14
06/28/2023,$7.42,113844,$7.39,$7.48,$7.30
06/27/2023,$7.40,379974,$7.23,$7.45,$7.09
06/26/2023,$7.40,150100,$7.49,$7.54,$7.30
06/23/2023,$7.55,88277,$7.78,$7.81,$7.495
06/22/2023,$7.62,115964,$7.66,$7.71,$7.55
06/21/2023,$7.74,635683,$7.52,$7.90,$7.51
06/20/2023,$7.57,180775,$7.57,$7.61,$7.38
06/16/2023,$7.72,621575,$7.64,$7.88,$7.51
06/15/2023,$7.07,49729,$6.99,$7.13,$6.941
06/14/2023,$6.87,130407,$7.02,$7.06,$6.85
06/13/2023,$7.37,126221,$7.32,$7.44,$7.21
06/12/2023,$7.49,118829,$7.46,$7.595,$7.45
06/09/2023,$7.46,120106,$7.31,$7.50,$7.31
06/08/2023,$7.49,69973,$7.44,$7.545,$7.39
06/07/2023,$7.61,447883,$7.53,$7.655,$7.28
06/06/2023,$7.16,455956,$7.04,$7.19,$7.01
06/05/2023,$6.75,101115,$6.67,$6.85,$6.63
06/02/2023,$6.58,58517,$6.56,$6.60,$6.48
06/01/2023,$6.36,24068,$6.35,$6.45,$6.35
05/31/2023,$6.41,201478,$6.44,$6.44,$6.17
05/30/2023,$6.525,144863,$6.36,$6.55,$6.28
05/26/2023,$6.32,53519,$6.25,$6.3932,$6.2401
05/25/2023,$6.45,117027,$6.51,$6.64,$6.35
05/24/2023,$6.27,140007,$6.27,$6.30,$6.10
05/23/2023,$6.42,269984,$6.42,$6.4433,$6.33
05/22/2023,$6.20,330822,$6.12,$6.32,$6.11
05/19/2023,$6.18,70054,$5.88,$6.18,$5.85
05/18/2023,$5.94,118186,$5.96,$6.024,$5.87
05/17/2023,$5.95,253014,$5.91,$6.04,$5.87
05/16/2023,$6.01,45766,$5.88,$6.03,$5.88
05/15/2023,$6.03,265935,$5.85,$6.11,$5.81
05/12/2023,$5.70,60596,$5.74,$5.74,$5.65
05/11/2023,$5.52,26344,$5.60,$5.62,$5.51
05/10/2023,$5.53,60346,$5.55,$5.61,$5.5101
05/09/2023,$5.56,68168,$5.59,$5.67,$5.45
05/08/2023,$5.67,78464,$5.50,$5.675,$5.49
05/05/2023,$5.63,656210,$5.60,$5.73,$5.53
05/04/2023,$5.56,185439,$5.48,$5.6596,$5.40
05/03/2023,$5.15,107450,$5.20,$5.60,$5.15
05/02/2023,$5.22,47876,$5.39,$5.39,$5.08
05/01/2023,$5.35,83240,$5.23,$5.4051,$5.10
04/28/2023,$5.24,31671,$5.14,$5.36,$5.09
04/27/2023,$5.29,59666,$5.18,$5.31,$5.10
04/26/2023,$5.16,39810,$5.27,$5.305,$5.13
04/25/2023,$5.12,111291,$5.29,$5.37,$4.83
04/24/2023,$5.39,57731,$5.47,$5.51,$5.38
04/21/2023,$5.33,75705,$5.085,$5.33,$5.085
04/20/2023,$5.03,65060,$5.00,$5.13,$4.9401
04/19/2023,$5.17,39459,$5.09,$5.21,$5.00
04/18/2023,$5.20,20079,$5.15,$5.20,$5.095
04/17/2023,$5.11,28139,$5.17,$5.19,$5.0621
04/14/2023,$5.20,111273,$5.21,$5.21,$5.03
04/13/2023,$5.15,200907,$4.97,$5.20,$4.96
04/12/2023,$4.92,65133,$4.82,$4.93,$4.67
04/11/2023,$4.75,49704,$4.70,$4.78,$4.4823
04/10/2023,$4.66,105036,$5.26,$5.26,$4.59
04/06/2023,$4.95,186428,$4.46,$4.96,$4.3802
04/05/2023,$4.59,853361,$4.25,$4.64,$4.23
04/04/2023,$3.95,26694,$3.96,$4.00,$3.95
04/03/2023,$3.95,49690,$3.91,$3.96,$3.89
03/31/2023,$3.96,439444,$3.98,$3.99,$3.90
03/30/2023,$4.12,38987,$4.12,$4.17,$4.0501
03/29/2023,$4.11,112124,$4.02,$4.14,$4.02
03/28/2023,$4.04,16684,$3.95,$4.05,$3.95
03/27/2023,$3.97,132123,$3.95,$4.00,$3.92
03/24/2023,$3.94,11324,$3.86,$3.95,$3.83
03/23/2023,$3.94,43135,$3.94,$4.0168,$3.90
03/22/2023,$3.89,463395,$3.94,$3.98,$3.87
03/21/2023,$3.99,121877,$3.92,$4.00,$3.88
03/20/2023,$3.90,13706,$3.75,$3.91,$3.74
03/17/2023,$3.81,51570,$3.80,$3.95,$3.76
03/16/2023,$3.93,204719,$3.81,$4.41,$3.77
03/15/2023,$3.74,131281,$3.74,$3.89,$3.65
03/14/2023,$3.97,99595,$3.84,$3.97,$3.83
03/13/2023,$3.91,285779,$3.81,$3.91,$3.75
03/10/2023,$3.79,32621,$3.84,$3.8921,$3.74
03/09/2023,$3.97,57823,$3.95,$4.04,$3.9054
03/08/2023,$4.06,10856,$4.10,$4.2636,$4.06
03/07/2023,$4.15,55931,$4.17,$4.2256,$4.11
03/06/2023,$4.24,69933,$4.18,$4.25,$4.15
03/03/2023,$4.26,26063,$4.29,$4.31,$4.25
03/02/2023,$4.32,15142,$4.37,$4.41,$4.26
03/01/2023,$4.51,128945,$4.52,$4.575,$4.485
02/28/2023,$4.50,88505,$4.46,$4.56,$4.44
02/27/2023,$4.50,666153,$4.57,$4.575,$4.365
02/24/2023,$4.48,21412,$4.55,$4.56,$4.46
02/23/2023,$4.56,177098,$4.59,$4.5999,$4.47
02/22/2023,$4.52,211213,$4.60,$4.735,$4.13
02/21/2023,$4.61,99647,$4.73,$4.82,$4.61
02/17/2023,$4.69,189496,$4.81,$4.87,$4.65
02/16/2023,$4.80,43305,$4.87,$4.93,$4.78
02/15/2023,$4.99,289566,$4.98,$5.09,$4.92
02/14/2023,$4.93,19464,$5.00,$5.01,$4.83
02/13/2023,$4.98,9848,$4.98,$5.03,$4.91
02/10/2023,$4.97,4369,$5.02,$5.035,$4.97
