Date,Close/Last,Volume,Open,High,Low
10/23/2023,$35.98,1945039,$36.04,$36.1718,$35.76
10/20/2023,$36.21,1185653,$36.58,$36.67,$36.20
10/19/2023,$36.58,1331619,$36.55,$36.645,$36.27
10/18/2023,$36.47,1394007,$36.45,$36.80,$36.335
10/17/2023,$36.31,1155705,$36.12,$36.409,$36.12
10/16/2023,$36.20,950734,$36.22,$36.25,$36.05
10/13/2023,$36.12,1300416,$35.90,$36.22,$35.90
10/12/2023,$35.83,1756666,$35.55,$35.865,$35.49
10/11/2023,$35.54,1806386,$35.67,$35.7544,$35.53
10/10/2023,$35.68,1933528,$35.90,$35.93,$35.55
10/09/2023,$35.47,1560374,$35.35,$35.49,$35.265
10/06/2023,$35.13,1285891,$35.12,$35.21,$34.95
10/05/2023,$35.07,1887050,$35.00,$35.15,$34.855
10/04/2023,$35.07,2022840,$34.86,$35.07,$34.69
10/03/2023,$34.95,2427397,$35.07,$35.19,$34.52
10/02/2023,$35.13,3400092,$35.69,$35.69,$35.01
09/29/2023,$35.57,2597496,$35.56,$35.65,$35.43
09/28/2023,$35.52,2148122,$35.25,$35.69,$35.25
09/27/2023,$35.41,2305433,$35.30,$35.48,$35.21
09/26/2023,$35.10,1768688,$35.10,$35.20,$34.995
09/25/2023,$35.30,4043575,$35.03,$35.42,$35.00
09/22/2023,$35.03,10758510,$35.03,$35.43,$35.00
09/21/2023,$34.92,2171221,$35.21,$35.25,$34.92
09/20/2023,$35.08,2823342,$34.87,$35.30,$34.87
09/19/2023,$34.95,1350694,$34.87,$35.00,$34.72
09/18/2023,$34.83,1803581,$35.01,$35.05,$34.70
09/15/2023,$34.96,2275835,$34.98,$35.055,$34.76
09/14/2023,$34.92,4522801,$35.00,$35.10,$34.83
09/13/2023,$34.83,1038595,$34.91,$34.99,$34.79
09/12/2023,$34.86,1892248,$34.79,$35.04,$34.74
09/11/2023,$34.69,1225339,$34.83,$34.90,$34.58
09/08/2023,$34.69,1252127,$34.73,$34.94,$34.63
09/07/2023,$34.62,2002461,$34.66,$34.905,$34.6088
09/06/2023,$34.57,1636938,$34.93,$34.93,$34.47
09/05/2023,$34.91,1440618,$35.05,$35.10,$34.845
09/01/2023,$35.00,1075823,$35.04,$35.11,$34.905
08/31/2023,$34.89,1287592,$34.99,$35.0204,$34.865
08/30/2023,$34.94,1342891,$35.10,$35.18,$34.89
08/29/2023,$35.00,2592260,$35.00,$35.095,$34.82
08/28/2023,$34.96,1132584,$34.925,$35.19,$34.90
08/25/2023,$34.93,1230591,$34.91,$35.02,$34.74
08/24/2023,$34.74,1041299,$34.80,$35.05,$34.725
