Date,Close/Last,Volume,Open,High,Low
10/23/2023,$28.17,10398130,$28.26,$28.63,$28.02
10/20/2023,$28.49,10395480,$29.13,$29.2801,$28.4299
10/19/2023,$29.19,15988470,$28.69,$29.56,$28.52
10/18/2023,$28.85,8559030,$28.90,$29.13,$28.67
10/17/2023,$28.63,9537089,$28.44,$28.96,$28.41
10/16/2023,$28.45,10009920,$28.28,$28.48,$27.74
10/13/2023,$28.07,12718990,$27.36,$28.16,$27.24
10/12/2023,$26.80,10170070,$26.74,$26.98,$26.57
10/11/2023,$26.49,9613927,$26.14,$26.54,$25.875
10/10/2023,$26.23,9329988,$26.13,$26.425,$25.893
10/09/2023,$26.22,16614080,$25.62,$26.39,$25.37
10/06/2023,$24.59,10642760,$24.36,$24.815,$24.0041
10/05/2023,$24.24,10531340,$24.04,$24.54,$24.0105
10/04/2023,$24.40,12240180,$25.23,$25.3094,$24.05
10/03/2023,$25.68,9737767,$25.32,$25.73,$25.19
10/02/2023,$25.59,11930950,$26.79,$26.8185,$25.28
09/29/2023,$26.75,11362010,$27.53,$27.53,$26.695
09/28/2023,$27.41,6715460,$27.265,$27.63,$27.185
09/27/2023,$27.39,13809540,$26.82,$27.68,$26.66
09/26/2023,$26.29,10649830,$26.32,$26.63,$26.13
09/25/2023,$26.61,10480940,$26.14,$26.705,$26.07
09/22/2023,$26.16,11663660,$26.12,$26.40,$25.9991
09/21/2023,$25.87,12860000,$26.27,$26.435,$25.73
09/20/2023,$26.15,9389829,$26.64,$26.95,$26.14
09/19/2023,$26.75,10307530,$27.24,$27.365,$26.475
09/18/2023,$26.90,8817389,$27.15,$27.22,$26.64
09/15/2023,$26.88,18348070,$27.11,$27.5679,$26.765
09/14/2023,$27.33,12940060,$27.04,$27.627,$27.04
09/13/2023,$26.57,11109950,$27.22,$27.275,$26.52
09/12/2023,$27.13,9792530,$26.45,$27.195,$26.4401
09/11/2023,$26.16,16014390,$27.50,$27.625,$26.12
09/08/2023,$27.31,9602847,$26.95,$27.60,$26.90
09/07/2023,$26.70,10842170,$27.08,$27.25,$26.6702
09/06/2023,$27.09,9194593,$27.01,$27.365,$26.75
09/05/2023,$27.16,9552960,$27.31,$27.66,$27.15
09/01/2023,$27.11,9786483,$26.76,$27.2299,$26.705
08/31/2023,$26.35,9141621,$26.49,$26.50,$26.16
08/30/2023,$26.38,7169374,$26.31,$26.47,$26.205
08/29/2023,$26.14,8090002,$25.93,$26.205,$25.7276
08/28/2023,$25.92,7299257,$25.85,$26.21,$25.66
08/25/2023,$25.62,9412687,$25.71,$25.85,$25.355
08/24/2023,$25.52,8305004,$25.50,$25.8228,$25.345
08/23/2023,$25.73,8305566,$25.78,$25.875,$25.4575
08/22/2023,$26.11,8637908,$26.45,$26.63,$26.09
08/21/2023,$26.44,12166240,$26.58,$26.8099,$26.165
