Date,Close/Last,Volume,Open,High,Low
10/23/2023,$55.60,1503534,$55.57,$56.10,$55.46
10/20/2023,$55.68,3857780,$55.85,$56.10,$55.40
10/19/2023,$55.75,2159373,$56.45,$56.515,$55.67
10/18/2023,$56.25,1191026,$56.55,$56.75,$56.00
10/17/2023,$56.57,1530317,$56.10,$56.605,$55.97
10/16/2023,$56.06,2223102,$55.70,$56.32,$55.67
10/13/2023,$55.95,3618341,$56.18,$56.39,$55.1106
10/12/2023,$56.14,6790045,$56.77,$56.90,$56.05
10/11/2023,$56.75,4316922,$56.70,$57.05,$56.65
10/10/2023,$56.60,9873874,$56.81,$56.93,$56.59
10/09/2023,$57.02,19340740,$56.70,$57.60,$56.6201
10/06/2023,$60.20,5189644,$61.59,$64.41,$59.84
10/05/2023,$62.38,10959340,$42.85,$63.64,$42.575
10/04/2023,$42.89,815365,$42.95,$43.205,$41.92
10/03/2023,$43.65,1213779,$42.04,$43.74,$41.955
10/02/2023,$41.99,1165073,$43.70,$43.70,$41.54
09/29/2023,$43.56,1319837,$45.41,$46.00,$43.045
09/28/2023,$45.35,1877137,$41.14,$46.15,$41.09
09/27/2023,$41.23,902773,$40.92,$41.91,$40.50
09/26/2023,$40.65,2530862,$41.33,$43.16,$40.51
09/25/2023,$41.35,2722185,$39.88,$41.50,$39.15
09/22/2023,$41.00,4791357,$36.97,$41.08,$36.5301
09/21/2023,$36.50,3583875,$32.07,$36.73,$31.90
09/20/2023,$32.49,796433,$32.69,$32.69,$31.99
09/19/2023,$32.35,1441363,$31.77,$32.405,$30.99
09/18/2023,$31.81,826347,$33.18,$33.18,$31.695
09/15/2023,$33.05,1366850,$33.10,$33.7316,$32.735
09/14/2023,$33.04,885706,$34.13,$34.70,$32.93
09/13/2023,$34.05,650328,$34.88,$35.57,$34.03
09/12/2023,$35.13,939727,$35.12,$35.39,$34.24
09/11/2023,$35.12,694429,$35.49,$36.00,$35.02
09/08/2023,$35.66,828849,$35.63,$36.19,$34.95
09/07/2023,$35.63,867239,$35.02,$35.86,$34.59
09/06/2023,$35.48,786870,$35.90,$36.21,$35.23
09/05/2023,$35.77,934218,$37.48,$38.01,$35.615
09/01/2023,$37.75,481813,$37.39,$38.15,$36.94
08/31/2023,$37.20,1042679,$37.29,$38.00,$36.92
08/30/2023,$37.07,658732,$36.70,$37.08,$35.86
08/29/2023,$36.45,1095201,$37.44,$37.75,$36.2301
08/28/2023,$37.15,412987,$36.88,$37.35,$36.3565
08/25/2023,$37.02,1100627,$35.45,$37.72,$34.78
08/24/2023,$35.19,2147463,$36.57,$36.66,$34.93
08/23/2023,$37.55,813617,$37.98,$38.64,$37.48
08/22/2023,$37.66,603594,$38.05,$38.54,$37.21
08/21/2023,$37.86,1268171,$38.59,$38.925,$37.21
08/18/2023,$38.59,729768,$38.60,$40.0623,$38.38
08/17/2023,$39.05,741802,$39.51,$40.35,$38.99
08/16/2023,$39.72,730203,$39.65,$40.18,$39.05
08/15/2023,$39.73,1087058,$40.42,$40.9698,$39.49
08/14/2023,$39.96,1349170,$38.59,$40.16,$38.1006
08/11/2023,$38.81,1776955,$39.40,$39.72,$38.26
08/10/2023,$39.20,4403416,$37.83,$40.01,$37.15
08/09/2023,$37.00,7571079,$34.62,$37.55,$33.45
08/08/2023,$27.80,1202677,$27.76,$28.50,$27.30
08/07/2023,$28.06,922529,$29.32,$29.32,$27.85
08/04/2023,$29.46,1040523,$29.51,$30.25,$29.364
08/03/2023,$29.73,968636,$29.95,$30.58,$29.655
08/02/2023,$30.10,1086345,$29.80,$30.15,$29.15
08/01/2023,$30.02,1717553,$30.00,$30.34,$29.19
07/31/2023,$30.27,928562,$29.85,$30.56,$29.47
07/28/2023,$29.64,1039698,$28.90,$30.00,$28.70
07/27/2023,$28.64,1029152,$29.50,$30.01,$28.575
07/26/2023,$29.98,971461,$30.65,$30.65,$29.84
07/25/2023,$30.56,810709,$31.07,$31.59,$30.38
07/24/2023,$31.32,1089576,$31.47,$31.646,$30.58
07/21/2023,$31.31,2850732,$28.75,$32.19,$28.2001
07/20/2023,$33.81,588298,$34.59,$34.685,$33.80
07/19/2023,$34.64,1123327,$34.27,$36.19,$33.70
07/18/2023,$33.93,809776,$34.43,$34.49,$33.57
07/17/2023,$34.50,583934,$35.28,$35.875,$34.47
07/14/2023,$35.43,999816,$36.42,$36.63,$34.84
07/13/2023,$36.87,509330,$37.51,$37.82,$36.85
07/12/2023,$37.61,546939,$38.90,$38.95,$37.48
07/11/2023,$38.09,817002,$38.86,$38.995,$36.90
07/10/2023,$39.11,1197377,$38.96,$39.88,$38.74
07/07/2023,$38.93,876553,$39.74,$40.25,$38.75
07/06/2023,$39.55,1294177,$39.14,$40.845,$38.57
07/05/2023,$39.78,1011262,$38.38,$40.04,$38.24
07/03/2023,$38.07,739810,$36.23,$38.62,$35.89
06/30/2023,$36.13,957255,$36.82,$37.04,$36.04
06/29/2023,$36.46,731558,$36.67,$37.28,$35.98
06/28/2023,$37.00,646247,$37.68,$37.68,$36.525
06/27/2023,$37.30,607480,$37.41,$38.05,$36.71
06/26/2023,$37.27,1262868,$37.43,$38.27,$36.27
06/23/2023,$37.23,1593661,$37.82,$37.88,$35.98
06/22/2023,$38.02,1106805,$37.74,$38.41,$37.04
06/21/2023,$37.78,1278867,$36.21,$37.89,$35.55
06/20/2023,$36.32,1083139,$37.04,$37.10,$35.88
