Date,Close/Last,Volume,Open,High,Low
10/20/2023,$49.47,9822387,$50.69,$50.93,$49.335
10/19/2023,$50.69,10031540,$52.07,$52.47,$50.465
10/18/2023,$51.47,8792930,$52.17,$52.47,$51.20
10/17/2023,$53.17,8426969,$52.43,$53.88,$51.86
10/16/2023,$53.66,9492410,$52.64,$53.78,$52.31
10/13/2023,$52.62,9177406,$54.59,$54.715,$52.35
10/12/2023,$54.62,9195083,$55.21,$55.71,$54.09
10/11/2023,$55.14,6620576,$55.29,$55.96,$54.21
10/10/2023,$55.05,6941180,$54.58,$55.88,$54.25
10/09/2023,$54.27,5252699,$53.85,$54.635,$53.32
10/06/2023,$54.53,7855623,$52.28,$54.945,$52.25
10/05/2023,$53.10,6948411,$53.03,$53.54,$52.30
10/04/2023,$53.31,6516876,$52.93,$53.42,$52.35
10/03/2023,$52.56,7325750,$53.72,$54.52,$52.06
10/02/2023,$54.59,7042785,$53.93,$55.24,$53.83
09/29/2023,$54.13,7998795,$55.00,$55.43,$54.0088
09/28/2023,$54.00,10187830,$52.26,$54.726,$52.19
09/27/2023,$52.55,7639260,$52.11,$53.08,$51.56
09/26/2023,$51.71,7038307,$51.94,$52.455,$51.435
09/25/2023,$52.63,6441747,$52.02,$52.805,$51.67
09/22/2023,$52.30,8549016,$52.30,$53.38,$52.035
09/21/2023,$51.84,18077330,$54.31,$55.46,$51.79
09/20/2023,$52.94,5936293,$54.27,$54.735,$52.92
09/19/2023,$54.09,6518887,$54.57,$54.5905,$53.37
09/18/2023,$54.78,7076853,$53.87,$55.07,$53.73
09/15/2023,$54.49,14009900,$55.52,$55.71,$54.16
09/14/2023,$55.84,7864821,$56.45,$56.46,$55.36
09/13/2023,$55.60,6328155,$55.71,$56.47,$55.34
09/12/2023,$55.65,5571417,$55.83,$57.025,$55.60
09/11/2023,$56.32,8430025,$56.82,$56.82,$54.765
09/08/2023,$55.74,9416209,$56.30,$56.75,$55.40
09/07/2023,$56.58,10635000,$55.24,$57.035,$54.5829
09/06/2023,$56.71,10960370,$57.70,$58.232,$56.555
09/05/2023,$57.89,5623578,$57.75,$58.415,$57.28
09/01/2023,$57.95,7638680,$58.94,$59.2933,$57.425
08/31/2023,$58.25,10331860,$57.34,$58.6494,$57.34
08/30/2023,$57.34,11605560,$56.12,$57.94,$55.85
08/29/2023,$56.12,10356540,$54.87,$56.45,$54.625
08/28/2023,$55.17,13560420,$53.79,$55.2641,$53.56
08/25/2023,$53.50,32505540,$54.47,$55.09,$52.2475
08/24/2023,$57.29,27361410,$63.97,$64.23,$56.9436
08/23/2023,$61.50,13460560,$59.40,$61.77,$59.15
08/22/2023,$59.59,13608870,$60.85,$61.6993,$59.36
08/21/2023,$60.03,12100050,$57.85,$60.15,$57.78
08/18/2023,$57.59,12328560,$57.60,$57.87,$56.62
08/17/2023,$57.56,10816730,$57.87,$58.105,$56.9299
08/16/2023,$57.37,11453270,$59.01,$59.01,$57.25
08/15/2023,$59.12,8371658,$59.36,$59.98,$58.75
08/14/2023,$59.57,14178960,$56.61,$59.73,$56.3925
08/11/2023,$57.09,9950836,$58.10,$58.19,$56.70
08/10/2023,$58.93,9706533,$60.12,$61.0499,$58.19
08/09/2023,$59.94,9272628,$61.82,$62.0996,$59.6708
08/08/2023,$61.96,9182591,$62.41,$62.43,$60.785
08/07/2023,$63.55,4768951,$63.22,$63.5999,$62.4383
08/04/2023,$62.69,7627007,$62.24,$63.80,$61.64
08/03/2023,$62.35,9054346,$61.44,$62.995,$61.19
08/02/2023,$62.11,13749220,$64.90,$65.00,$60.98
08/01/2023,$65.93,6965045,$64.87,$66.29,$64.23
07/31/2023,$65.13,7396387,$65.24,$66.26,$64.69
07/28/2023,$64.91,7103394,$65.40,$65.41,$64.25
07/27/2023,$63.89,10780160,$65.35,$66.24,$63.295
07/26/2023,$63.71,9093986,$63.12,$64.14,$62.2831
07/25/2023,$63.90,6994863,$63.34,$64.698,$63.23
07/24/2023,$63.11,5606780,$63.69,$63.78,$62.46
07/21/2023,$63.41,19046310,$64.125,$64.665,$63.19
07/20/2023,$63.22,12700320,$64.655,$65.03,$62.80
07/19/2023,$65.63,10606770,$66.00,$66.81,$64.86
07/18/2023,$65.76,9881012,$65.40,$66.05,$64.20
07/17/2023,$64.56,8590896,$63.56,$64.94,$63.00
07/14/2023,$63.45,11408670,$64.50,$65.12,$63.18
07/13/2023,$65.37,12938380,$63.85,$65.49,$63.059
07/12/2023,$62.88,11423600,$63.12,$63.69,$61.94
07/11/2023,$62.15,12004520,$61.73,$62.21,$60.445
07/10/2023,$60.29,10124890,$58.87,$60.50,$58.83
07/07/2023,$59.15,9505876,$59.91,$60.26,$58.98
07/06/2023,$58.82,10177820,$58.61,$58.97,$57.43
07/05/2023,$59.81,7281446,$60.76,$61.20,$59.78
07/03/2023,$61.35,5693094,$60.315,$61.38,$60.315
06/30/2023,$59.78,9065947,$59.30,$60.105,$59.16
06/29/2023,$58.37,14868380,$60.43,$60.43,$58.12
06/28/2023,$60.07,10114600,$58.57,$61.46,$58.57
06/27/2023,$60.59,12291620,$57.91,$60.7672,$57.77
06/26/2023,$57.75,10316000,$58.08,$59.14,$57.68
06/23/2023,$57.82,24355930,$57.805,$58.26,$56.59
06/22/2023,$59.12,9138913,$58.18,$59.75,$58.0301
06/21/2023,$58.85,10386310,$60.62,$60.93,$58.72
06/20/2023,$60.83,10632960,$60.71,$62.00,$60.34
06/16/2023,$61.12,17328720,$62.81,$63.0707,$60.81
06/15/2023,$62.03,11443890,$62.18,$62.82,$61.55
06/14/2023,$62.96,13383860,$62.78,$63.03,$60.89
06/13/2023,$63.05,12424250,$63.32,$63.43,$61.81
06/12/2023,$62.05,15926570,$60.88,$62.29,$60.86
06/09/2023,$60.01,14411340,$60.86,$62.03,$59.5678
06/08/2023,$59.72,12180960,$59.205,$60.36,$58.36
06/07/2023,$59.33,23824510,$62.26,$63.64,$59.105
06/06/2023,$59.14,16472020,$58.10,$60.31,$58.04
06/05/2023,$58.03,15900530,$59.58,$59.60,$57.2599
06/02/2023,$60.18,18030090,$62.22,$62.48,$59.1309
06/01/2023,$61.10,24980260,$59.39,$62.10,$58.61
05/31/2023,$58.49,37896670,$61.80,$63.10,$58.33
05/30/2023,$63.40,51926530,$67.49,$67.99,$61.31
05/26/2023,$65.51,94307250,$58.665,$65.75,$58.58
05/25/2023,$49.47,37900260,$48.995,$49.73,$46.70
05/24/2023,$45.98,13802370,$45.50,$46.08,$45.00
05/23/2023,$46.59,12710560,$45.73,$47.2995,$45.73
05/22/2023,$46.44,9368292,$45.04,$46.64,$45.01
05/19/2023,$45.46,11055490,$44.93,$45.51,$44.70
05/18/2023,$44.74,17331520,$43.52,$45.065,$43.51
05/17/2023,$43.59,12472060,$42.30,$43.905,$42.035
05/16/2023,$41.67,10653210,$41.81,$42.32,$41.57
05/15/2023,$42.07,8838134,$40.33,$42.08,$40.19
05/12/2023,$40.12,8538645,$39.96,$40.13,$39.23
05/11/2023,$39.73,12547890,$40.26,$40.515,$39.301
05/10/2023,$40.43,11554510,$40.595,$40.90,$39.965
05/09/2023,$39.99,10792030,$40.194,$40.365,$39.76
05/08/2023,$41.01,7515723,$40.85,$41.19,$40.4725
05/05/2023,$40.97,14043240,$39.88,$41.29,$39.495
05/04/2023,$39.34,11618090,$39.125,$39.635,$38.63
05/03/2023,$39.52,10699070,$39.10,$40.32,$38.91
05/02/2023,$39.49,14932350,$39.61,$40.01,$38.89
05/01/2023,$40.01,11314750,$39.68,$40.25,$39.47
04/28/2023,$39.48,9647354,$38.76,$39.52,$38.56
04/27/2023,$38.63,15976180,$38.09,$38.87,$37.705
04/26/2023,$38.08,11898740,$37.70,$38.16,$37.42
04/25/2023,$36.91,11514920,$38.20,$38.2201,$36.90
