Date,Close/Last,Volume,Open,High,Low
10/20/2023,$73.13,11270640,$73.12,$73.999,$72.35
10/19/2023,$72.92,17486090,$74.87,$76.46,$72.885
10/18/2023,$74.88,34732280,$76.43,$77.07,$73.40
10/17/2023,$80.33,12324800,$77.99,$80.63,$77.98
10/16/2023,$78.73,7901524,$78.79,$79.18,$77.8725
10/13/2023,$77.79,6445763,$78.20,$79.23,$77.34
10/12/2023,$77.81,11654570,$78.87,$78.87,$77.29
10/11/2023,$78.90,8928687,$79.91,$80.21,$78.71
10/10/2023,$80.13,6245362,$80.25,$81.11,$80.015
10/09/2023,$79.91,5125005,$79.60,$80.085,$78.932
10/06/2023,$80.33,6306443,$78.72,$80.785,$78.40
10/05/2023,$79.15,5589440,$78.48,$79.54,$78.0191
10/04/2023,$79.09,6848690,$78.10,$79.29,$77.61
10/03/2023,$78.02,7526845,$79.58,$79.84,$77.83
10/02/2023,$80.41,6722197,$81.10,$81.465,$79.90
09/29/2023,$81.67,6830468,$83.01,$83.09,$81.025
09/28/2023,$82.19,5665377,$81.48,$82.545,$81.45
09/27/2023,$81.65,5708017,$82.41,$82.61,$81.09
09/26/2023,$82.17,5557145,$82.08,$82.7721,$81.7214
09/25/2023,$83.03,4748891,$82.63,$83.28,$82.30
09/22/2023,$83.29,7421222,$85.23,$85.23,$83.005
09/21/2023,$84.88,6935603,$86.34,$86.51,$84.83
09/20/2023,$87.14,5269810,$88.83,$89.15,$87.06
09/19/2023,$88.51,5769369,$88.78,$89.47,$87.94
09/18/2023,$88.71,5501891,$88.57,$89.05,$87.55
09/15/2023,$88.41,17629510,$88.185,$88.73,$87.94
09/14/2023,$89.07,8109570,$88.08,$89.105,$87.92
09/13/2023,$87.25,10617380,$86.15,$87.80,$86.15
09/12/2023,$85.55,8942608,$83.34,$86.53,$83.23
09/11/2023,$83.51,7780929,$85.38,$85.67,$83.35
09/08/2023,$84.92,6131023,$84.15,$84.95,$83.66
09/07/2023,$83.84,5504154,$83.99,$84.87,$83.78
09/06/2023,$84.16,5383994,$84.28,$84.75,$83.35
09/05/2023,$84.84,4919403,$85.84,$86.27,$84.81
09/01/2023,$85.75,4981833,$86.00,$86.45,$85.285
08/31/2023,$85.15,5581217,$85.67,$85.67,$84.76
08/30/2023,$85.26,5051894,$85.62,$86.00,$85.03
08/29/2023,$85.55,6212322,$84.41,$85.59,$84.32
08/28/2023,$84.38,6439847,$83.80,$84.87,$83.77
08/25/2023,$83.22,5461558,$83.69,$84.15,$82.74
08/24/2023,$83.44,5022983,$83.17,$84.75,$83.10
08/23/2023,$83.39,5878557,$83.00,$83.72,$82.88
08/22/2023,$82.98,6003306,$84.71,$84.77,$82.84
08/21/2023,$84.25,5385313,$85.02,$85.3148,$83.66
08/18/2023,$84.89,6649991,$84.96,$86.30,$84.705
