Date,Close/Last,Volume,Open,High,Low
01/05/2024,$95.90,607957,$96.25,$97.155,$95.65
01/04/2024,$96.91,361390,$97.13,$97.525,$96.32
01/03/2024,$97.13,272959,$98.90,$98.90,$97.03
01/02/2024,$99.50,575351,$100.55,$101.56,$99.30
12/29/2023,$101.26,212957,$101.29,$101.97,$100.94
12/28/2023,$101.58,257607,$101.84,$102.3174,$101.23
12/27/2023,$102.13,255181,$103.15,$103.505,$101.94
12/26/2023,$102.78,255622,$103.81,$104.155,$102.75
12/22/2023,$103.48,242340,$103.32,$104.25,$103.075
12/21/2023,$102.80,298280,$102.16,$103.00,$101.845
12/20/2023,$101.53,310738,$100.90,$102.58,$100.655
12/19/2023,$101.05,260748,$101.16,$101.96,$101.02
12/18/2023,$100.99,260031,$101.22,$101.34,$100.39
12/15/2023,$101.08,692052,$102.06,$102.13,$100.29
12/14/2023,$102.27,505507,$100.24,$103.03,$100.24
12/13/2023,$99.46,484381,$99.74,$100.40,$97.69
12/12/2023,$99.62,381518,$99.43,$100.525,$98.54
12/11/2023,$99.30,298223,$98.33,$99.32,$97.82
12/08/2023,$98.43,379269,$98.48,$99.21,$98.08
12/07/2023,$98.22,374736,$97.56,$99.345,$97.51
12/06/2023,$97.42,397642,$96.92,$98.38,$96.74
12/05/2023,$96.93,445844,$97.97,$98.23,$96.51
12/04/2023,$98.22,495610,$98.08,$98.80,$97.57
12/01/2023,$98.83,335544,$97.56,$99.01,$97.54
11/30/2023,$97.42,466545,$96.86,$97.775,$96.66
11/29/2023,$96.67,384596,$97.87,$98.34,$96.45
11/28/2023,$97.33,449768,$98.50,$99.15,$97.24
11/27/2023,$98.75,394145,$98.57,$99.32,$98.57
11/24/2023,$99.01,101093,$98.70,$99.46,$98.70
11/22/2023,$98.71,338606,$98.02,$99.195,$98.02
11/21/2023,$97.87,276356,$98.74,$99.115,$97.84
11/20/2023,$98.71,362501,$97.81,$99.06,$97.35
11/17/2023,$98.12,407718,$98.44,$98.81,$97.89
11/16/2023,$97.94,585696,$99.46,$100.06,$97.75
11/15/2023,$99.28,472553,$100.62,$101.00,$98.84
11/14/2023,$100.70,298473,$98.53,$100.97,$98.53
11/13/2023,$97.62,378287,$97.71,$98.165,$97.17
11/10/2023,$98.58,318068,$98.08,$98.60,$97.23
11/09/2023,$97.66,270946,$97.53,$98.53,$97.20
11/08/2023,$97.10,350478,$96.48,$97.345,$96.21
11/07/2023,$96.30,390577,$96.68,$96.90,$95.455
11/06/2023,$97.33,332041,$97.55,$97.81,$96.37
11/03/2023,$97.78,350971,$98.12,$98.52,$97.35
11/02/2023,$96.97,304942,$96.32,$97.10,$96.30
11/01/2023,$95.42,446057,$94.57,$95.42,$93.76
10/31/2023,$94.75,366701,$93.90,$95.06,$93.76
10/30/2023,$93.84,497182,$94.57,$94.57,$93.43
10/27/2023,$93.98,511785,$93.61,$95.29,$93.47
10/26/2023,$93.63,747578,$92.49,$94.30,$91.93
10/25/2023,$92.51,750697,$94.90,$94.90,$91.23
10/24/2023,$95.42,537720,$96.16,$96.185,$94.93
10/23/2023,$95.34,576939,$97.91,$98.08,$95.06
10/20/2023,$97.82,601632,$97.86,$98.40,$97.10
10/19/2023,$97.75,580509,$100.45,$100.89,$97.65
10/18/2023,$100.48,576935,$104.34,$105.52,$100.405
10/17/2023,$104.99,500716,$103.90,$105.7706,$103.90
10/16/2023,$104.17,268341,$104.73,$105.54,$103.53
10/13/2023,$104.04,383629,$105.43,$105.55,$103.68
10/12/2023,$105.01,637712,$104.24,$105.34,$103.64
10/11/2023,$103.20,505218,$101.66,$103.23,$101.52
10/10/2023,$100.87,439552,$101.87,$102.63,$100.77
10/09/2023,$101.32,653112,$100.00,$101.91,$99.71
10/06/2023,$99.72,426346,$98.40,$100.58,$98.40
10/05/2023,$98.60,397689,$98.94,$99.89,$98.50
10/04/2023,$99.45,492238,$97.05,$99.76,$97.05
10/03/2023,$96.76,344151,$97.46,$98.04,$96.35
10/02/2023,$97.57,385021,$98.28,$98.72,$96.89
09/29/2023,$98.15,542887,$98.71,$99.40,$97.82
09/28/2023,$98.25,366359,$97.26,$98.97,$97.10
09/27/2023,$97.07,422919,$95.81,$97.49,$95.81
09/26/2023,$95.41,314886,$95.11,$96.14,$95.02
09/25/2023,$95.50,219877,$94.91,$96.05,$94.91
09/22/2023,$95.09,228899,$94.54,$95.62,$94.54
09/21/2023,$94.68,209454,$95.08,$95.70,$94.50
09/20/2023,$95.24,281422,$96.20,$96.635,$95.06
09/19/2023,$95.76,277930,$96.42,$96.59,$95.581
09/18/2023,$96.34,441391,$96.60,$97.57,$96.01
09/15/2023,$96.32,824456,$95.55,$96.42,$94.97
09/14/2023,$95.91,368040,$95.79,$96.785,$95.53
09/13/2023,$94.87,433635,$96.67,$96.685,$93.97
09/12/2023,$96.69,310486,$95.92,$97.17,$95.92
09/11/2023,$96.37,274367,$96.22,$96.49,$95.39
09/08/2023,$95.93,338151,$95.81,$96.62,$95.555
09/07/2023,$95.85,625350,$95.20,$95.97,$94.20
09/06/2023,$95.66,1111270,$98.02,$98.02,$94.79
09/05/2023,$98.02,786251,$101.01,$101.05,$96.38
09/01/2023,$101.68,393990,$102.77,$102.77,$101.59
08/31/2023,$102.06,597202,$102.44,$102.64,$101.50
08/30/2023,$102.19,277176,$102.94,$103.22,$102.155
08/29/2023,$102.52,261081,$101.30,$102.84,$100.84
08/28/2023,$101.68,228767,$101.61,$102.77,$101.5775
08/25/2023,$101.35,291618,$101.00,$101.71,$100.55
08/24/2023,$100.77,357953,$100.45,$102.15,$100.45
08/23/2023,$100.64,304738,$100.05,$100.82,$99.62
08/22/2023,$99.75,265831,$100.53,$100.66,$99.44
08/21/2023,$100.30,373811,$100.75,$101.49,$99.01
08/18/2023,$100.78,263805,$99.78,$101.095,$99.78
08/17/2023,$100.20,311471,$100.20,$100.825,$99.86
08/16/2023,$100.12,193696,$101.12,$101.87,$99.98
08/15/2023,$101.07,308757,$101.87,$102.135,$100.80
08/14/2023,$102.09,340036,$102.97,$102.97,$101.54
08/11/2023,$102.88,340557,$102.48,$103.0299,$102.15
