Date,Close/Last,Volume,Open,High,Low
01/05/2024,$27.79,1368057,$27.56,$28.025,$27.53
01/04/2024,$27.70,1398176,$28.01,$28.045,$27.70
01/03/2024,$27.76,1792007,$27.42,$27.95,$27.30
01/02/2024,$28.22,1267319,$28.22,$28.415,$28.09
12/29/2023,$28.39,1048710,$28.56,$28.58,$28.28
12/28/2023,$28.59,737829,$28.72,$28.7899,$28.545
12/27/2023,$28.84,877122,$28.74,$28.9699,$28.72
12/26/2023,$28.75,632318,$28.70,$28.85,$28.66
12/22/2023,$28.64,1063015,$28.76,$28.84,$28.50
12/21/2023,$28.66,1351013,$28.50,$28.66,$28.29
12/20/2023,$28.30,2003607,$28.77,$28.86,$28.30
12/19/2023,$28.95,3201834,$28.59,$29.01,$28.585
12/18/2023,$28.69,5563404,$28.42,$28.995,$28.3807
12/15/2023,$27.11,2003319,$27.13,$27.3899,$27.045
12/14/2023,$27.24,2408561,$26.91,$27.32,$26.85
12/13/2023,$26.47,3519516,$25.99,$26.555,$25.635
12/12/2023,$25.87,1517911,$25.98,$25.98,$25.68
12/11/2023,$25.71,1167740,$25.66,$25.785,$25.525
12/08/2023,$25.35,1370289,$25.47,$25.725,$25.33
12/07/2023,$25.52,1487610,$25.42,$25.54,$25.32
12/06/2023,$25.23,1238684,$25.64,$25.725,$25.195
12/05/2023,$25.26,1720793,$25.45,$25.48,$25.21
12/04/2023,$25.44,1434434,$25.43,$25.65,$25.36
12/01/2023,$25.57,1840759,$25.22,$25.70,$25.13
11/30/2023,$25.19,1819181,$25.06,$25.395,$24.93
11/29/2023,$25.04,1812549,$25.23,$25.27,$24.97
11/28/2023,$24.59,1725016,$24.72,$24.825,$24.55
11/27/2023,$24.63,1619089,$24.65,$24.675,$24.44
11/24/2023,$24.36,1016463,$24.43,$24.605,$24.335
11/22/2023,$24.22,2344629,$24.25,$24.34,$24.105
11/21/2023,$23.86,1848598,$23.90,$24.065,$23.805
11/20/2023,$23.93,2352934,$23.97,$24.11,$23.92
11/17/2023,$23.99,1563740,$23.85,$24.075,$23.775
11/16/2023,$23.41,1368835,$23.44,$23.58,$23.235
11/15/2023,$23.43,1945543,$23.47,$23.83,$23.42
11/14/2023,$23.11,3483080,$22.77,$23.23,$22.75
11/13/2023,$21.78,1736045,$21.95,$22.03,$21.77
11/10/2023,$21.90,3223947,$21.82,$21.955,$21.4807
11/09/2023,$22.08,2735649,$22.80,$22.8596,$22.07
11/08/2023,$22.72,3339186,$22.78,$22.99,$22.72
11/07/2023,$22.96,1492791,$22.83,$22.995,$22.77
11/06/2023,$23.41,1945465,$23.33,$23.445,$23.24
11/03/2023,$23.26,1697613,$23.25,$23.45,$23.23
11/02/2023,$23.10,3455383,$22.91,$23.16,$22.83
11/01/2023,$22.04,1641336,$22.04,$22.115,$21.72
10/31/2023,$22.02,3955823,$21.96,$22.245,$21.82
