Date,Close/Last,Volume,Open,High,Low
10/23/2023,$63.77,1632462,$64.02,$65.53,$63.24
10/20/2023,$65.00,1964613,$66.92,$67.71,$64.98
10/19/2023,$66.78,2034222,$64.72,$67.35,$64.12
10/18/2023,$65.33,1557832,$65.30,$65.77,$64.4045
10/17/2023,$64.91,1586644,$64.03,$65.62,$64.03
10/16/2023,$63.98,980838,$64.18,$64.23,$63.08
10/13/2023,$63.51,1614465,$61.97,$64.33,$61.955
10/12/2023,$60.64,1952048,$61.65,$61.65,$59.79
10/11/2023,$59.32,1184291,$58.80,$59.785,$57.92
10/10/2023,$59.72,1026894,$59.35,$60.26,$59.19
10/09/2023,$59.35,1304310,$57.72,$60.00,$57.5044
10/06/2023,$55.44,1576663,$54.41,$56.53,$53.30
10/05/2023,$53.63,1117276,$53.38,$54.41,$53.14
10/04/2023,$54.20,1354863,$56.29,$56.48,$53.42
10/03/2023,$56.86,727065,$56.41,$57.0721,$55.85
10/02/2023,$56.72,1433332,$59.53,$59.61,$56.22
09/29/2023,$59.48,1099966,$60.94,$60.94,$59.07
09/28/2023,$60.70,1622802,$60.70,$61.69,$60.35
09/27/2023,$61.26,2723692,$59.81,$61.94,$59.58
09/26/2023,$58.65,1206386,$57.73,$59.00,$57.73
09/25/2023,$58.37,750908,$57.26,$58.5896,$57.02
09/22/2023,$57.26,1005603,$58.06,$58.44,$56.855
09/21/2023,$57.44,1043190,$58.11,$58.50,$57.12
09/20/2023,$58.03,1620693,$59.84,$60.63,$57.96
09/19/2023,$60.30,1307126,$62.08,$62.35,$59.57
09/18/2023,$61.30,1220211,$63.00,$63.00,$61.12
09/15/2023,$61.56,2698954,$62.12,$62.82,$61.245
09/14/2023,$62.88,1068692,$63.88,$64.1908,$62.57
09/13/2023,$62.66,1071174,$63.61,$63.7246,$61.72
09/12/2023,$63.19,1470484,$62.00,$63.38,$61.82
09/11/2023,$61.12,1709635,$63.57,$63.78,$60.51
09/08/2023,$63.34,1268458,$63.22,$63.77,$62.78
09/07/2023,$62.85,1348286,$63.55,$64.06,$62.175
09/06/2023,$63.90,922281,$63.34,$64.49,$62.97
09/05/2023,$63.55,1214219,$64.75,$65.435,$63.50
09/01/2023,$64.54,1065661,$64.00,$64.73,$63.89
08/31/2023,$63.50,1131458,$62.78,$63.70,$62.06
08/30/2023,$62.68,1278726,$61.95,$62.9364,$61.51
08/29/2023,$61.60,801475,$61.00,$61.9185,$60.50
08/28/2023,$61.09,910858,$61.52,$62.045,$60.785
08/25/2023,$60.83,1600889,$60.88,$61.07,$59.76
08/24/2023,$59.95,991109,$59.94,$61.23,$59.83
08/23/2023,$60.76,889242,$60.22,$60.97,$59.365
08/22/2023,$60.88,1330780,$61.62,$62.30,$60.70
08/21/2023,$61.57,1479675,$61.42,$62.44,$60.8638
08/18/2023,$60.99,1501102,$59.56,$61.04,$59.56
08/17/2023,$60.37,1887854,$59.99,$60.95,$59.6575
08/16/2023,$58.78,2491979,$58.61,$60.05,$58.51
08/15/2023,$57.82,839237,$58.71,$58.7346,$57.52
08/14/2023,$59.28,881034,$58.00,$59.38,$57.51
08/11/2023,$58.63,935964,$57.81,$59.26,$57.51
08/10/2023,$57.95,1054010,$58.86,$59.41,$57.4738
08/09/2023,$59.01,1299804,$59.70,$60.70,$58.83
08/08/2023,$58.93,1035387,$56.88,$59.20,$56.61
08/07/2023,$58.60,895735,$58.50,$58.88,$57.77
08/04/2023,$58.36,1362658,$58.00,$58.43,$56.97
08/03/2023,$57.41,1393854,$56.19,$57.89,$55.255
08/02/2023,$55.37,1219348,$55.07,$55.92,$54.04
08/01/2023,$56.25,1647278,$54.91,$56.41,$53.70
07/31/2023,$55.63,1384909,$54.50,$55.64,$54.18
07/28/2023,$53.77,1433006,$53.76,$54.00,$52.95
07/27/2023,$53.24,2633900,$53.90,$55.38,$52.42
07/26/2023,$52.76,5261939,$55.50,$55.50,$52.305
07/25/2023,$56.54,1719249,$56.70,$57.785,$55.90
07/24/2023,$56.72,1263255,$55.93,$57.60,$55.83
07/21/2023,$55.83,1334915,$56.00,$56.13,$54.94
07/20/2023,$55.54,1015290,$56.45,$56.45,$54.36
07/19/2023,$55.58,1398411,$55.40,$56.21,$54.945
07/18/2023,$55.35,1650163,$52.72,$55.54,$52.55
07/17/2023,$52.59,1370032,$52.00,$53.04,$51.90
07/14/2023,$52.23,1724835,$54.52,$54.76,$52.15
07/13/2023,$55.19,1925650,$54.02,$56.20,$53.88
07/12/2023,$53.85,2647335,$54.48,$54.55,$53.30
07/11/2023,$53.84,1313463,$52.75,$53.92,$52.46
07/10/2023,$52.26,1285320,$51.10,$52.28,$51.00
07/07/2023,$51.45,3210106,$50.07,$52.17,$50.07
07/06/2023,$50.26,885562,$51.29,$51.66,$49.12
07/05/2023,$51.84,1421298,$52.66,$52.69,$51.69
07/03/2023,$52.31,595615,$52.30,$53.08,$52.02
06/30/2023,$52.32,2278719,$52.08,$52.975,$51.32
06/29/2023,$51.74,1272277,$50.54,$51.84,$50.15
06/28/2023,$50.18,2585193,$50.24,$50.875,$49.67
06/27/2023,$50.16,1243635,$49.88,$50.72,$49.25
06/26/2023,$49.93,1113240,$49.70,$50.69,$49.69
06/23/2023,$49.64,5788986,$48.12,$50.28,$48.01
06/22/2023,$49.01,1154477,$49.06,$49.24,$48.24
06/21/2023,$50.17,980899,$48.83,$50.415,$48.42
