Date,Close/Last,Volume,Open,High,Low
01/05/2024,$81.83,454352,$82.53,$83.49,$81.33
01/04/2024,$82.75,558869,$83.58,$83.851,$81.76
01/03/2024,$85.72,642336,$89.13,$89.13,$84.44
01/02/2024,$90.28,409384,$91.95,$92.28,$88.96
12/29/2023,$92.95,277952,$94.33,$94.54,$92.79
12/28/2023,$94.46,257109,$95.21,$95.69,$94.06
12/27/2023,$95.30,185484,$95.51,$95.75,$94.5601
12/26/2023,$95.51,191847,$94.52,$96.09,$94.52
12/22/2023,$94.36,180551,$94.42,$95.18,$93.86
12/21/2023,$94.05,301085,$92.94,$94.15,$92.73
12/20/2023,$91.65,492434,$93.00,$94.66,$91.60
12/19/2023,$94.02,242882,$93.44,$94.73,$92.98
12/18/2023,$92.985,344282,$92.80,$93.17,$90.556
12/15/2023,$92.89,908293,$94.01,$94.41,$92.06
12/14/2023,$92.09,494470,$90.97,$93.4599,$89.97
12/13/2023,$89.94,425811,$87.96,$90.48,$87.41
12/12/2023,$88.13,355409,$87.41,$88.19,$86.43
12/11/2023,$87.70,309105,$86.73,$88.14,$86.73
12/08/2023,$86.38,304205,$84.54,$87.01,$83.63
12/07/2023,$84.81,288816,$84.88,$85.73,$84.16
12/06/2023,$84.17,256699,$85.92,$86.97,$84.09
12/05/2023,$84.86,360565,$84.62,$85.05,$83.5728
12/04/2023,$85.10,457801,$84.88,$85.95,$84.335
12/01/2023,$85.41,566458,$83.59,$85.66,$83.415
11/30/2023,$83.98,390206,$83.89,$84.12,$82.13
11/29/2023,$83.53,404478,$84.49,$85.25,$83.15
11/28/2023,$82.94,418440,$83.97,$83.97,$81.92
11/27/2023,$84.67,588732,$83.85,$84.82,$81.36
11/24/2023,$84.38,213126,$83.93,$84.38,$83.52
11/22/2023,$84.20,555479,$83.29,$84.42,$82.715
11/21/2023,$82.79,278687,$83.27,$83.61,$81.89
11/20/2023,$84.03,439179,$83.05,$84.62,$79.51
11/17/2023,$83.09,454744,$81.11,$83.15,$80.915
11/16/2023,$81.07,310001,$81.15,$81.99,$80.62
11/15/2023,$81.91,495973,$82.13,$83.49,$81.06
11/14/2023,$81.93,906028,$80.04,$83.08,$79.71
11/13/2023,$78.33,611445,$76.44,$78.55,$75.15
11/10/2023,$77.10,469169,$73.05,$77.24,$72.56
11/09/2023,$72.41,601786,$73.82,$77.64,$72.15
11/08/2023,$73.01,405144,$73.80,$74.35,$72.39
11/07/2023,$73.92,329713,$73.74,$74.53,$73.29
11/06/2023,$73.73,366814,$75.00,$75.37,$73.12
11/03/2023,$75.04,589007,$73.53,$75.61,$73.23
11/02/2023,$72.75,542960,$71.98,$73.31,$71.01
11/01/2023,$70.61,573820,$70.60,$71.12,$69.51
10/31/2023,$70.54,448620,$69.89,$71.03,$68.58
10/30/2023,$70.24,343476,$71.30,$71.56,$69.70
10/27/2023,$72.00,397471,$71.63,$72.12,$70.18
10/26/2023,$70.82,432730,$72.52,$72.88,$70.55
10/25/2023,$72.11,288230,$73.72,$74.45,$72.03
10/24/2023,$74.96,300447,$74.09,$75.56,$73.59
10/23/2023,$73.68,482549,$75.03,$75.10,$73.52
10/20/2023,$75.34,370444,$76.78,$77.31,$75.33
10/19/2023,$76.66,257949,$78.80,$78.94,$76.55
10/18/2023,$78.31,156690,$77.78,$79.33,$77.08
10/17/2023,$79.30,390314,$78.85,$79.85,$75.81
10/16/2023,$80.21,258401,$79.91,$81.42,$79.90
10/13/2023,$79.68,323640,$83.28,$83.64,$79.4395
10/12/2023,$82.69,243911,$83.17,$83.40,$81.23
10/11/2023,$83.09,197725,$82.95,$83.40,$82.43
10/10/2023,$82.71,235970,$82.74,$84.06,$82.51
10/09/2023,$82.16,189970,$80.53,$82.24,$79.69
