Date,Close/Last,Volume,Open,High,Low
10/23/2023,$46.12,1558325,$46.73,$46.86,$45.73
10/20/2023,$47.14,1249161,$47.77,$48.01,$46.82
10/19/2023,$47.85,1414514,$47.22,$48.47,$46.92
10/18/2023,$47.63,963451,$47.67,$48.07,$47.29
10/17/2023,$47.34,1271360,$46.99,$47.91,$46.775
10/16/2023,$47.06,1312788,$47.00,$47.34,$46.24
10/13/2023,$46.45,1183016,$46.06,$46.929,$45.895
10/12/2023,$45.09,1783148,$45.19,$45.455,$44.77
10/11/2023,$44.60,1430955,$44.06,$44.71,$43.71
10/10/2023,$44.73,1565626,$45.00,$45.385,$44.70
10/09/2023,$45.12,1643790,$43.95,$45.39,$43.73
10/06/2023,$42.55,1602153,$42.51,$43.16,$41.62
10/05/2023,$42.13,1379802,$42.02,$42.77,$42.00
10/04/2023,$42.54,1422413,$43.73,$43.73,$42.08
10/03/2023,$44.35,1305020,$43.64,$44.46,$43.515
10/02/2023,$43.88,1299434,$45.63,$45.63,$43.3808
09/29/2023,$45.35,1655702,$46.05,$46.29,$45.26
09/28/2023,$46.20,1337905,$46.25,$46.80,$45.85
09/27/2023,$46.42,1751271,$45.79,$46.85,$45.65
09/26/2023,$45.22,1470715,$44.59,$45.58,$44.56
09/25/2023,$45.11,1533251,$43.97,$45.18,$43.96
09/22/2023,$43.75,1278927,$43.98,$44.45,$43.50
09/21/2023,$43.59,1532460,$44.39,$44.74,$43.44
09/20/2023,$44.33,1274006,$44.90,$45.73,$44.295
09/19/2023,$45.24,1231679,$46.01,$46.16,$44.79
09/18/2023,$45.45,1291194,$46.12,$46.12,$45.10
09/15/2023,$45.26,3474754,$45.79,$46.19,$45.20
09/14/2023,$46.16,950520,$46.54,$47.03,$46.105
09/13/2023,$45.86,1143110,$46.42,$46.42,$45.40
09/12/2023,$46.40,1139586,$45.54,$46.51,$45.48
09/11/2023,$44.94,1156055,$46.83,$46.955,$44.775
09/08/2023,$46.52,1182353,$46.56,$46.95,$46.315
09/07/2023,$46.31,1835233,$46.32,$46.92,$46.105
09/06/2023,$46.25,1600805,$46.29,$46.9139,$45.9436
09/05/2023,$46.46,1666364,$46.71,$47.31,$46.45
09/01/2023,$46.47,1606083,$46.00,$46.65,$45.785
08/31/2023,$45.40,1163116,$45.76,$45.76,$45.22
08/30/2023,$45.61,902707,$45.58,$45.8317,$45.38
08/29/2023,$45.30,1162930,$45.22,$45.405,$44.80
08/28/2023,$45.14,724874,$45.04,$45.68,$44.92
08/25/2023,$44.70,1278210,$44.96,$45.11,$44.245
08/24/2023,$44.51,942316,$44.29,$45.19,$44.26
08/23/2023,$44.71,1188208,$44.58,$44.79,$44.04
08/22/2023,$44.79,846075,$45.24,$45.51,$44.72
08/21/2023,$45.21,1037849,$45.69,$45.99,$44.99
08/18/2023,$45.36,1488894,$44.62,$45.445,$44.52
08/17/2023,$45.09,2021306,$45.00,$45.99,$44.715
08/16/2023,$44.06,1575655,$44.25,$45.205,$43.995
08/15/2023,$43.92,1795149,$43.68,$44.17,$43.40
08/14/2023,$44.04,955223,$43.90,$44.16,$43.55
08/11/2023,$44.08,1597560,$43.68,$44.42,$43.56
08/10/2023,$44.09,1307276,$44.57,$44.985,$43.78
08/09/2023,$44.71,1739660,$44.42,$45.575,$44.13
08/08/2023,$43.96,1463018,$42.48,$44.26,$42.25
08/07/2023,$43.58,1190696,$43.50,$43.83,$43.035
08/04/2023,$43.66,1835529,$43.68,$44.10,$42.94
08/03/2023,$43.30,2444865,$42.20,$43.60,$41.38
08/02/2023,$41.81,2104072,$42.49,$42.605,$41.40
08/01/2023,$43.00,1284433,$42.87,$43.10,$42.195
07/31/2023,$43.27,1599715,$42.92,$43.29,$42.54
07/28/2023,$42.49,919228,$42.19,$42.67,$41.63
07/27/2023,$41.85,1172193,$42.56,$42.74,$41.62
07/26/2023,$42.14,1162223,$42.02,$42.48,$41.76
07/25/2023,$42.38,5051221,$41.99,$42.78,$41.78
07/24/2023,$41.93,1517302,$41.68,$42.45,$41.60
07/21/2023,$41.38,1316228,$41.28,$41.45,$40.83
07/20/2023,$40.98,1355471,$41.23,$41.36,$40.51
07/19/2023,$40.66,1785888,$40.63,$41.62,$40.16
07/18/2023,$40.36,1846960,$39.16,$40.675,$39.05
07/17/2023,$39.22,1298842,$39.16,$39.67,$39.05
07/14/2023,$39.17,1560279,$40.79,$40.79,$39.09
07/13/2023,$41.26,1324815,$40.99,$41.80,$40.74
07/12/2023,$40.92,1870126,$40.87,$41.64,$40.65
07/11/2023,$40.58,1460801,$39.64,$40.785,$39.41
07/10/2023,$39.28,1558815,$38.17,$39.30,$38.08
07/07/2023,$38.46,1957803,$36.77,$38.92,$36.77
07/06/2023,$36.93,1827538,$37.55,$37.69,$36.34
07/05/2023,$37.91,1674281,$38.37,$38.37,$37.67
07/03/2023,$38.18,1011505,$38.18,$38.53,$37.87
06/30/2023,$38.30,1378269,$39.04,$39.04,$38.30
06/29/2023,$38.51,1680096,$38.50,$39.08,$38.26
06/28/2023,$38.33,828011,$38.07,$38.46,$37.43
06/27/2023,$38.00,1545997,$37.73,$38.265,$37.299
06/26/2023,$37.93,2099070,$37.48,$38.31,$37.38
06/23/2023,$37.46,6348826,$36.83,$37.54,$36.55
06/22/2023,$37.70,2198414,$37.63,$37.89,$37.25
06/21/2023,$38.32,1056498,$38.10,$39.09,$38.05
06/20/2023,$38.13,1897459,$38.69,$38.69,$37.42
06/16/2023,$38.90,2444142,$39.12,$39.12,$38.30
06/15/2023,$38.56,1339599,$37.74,$38.69,$37.59
06/14/2023,$37.67,1861107,$38.56,$38.85,$37.14
06/13/2023,$38.14,1682734,$38.49,$39.22,$38.00
06/12/2023,$37.99,1745699,$37.57,$38.4544,$37.41
06/09/2023,$38.41,893054,$38.54,$39.05,$38.18
06/08/2023,$38.61,1422135,$39.15,$39.48,$38.02
06/07/2023,$39.19,2216230,$37.71,$39.35,$37.71
06/06/2023,$37.46,1624466,$36.08,$37.57,$36.00
06/05/2023,$36.71,1938963,$38.66,$38.77,$36.68
06/02/2023,$37.87,1740199,$36.82,$38.145,$36.43
06/01/2023,$35.76,1574023,$34.91,$36.22,$34.59
05/31/2023,$34.80,1581097,$34.85,$35.13,$34.53
05/30/2023,$35.53,1071793,$35.75,$35.82,$34.92
05/26/2023,$36.45,1083262,$36.48,$36.68,$35.78
05/25/2023,$36.10,1909532,$36.52,$36.84,$35.59
05/24/2023,$37.39,1559665,$36.81,$37.76,$36.435
05/23/2023,$36.59,1912079,$36.40,$37.41,$36.28
05/22/2023,$36.14,2474158,$35.08,$36.77,$35.08
05/19/2023,$35.08,1725100,$35.83,$36.03,$34.88
05/18/2023,$35.45,1578068,$34.52,$35.48,$34.05
05/17/2023,$34.90,1566000,$33.79,$34.92,$33.40
05/16/2023,$33.23,1205423,$33.56,$33.83,$33.085
05/15/2023,$33.83,1086989,$33.75,$34.22,$33.36
05/12/2023,$33.28,953746,$33.62,$33.91,$32.80
05/11/2023,$33.47,1873926,$33.35,$33.69,$32.92
05/10/2023,$33.99,1373200,$34.86,$34.89,$33.46
05/09/2023,$34.55,1860908,$34.18,$34.84,$34.00
05/08/2023,$34.51,2010899,$35.50,$35.6796,$34.44
05/05/2023,$34.70,2232584,$34.68,$35.165,$34.48
05/04/2023,$33.38,2354200,$34.07,$34.87,$33.24
05/03/2023,$34.17,3932642,$33.50,$35.81,$33.00
05/02/2023,$34.28,2361288,$35.61,$35.83,$33.66
05/01/2023,$36.33,1134426,$36.08,$36.76,$35.87
04/28/2023,$36.71,1414874,$35.85,$36.97,$35.52
04/27/2023,$35.87,1148065,$35.44,$35.90,$34.89
04/26/2023,$35.29,1988231,$35.98,$36.37,$34.72
04/25/2023,$36.37,1412928,$36.78,$37.05,$36.01
04/24/2023,$37.53,1333658,$37.13,$37.86,$37.0139
04/21/2023,$37.19,1290950,$37.69,$37.69,$36.67
04/20/2023,$37.47,2073872,$37.35,$37.68,$36.925
04/19/2023,$37.99,1932112,$38.08,$38.27,$37.33
04/18/2023,$38.90,1287417,$38.92,$39.32,$38.43
04/17/2023,$38.91,1707072,$39.02,$39.25,$38.50
04/14/2023,$39.10,1137960,$38.81,$39.24,$38.41
04/13/2023,$38.66,1810714,$38.76,$39.33,$38.59
04/12/2023,$38.89,1383654,$39.53,$39.92,$38.88
04/11/2023,$39.50,1942644,$39.89,$40.03,$39.27
04/10/2023,$38.71,2612066,$38.65,$39.37,$38.29
04/06/2023,$38.34,927983,$39.08,$39.08,$38.31
04/05/2023,$39.00,1194771,$38.68,$39.17,$38.05
04/04/2023,$38.77,1705560,$40.00,$40.00,$37.99
04/03/2023,$39.72,2054969,$38.99,$40.13,$38.92
03/31/2023,$36.98,1359396,$36.63,$37.059,$36.50
03/30/2023,$36.46,834720,$37.15,$37.15,$36.39
03/29/2023,$36.77,1039148,$36.70,$36.99,$36.39
03/28/2023,$36.04,910622,$35.70,$36.545,$35.4373
03/27/2023,$35.85,1804394,$35.04,$36.07,$34.70
03/24/2023,$34.50,1577904,$33.65,$34.57,$33.35
03/23/2023,$34.42,1266356,$35.22,$35.89,$34.04
03/22/2023,$35.14,1569230,$36.25,$36.63,$35.13
03/21/2023,$36.19,1095367,$35.88,$36.38,$35.49
03/20/2023,$34.80,1352643,$33.68,$35.14,$33.60
03/17/2023,$33.44,3892526,$34.61,$34.88,$33.17
03/16/2023,$35.00,1762733,$33.25,$35.12,$33.01
03/15/2023,$34.28,3626829,$34.36,$35.21,$33.23
03/14/2023,$36.10,2712701,$36.12,$38.05,$35.46
