Date,Close/Last,Volume,Open,High,Low
10/25/2023,$13.72,12522020,$13.85,$13.89,$13.55
10/24/2023,$13.95,11715860,$14.02,$14.25,$13.88
10/23/2023,$13.92,14019550,$13.46,$14.20,$13.38
10/20/2023,$13.58,17200930,$13.75,$13.9529,$13.52
10/19/2023,$13.96,16537260,$14.33,$14.495,$13.95
10/18/2023,$14.32,16858360,$14.81,$15.00,$14.29
10/17/2023,$15.14,10045400,$14.88,$15.25,$14.73
10/16/2023,$14.96,13286800,$15.06,$15.25,$14.91
10/13/2023,$14.86,16340420,$15.27,$15.395,$14.71
10/12/2023,$15.49,15999370,$15.78,$16.025,$15.34
10/11/2023,$15.66,21877650,$16.62,$16.765,$15.535
10/10/2023,$16.61,15548020,$16.71,$16.98,$16.495
10/09/2023,$16.65,18034670,$15.85,$16.67,$15.70
10/06/2023,$16.65,8795101,$16.20,$16.78,$16.095
10/05/2023,$16.44,12440730,$16.62,$16.78,$16.39
10/04/2023,$16.46,14783280,$15.97,$16.48,$15.95
10/03/2023,$15.85,19437900,$16.28,$16.42,$15.6469
10/02/2023,$16.44,14375780,$16.26,$16.915,$16.26
09/29/2023,$16.48,28030210,$16.71,$17.08,$16.05
09/28/2023,$16.94,16671790,$16.12,$17.08,$16.11
09/27/2023,$16.29,16727930,$15.47,$16.35,$15.47
09/26/2023,$15.39,12887490,$15.09,$15.56,$15.06
09/25/2023,$15.18,12682570,$15.38,$15.695,$15.14
09/22/2023,$15.66,16795380,$17.05,$17.09,$15.66
09/21/2023,$16.92,11253750,$17.00,$17.15,$16.84
09/20/2023,$17.17,10352770,$17.43,$17.54,$17.115
09/19/2023,$17.34,11874160,$17.16,$17.47,$17.11
09/18/2023,$17.12,9417903,$17.06,$17.29,$16.97
09/15/2023,$17.23,11431650,$17.28,$17.45,$17.04
09/14/2023,$17.28,14045660,$16.63,$17.345,$16.565
09/13/2023,$16.35,12143520,$16.56,$16.63,$16.23
09/12/2023,$16.65,9384125,$16.595,$16.80,$16.42
09/11/2023,$16.66,12523360,$16.59,$16.76,$16.015
09/08/2023,$16.30,8940755,$16.44,$16.74,$16.24
09/07/2023,$16.49,10641420,$16.42,$16.57,$16.14
09/06/2023,$16.59,11279170,$16.35,$16.69,$16.335
09/05/2023,$16.66,13379540,$16.32,$16.70,$15.92
09/01/2023,$16.40,6328506,$16.65,$16.69,$16.255
08/31/2023,$16.57,4903225,$16.53,$16.715,$16.47
08/30/2023,$16.54,7819826,$16.80,$16.92,$16.50
08/29/2023,$16.91,8671059,$16.58,$17.02,$16.485
08/28/2023,$16.68,7259814,$17.00,$17.12,$16.66
08/25/2023,$16.87,7809662,$16.94,$17.10,$16.70
08/24/2023,$16.93,7846302,$17.46,$17.60,$16.92
08/23/2023,$17.57,9974433,$17.30,$17.82,$17.02
08/22/2023,$17.26,9782299,$17.15,$17.305,$16.90
08/21/2023,$17.01,8182623,$16.82,$17.01,$16.695
08/18/2023,$16.68,8038566,$16.51,$16.90,$16.49
08/17/2023,$16.78,9898009,$17.20,$17.29,$16.70
08/16/2023,$17.12,9457470,$17.51,$17.70,$17.12
08/15/2023,$17.65,8872438,$17.71,$17.82,$17.54
08/14/2023,$17.80,6339178,$17.57,$17.82,$17.48
08/11/2023,$17.68,7945423,$17.73,$17.87,$17.56
08/10/2023,$17.97,9678711,$18.10,$18.24,$17.765
08/09/2023,$17.90,10032400,$18.41,$18.54,$17.85
08/08/2023,$18.42,9586494,$18.19,$18.46,$17.965
08/07/2023,$18.48,14394030,$18.10,$18.56,$18.00
08/04/2023,$17.95,14479950,$18.44,$18.44,$17.82
08/03/2023,$18.28,16112630,$18.38,$18.675,$18.03
