Date,Close/Last,Volume,Open,High,Low
10/20/2023,$51.96,17798910,$51.95,$52.69,$51.69
10/19/2023,$52.39,11580430,$53.28,$53.99,$52.38
10/18/2023,$53.24,13593320,$54.08,$54.775,$53.07
10/17/2023,$54.17,13365490,$53.58,$54.8364,$53.55
10/16/2023,$54.38,17089370,$54.49,$55.04,$53.56
10/13/2023,$54.49,22321200,$53.53,$55.25,$53.50
10/12/2023,$53.00,27972800,$53.07,$53.97,$52.23
10/11/2023,$53.54,22401370,$52.05,$53.57,$51.70
10/10/2023,$51.58,23164340,$49.68,$51.62,$49.52
10/09/2023,$49.32,20644630,$49.69,$50.42,$48.38
10/06/2023,$50.24,24718490,$49.055,$50.50,$47.145
10/05/2023,$49.45,29911390,$49.81,$50.13,$48.235
10/04/2023,$50.62,28467450,$53.71,$53.95,$50.54
10/03/2023,$52.78,36257520,$52.07,$53.11,$50.495
10/02/2023,$52.15,54022780,$56.08,$56.38,$50.18
09/29/2023,$57.29,19047600,$57.67,$58.755,$56.98
09/28/2023,$57.08,31153830,$60.30,$60.70,$56.98
09/27/2023,$59.96,25606210,$64.70,$64.99,$59.53
09/26/2023,$65.34,9042592,$67.12,$67.19,$65.27
09/25/2023,$67.47,8656485,$67.22,$67.495,$66.78
09/22/2023,$67.70,11796660,$66.50,$68.39,$66.345
09/21/2023,$66.91,9460787,$67.11,$67.71,$66.77
09/20/2023,$67.35,5804231,$68.07,$68.135,$67.24
09/19/2023,$67.59,8215771,$68.05,$68.16,$67.345
09/18/2023,$68.24,7534094,$68.81,$68.86,$67.91
09/15/2023,$68.64,18391420,$69.34,$69.89,$68.60
09/14/2023,$69.28,7944919,$68.90,$69.35,$68.42
09/13/2023,$68.43,8925740,$67.88,$68.77,$67.88
09/12/2023,$67.73,7171538,$67.50,$68.03,$67.105
09/11/2023,$67.53,7981595,$67.00,$67.89,$66.95
09/08/2023,$66.83,7485845,$66.26,$67.00,$66.07
09/07/2023,$66.25,9981143,$66.28,$66.97,$65.87
09/06/2023,$65.69,9250260,$66.03,$66.41,$65.355
09/05/2023,$66.20,10002870,$66.82,$67.27,$65.805
09/01/2023,$66.87,8296631,$67.34,$67.57,$66.45
08/31/2023,$66.80,11797760,$67.50,$67.785,$66.73
08/30/2023,$67.09,7461489,$67.36,$67.7301,$66.82
08/29/2023,$67.51,11209660,$67.78,$67.85,$67.11
08/28/2023,$68.02,7152597,$68.25,$68.595,$67.984
08/25/2023,$67.96,10114250,$67.30,$68.215,$67.23
08/24/2023,$67.22,9242494,$67.89,$68.41,$67.08
08/23/2023,$67.89,7721840,$68.07,$68.14,$67.30
08/22/2023,$67.52,7370570,$67.11,$67.82,$66.76
08/21/2023,$67.08,6856055,$67.75,$67.80,$66.6749
08/18/2023,$67.83,6291293,$67.34,$68.06,$67.33
08/17/2023,$67.51,6677561,$67.34,$68.15,$67.29
08/16/2023,$67.56,6433500,$67.72,$67.95,$67.305
08/15/2023,$67.35,7704092,$68.15,$68.23,$67.17
08/14/2023,$68.56,8021137,$68.85,$68.93,$68.30
08/11/2023,$68.92,6524199,$68.30,$68.94,$68.16
08/10/2023,$68.29,7959864,$69.30,$69.66,$68.15
08/09/2023,$68.92,7452963,$68.79,$69.58,$68.51
08/08/2023,$68.71,8889954,$68.34,$68.95,$67.91
08/07/2023,$68.64,8397223,$69.50,$69.725,$68.61
08/04/2023,$69.17,9140539,$70.55,$70.69,$69.015
08/03/2023,$70.10,9075969,$71.20,$71.50,$70.06
08/02/2023,$71.91,6590418,$71.505,$72.345,$71.46
08/01/2023,$72.17,6725407,$73.32,$73.8099,$72.09
07/31/2023,$73.30,10877530,$73.40,$74.475,$73.04
07/28/2023,$72.85,6231189,$73.75,$74.38,$72.48
07/27/2023,$73.27,10185630,$73.94,$74.89,$73.19
07/26/2023,$74.37,7244567,$74.89,$76.19,$73.8819
07/25/2023,$75.44,8847806,$75.76,$75.94,$74.62
07/24/2023,$75.50,8609665,$75.88,$76.67,$75.3729
07/21/2023,$75.90,11878440,$74.42,$76.27,$74.30
07/20/2023,$74.10,9221590,$72.10,$74.13,$71.645
07/19/2023,$72.10,7464792,$72.36,$72.9251,$72.045
07/18/2023,$72.05,7239505,$72.77,$73.08,$71.30
07/17/2023,$72.66,5149275,$72.96,$73.42,$72.45
07/14/2023,$73.20,6463743,$73.48,$73.75,$72.79
