Date,Close/Last,Volume,Open,High,Low
01/05/2024,$19.45,1263659,$19.31,$19.74,$19.30
01/04/2024,$19.54,1817587,$19.73,$19.73,$19.325
01/03/2024,$19.54,1937627,$20.19,$20.19,$19.47
01/02/2024,$20.35,1916057,$19.94,$20.72,$19.80
12/29/2023,$20.11,1174510,$20.32,$20.44,$20.11
12/28/2023,$20.44,1637384,$20.42,$20.61,$20.345
12/27/2023,$20.55,1119042,$20.64,$20.67,$20.395
12/26/2023,$20.55,990512,$20.74,$20.81,$20.49
12/22/2023,$20.63,891341,$20.71,$20.89,$20.465
12/21/2023,$20.70,1544259,$20.16,$20.755,$20.14
12/20/2023,$19.99,1652189,$20.20,$20.585,$19.96
12/19/2023,$20.20,1605855,$19.77,$20.29,$18.8325
12/18/2023,$19.66,1467640,$19.44,$19.73,$19.25
12/15/2023,$19.42,3114941,$19.61,$19.65,$19.09
12/14/2023,$19.51,2160746,$19.03,$19.82,$18.80
12/13/2023,$18.68,1539075,$17.77,$18.715,$17.56
12/12/2023,$17.83,2121858,$17.81,$18.015,$17.56
12/11/2023,$17.77,2950371,$18.11,$18.20,$17.4399
12/08/2023,$18.18,1549522,$18.23,$18.41,$17.94
12/07/2023,$18.35,1016897,$18.18,$18.35,$17.90
12/06/2023,$18.00,1183004,$17.84,$18.14,$17.74
12/05/2023,$17.69,1117985,$17.77,$17.82,$17.40
12/04/2023,$17.75,969335,$17.35,$17.79,$17.00
12/01/2023,$17.44,1234698,$16.94,$17.47,$16.84
11/30/2023,$16.97,1200090,$16.97,$17.15,$16.67
11/29/2023,$16.95,1629026,$16.75,$17.145,$16.72
11/28/2023,$16.60,1446517,$16.62,$16.80,$16.46
11/27/2023,$16.78,2228720,$16.80,$16.91,$16.455
11/24/2023,$16.86,537349,$16.63,$16.92,$16.58
11/22/2023,$16.69,955567,$16.66,$16.88,$16.52
11/21/2023,$16.51,1492051,$16.25,$16.61,$16.225
11/20/2023,$16.28,1095260,$16.08,$16.38,$16.05
11/17/2023,$16.15,1133713,$16.07,$16.20,$15.875
11/16/2023,$15.95,1142785,$16.32,$16.32,$15.76
11/15/2023,$16.14,1466111,$15.84,$16.31,$15.805
11/14/2023,$15.90,2260120,$15.16,$15.935,$15.15
11/13/2023,$14.65,1326569,$14.99,$15.09,$14.58
11/10/2023,$15.10,1678589,$15.15,$15.35,$14.77
