Date,Close/Last,Volume,Open,High,Low
01/05/2024,$50.58,758316,$50.24,$50.86,$49.85
01/04/2024,$50.63,448358,$50.89,$51.11,$50.54
01/03/2024,$50.60,485857,$50.77,$51.163,$50.31
01/02/2024,$50.81,375627,$50.22,$51.18,$50.01
12/29/2023,$50.17,499474,$49.92,$50.27,$49.61
12/28/2023,$50.12,376739,$49.66,$50.19,$49.66
12/27/2023,$50.23,468923,$50.83,$50.88,$50.08
12/26/2023,$50.70,354544,$50.79,$51.19,$50.60
12/22/2023,$50.78,293976,$50.73,$51.165,$50.70
12/21/2023,$50.43,387706,$49.98,$50.51,$49.90
12/20/2023,$49.91,712412,$51.09,$51.26,$49.83
12/19/2023,$51.10,512204,$50.91,$51.54,$50.73
12/18/2023,$50.89,361063,$51.06,$51.16,$50.73
12/15/2023,$50.60,1226632,$51.34,$51.395,$50.26
12/14/2023,$51.28,511302,$51.35,$52.44,$51.07
12/13/2023,$51.21,781395,$49.69,$51.47,$49.69
12/12/2023,$49.78,408599,$50.40,$50.4069,$49.74
12/11/2023,$50.84,416289,$50.35,$51.16,$50.21
12/08/2023,$50.72,350336,$50.70,$51.1194,$50.35
12/07/2023,$50.64,372145,$50.25,$51.08,$50.18
12/06/2023,$50.14,410956,$50.38,$50.73,$49.92
12/05/2023,$50.18,409147,$51.09,$51.18,$49.88
12/04/2023,$51.45,307413,$51.04,$51.70,$51.04
12/01/2023,$51.51,316409,$50.73,$51.765,$50.68
11/30/2023,$50.79,526355,$50.55,$50.945,$50.30
11/29/2023,$50.42,340700,$50.88,$51.005,$50.28
11/28/2023,$50.76,312311,$51.42,$51.42,$50.4601
11/27/2023,$50.93,363932,$51.04,$51.185,$50.375
11/24/2023,$51.24,96481,$51.21,$51.50,$51.09
11/22/2023,$51.11,243976,$50.34,$51.14,$49.90
11/21/2023,$50.33,309274,$50.52,$50.58,$49.98
11/20/2023,$50.70,220771,$50.94,$51.10,$50.41
11/17/2023,$51.17,345830,$51.90,$51.90,$51.025
11/16/2023,$51.47,297865,$52.09,$52.27,$51.2174
11/15/2023,$52.08,322926,$51.89,$52.76,$51.87
11/14/2023,$52.15,235926,$51.66,$52.3641,$51.5714
11/13/2023,$50.76,260673,$50.61,$50.84,$50.14
11/10/2023,$50.61,340609,$50.61,$50.62,$49.84
11/09/2023,$50.26,284231,$50.97,$51.23,$50.043
11/08/2023,$50.80,248144,$51.71,$51.71,$50.66
11/07/2023,$51.94,292386,$52.29,$52.29,$51.78
11/06/2023,$52.82,423593,$54.02,$54.09,$52.635
11/03/2023,$54.17,428912,$53.67,$54.45,$53.53
11/02/2023,$53.08,614508,$50.13,$53.33,$48.60
11/01/2023,$51.68,370093,$50.95,$51.795,$50.635
10/31/2023,$50.95,885342,$50.53,$50.99,$50.45
10/30/2023,$50.56,375835,$51.41,$51.87,$50.06
10/27/2023,$51.32,335180,$51.90,$51.9754,$51.00
10/26/2023,$52.11,460250,$52.28,$52.73,$51.85
10/25/2023,$52.41,301677,$52.51,$52.91,$52.32
10/24/2023,$52.79,385668,$52.65,$53.08,$52.50
10/23/2023,$52.32,327180,$52.72,$53.179,$52.31
10/20/2023,$53.29,286258,$54.13,$54.20,$53.27
10/19/2023,$53.97,408702,$54.45,$54.82,$53.73
10/18/2023,$54.41,420385,$55.38,$55.44,$54.40
10/17/2023,$55.47,618723,$54.04,$55.565,$54.04
10/16/2023,$54.36,321760,$54.37,$54.685,$54.16
10/13/2023,$53.91,415565,$54.66,$54.66,$53.81
10/12/2023,$54.18,300170,$54.45,$54.61,$53.701
10/11/2023,$54.27,418037,$54.00,$54.40,$53.67
10/10/2023,$54.12,515961,$53.83,$54.21,$53.63
10/09/2023,$53.74,371040,$52.24,$53.8683,$52.24
10/06/2023,$51.92,578043,$50.89,$52.115,$50.585
10/05/2023,$51.11,460570,$50.05,$51.305,$49.98
10/04/2023,$50.56,455993,$50.85,$51.37,$49.99
10/03/2023,$50.84,688152,$50.03,$50.98,$49.48
10/02/2023,$50.48,571077,$51.93,$52.02,$50.11
09/29/2023,$51.91,555216,$52.50,$52.63,$51.89
09/28/2023,$52.14,403017,$52.41,$52.92,$52.11
09/27/2023,$52.69,571362,$52.50,$52.83,$52.35
09/26/2023,$52.20,412272,$52.30,$52.845,$52.18
09/25/2023,$52.61,344297,$51.95,$52.71,$51.87
09/22/2023,$52.16,458626,$52.69,$52.86,$52.03
09/21/2023,$52.65,267731,$53.34,$53.52,$52.63
09/20/2023,$53.28,370039,$53.79,$54.15,$53.27
09/19/2023,$53.66,527876,$54.98,$55.0278,$53.64
09/18/2023,$54.75,630174,$54.33,$54.75,$53.69
09/15/2023,$54.21,1432036,$54.27,$54.40,$53.88
09/14/2023,$54.38,801251,$53.49,$54.565,$53.49
09/13/2023,$52.86,389120,$52.30,$52.90,$51.7324
09/12/2023,$52.17,304777,$51.57,$52.39,$51.36
09/11/2023,$51.58,391193,$51.93,$51.96,$51.51
09/08/2023,$51.86,263629,$51.77,$51.91,$51.365
09/07/2023,$51.44,987637,$51.73,$52.465,$51.24
09/06/2023,$51.42,437433,$51.88,$52.01,$51.35
09/05/2023,$51.99,426422,$53.56,$53.84,$51.87
09/01/2023,$53.75,310095,$54.11,$54.41,$53.50
08/31/2023,$53.74,813882,$53.42,$53.86,$53.11
08/30/2023,$53.18,367506,$53.05,$53.44,$52.913
08/29/2023,$53.09,365512,$53.21,$53.21,$52.63
08/28/2023,$53.04,337603,$53.11,$53.69,$52.81
08/25/2023,$52.87,349935,$53.20,$53.26,$52.5301
08/24/2023,$52.90,517814,$53.17,$53.635,$52.78
08/23/2023,$53.39,358494,$52.94,$53.41,$52.555
08/22/2023,$52.73,338234,$53.69,$53.88,$52.62
08/21/2023,$53.60,559311,$53.50,$53.64,$52.96
08/18/2023,$53.60,486512,$53.37,$53.71,$53.18
08/17/2023,$53.53,287692,$53.60,$53.88,$53.45
08/16/2023,$53.48,263965,$53.52,$54.01,$53.42
08/15/2023,$53.39,420496,$53.91,$53.91,$53.14
08/14/2023,$54.29,315249,$55.03,$55.12,$54.05
08/11/2023,$55.20,376869,$55.20,$55.59,$55.11
08/10/2023,$55.29,547658,$55.61,$55.99,$54.99
08/09/2023,$55.67,732095,$54.12,$55.83,$54.12
08/08/2023,$53.89,410181,$54.08,$54.10,$53.34
08/07/2023,$54.33,635780,$54.16,$54.65,$53.61
08/04/2023,$54.08,798687,$53.65,$54.51,$53.265
08/03/2023,$53.41,646688,$52.80,$54.15,$51.82
08/02/2023,$52.44,545639,$52.28,$52.72,$51.67
08/01/2023,$52.31,899665,$53.05,$53.39,$52.05
07/31/2023,$53.11,5582719,$52.73,$53.47,$52.44
07/28/2023,$52.35,676187,$52.02,$52.38,$51.515
07/27/2023,$51.57,459392,$52.43,$52.43,$51.43
07/26/2023,$52.45,583483,$52.02,$52.67,$52.011
07/25/2023,$52.30,527191,$51.74,$52.54,$51.405
07/24/2023,$51.87,500179,$51.90,$52.24,$51.53
07/21/2023,$51.93,482301,$52.25,$52.5299,$51.59
07/20/2023,$52.12,529643,$52.22,$52.2599,$51.29
07/19/2023,$51.87,559989,$51.96,$52.80,$51.62
07/18/2023,$51.43,722320,$50.34,$52.04,$50.34
07/17/2023,$50.34,611881,$50.53,$50.7094,$49.86
07/14/2023,$50.61,617954,$51.97,$51.97,$50.50
07/13/2023,$51.96,567399,$51.72,$52.06,$51.40
07/12/2023,$51.72,692231,$51.67,$52.12,$51.1576
07/11/2023,$51.00,580894,$50.15,$51.03,$50.05
07/10/2023,$49.90,659192,$50.31,$51.04,$49.69
07/07/2023,$50.18,1429842,$50.03,$50.68,$48.89
07/06/2023,$50.39,570465,$51.00,$51.0576,$50.27
07/05/2023,$51.42,501156,$51.38,$52.10,$51.26
07/03/2023,$51.47,216582,$51.20,$51.98,$51.20
06/30/2023,$51.36,414262,$51.39,$51.79,$50.975
06/29/2023,$51.23,492639,$50.07,$51.56,$49.96
