Date,Close/Last,Volume,Open,High,Low
01/05/2024,$19.10,7419646,$18.63,$19.23,$18.58
01/04/2024,$18.69,3925374,$18.87,$18.90,$18.69
01/03/2024,$18.92,3864673,$19.01,$19.07,$18.58
01/02/2024,$19.26,5656469,$19.19,$19.39,$19.08
12/29/2023,$19.37,5038712,$19.70,$19.805,$19.36
12/28/2023,$19.88,4645369,$19.84,$19.8992,$19.71
12/27/2023,$20.53,5903816,$20.55,$20.60,$20.41
12/26/2023,$20.50,4079621,$20.30,$20.5995,$20.30
12/22/2023,$20.26,3417205,$20.34,$20.475,$20.17
12/21/2023,$20.30,4003005,$20.14,$20.30,$20.08
12/20/2023,$19.98,5224354,$20.20,$20.435,$19.9213
12/19/2023,$20.19,3761056,$19.98,$20.23,$19.968
12/18/2023,$19.90,3573103,$20.00,$20.025,$19.80
12/15/2023,$19.95,11965670,$20.12,$20.17,$19.735
12/14/2023,$20.13,8176421,$19.62,$20.40,$19.55
12/13/2023,$19.28,6830705,$18.44,$19.31,$18.37
12/12/2023,$18.38,3170326,$18.30,$18.50,$18.21
12/11/2023,$18.30,4113945,$18.29,$18.43,$18.17
12/08/2023,$18.31,4152035,$17.95,$18.4698,$17.94
12/07/2023,$18.05,4130524,$17.93,$18.10,$17.90
12/06/2023,$17.93,4365777,$18.47,$18.53,$17.905
12/05/2023,$18.36,3555848,$18.53,$18.595,$18.31
12/04/2023,$18.53,5667678,$18.41,$18.55,$18.30
12/01/2023,$18.50,6052471,$18.07,$18.51,$17.97
11/30/2023,$18.07,8180297,$18.15,$18.165,$17.94
11/29/2023,$18.10,4434689,$17.84,$18.23,$17.825
11/28/2023,$17.69,3791486,$17.40,$17.745,$17.225
11/27/2023,$17.44,3466643,$17.52,$17.55,$17.3025
11/24/2023,$17.55,1653232,$17.67,$17.77,$17.50
11/22/2023,$17.71,3377247,$17.85,$17.8988,$17.6105
11/21/2023,$17.73,5085448,$17.73,$17.84,$17.68
11/20/2023,$17.77,3438423,$17.81,$17.88,$17.6595
11/17/2023,$17.81,3157667,$17.87,$17.99,$17.675
11/16/2023,$17.75,2849573,$17.83,$17.96,$17.62
11/15/2023,$17.83,3563782,$17.70,$17.85,$17.58
11/14/2023,$17.70,5743033,$17.75,$17.945,$17.64
11/13/2023,$17.12,3339191,$16.89,$17.14,$16.762
11/10/2023,$17.01,4214454,$17.02,$17.075,$16.895
11/09/2023,$16.86,3983027,$17.44,$17.57,$16.82
11/08/2023,$17.39,4079609,$17.30,$17.455,$17.1175
11/07/2023,$17.35,4480339,$17.06,$17.35,$16.89
11/06/2023,$17.06,4572447,$17.18,$17.20,$16.91
11/03/2023,$17.18,6790446,$17.35,$17.58,$17.15
11/02/2023,$16.90,6847278,$16.60,$17.09,$16.56
11/01/2023,$16.25,7687622,$15.59,$16.265,$15.43
10/31/2023,$15.61,7856243,$15.31,$15.75,$15.25
10/30/2023,$15.07,7457914,$14.84,$15.20,$14.5201
10/27/2023,$14.73,8054836,$15.17,$15.375,$14.69
10/26/2023,$15.07,9853344,$15.205,$15.78,$15.015
10/25/2023,$15.07,10385370,$15.48,$15.66,$15.00
10/24/2023,$15.67,7402994,$15.70,$15.84,$15.46
10/23/2023,$16.09,5003033,$16.10,$16.21,$15.82
10/20/2023,$16.24,5032088,$16.30,$16.51,$16.22
10/19/2023,$16.34,6540648,$16.98,$17.01,$16.285
10/18/2023,$17.03,5023349,$17.48,$17.48,$17.00
10/17/2023,$17.58,4404367,$17.54,$17.735,$17.41
10/16/2023,$17.74,4857916,$17.58,$17.78,$17.355
10/13/2023,$17.53,3913787,$17.88,$17.90,$17.45
10/12/2023,$17.78,3762447,$18.04,$18.05,$17.61
10/11/2023,$18.09,3335325,$18.05,$18.145,$17.965
10/10/2023,$17.98,5874303,$18.02,$18.19,$17.91
10/09/2023,$18.07,3534796,$17.55,$18.12,$17.55
10/06/2023,$17.72,5274514,$17.57,$17.92,$17.5532
10/05/2023,$17.84,5081282,$17.44,$17.89,$17.37
10/04/2023,$17.48,7467650,$17.95,$17.96,$17.25
10/03/2023,$17.87,7094757,$18.17,$18.20,$17.61
10/02/2023,$18.32,5487140,$18.71,$18.71,$18.15
09/29/2023,$18.81,4519315,$18.88,$19.18,$18.81
09/28/2023,$18.74,4876267,$18.60,$18.83,$18.315
09/27/2023,$19.21,5997635,$19.42,$19.56,$19.18
09/26/2023,$19.31,4994852,$19.62,$19.68,$19.30
09/25/2023,$19.72,3327258,$19.74,$19.915,$19.70
09/22/2023,$19.88,3204388,$19.79,$20.01,$19.76
09/21/2023,$19.74,4037785,$20.44,$20.44,$19.74
09/20/2023,$20.53,3198930,$20.80,$20.82,$20.51
09/19/2023,$20.68,4190273,$20.69,$21.07,$20.63
09/18/2023,$20.66,5368852,$20.95,$20.97,$20.64
09/15/2023,$20.57,6280335,$20.50,$20.61,$20.405
09/14/2023,$20.59,3941659,$20.49,$20.72,$20.41
09/13/2023,$20.35,3150094,$20.15,$20.43,$19.99
09/12/2023,$20.07,2500022,$20.18,$20.26,$20.07
09/11/2023,$20.17,2228041,$19.97,$20.215,$19.86
09/08/2023,$19.89,2094805,$19.83,$19.99,$19.76
09/07/2023,$19.75,4030513,$19.81,$19.895,$19.63
09/06/2023,$19.89,2934220,$20.01,$20.09,$19.78
09/05/2023,$20.09,2816561,$20.28,$20.30,$20.03
09/01/2023,$20.36,2474553,$20.37,$20.55,$20.33
08/31/2023,$20.27,4789513,$20.30,$20.46,$20.24
08/30/2023,$20.26,2617768,$20.49,$20.49,$20.171
08/29/2023,$20.48,3135134,$20.28,$20.48,$20.11
08/28/2023,$20.26,3001142,$19.84,$20.29,$19.80
08/25/2023,$19.71,2206922,$19.77,$19.88,$19.5114
08/24/2023,$19.66,2544406,$19.49,$19.77,$19.46
08/23/2023,$19.55,3071005,$19.00,$19.55,$18.965
08/22/2023,$18.93,3232984,$19.25,$19.27,$18.925
08/21/2023,$19.09,3432246,$19.08,$19.14,$18.86
08/18/2023,$19.10,2857175,$19.00,$19.18,$18.88
08/17/2023,$19.08,3408039,$19.18,$19.34,$19.00
08/16/2023,$19.17,2966984,$19.25,$19.34,$19.17
08/15/2023,$19.30,4101089,$19.27,$19.3599,$19.105
08/14/2023,$19.41,5013501,$19.80,$19.80,$19.28
08/11/2023,$19.87,2449945,$19.95,$20.00,$19.77
08/10/2023,$20.00,2902234,$20.05,$20.125,$19.8512
08/09/2023,$19.97,3039533,$20.01,$20.085,$19.81
08/08/2023,$20.03,2313911,$19.79,$20.07,$19.64
08/07/2023,$19.96,2361194,$19.88,$20.00,$19.77
08/04/2023,$19.83,3722447,$19.50,$19.96,$19.49
