Date,Close/Last,Volume,Open,High,Low
01/05/2024,$42.91,962203,$42.57,$42.925,$42.35
01/04/2024,$42.79,1168662,$42.60,$43.06,$42.36
01/03/2024,$42.63,2238530,$43.22,$43.27,$42.56
01/02/2024,$43.54,1016346,$43.00,$43.63,$42.88
12/29/2023,$43.10,1497567,$43.23,$43.415,$43.06
12/28/2023,$43.41,709136,$42.85,$43.42,$42.85
12/27/2023,$43.05,824020,$43.01,$43.07,$42.83
12/26/2023,$43.00,1119890,$42.65,$43.02,$42.65
12/22/2023,$42.65,1252627,$42.80,$43.01,$42.515
12/21/2023,$42.65,1220575,$42.89,$42.90,$42.325
12/20/2023,$42.55,1746384,$42.75,$43.01,$42.54
12/19/2023,$42.74,1755366,$42.30,$42.86,$42.30
12/18/2023,$42.30,2446612,$42.29,$42.425,$41.94
12/15/2023,$42.12,3636439,$42.14,$42.35,$41.675
12/14/2023,$42.35,2408156,$42.40,$42.755,$41.86
12/13/2023,$41.60,2218396,$40.45,$41.835,$40.30
12/12/2023,$40.47,1958560,$40.54,$40.71,$40.265
12/11/2023,$40.54,2017371,$40.64,$40.85,$40.295
12/08/2023,$40.75,1420032,$41.18,$41.295,$40.525
12/07/2023,$41.29,1129018,$41.21,$41.465,$41.08
12/06/2023,$41.29,1641409,$41.79,$42.055,$41.20
12/05/2023,$41.70,2056972,$42.07,$42.10,$41.49
12/04/2023,$42.18,1233552,$41.25,$42.25,$41.25
12/01/2023,$41.36,1181958,$40.51,$41.36,$40.42
11/30/2023,$40.62,2027105,$40.00,$40.675,$39.84
11/29/2023,$40.02,2225932,$40.34,$40.59,$39.96
11/28/2023,$40.22,2028194,$39.82,$40.34,$39.69
11/27/2023,$39.99,1475020,$39.59,$40.16,$39.49
11/24/2023,$39.57,427047,$39.36,$39.74,$39.20
11/22/2023,$39.48,1448720,$39.55,$39.67,$39.34
11/21/2023,$39.17,1692962,$38.80,$39.22,$38.73
11/20/2023,$38.98,1319065,$38.75,$39.03,$38.49
11/17/2023,$38.86,1007447,$39.33,$39.335,$38.7014
11/16/2023,$39.02,1209860,$39.22,$39.37,$38.97
11/15/2023,$39.00,1287769,$38.90,$39.28,$38.90
11/14/2023,$38.98,1261335,$38.70,$39.75,$38.615
11/13/2023,$37.75,1014013,$38.00,$38.19,$37.69
11/10/2023,$38.20,847619,$38.39,$38.42,$38.075
11/09/2023,$38.22,1461688,$39.01,$39.11,$38.035
11/08/2023,$38.97,1726922,$38.37,$39.03,$38.31
11/07/2023,$38.40,1141502,$38.81,$38.96,$38.255
11/06/2023,$38.74,1908633,$39.00,$39.14,$38.47
11/03/2023,$39.14,1900580,$39.51,$39.715,$39.09
11/02/2023,$38.84,1823890,$38.24,$38.935,$38.24
11/01/2023,$37.96,3104205,$36.30,$38.00,$36.30
10/31/2023,$36.33,3942750,$35.66,$36.435,$35.47
10/30/2023,$35.40,3339750,$34.75,$35.41,$34.61
10/27/2023,$35.19,1300298,$35.83,$35.83,$34.95
10/26/2023,$35.67,1381242,$35.31,$35.92,$35.31
10/25/2023,$35.18,1532469,$35.35,$35.56,$35.17
10/24/2023,$35.55,1894862,$34.95,$35.56,$34.95
10/23/2023,$34.80,1382849,$35.02,$35.32,$34.775
10/20/2023,$35.28,1189991,$35.46,$35.64,$35.255
10/19/2023,$35.37,2057586,$35.44,$35.895,$35.20
10/18/2023,$35.73,1216749,$36.29,$36.47,$35.73
10/17/2023,$36.56,1713370,$35.94,$36.835,$35.91
10/16/2023,$36.13,1353423,$35.88,$36.23,$35.54
10/13/2023,$35.62,1564547,$35.49,$35.79,$35.29
10/12/2023,$35.27,999917,$35.68,$35.68,$35.155
10/11/2023,$35.76,1482983,$35.50,$35.98,$35.445
10/10/2023,$35.20,2067613,$35.18,$35.30,$34.67
10/09/2023,$35.20,1853135,$34.56,$35.445,$34.51
10/06/2023,$34.68,2439909,$34.77,$35.03,$34.455
10/05/2023,$35.05,2073954,$34.98,$35.24,$34.765
10/04/2023,$35.03,2256221,$34.82,$35.06,$34.44
10/03/2023,$34.69,1753128,$34.62,$34.86,$34.38
10/02/2023,$34.89,1752614,$35.27,$35.43,$34.50
09/29/2023,$35.34,1541916,$35.58,$35.79,$35.12
09/28/2023,$35.19,1255452,$35.00,$35.365,$34.95
09/27/2023,$34.87,1763693,$35.22,$35.4005,$34.645
09/26/2023,$35.13,1520080,$35.71,$35.71,$34.935
09/25/2023,$35.94,1513177,$36.00,$36.0482,$35.67
09/22/2023,$36.09,1810865,$36.74,$36.7973,$36.04
09/21/2023,$36.68,2286473,$37.77,$37.90,$36.57
09/20/2023,$38.16,1075907,$38.43,$38.77,$38.09
09/19/2023,$38.19,1196445,$38.09,$38.40,$38.03
09/18/2023,$38.06,1240891,$38.17,$38.23,$37.84
09/15/2023,$38.17,2529181,$38.34,$38.43,$37.94
09/14/2023,$38.48,1071434,$38.23,$38.57,$38.20
09/13/2023,$37.98,1461620,$38.23,$38.25,$37.9021
09/12/2023,$38.17,1569360,$37.95,$38.2412,$37.885
09/11/2023,$38.00,1338624,$38.05,$38.16,$37.75
09/08/2023,$38.05,1238417,$38.25,$38.37,$38.035
09/07/2023,$38.15,1643874,$38.26,$38.46,$38.07
09/06/2023,$38.22,1048149,$38.57,$38.57,$38.08
09/05/2023,$38.51,946191,$39.10,$39.16,$38.475
09/01/2023,$39.23,594885,$39.47,$39.65,$39.20
08/31/2023,$39.39,968717,$39.52,$39.625,$39.35
08/30/2023,$39.52,1044130,$39.56,$39.70,$39.355
08/29/2023,$39.51,784695,$39.37,$39.55,$39.15
08/28/2023,$39.26,661792,$39.25,$39.635,$39.22
08/25/2023,$39.15,956431,$39.53,$39.64,$39.095
08/24/2023,$39.45,1308110,$39.60,$40.34,$39.435
08/23/2023,$39.58,1253879,$39.11,$39.615,$39.0876
08/22/2023,$38.98,1417383,$38.60,$39.02,$38.58
08/21/2023,$38.54,1187511,$38.70,$38.70,$38.09
08/18/2023,$38.70,1648932,$38.49,$38.93,$38.4651
08/17/2023,$38.66,1881443,$38.66,$38.97,$38.61
08/16/2023,$38.67,1911470,$38.94,$39.085,$38.5647
