Date,Close/Last,Volume,Open,High,Low
01/05/2024,$20.59,3637802,$20.22,$20.71,$20.10
01/04/2024,$20.06,2941040,$20.47,$20.6699,$19.97
01/03/2024,$20.32,2405825,$20.00,$20.615,$19.88
01/02/2024,$20.16,2189556,$20.47,$20.68,$20.075
12/29/2023,$20.28,1623237,$20.44,$20.4899,$20.2625
12/28/2023,$20.48,1167636,$20.56,$20.72,$20.44
12/27/2023,$20.76,1451267,$20.75,$20.95,$20.64
12/26/2023,$20.80,1681183,$20.77,$20.96,$20.59
12/22/2023,$20.45,1660848,$20.66,$20.78,$20.375
12/21/2023,$20.45,1761405,$20.26,$20.46,$20.20
12/20/2023,$20.26,2872455,$20.37,$20.78,$20.23
12/19/2023,$20.38,4956567,$20.01,$20.48,$19.96
12/18/2023,$19.94,3127153,$20.21,$20.3566,$19.885
12/15/2023,$19.83,7328067,$20.03,$20.05,$19.61
12/14/2023,$20.07,6178967,$19.48,$20.125,$19.38
12/13/2023,$19.11,3528522,$18.66,$19.14,$18.50
12/12/2023,$18.54,2242027,$18.49,$18.69,$18.36
12/11/2023,$18.75,2844565,$18.83,$19.08,$18.64
12/08/2023,$18.92,4469718,$19.00,$19.25,$18.745
12/07/2023,$18.45,2868117,$18.48,$18.63,$18.31
12/06/2023,$18.38,3837248,$18.64,$19.025,$18.305
12/05/2023,$18.75,2459436,$19.02,$19.075,$18.61
12/04/2023,$19.03,3869925,$18.89,$19.255,$18.71
12/01/2023,$19.12,3037018,$18.78,$19.51,$18.72
11/30/2023,$18.82,3131802,$19.20,$19.51,$18.67
11/29/2023,$18.94,2549868,$18.97,$19.055,$18.75
11/28/2023,$18.88,2918719,$19.19,$19.205,$18.82
11/27/2023,$19.17,2831827,$18.95,$19.2075,$18.795
11/24/2023,$19.07,1449209,$19.03,$19.3207,$19.02
11/22/2023,$18.95,3090977,$18.53,$19.145,$18.42
11/21/2023,$19.02,2279116,$19.09,$19.19,$18.895
11/20/2023,$19.27,2714998,$19.70,$19.70,$19.2209
11/17/2023,$19.45,3953526,$19.00,$19.57,$18.95
11/16/2023,$18.73,3447194,$19.38,$19.58,$18.29
11/15/2023,$19.66,2789893,$19.84,$20.285,$19.60
11/14/2023,$19.87,2477371,$19.65,$20.04,$19.46
11/13/2023,$19.48,1925544,$19.27,$19.575,$19.13
11/10/2023,$19.30,3945055,$19.10,$19.50,$18.93
11/09/2023,$18.87,3164505,$18.89,$19.29,$18.70
11/08/2023,$18.74,2697029,$18.88,$19.105,$18.61
11/07/2023,$19.01,3121020,$19.55,$19.55,$18.92
11/06/2023,$19.96,2446641,$20.51,$20.575,$19.935
11/03/2023,$20.34,2957281,$20.59,$20.85,$20.34
