Date,Close/Last,Volume,Open,High,Low
12/15/2023,$45.60,2958180,$46.28,$46.39,$45.21
12/14/2023,$46.53,1728749,$47.52,$47.95,$46.24
12/13/2023,$47.23,1386396,$46.36,$47.24,$46.245
12/12/2023,$46.43,861071,$46.48,$46.61,$46.10
12/11/2023,$46.52,1167376,$46.78,$47.00,$46.48
12/08/2023,$46.68,1225133,$47.09,$47.475,$46.66
12/07/2023,$47.32,689731,$47.14,$47.75,$46.995
12/06/2023,$47.27,700121,$47.49,$47.8458,$47.13
12/05/2023,$47.47,1067171,$47.47,$47.92,$47.2325
12/04/2023,$47.67,1364955,$47.60,$48.88,$47.525
12/01/2023,$47.37,1181419,$47.11,$48.04,$47.09
11/30/2023,$46.99,1515474,$46.64,$47.11,$46.375
11/29/2023,$46.58,1291455,$46.06,$46.76,$45.885
11/28/2023,$45.85,1146942,$45.71,$46.11,$45.62
11/27/2023,$45.84,808526,$45.26,$45.94,$45.20
11/24/2023,$45.46,222974,$45.58,$45.76,$45.3675
11/22/2023,$45.56,499167,$45.42,$45.73,$45.42
11/21/2023,$45.13,680236,$45.39,$45.56,$45.07
11/20/2023,$45.43,742388,$44.64,$45.53,$44.55
11/17/2023,$44.67,892047,$44.38,$44.81,$44.29
11/16/2023,$44.27,904689,$44.35,$44.63,$43.89
11/15/2023,$44.34,1090983,$44.45,$44.95,$44.06
11/14/2023,$44.34,1385790,$43.88,$44.58,$43.75
11/13/2023,$43.43,1336458,$43.44,$43.61,$42.63
11/10/2023,$43.58,1129860,$43.10,$43.66,$43.05
11/09/2023,$43.11,1845500,$44.41,$44.41,$42.32
11/08/2023,$44.12,2849941,$42.65,$45.33,$42.65
11/07/2023,$41.61,1779033,$41.37,$41.73,$41.02
11/06/2023,$41.43,1585670,$41.88,$41.88,$41.04
11/03/2023,$42.01,1266960,$42.01,$42.60,$41.91
11/02/2023,$41.63,1326141,$41.00,$41.98,$40.875
11/01/2023,$40.59,1013859,$40.29,$40.59,$39.89
10/31/2023,$40.31,1032694,$40.61,$40.88,$40.03
10/30/2023,$40.53,890588,$39.92,$40.62,$39.7875
10/27/2023,$39.96,1292016,$40.13,$40.44,$39.73
10/26/2023,$40.19,1112358,$40.85,$40.92,$39.965
10/25/2023,$40.82,906905,$41.62,$41.73,$40.79
10/24/2023,$41.80,1619828,$41.76,$42.01,$41.40
10/23/2023,$41.56,1438882,$41.78,$41.98,$41.44
10/20/2023,$41.79,1231845,$41.30,$41.80,$41.14
10/19/2023,$41.30,2094244,$42.45,$42.45,$41.00
10/18/2023,$42.37,1462742,$43.44,$43.58,$42.155
10/17/2023,$43.78,1622813,$42.99,$43.895,$42.99
10/16/2023,$43.00,1017772,$42.81,$43.34,$42.74
10/13/2023,$42.64,811015,$42.36,$42.90,$42.03
10/12/2023,$42.44,718689,$43.29,$43.29,$42.37
10/11/2023,$43.10,839444,$42.47,$43.17,$42.44
10/10/2023,$42.44,1009556,$41.90,$43.16,$41.90
10/09/2023,$41.87,861395,$40.89,$41.96,$40.74
10/06/2023,$41.03,924673,$40.80,$41.22,$40.49
10/05/2023,$41.07,1112195,$41.89,$42.06,$41.04
10/04/2023,$41.92,1284702,$41.06,$42.07,$40.95
10/03/2023,$41.08,2150340,$41.13,$41.45,$40.72
10/02/2023,$41.28,1289021,$41.34,$41.58,$40.94
09/29/2023,$41.20,1156977,$41.24,$41.37,$40.80
09/28/2023,$41.05,864744,$40.59,$41.385,$40.50
09/27/2023,$40.60,977465,$40.65,$40.82,$40.32
09/26/2023,$40.45,844454,$40.82,$41.41,$40.44
09/25/2023,$41.18,735237,$41.28,$41.79,$41.09
09/22/2023,$41.36,791737,$42.09,$42.12,$41.275
09/21/2023,$42.03,1160154,$41.50,$42.29,$41.42
09/20/2023,$41.54,990001,$42.35,$42.47,$41.42
09/19/2023,$42.30,813148,$42.17,$42.55,$42.01
09/18/2023,$42.28,1163770,$42.40,$42.65,$42.12
09/15/2023,$42.45,2420679,$43.32,$43.43,$42.12
09/14/2023,$43.31,1106510,$43.50,$43.57,$42.73
09/13/2023,$43.35,614596,$43.89,$43.99,$43.31
09/12/2023,$43.96,576221,$44.11,$44.55,$43.84
09/11/2023,$44.26,614592,$44.29,$44.99,$44.22
09/08/2023,$44.24,788360,$44.63,$44.89,$44.19
09/07/2023,$44.61,843254,$44.68,$44.82,$44.33
09/06/2023,$44.68,901662,$43.97,$44.75,$43.87
09/05/2023,$43.83,958382,$43.95,$44.12,$43.23
