Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.38,1683143,$30.39,$30.505,$30.2176
01/04/2024,$30.51,1321940,$30.60,$30.6499,$30.29
01/03/2024,$30.52,1417504,$30.80,$30.82,$30.47
01/02/2024,$30.85,1611586,$30.48,$30.87,$30.451
12/29/2023,$30.66,1376593,$30.90,$30.995,$30.64
12/28/2023,$31.06,1380045,$30.70,$31.135,$30.70
12/27/2023,$30.79,1505833,$30.54,$30.93,$30.31
12/26/2023,$30.47,1033377,$30.60,$30.695,$30.391
12/22/2023,$30.70,1140484,$30.89,$31.03,$30.635
12/21/2023,$30.72,1388783,$30.90,$30.99,$30.42
12/20/2023,$30.76,1247975,$30.98,$31.205,$30.75
12/19/2023,$31.07,2021770,$31.00,$31.41,$30.86
12/18/2023,$31.01,2499209,$30.90,$31.14,$30.63
12/15/2023,$30.82,4979247,$31.09,$31.44,$30.46
12/14/2023,$31.21,2698938,$31.80,$31.80,$30.94
12/13/2023,$31.27,4238584,$30.95,$31.335,$30.615
12/12/2023,$30.95,1723075,$30.88,$31.15,$30.69
12/11/2023,$30.86,2080061,$30.42,$31.15,$30.37
12/08/2023,$30.52,1544590,$30.41,$30.62,$30.18
12/07/2023,$30.53,2533593,$30.40,$30.675,$30.28
12/06/2023,$30.40,2408948,$30.96,$31.07,$30.39
12/05/2023,$31.00,2473703,$31.52,$31.52,$30.89
12/04/2023,$31.53,3592540,$31.66,$31.82,$31.225
12/01/2023,$32.12,2764180,$31.79,$32.19,$31.605
11/30/2023,$31.75,2896012,$31.27,$31.82,$31.16
11/29/2023,$31.22,2938232,$31.88,$32.04,$31.085
11/28/2023,$31.75,1734221,$31.85,$32.005,$31.68
11/27/2023,$31.98,1837835,$31.99,$32.165,$31.88
11/24/2023,$32.03,560701,$31.82,$32.119,$31.66
11/22/2023,$31.76,889557,$32.13,$32.20,$31.59
11/21/2023,$31.86,1229035,$31.98,$32.13,$31.67
11/20/2023,$32.06,1332552,$31.46,$32.13,$31.4186
11/17/2023,$31.62,1241009,$31.91,$31.99,$31.50
11/16/2023,$31.70,1514689,$31.62,$31.95,$31.55
11/15/2023,$31.48,1743547,$31.63,$31.78,$31.295
11/14/2023,$31.62,2040169,$31.93,$32.26,$31.59
11/13/2023,$31.42,1427003,$31.52,$31.91,$31.33
11/10/2023,$31.74,1677114,$31.11,$31.87,$30.9799
11/09/2023,$30.90,1752745,$30.89,$31.275,$30.76
11/08/2023,$30.89,2275950,$31.20,$31.32,$30.755
11/07/2023,$31.30,2125190,$31.48,$31.48,$30.8693
11/06/2023,$31.55,3385798,$31.20,$31.59,$30.72
11/03/2023,$31.52,5549045,$33.50,$33.65,$31.365
11/02/2023,$33.73,1983160,$33.55,$33.84,$33.51
11/01/2023,$33.24,2760813,$33.19,$33.50,$32.78
10/31/2023,$33.10,1933415,$32.88,$33.28,$32.73
10/30/2023,$32.64,1790490,$32.50,$32.86,$32.405
