Date,Close/Last,Volume,Open,High,Low
10/23/2023,$66.74,3006729,$67.07,$67.32,$66.59
10/20/2023,$67.58,4004443,$68.96,$69.04,$67.255
10/19/2023,$69.21,4445204,$68.63,$69.80,$68.291
10/18/2023,$68.64,3802859,$69.51,$69.75,$68.455
10/17/2023,$69.51,4641198,$70.10,$70.555,$69.11
10/16/2023,$70.07,4143617,$69.50,$70.33,$69.28
10/13/2023,$69.12,3601112,$69.00,$69.45,$68.61
10/12/2023,$68.10,3669809,$67.82,$68.40,$67.59
10/11/2023,$67.46,3937032,$66.85,$67.56,$66.60
10/10/2023,$66.86,4060471,$65.91,$66.98,$65.91
10/09/2023,$65.95,5414215,$64.65,$66.155,$64.35
10/06/2023,$63.50,5106292,$62.49,$63.97,$61.92
10/05/2023,$62.44,5458286,$60.80,$62.635,$60.79
10/04/2023,$61.35,5428799,$61.13,$61.70,$60.58
10/03/2023,$61.98,6405174,$61.37,$61.99,$60.70
10/02/2023,$61.85,5811902,$63.68,$63.9099,$61.61
09/29/2023,$63.43,6587884,$64.94,$65.00,$63.16
09/28/2023,$64.89,8411721,$64.42,$65.44,$64.42
09/27/2023,$64.51,8827399,$64.85,$65.135,$64.185
09/26/2023,$64.48,8473853,$66.19,$66.51,$64.21
09/25/2023,$66.54,59253280,$65.70,$66.895,$65.52
09/22/2023,$66.19,15192810,$66.96,$67.43,$65.78
09/21/2023,$65.99,8689557,$66.89,$67.2199,$65.555
09/20/2023,$67.01,5947485,$67.70,$68.22,$66.96
09/19/2023,$67.78,4403288,$68.65,$68.65,$67.12
09/18/2023,$68.19,4689663,$68.02,$68.32,$67.08
09/15/2023,$67.54,7156359,$68.00,$68.73,$67.42
09/14/2023,$68.53,4497349,$67.72,$68.615,$67.63
09/13/2023,$67.00,3478193,$66.41,$67.09,$65.94
09/12/2023,$66.32,3909632,$64.87,$66.61,$64.78
09/11/2023,$64.53,2727654,$65.25,$65.46,$64.205
09/08/2023,$64.77,3357735,$64.69,$65.245,$64.565
09/07/2023,$64.31,5663668,$63.42,$64.6892,$63.03
09/06/2023,$63.65,4068189,$65.35,$65.39,$63.30
09/05/2023,$65.66,2414519,$65.74,$66.185,$65.52
09/01/2023,$65.55,2897583,$65.95,$66.37,$65.19
08/31/2023,$65.20,3436384,$65.70,$65.84,$65.16
08/30/2023,$65.43,1895978,$65.40,$65.845,$65.24
08/29/2023,$65.25,1733913,$65.40,$65.49,$65.05
08/28/2023,$65.38,1342856,$65.34,$65.70,$65.09
08/25/2023,$64.95,2239364,$64.82,$65.49,$64.68
08/24/2023,$64.38,1941660,$64.37,$65.36,$64.37
08/23/2023,$64.70,1577555,$64.39,$64.91,$63.64
08/22/2023,$64.86,1509819,$65.40,$65.64,$64.83
08/21/2023,$65.26,1782578,$65.73,$65.93,$64.885
08/18/2023,$65.60,2182416,$64.78,$65.85,$64.77
08/17/2023,$65.34,3269550,$65.67,$66.03,$64.96
08/16/2023,$65.24,2605358,$65.25,$65.87,$65.02
08/15/2023,$65.43,1942797,$65.51,$65.76,$65.12
08/14/2023,$65.95,1913572,$66.48,$66.93,$65.27
08/11/2023,$66.24,1856831,$65.30,$66.36,$65.22
08/10/2023,$65.15,2226925,$64.86,$65.55,$64.65
08/09/2023,$64.35,2867682,$64.50,$65.20,$63.93
08/08/2023,$64.15,3240190,$64.59,$64.765,$63.05
08/07/2023,$65.20,3257339,$65.25,$65.60,$64.89
08/04/2023,$65.25,2312903,$66.18,$66.88,$65.20
08/03/2023,$65.96,1988307,$65.50,$66.47,$65.40
08/02/2023,$65.52,2151371,$65.94,$65.94,$65.065
08/01/2023,$66.60,2438584,$66.80,$66.92,$65.825
07/31/2023,$67.04,5122414,$66.50,$67.04,$66.45
07/28/2023,$67.22,2326669,$67.31,$67.68,$66.90
07/27/2023,$66.94,2858868,$67.77,$68.1001,$66.93
07/26/2023,$67.60,1836739,$67.13,$68.12,$67.13
07/25/2023,$67.54,3010581,$67.31,$67.78,$66.83
07/24/2023,$67.25,2417142,$66.76,$67.85,$66.68
07/21/2023,$66.49,2014694,$66.30,$66.69,$65.68
07/20/2023,$65.93,2264954,$65.20,$65.98,$64.91
07/19/2023,$64.77,2310294,$64.32,$65.205,$64.31
07/18/2023,$64.32,2506419,$63.21,$64.795,$63.175
07/17/2023,$63.41,1943102,$63.77,$64.06,$63.29
07/14/2023,$63.73,2661418,$64.76,$64.83,$63.5601
07/13/2023,$65.32,3182218,$64.73,$65.36,$64.50
07/12/2023,$64.37,2462931,$64.01,$64.43,$63.68
07/11/2023,$63.34,3015682,$62.84,$63.73,$62.75
07/10/2023,$62.40,2635699,$62.05,$62.78,$61.92
07/07/2023,$62.17,3614588,$60.70,$62.215,$60.70
07/06/2023,$60.94,2071024,$61.11,$61.24,$60.52
07/05/2023,$61.59,2096747,$62.24,$62.61,$61.2801
07/03/2023,$62.40,1166446,$61.83,$62.655,$61.77
06/30/2023,$61.72,2603541,$62.46,$62.46,$61.54
06/29/2023,$61.49,2428916,$60.75,$61.55,$60.66
06/28/2023,$60.52,2623184,$59.67,$60.56,$59.06
06/27/2023,$59.50,2918057,$58.60,$59.79,$58.5075
06/26/2023,$58.60,2138177,$57.85,$58.92,$57.85
06/23/2023,$57.69,3427813,$57.54,$58.065,$57.37
06/22/2023,$58.19,3053938,$58.97,$59.00,$57.90
06/21/2023,$59.08,4272526,$58.95,$59.38,$58.56
06/20/2023,$59.32,3237830,$60.56,$60.57,$59.06
06/16/2023,$60.95,7633302,$61.20,$61.46,$60.68
06/15/2023,$61.11,2992821,$60.54,$61.40,$60.41
06/14/2023,$60.43,2526907,$60.65,$61.06,$60.015
06/13/2023,$60.28,4780271,$60.34,$61.08,$60.24
06/12/2023,$59.80,2914421,$59.39,$60.31,$59.31
06/09/2023,$59.84,2816402,$60.52,$60.66,$59.64
06/08/2023,$60.71,3159751,$60.45,$60.74,$59.52
06/07/2023,$60.43,2695467,$59.82,$60.495,$59.38
06/06/2023,$59.31,2512737,$58.03,$59.425,$57.995
06/05/2023,$58.72,1897153,$59.33,$59.21,$58.50
06/02/2023,$58.74,3452105,$58.00,$58.915,$57.25
06/01/2023,$56.91,3433957,$56.80,$57.48,$56.21
05/31/2023,$56.66,5094165,$56.61,$56.99,$56.19
05/30/2023,$57.37,3025706,$56.88,$57.755,$56.76
05/26/2023,$57.30,2790408,$57.87,$57.95,$57.05
05/25/2023,$57.57,2978707,$57.89,$58.01,$56.96
05/24/2023,$58.54,2546789,$58.76,$58.83,$57.84
05/23/2023,$58.54,3996937,$58.44,$59.38,$58.11
05/22/2023,$58.09,2957265,$58.25,$58.82,$57.68
05/19/2023,$58.52,3587696,$58.81,$59.14,$58.12
05/18/2023,$58.38,4901300,$56.71,$58.47,$56.55
05/17/2023,$57.20,5842535,$57.06,$57.75,$55.91
05/16/2023,$56.58,9415999,$57.55,$57.92,$56.0788
05/15/2023,$57.95,20718310,$59.45,$60.22,$56.48
05/12/2023,$63.72,2501497,$63.25,$63.77,$62.88
05/11/2023,$62.83,2293033,$62.47,$63.57,$62.47
05/10/2023,$63.21,1979195,$64.43,$64.51,$62.50
05/09/2023,$63.86,2096030,$62.98,$64.47,$62.85
05/08/2023,$63.52,1658371,$65.15,$65.23,$63.18
05/05/2023,$64.51,1706008,$63.97,$64.90,$63.83
05/04/2023,$62.63,2610448,$62.85,$63.2013,$61.36
05/03/2023,$62.82,3589279,$62.10,$64.185,$61.60
05/02/2023,$62.74,2662768,$65.00,$65.125,$61.94
05/01/2023,$65.39,1740124,$64.98,$65.92,$64.87
04/28/2023,$65.41,1955946,$64.19,$65.7704,$64.09
04/27/2023,$65.30,1690050,$64.62,$65.48,$64.26
04/26/2023,$64.72,1982785,$65.20,$66.08,$64.46
04/25/2023,$65.55,1632364,$66.49,$66.52,$65.515
04/24/2023,$66.99,2112633,$66.38,$67.16,$66.27
04/21/2023,$66.30,1444061,$66.48,$66.4867,$65.58
04/20/2023,$66.05,1636940,$65.45,$66.07,$65.05
04/19/2023,$66.35,1242393,$66.49,$66.49,$65.82
04/18/2023,$66.74,1476658,$66.37,$66.78,$66.07
04/17/2023,$66.41,1409157,$67.11,$67.48,$66.08
04/14/2023,$67.03,1685649,$66.80,$67.36,$66.71
04/13/2023,$66.77,1496530,$66.22,$67.005,$66.09
04/12/2023,$66.25,1939987,$66.72,$66.92,$66.06
04/11/2023,$66.43,1552962,$66.48,$66.97,$66.08
04/10/2023,$66.07,1450428,$65.61,$66.19,$65.36
04/06/2023,$65.69,2031524,$66.14,$66.33,$65.485
04/05/2023,$65.99,2640567,$65.20,$66.045,$64.84
04/04/2023,$65.04,3626603,$65.55,$66.18,$64.10
04/03/2023,$65.06,3229709,$65.23,$66.08,$64.63
03/31/2023,$63.54,2112671,$62.85,$63.59,$62.56
03/30/2023,$62.53,1461544,$62.75,$62.83,$62.1632
03/29/2023,$62.01,2171126,$61.79,$62.135,$61.56
03/28/2023,$60.98,1632043,$60.22,$61.25,$60.11
03/27/2023,$60.66,1954199,$60.37,$61.11,$59.85
03/24/2023,$59.48,2202537,$57.54,$59.565,$57.14
03/23/2023,$58.64,2835665,$60.44,$60.8364,$58.185
03/22/2023,$60.22,2435919,$61.76,$62.18,$60.17
03/21/2023,$61.87,3106829,$61.71,$62.37,$61.295
03/20/2023,$60.76,2662994,$59.86,$61.24,$59.67
03/17/2023,$59.49,8938535,$60.73,$60.73,$58.91
03/16/2023,$61.02,4312763,$59.85,$61.19,$58.165
03/15/2023,$60.88,4705161,$62.52,$62.52,$59.96
03/14/2023,$64.38,3174201,$64.43,$65.95,$63.32
03/13/2023,$63.64,3446516,$63.15,$65.00,$61.77
03/10/2023,$64.40,2652627,$65.77,$65.87,$64.03
03/09/2023,$65.64,1750214,$67.53,$68.26,$65.60
03/08/2023,$67.09,1785265,$67.43,$67.88,$66.36
03/07/2023,$67.52,2253859,$68.35,$68.64,$67.50
03/06/2023,$68.65,2252317,$67.82,$68.80,$67.67
03/03/2023,$67.85,2313018,$66.44,$68.18,$66.28
03/02/2023,$66.67,2635755,$66.12,$66.715,$65.50
03/01/2023,$66.16,2606408,$65.68,$66.34,$65.33
02/28/2023,$65.45,5990934,$68.13,$68.43,$65.22
02/27/2023,$67.94,2255020,$67.78,$68.33,$67.47
