Date,Close/Last,Volume,Open,High,Low
10/20/2023,$75.57,11018550,$85.29,$85.294,$73.55
10/19/2023,$85.46,1423610,$86.70,$87.18,$85.01
10/18/2023,$85.395,1282146,$85.07,$87.34,$85.00
10/17/2023,$86.17,2023785,$85.198,$88.53,$85.01
10/16/2023,$86.51,1787992,$83.10,$87.13,$82.81
10/13/2023,$83.08,1394643,$85.03,$85.76,$82.76
10/12/2023,$84.60,2786925,$87.84,$88.06,$84.225
10/11/2023,$87.97,3208886,$85.48,$88.00,$85.32
10/10/2023,$85.02,2157245,$83.50,$85.90,$82.79
10/09/2023,$83.50,3667535,$79.67,$85.65,$79.67
10/06/2023,$80.42,2914059,$75.53,$80.635,$75.47
10/05/2023,$76.98,1778256,$78.04,$78.3199,$76.415
10/04/2023,$78.01,1819654,$78.96,$79.70,$77.44
10/03/2023,$78.84,1890188,$79.52,$81.49,$78.36
10/02/2023,$80.72,3208809,$82.36,$83.62,$79.81
09/29/2023,$81.51,2279465,$82.37,$83.89,$80.91
09/28/2023,$81.46,1573833,$79.68,$81.63,$79.345
09/27/2023,$80.70,1210686,$79.77,$81.48,$79.52
09/26/2023,$79.63,1220579,$79.63,$80.60,$79.12
09/25/2023,$80.19,1208078,$80.43,$80.605,$79.80
09/22/2023,$80.68,1204210,$82.41,$82.62,$80.55
09/21/2023,$81.13,2130925,$82.50,$83.935,$81.09
09/20/2023,$83.53,1608884,$82.04,$84.56,$81.45
09/19/2023,$82.04,1892203,$82.57,$83.60,$81.80
09/18/2023,$83.16,2347890,$83.28,$83.80,$82.15
09/15/2023,$84.31,4511701,$85.40,$86.37,$83.70
09/14/2023,$86.03,4305988,$87.48,$87.5891,$83.16
09/13/2023,$87.44,1854891,$87.38,$88.47,$87.09
09/12/2023,$87.59,2327631,$89.17,$90.425,$87.59
09/11/2023,$90.08,2528941,$87.52,$90.7296,$87.52
09/08/2023,$87.38,1655902,$87.60,$88.3199,$86.542
09/07/2023,$87.68,2509223,$86.53,$88.80,$86.23
09/06/2023,$87.50,3512844,$86.51,$88.15,$86.245
09/05/2023,$87.17,4684316,$85.28,$88.8255,$85.27
09/01/2023,$86.16,4481112,$84.46,$86.66,$84.3601
08/31/2023,$83.51,12111300,$78.61,$86.50,$78.23
08/30/2023,$73.57,4698007,$71.94,$73.79,$71.775
08/29/2023,$71.86,2206295,$71.90,$73.15,$71.09
08/28/2023,$72.12,1762303,$71.99,$72.90,$71.41
08/25/2023,$72.23,1472760,$71.28,$72.40,$70.17
08/24/2023,$71.37,1300269,$74.00,$74.1631,$71.37
08/23/2023,$73.51,1234576,$71.72,$73.61,$71.23
08/22/2023,$71.38,1361083,$72.96,$73.00,$70.93
08/21/2023,$72.94,1621296,$71.88,$73.52,$71.82
08/18/2023,$71.725,1596427,$69.22,$72.05,$68.79
08/17/2023,$70.71,1616106,$72.34,$72.34,$70.275
08/16/2023,$72.37,1423567,$71.86,$73.16,$71.55
08/15/2023,$72.26,1378801,$71.61,$73.06,$71.50
08/14/2023,$72.26,3132219,$74.61,$74.66,$71.00
08/11/2023,$71.40,866752,$71.49,$72.6875,$71.19
08/10/2023,$72.08,1010667,$70.76,$72.34,$70.75
08/09/2023,$69.95,1100728,$71.71,$71.83,$69.90
08/08/2023,$71.48,1944086,$71.67,$71.70,$69.4801
08/07/2023,$73.12,1471302,$72.75,$73.29,$70.85
08/04/2023,$72.56,1745468,$73.94,$74.27,$71.79
08/03/2023,$72.94,1364936,$72.33,$73.68,$71.79
08/02/2023,$72.34,1840541,$75.20,$75.23,$71.835
08/01/2023,$76.19,1187425,$76.37,$76.42,$75.20
07/31/2023,$76.86,1933962,$74.50,$76.94,$74.50
07/28/2023,$73.98,1771976,$71.21,$74.11,$71.11
07/27/2023,$70.31,1224767,$72.50,$72.70,$70.02
07/26/2023,$71.41,2543070,$70.73,$72.10,$70.25
07/25/2023,$70.53,1198913,$70.96,$71.93,$70.42
07/24/2023,$70.50,1442770,$70.20,$71.0566,$69.63
07/21/2023,$70.00,1894093,$70.57,$71.09,$69.64
07/20/2023,$69.76,2603881,$69.70,$70.50,$69.30
07/19/2023,$70.37,3157119,$71.66,$73.16,$69.845
07/18/2023,$70.84,3107525,$70.69,$71.1973,$69.93
07/17/2023,$70.85,3219409,$70.71,$72.1795,$70.26
07/14/2023,$70.69,2572931,$73.70,$74.44,$70.42
07/13/2023,$73.53,2707176,$71.59,$73.78,$71.41
07/12/2023,$70.95,2036282,$71.81,$71.95,$69.74
07/11/2023,$70.59,2496366,$69.85,$70.67,$68.695
07/10/2023,$69.74,1915175,$68.27,$70.38,$68.09
07/07/2023,$68.53,1265137,$69.09,$69.61,$68.41
07/06/2023,$68.57,2136773,$68.98,$69.00,$67.72
07/05/2023,$70.34,2006948,$68.97,$70.50,$68.13
07/03/2023,$69.26,1391588,$69.67,$70.50,$68.67
06/30/2023,$69.35,2126514,$69.50,$70.98,$69.21
06/29/2023,$69.17,2002803,$69.54,$69.87,$68.685
06/28/2023,$69.59,2643814,$69.32,$70.18,$68.52
06/27/2023,$69.23,2251257,$69.77,$70.332,$68.69
