Date,Close/Last,Volume,Open,High,Low
10/23/2023,$74.51,802260,$73.95,$75.26,$73.595
10/20/2023,$74.83,1344097,$72.59,$75.75,$72.38
10/19/2023,$72.52,778673,$72.16,$73.45,$71.665
10/18/2023,$72.09,816188,$72.93,$73.57,$71.97
10/17/2023,$72.90,1366564,$72.57,$75.30,$72.22
10/16/2023,$71.43,1702150,$74.17,$75.33,$70.82
10/13/2023,$73.84,655888,$74.48,$74.55,$72.725
10/12/2023,$74.13,1109409,$72.96,$74.28,$71.88
10/11/2023,$72.80,1017431,$74.30,$74.58,$72.325
10/10/2023,$74.08,1046883,$73.72,$75.48,$73.08
10/09/2023,$73.49,1095226,$74.68,$74.83,$72.76
10/06/2023,$74.60,744551,$72.16,$75.07,$72.06
10/05/2023,$72.72,1384814,$75.01,$75.01,$71.2101
10/04/2023,$75.40,704804,$75.29,$75.97,$74.63
10/03/2023,$75.28,719930,$77.14,$77.82,$75.07
10/02/2023,$77.86,1048906,$77.85,$79.54,$77.49
09/29/2023,$77.18,995390,$76.76,$77.97,$76.31
09/28/2023,$76.21,951114,$74.63,$76.73,$73.57
09/27/2023,$74.85,1131654,$75.40,$75.81,$74.60
09/26/2023,$75.40,691358,$77.02,$77.02,$75.29
09/25/2023,$77.12,734270,$75.59,$77.57,$75.575
09/22/2023,$75.79,961157,$74.89,$76.07,$74.57
09/21/2023,$74.50,925146,$76.19,$76.885,$74.165
09/20/2023,$76.91,961741,$75.50,$78.41,$75.50
09/19/2023,$75.40,1045416,$77.02,$77.02,$75.34
09/18/2023,$77.22,603986,$77.70,$77.76,$76.43
09/15/2023,$77.97,1354324,$77.82,$78.52,$76.48
09/14/2023,$78.22,673219,$78.66,$79.10,$77.10
09/13/2023,$78.52,977394,$78.46,$79.36,$77.91
09/12/2023,$78.04,764052,$78.22,$79.44,$77.73
09/11/2023,$78.20,912320,$77.01,$78.91,$77.01
09/08/2023,$76.815,732460,$74.27,$77.04,$74.16
09/07/2023,$74.23,623468,$73.37,$74.86,$73.37
09/06/2023,$73.82,786506,$74.34,$75.32,$72.98
09/05/2023,$74.48,1101659,$73.95,$75.705,$73.01
09/01/2023,$73.96,1873400,$77.56,$78.08,$73.08
08/31/2023,$77.08,3157604,$76.00,$80.94,$75.55
08/30/2023,$74.88,1895195,$74.31,$76.755,$74.25
08/29/2023,$74.70,1288850,$74.26,$74.84,$73.27
08/28/2023,$74.55,1343559,$71.32,$74.61,$71.14
08/25/2023,$71.02,1242513,$71.43,$71.8293,$70.17
08/24/2023,$70.89,985050,$73.26,$73.275,$70.77
08/23/2023,$73.78,681735,$72.90,$73.98,$72.30
08/22/2023,$72.88,970780,$72.98,$73.45,$71.51
08/21/2023,$73.31,679546,$73.32,$74.13,$72.99
08/18/2023,$73.40,690751,$72.50,$74.26,$71.56
08/17/2023,$73.02,793466,$74.01,$75.24,$72.98
08/16/2023,$74.16,998757,$76.42,$76.985,$74.14
08/15/2023,$76.26,2057684,$76.00,$77.58,$74.62
08/14/2023,$74.55,1627134,$73.32,$75.96,$72.57
08/11/2023,$73.26,464474,$72.58,$74.06,$72.29
08/10/2023,$72.65,481231,$73.64,$74.21,$72.58
08/09/2023,$73.19,566429,$71.94,$73.69,$71.433
08/08/2023,$71.80,359982,$72.25,$72.33,$71.54
08/07/2023,$72.49,401925,$73.04,$73.27,$71.785
08/04/2023,$72.94,579760,$71.38,$73.07,$70.98
08/03/2023,$71.39,487082,$71.55,$72.1848,$71.02
08/02/2023,$71.58,584773,$71.68,$72.585,$70.98
08/01/2023,$71.98,566547,$72.34,$72.94,$71.115
07/31/2023,$72.88,830831,$71.61,$72.935,$71.37
07/28/2023,$71.68,787102,$73.00,$73.46,$71.09
07/27/2023,$72.61,619795,$73.23,$73.71,$72.23
07/26/2023,$73.19,866817,$71.88,$73.31,$71.285
07/25/2023,$71.93,694828,$71.95,$72.31,$70.84
07/24/2023,$71.98,686595,$72.17,$72.57,$71.40
07/21/2023,$72.40,536840,$72.21,$72.71,$71.58
07/20/2023,$71.58,712105,$72.66,$73.025,$71.29
07/19/2023,$72.61,893217,$71.93,$73.13,$71.6168
07/18/2023,$71.22,832768,$71.15,$71.97,$70.22
07/17/2023,$70.80,1073522,$68.72,$71.61,$68.42
07/14/2023,$69.00,831960,$70.11,$70.26,$68.34
07/13/2023,$70.18,1046197,$69.12,$70.43,$68.27
07/12/2023,$69.06,964050,$68.48,$69.41,$67.705
07/11/2023,$68.09,1031456,$66.96,$68.14,$66.59
07/10/2023,$66.95,1372716,$64.27,$67.2319,$64.10
