Date,Close/Last,Volume,Open,High,Low
01/05/2024,$85.88,1117617,$85.50,$86.4085,$85.495
01/04/2024,$85.09,1196803,$85.32,$85.99,$84.61
01/03/2024,$84.99,1435159,$86.82,$87.07,$84.96
01/02/2024,$87.25,1332186,$86.25,$87.42,$86.16
12/29/2023,$86.51,763337,$86.73,$86.92,$86.07
12/28/2023,$86.73,718383,$86.59,$87.06,$86.43
12/27/2023,$86.64,822233,$86.56,$87.27,$86.195
12/26/2023,$86.70,865556,$86.40,$87.00,$85.8482
12/22/2023,$86.08,1227530,$86.59,$87.08,$85.73
12/21/2023,$86.43,850232,$85.62,$86.56,$85.32
12/20/2023,$85.73,1143813,$86.48,$87.08,$85.67
12/19/2023,$86.68,1114437,$86.68,$86.92,$86.19
12/18/2023,$86.32,1059567,$86.56,$86.68,$85.51
12/15/2023,$86.80,4376602,$86.29,$88.65,$85.81
12/14/2023,$86.43,2259442,$84.53,$86.44,$83.65
12/13/2023,$83.93,1543680,$83.98,$84.20,$82.97
12/12/2023,$83.96,1219512,$84.14,$84.62,$83.63
12/11/2023,$84.05,2116332,$82.27,$84.855,$82.26
12/08/2023,$81.94,1077489,$82.05,$82.20,$81.44
12/07/2023,$82.10,1235457,$82.12,$82.54,$81.41
12/06/2023,$81.95,1217579,$81.78,$82.5571,$81.49
12/05/2023,$81.40,1145720,$82.04,$82.1298,$80.92
12/04/2023,$82.39,957927,$81.63,$82.87,$81.575
12/01/2023,$81.81,825646,$80.74,$81.88,$80.0076
11/30/2023,$80.63,1742028,$80.11,$80.81,$79.685
11/29/2023,$79.79,1113826,$79.57,$80.17,$79.16
11/28/2023,$79.14,1469618,$79.20,$79.80,$78.90
11/27/2023,$79.20,942513,$79.52,$79.82,$79.15
11/24/2023,$80.09,387468,$79.69,$80.09,$79.135
11/22/2023,$79.36,786994,$78.99,$79.735,$78.75
11/21/2023,$78.67,744952,$79.03,$79.34,$78.65
11/20/2023,$79.17,1152202,$78.93,$79.79,$78.28
11/17/2023,$79.06,1666899,$77.45,$79.07,$77.14
11/16/2023,$76.97,1537997,$78.16,$78.92,$76.90
11/15/2023,$78.17,1345307,$78.17,$79.125,$78.05
11/14/2023,$78.23,1039118,$76.74,$78.67,$76.55
11/13/2023,$75.71,940510,$75.43,$75.82,$74.83
11/10/2023,$75.74,923812,$74.90,$75.83,$74.408
11/09/2023,$74.98,905859,$76.14,$76.14,$74.525
11/08/2023,$75.67,900882,$76.65,$77.06,$75.53
11/07/2023,$76.66,924829,$76.22,$76.75,$76.06
11/06/2023,$77.06,793869,$77.49,$77.69,$76.645
11/03/2023,$77.65,729982,$77.40,$77.99,$76.99
11/02/2023,$76.60,1011112,$75.17,$76.62,$74.89
11/01/2023,$74.48,1096587,$75.08,$75.27,$73.68
10/31/2023,$74.91,1079293,$74.68,$74.98,$74.09
10/30/2023,$74.52,1161150,$73.99,$74.78,$73.58
10/27/2023,$73.99,1333564,$74.42,$74.90,$73.86
10/26/2023,$74.28,1367913,$74.12,$75.10,$73.79
10/25/2023,$74.39,1408740,$74.30,$75.12,$74.09
10/24/2023,$74.49,1905281,$75.99,$76.135,$73.67
10/23/2023,$75.58,2007568,$73.94,$76.32,$73.79
10/20/2023,$73.94,1904751,$73.74,$74.86,$73.28
10/19/2023,$74.22,1731831,$75.32,$75.94,$74.20
10/18/2023,$75.33,2457977,$75.20,$75.93,$74.62
10/17/2023,$76.54,1971815,$75.81,$76.85,$75.75
10/16/2023,$76.02,1580851,$75.04,$76.055,$74.82
10/13/2023,$74.55,1371907,$75.34,$75.74,$74.37
10/12/2023,$75.57,1808562,$76.18,$76.32,$75.17
10/11/2023,$74.84,1426589,$75.31,$75.99,$74.24
10/10/2023,$75.28,1579152,$75.30,$75.75,$74.675
10/09/2023,$74.90,899023,$73.94,$75.375,$73.78
10/06/2023,$74.25,1202368,$72.63,$74.79,$72.62
10/05/2023,$72.91,1112460,$73.30,$73.56,$72.78
10/04/2023,$73.30,1357047,$72.26,$73.37,$72.20
10/03/2023,$72.47,1045678,$73.13,$73.495,$72.20
10/02/2023,$73.36,1384968,$73.98,$74.36,$72.66
09/29/2023,$74.48,1325775,$74.51,$74.65,$73.975
09/28/2023,$74.05,1209132,$73.62,$74.70,$73.055
09/27/2023,$73.39,1357729,$73.75,$74.12,$72.69
09/26/2023,$73.46,1311469,$73.78,$74.19,$73.45
09/25/2023,$74.40,1188806,$73.41,$74.9999,$73.41
09/22/2023,$73.74,1064117,$74.88,$75.06,$73.52
09/21/2023,$74.69,1733119,$74.80,$75.48,$74.52
09/20/2023,$74.85,1738693,$75.99,$76.20,$74.67
09/19/2023,$76.77,1100175,$77.39,$77.935,$76.70
09/18/2023,$77.44,1444470,$76.90,$77.86,$75.94
09/15/2023,$77.41,3101626,$78.71,$78.74,$77.12
09/14/2023,$78.39,2143496,$78.19,$78.63,$77.70
09/13/2023,$77.77,1599024,$79.20,$79.56,$77.55
09/12/2023,$79.07,778409,$78.90,$79.54,$78.65
09/11/2023,$79.43,875318,$79.43,$80.07,$78.96
09/08/2023,$78.90,1054519,$79.82,$79.845,$78.365
09/07/2023,$79.57,1466638,$80.07,$80.21,$79.255
09/06/2023,$80.17,1022782,$79.53,$80.45,$78.78
09/05/2023,$79.67,1336205,$79.80,$80.40,$79.14
09/01/2023,$80.21,1461815,$81.31,$81.40,$79.50
08/31/2023,$81.01,2159595,$81.13,$81.13,$80.45
08/30/2023,$80.89,1106978,$80.97,$81.22,$80.41
08/29/2023,$80.71,952806,$80.46,$80.93,$80.05
08/28/2023,$80.44,586411,$80.42,$80.8191,$80.01
08/25/2023,$79.86,1557080,$79.92,$80.22,$79.19
08/24/2023,$79.30,657433,$79.80,$80.845,$79.22
08/23/2023,$80.09,865940,$79.26,$80.46,$79.14
08/22/2023,$79.14,1017977,$79.10,$79.47,$78.73
08/21/2023,$79.33,804101,$79.81,$80.10,$78.5886
08/18/2023,$79.91,1478475,$78.31,$80.19,$78.011
08/17/2023,$78.64,1230330,$79.79,$80.14,$78.63
08/16/2023,$79.52,1201914,$79.57,$80.50,$79.34
08/15/2023,$80.06,1395039,$79.43,$80.39,$78.64
08/14/2023,$79.95,1589648,$79.80,$80.02,$79.3047
08/11/2023,$79.91,1387813,$79.42,$80.37,$79.28
08/10/2023,$79.82,1128337,$80.66,$81.27,$79.60
08/09/2023,$80.32,1350251,$80.17,$81.14,$79.85
08/08/2023,$80.37,2030911,$80.91,$81.25,$80.34
08/07/2023,$81.51,1878524,$82.06,$82.51,$81.05
08/04/2023,$81.60,2134615,$81.23,$83.10,$80.94
08/03/2023,$81.92,1418822,$82.34,$82.58,$81.545
08/02/2023,$82.67,1874424,$82.74,$84.15,$82.49
08/01/2023,$82.85,1782817,$84.01,$84.34,$82.33
07/31/2023,$84.62,5232621,$83.00,$84.81,$83.00
07/28/2023,$82.55,2020356,$82.96,$83.115,$82.0344
07/27/2023,$82.34,2488899,$83.15,$83.15,$81.84
07/26/2023,$82.91,1719478,$82.71,$83.57,$82.23
07/25/2023,$82.60,2284772,$83.08,$83.83,$82.13
07/24/2023,$83.09,2637504,$83.05,$83.88,$81.82
07/21/2023,$83.81,4334662,$85.89,$86.23,$83.51
07/20/2023,$88.17,4470552,$87.98,$88.88,$86.98
07/19/2023,$87.78,8150116,$88.72,$91.25,$86.09
07/18/2023,$97.92,2965713,$97.81,$99.23,$97.56
07/17/2023,$98.23,1785721,$96.22,$98.53,$95.09
07/14/2023,$96.29,1010447,$96.04,$96.35,$95.44
07/13/2023,$96.40,1148991,$95.46,$97.02,$95.255
07/12/2023,$95.19,1706008,$97.04,$97.26,$95.11
07/11/2023,$96.26,1280731,$93.40,$96.47,$93.1407
07/10/2023,$93.13,1294707,$92.39,$93.48,$92.28
07/07/2023,$92.99,1338420,$91.74,$93.70,$91.44
07/06/2023,$92.15,1294106,$94.08,$94.08,$91.84
07/05/2023,$94.01,1390389,$94.72,$94.97,$93.38
07/03/2023,$95.56,608496,$94.94,$95.97,$94.58
06/30/2023,$95.15,1231865,$94.74,$95.41,$94.23
06/29/2023,$94.13,1302960,$95.87,$95.95,$94.02
06/28/2023,$96.48,1569674,$96.60,$96.76,$95.37
06/27/2023,$96.75,1153138,$94.41,$97.22,$94.41
06/26/2023,$94.24,1068569,$93.40,$94.80,$93.14
06/23/2023,$93.18,2136979,$94.37,$94.84,$92.96
06/22/2023,$95.15,1409410,$95.03,$95.61,$93.29
06/21/2023,$94.50,1207031,$93.81,$95.11,$93.47
06/20/2023,$93.65,1772626,$94.59,$95.835,$93.64
06/16/2023,$95.15,2586407,$95.46,$96.215,$94.92
06/15/2023,$95.60,990497,$94.53,$95.895,$94.06
06/14/2023,$94.62,1156857,$95.55,$96.63,$94.14
06/13/2023,$95.37,1071664,$94.94,$96.15,$94.84
06/12/2023,$95.30,1339001,$94.53,$95.34,$93.86
06/09/2023,$94.49,1242538,$94.44,$94.92,$93.91
06/08/2023,$94.46,1060985,$94.00,$94.98,$93.44
06/07/2023,$94.80,2212163,$93.19,$95.74,$92.81
06/06/2023,$92.81,1553447,$91.15,$93.08,$90.75
06/05/2023,$91.05,1063433,$90.92,$91.37,$90.35
06/02/2023,$91.32,1368103,$89.64,$91.735,$89.53
06/01/2023,$89.30,1368124,$88.67,$89.52,$87.85
05/31/2023,$88.19,3412102,$90.25,$90.58,$87.24
05/30/2023,$90.37,1535973,$89.67,$90.97,$89.37
05/26/2023,$89.95,1241700,$89.56,$90.45,$89.39
05/25/2023,$89.12,1637611,$90.52,$91.16,$88.82
05/24/2023,$90.89,1192291,$91.83,$91.83,$90.68
05/23/2023,$92.04,1059961,$92.64,$93.0699,$91.97
05/22/2023,$92.80,934471,$93.65,$93.91,$92.44
05/19/2023,$93.30,1186511,$94.36,$94.77,$93.12
05/18/2023,$94.22,1386541,$93.17,$94.26,$92.95
05/17/2023,$92.93,1552043,$92.59,$93.24,$91.77
05/16/2023,$91.88,1101854,$91.50,$92.2499,$90.39
05/15/2023,$91.72,1602511,$92.87,$92.89,$90.99
05/12/2023,$92.84,1668274,$91.45,$92.99,$91.05
05/11/2023,$91.13,1428202,$90.68,$91.50,$90.125
05/10/2023,$91.14,1290996,$92.23,$92.42,$90.20
05/09/2023,$91.67,1980334,$92.26,$92.48,$91.64
05/08/2023,$91.98,2246923,$90.73,$92.11,$89.46
05/05/2023,$89.75,1555793,$88.41,$89.80,$87.90
05/04/2023,$87.72,2529304,$85.58,$87.87,$84.09
05/03/2023,$87.04,2531278,$91.41,$91.67,$86.635
05/02/2023,$91.04,1813708,$91.81,$91.935,$89.63
05/01/2023,$92.18,1977687,$90.82,$93.35,$90.82
04/28/2023,$90.57,2034285,$89.92,$91.31,$89.92
04/27/2023,$90.26,2227552,$89.43,$90.605,$87.52
04/26/2023,$90.54,1867949,$91.85,$92.97,$90.225
04/25/2023,$93.09,1224351,$93.50,$93.81,$92.72
04/24/2023,$93.78,1488479,$93.98,$94.525,$93.57
04/21/2023,$93.85,1647947,$92.28,$93.955,$91.815
04/20/2023,$92.26,1508850,$91.12,$92.895,$91.09
04/19/2023,$92.16,3264688,$95.95,$96.19,$91.86
04/18/2023,$96.14,2372893,$96.20,$96.78,$95.59
04/17/2023,$95.71,1770363,$94.84,$95.81,$94.27
04/14/2023,$95.01,1441729,$94.12,$95.14,$94.05
04/13/2023,$94.41,1241382,$94.02,$94.50,$93.505
04/12/2023,$93.59,1223485,$93.79,$94.50,$93.22
04/11/2023,$93.57,1675822,$93.50,$94.97,$93.23
04/10/2023,$93.21,1212363,$92.73,$93.37,$92.48
04/06/2023,$93.05,1294264,$93.62,$93.645,$92.62
04/05/2023,$93.65,1474408,$94.00,$94.00,$92.6663
04/04/2023,$94.79,2463635,$95.32,$96.20,$94.715
04/03/2023,$95.20,2341270,$94.32,$95.30,$93.98
03/31/2023,$94.34,1674074,$93.33,$94.445,$93.32
03/30/2023,$92.74,1979783,$90.90,$92.83,$90.90
03/29/2023,$90.48,1646172,$89.65,$90.66,$89.44
03/28/2023,$88.73,1481576,$88.31,$89.47,$88.08
03/27/2023,$88.52,1411691,$88.73,$89.43,$88.22
03/24/2023,$87.63,2344866,$87.32,$87.68,$85.70
03/23/2023,$88.63,1827720,$87.92,$89.57,$87.46
03/22/2023,$87.64,1714069,$90.06,$90.38,$87.60
03/21/2023,$89.90,1459257,$89.91,$90.49,$89.285
03/20/2023,$88.67,1595635,$86.73,$89.13,$86.65
03/17/2023,$86.17,9950657,$86.43,$86.82,$85.50
03/16/2023,$87.31,2119859,$84.59,$87.43,$84.40
03/15/2023,$85.67,2691327,$85.41,$85.70,$83.86
03/14/2023,$87.37,2759597,$87.27,$87.89,$86.14
03/13/2023,$85.64,2955387,$86.04,$87.47,$85.24
03/10/2023,$87.46,1932469,$87.83,$88.75,$86.94
03/09/2023,$87.98,1525885,$89.35,$89.48,$87.91
03/08/2023,$90.06,1811371,$90.83,$90.94,$89.20
03/07/2023,$90.80,1499168,$91.93,$92.51,$90.669
03/06/2023,$91.80,2071190,$91.96,$92.37,$91.055
03/03/2023,$91.70,1663542,$92.28,$92.28,$91.41
03/02/2023,$91.82,2032459,$90.94,$91.82,$90.37
03/01/2023,$91.47,1885793,$90.24,$91.50,$89.88
02/28/2023,$90.57,1730811,$90.98,$91.61,$90.40
02/27/2023,$91.02,1829353,$91.65,$92.50,$90.80
02/24/2023,$91.60,1299911,$91.26,$91.73,$90.47
02/23/2023,$91.93,1693791,$91.93,$92.70,$91.32
02/22/2023,$91.85,1954017,$91.39,$92.77,$91.19
02/21/2023,$91.44,1422934,$92.49,$93.48,$91.39
02/17/2023,$93.72,1945903,$93.20,$93.88,$92.43
02/16/2023,$93.20,1274956,$92.15,$93.57,$92.03
02/15/2023,$93.23,2308911,$92.87,$93.27,$91.84
02/14/2023,$93.18,1658467,$92.74,$93.465,$91.83
02/13/2023,$92.98,1960280,$91.19,$93.02,$90.61
02/10/2023,$91.14,2362353,$92.80,$93.01,$90.47
02/09/2023,$93.25,2550569,$93.30,$95.91,$92.34
02/08/2023,$92.88,3402207,$93.09,$96.52,$92.77
02/07/2023,$90.92,2094193,$90.89,$91.64,$90.11
02/06/2023,$91.05,1617079,$91.54,$91.94,$90.471
02/03/2023,$91.71,2528305,$91.74,$92.715,$91.38
02/02/2023,$91.83,2857125,$89.00,$92.09,$88.78
02/01/2023,$87.63,2262559,$85.58,$87.82,$85.30
01/31/2023,$85.99,2309407,$85.23,$86.17,$84.86
01/30/2023,$84.84,1105924,$84.75,$85.305,$84.51
01/27/2023,$85.28,1127095,$85.90,$86.35,$85.08
01/26/2023,$86.03,1455385,$86.76,$87.53,$85.93
01/25/2023,$86.76,1223168,$85.90,$86.80,$85.56
01/24/2023,$86.14,1425661,$84.63,$86.45,$83.7634
01/23/2023,$84.54,1013753,$83.84,$84.92,$83.64
01/20/2023,$83.78,1651475,$82.62,$84.07,$81.5801
01/19/2023,$82.11,1182055,$82.30,$82.88,$81.87
01/18/2023,$82.58,1262412,$83.68,$83.92,$82.07
01/17/2023,$83.68,1267573,$83.92,$83.92,$82.86
01/13/2023,$84.06,1404852,$83.49,$84.38,$83.49
01/12/2023,$84.35,1509164,$85.27,$85.51,$84.21
01/11/2023,$84.98,1458904,$85.60,$85.70,$84.021
01/10/2023,$85.80,1061314,$85.76,$85.85,$84.845
01/09/2023,$85.70,1540701,$86.10,$86.645,$85.59
01/06/2023,$86.08,1330560,$85.25,$86.60,$85.25
01/05/2023,$85.12,1575920,$84.31,$85.21,$83.71
01/04/2023,$84.44,1612934,$83.00,$84.58,$82.79
01/03/2023,$82.53,1217139,$82.69,$83.06,$81.73
12/30/2022,$81.57,1090863,$80.91,$81.58,$80.6039
