Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.95,923325,$47.82,$49.368,$47.30
01/04/2024,$47.98,750962,$48.34,$48.692,$47.925
01/03/2024,$48.28,801748,$48.79,$48.90,$47.86
01/02/2024,$49.40,686556,$48.70,$49.78,$48.51
12/29/2023,$49.20,529517,$49.58,$49.8899,$49.08
12/28/2023,$49.85,426562,$49.45,$49.89,$49.31
12/27/2023,$49.70,463434,$49.45,$49.77,$49.23
12/26/2023,$49.45,591628,$48.93,$49.82,$48.6877
12/22/2023,$49.02,359559,$49.61,$49.8065,$48.74
12/21/2023,$49.39,790504,$49.13,$49.40,$48.66
12/20/2023,$48.61,581202,$49.22,$49.76,$48.59
12/19/2023,$49.31,1174875,$48.85,$49.71,$48.64
12/18/2023,$48.70,1119499,$48.57,$49.06,$48.35
12/15/2023,$48.45,1359770,$48.24,$48.65,$47.76
12/14/2023,$48.24,1404437,$47.58,$48.86,$47.34
12/13/2023,$46.60,1326116,$44.77,$46.91,$44.64
12/12/2023,$44.84,763013,$44.16,$45.28,$43.93
12/11/2023,$44.31,860238,$45.21,$45.41,$44.30
12/08/2023,$45.23,1082422,$44.73,$45.30,$44.65
12/07/2023,$44.97,2062836,$43.75,$44.98,$43.71
12/06/2023,$43.47,1286273,$43.65,$44.36,$43.26
12/05/2023,$43.19,1814557,$42.95,$43.5324,$42.8701
12/04/2023,$43.38,1410612,$43.17,$43.86,$43.01
12/01/2023,$43.33,1516826,$42.30,$43.62,$42.12
11/30/2023,$42.30,1746445,$42.53,$42.73,$41.98
11/29/2023,$42.23,1598901,$41.20,$42.395,$41.13
11/28/2023,$40.72,1298083,$39.38,$40.76,$39.25
11/27/2023,$39.42,1552246,$38.07,$39.65,$37.93
11/24/2023,$38.29,322935,$38.50,$38.71,$38.20
11/22/2023,$38.55,763415,$38.12,$38.72,$37.8401
11/21/2023,$37.89,626770,$38.24,$38.45,$37.78
11/20/2023,$38.55,825224,$38.60,$38.79,$38.1666
11/17/2023,$38.60,1001196,$38.68,$38.75,$38.33
11/16/2023,$38.24,729458,$38.88,$38.94,$38.05
11/15/2023,$39.01,1014322,$38.80,$39.26,$38.465
11/14/2023,$38.58,1463837,$38.07,$38.59,$37.96
11/13/2023,$37.12,848094,$37.21,$37.30,$36.80
11/10/2023,$37.34,826495,$37.02,$37.35,$36.59
11/09/2023,$36.89,976076,$37.06,$37.43,$36.52
11/08/2023,$37.00,1305871,$37.14,$37.32,$36.77
11/07/2023,$37.22,1231255,$37.63,$37.86,$37.09
11/06/2023,$37.89,815452,$38.20,$38.2599,$37.29
11/03/2023,$38.24,1244437,$37.89,$38.41,$37.82
11/02/2023,$38.23,1207511,$37.00,$38.28,$37.00
11/01/2023,$36.35,1141610,$35.96,$36.56,$35.71
10/31/2023,$35.93,1057886,$35.57,$35.99,$35.53
10/30/2023,$35.39,1150568,$36.00,$36.36,$35.13
10/27/2023,$35.54,931446,$35.55,$36.09,$35.28
10/26/2023,$35.12,1726308,$35.37,$36.18,$35.00
10/25/2023,$35.71,2630946,$37.14,$37.56,$35.17
10/24/2023,$36.66,1617696,$36.91,$37.34,$36.32
10/23/2023,$36.70,939758,$36.70,$37.17,$36.53
10/20/2023,$36.88,987105,$37.44,$37.6808,$36.50
10/19/2023,$37.55,745508,$38.25,$38.52,$37.51
10/18/2023,$38.38,554453,$38.51,$38.80,$38.145
10/17/2023,$39.01,1006049,$38.31,$39.30,$38.31
10/16/2023,$38.65,909990,$37.72,$38.66,$37.62
10/13/2023,$37.40,816547,$38.88,$39.05,$37.39
10/12/2023,$38.65,610882,$38.94,$39.025,$38.05
10/11/2023,$38.91,558681,$38.37,$38.94,$38.28
10/10/2023,$38.34,1164647,$38.03,$38.76,$38.03
10/09/2023,$37.73,907970,$37.19,$38.08,$37.0601
10/06/2023,$37.66,1248010,$37.26,$38.28,$37.07
10/05/2023,$37.45,1081844,$37.25,$37.65,$36.765
10/04/2023,$37.44,1019709,$37.72,$37.90,$37.09
10/03/2023,$37.53,1258626,$38.96,$38.96,$37.225
10/02/2023,$39.24,777994,$40.06,$40.06,$39.15
09/29/2023,$40.09,838861,$40.31,$40.965,$40.025
09/28/2023,$40.03,599555,$39.40,$40.28,$39.40
09/27/2023,$39.24,877454,$39.47,$39.5382,$38.91
09/26/2023,$39.26,457604,$39.28,$39.815,$39.21
09/25/2023,$39.60,611025,$39.55,$39.9513,$39.45
09/22/2023,$39.66,592332,$40.23,$40.3266,$39.59
09/21/2023,$40.19,593265,$40.40,$40.70,$39.93
09/20/2023,$40.73,653565,$40.89,$41.42,$40.63
09/19/2023,$40.60,479319,$40.55,$40.86,$40.385
09/18/2023,$40.40,415796,$40.89,$40.89,$40.14
09/15/2023,$41.03,767857,$40.68,$41.32,$40.50
09/14/2023,$41.10,610995,$41.11,$41.41,$40.57
09/13/2023,$40.39,667426,$41.24,$41.44,$40.11
09/12/2023,$41.04,876939,$40.08,$41.265,$40.08
09/11/2023,$39.85,608537,$40.03,$40.35,$39.84
09/08/2023,$39.78,427711,$39.80,$40.053,$39.25
09/07/2023,$39.67,1021791,$39.96,$40.21,$39.565
09/06/2023,$40.21,629530,$40.37,$40.72,$39.735
09/05/2023,$40.52,721438,$42.08,$42.185,$40.49
09/01/2023,$42.30,609074,$42.02,$42.735,$42.02
08/31/2023,$41.51,593185,$41.08,$41.66,$41.05
08/30/2023,$41.07,629174,$41.34,$41.45,$40.84
08/29/2023,$41.30,630870,$40.20,$41.50,$40.155
08/28/2023,$40.21,497545,$40.26,$40.68,$40.065
08/25/2023,$39.95,469779,$40.00,$40.45,$39.59
08/24/2023,$40.00,447471,$39.47,$40.24,$39.43
08/23/2023,$39.38,484372,$38.73,$39.47,$38.39
08/22/2023,$38.66,935931,$39.89,$40.03,$38.615
08/21/2023,$39.77,668274,$39.76,$40.00,$39.35
08/18/2023,$39.66,883071,$39.46,$39.79,$39.30
08/17/2023,$39.72,727227,$39.77,$40.13,$39.61
08/16/2023,$39.76,798814,$40.60,$40.95,$39.75
08/15/2023,$40.73,1371921,$42.01,$42.04,$40.71
08/14/2023,$42.38,787961,$43.50,$43.52,$42.05
08/11/2023,$43.52,567066,$43.90,$44.00,$43.374
08/10/2023,$43.92,636575,$44.34,$44.71,$43.53
08/09/2023,$44.07,373448,$44.92,$45.05,$44.06
08/08/2023,$45.07,516014,$44.27,$45.105,$43.85
08/07/2023,$45.07,603045,$44.76,$45.28,$44.62
08/04/2023,$44.60,858939,$44.23,$44.96,$44.04
08/03/2023,$45.30,608111,$45.05,$45.355,$44.69
08/02/2023,$45.21,733446,$44.99,$45.31,$44.50
08/01/2023,$45.51,983672,$45.39,$45.76,$44.87
07/31/2023,$45.48,709884,$45.70,$46.34,$45.37
07/28/2023,$45.35,1167134,$46.15,$46.30,$44.96
07/27/2023,$45.40,1234385,$45.31,$47.04,$45.278
07/26/2023,$45.02,1913160,$44.29,$46.59,$43.55
07/25/2023,$48.04,747985,$48.36,$48.575,$47.90
