Date,Close/Last,Volume,Open,High,Low
01/05/2024,$11.72,245342,$11.72,$11.84,$11.67
01/04/2024,$11.67,194882,$11.69,$11.7119,$11.65
01/03/2024,$11.55,257526,$11.57,$11.605,$11.55
01/02/2024,$11.52,254700,$11.45,$11.53,$11.45
12/29/2023,$11.43,268595,$11.39,$11.43,$11.39
12/28/2023,$11.46,377412,$11.46,$11.49,$11.43
12/27/2023,$11.59,478162,$11.49,$11.60,$11.47
12/26/2023,$11.56,127027,$11.54,$11.58,$11.54
12/22/2023,$11.54,220474,$11.59,$11.595,$11.53
12/21/2023,$11.50,351807,$11.46,$11.50,$11.45
12/20/2023,$11.42,373697,$11.44,$11.4947,$11.42
12/19/2023,$11.37,403427,$11.39,$11.41,$11.37
12/18/2023,$11.40,371251,$11.49,$11.49,$11.39
12/15/2023,$11.48,350738,$11.54,$11.575,$11.46
12/14/2023,$11.70,265701,$11.67,$11.74,$11.67
12/13/2023,$11.77,256993,$11.70,$11.77,$11.63
12/12/2023,$12.01,207088,$12.00,$12.025,$11.98
12/11/2023,$11.96,165701,$11.93,$11.99,$11.92
12/08/2023,$11.95,221995,$11.93,$11.965,$11.90
12/07/2023,$12.00,242783,$12.02,$12.02,$11.9775
12/06/2023,$12.00,255486,$12.01,$12.04,$11.98
12/05/2023,$12.00,278035,$12.01,$12.075,$12.00
12/04/2023,$12.01,402789,$11.95,$12.04,$11.945
12/01/2023,$12.03,346534,$11.99,$12.05,$11.98
11/30/2023,$11.95,674608,$12.05,$12.055,$11.93
11/29/2023,$12.30,500813,$12.27,$12.305,$12.25
11/28/2023,$12.35,350286,$12.41,$12.41,$12.32
11/27/2023,$12.27,146809,$12.23,$12.28,$12.23
11/24/2023,$12.17,113968,$12.13,$12.195,$12.13
11/22/2023,$12.03,106437,$12.05,$12.05,$12.00
11/21/2023,$12.03,164800,$12.03,$12.07,$12.02
11/20/2023,$12.08,165022,$12.02,$12.08,$12.01
11/17/2023,$12.02,176952,$11.97,$12.046,$11.97
11/16/2023,$11.90,133448,$11.93,$11.96,$11.895
11/15/2023,$11.84,221404,$11.81,$11.845,$11.79
11/14/2023,$11.88,187739,$11.83,$11.895,$11.82
11/13/2023,$11.86,231826,$11.84,$11.89,$11.83
11/10/2023,$11.81,170975,$11.85,$11.855,$11.73
11/09/2023,$11.73,161640,$11.75,$11.80,$11.73
11/08/2023,$11.70,170379,$11.68,$11.735,$11.67
11/07/2023,$11.71,269151,$11.76,$11.76,$11.691
11/06/2023,$11.92,207657,$11.93,$11.94,$11.885
11/03/2023,$11.92,252919,$11.91,$11.9512,$11.875
11/02/2023,$11.92,345578,$11.90,$11.931,$11.86
11/01/2023,$11.83,206788,$11.77,$11.83,$11.745
10/31/2023,$11.73,206310,$11.72,$11.7736,$11.70
10/30/2023,$11.73,290425,$11.67,$11.73,$11.67
10/27/2023,$11.59,319611,$11.64,$11.68,$11.59
10/26/2023,$11.52,270894,$11.51,$11.56,$11.49
10/25/2023,$11.51,292255,$11.46,$11.53,$11.42
10/24/2023,$11.43,444676,$11.47,$11.511,$11.39
10/23/2023,$11.42,251461,$11.43,$11.481,$11.40
10/20/2023,$11.46,220996,$11.44,$11.50,$11.44
10/19/2023,$11.54,373505,$11.49,$11.57,$11.47
10/18/2023,$11.57,294481,$11.57,$11.61,$11.55
10/17/2023,$11.59,308628,$11.54,$11.62,$11.53
10/16/2023,$11.53,288846,$11.56,$11.58,$11.49
10/13/2023,$11.58,211396,$11.60,$11.64,$11.55
10/12/2023,$11.54,183185,$11.58,$11.58,$11.52
10/11/2023,$11.71,242509,$11.71,$11.75,$11.67
10/10/2023,$11.69,225378,$11.64,$11.71,$11.635
10/09/2023,$11.61,253857,$11.56,$11.62,$11.5545
10/06/2023,$11.64,352782,$11.52,$11.66,$11.44
10/05/2023,$11.59,736200,$11.53,$11.62,$11.50
10/04/2023,$11.58,584435,$11.61,$11.62,$11.51
10/03/2023,$11.31,374192,$11.24,$11.31,$11.19
10/02/2023,$11.39,288610,$11.51,$11.51,$11.39
09/29/2023,$11.49,457653,$11.47,$11.51,$11.44
09/28/2023,$11.42,440467,$11.41,$11.475,$11.395
09/27/2023,$11.42,631610,$11.38,$11.42,$11.329
09/26/2023,$11.60,235886,$11.58,$11.63,$11.57
09/25/2023,$11.63,276744,$11.65,$11.65,$11.55
09/22/2023,$11.81,264482,$11.81,$11.83,$11.77
09/21/2023,$11.97,211401,$11.92,$12.01,$11.92
09/20/2023,$11.98,297781,$12.04,$12.07,$11.96
09/19/2023,$11.90,257616,$11.82,$11.90,$11.82
09/18/2023,$11.85,281386,$11.77,$11.85,$11.73
09/15/2023,$11.74,1161038,$11.77,$11.84,$11.73
09/14/2023,$11.68,253133,$11.65,$11.68,$11.65
09/13/2023,$11.70,254724,$11.67,$11.71,$11.645
09/12/2023,$11.71,246502,$11.75,$11.75,$11.6717
09/11/2023,$11.67,327242,$11.64,$11.6899,$11.62
09/08/2023,$11.54,198871,$11.52,$11.58,$11.51
