Date,Close/Last,Volume,Open,High,Low
10/23/2023,$49.10,2198549,$49.23,$49.49,$48.70
10/20/2023,$49.90,2264319,$50.74,$51.17,$49.72
10/19/2023,$50.87,2732431,$50.89,$51.5999,$50.21
10/18/2023,$51.28,2027196,$51.49,$51.50,$50.67
10/17/2023,$51.17,2331509,$50.42,$51.495,$50.26
10/16/2023,$50.64,2049218,$50.26,$50.87,$49.46
10/13/2023,$49.84,3346838,$49.59,$50.36,$49.08
10/12/2023,$48.52,3062280,$49.06,$49.27,$48.05
10/11/2023,$48.62,2076862,$47.52,$48.65,$47.4194
10/10/2023,$48.21,2114119,$48.42,$48.66,$47.96
10/09/2023,$48.43,2532556,$47.69,$48.64,$47.07
10/06/2023,$45.54,2859422,$44.19,$45.85,$43.94
10/05/2023,$43.89,2285903,$43.25,$44.47,$43.11
10/04/2023,$43.85,3853093,$45.09,$45.12,$43.33
10/03/2023,$45.81,2263034,$45.50,$45.85,$44.80
10/02/2023,$45.78,2821096,$47.72,$47.90,$45.36
09/29/2023,$47.57,3237896,$49.01,$49.24,$47.495
09/28/2023,$49.20,2373014,$48.77,$49.30,$48.52
09/27/2023,$48.91,3048648,$47.94,$49.245,$47.56
09/26/2023,$46.55,2404235,$45.75,$47.00,$45.75
09/25/2023,$46.47,1917843,$45.11,$46.47,$44.95
09/22/2023,$45.20,4289586,$45.68,$46.18,$45.065
09/21/2023,$45.19,2310964,$46.19,$46.35,$44.89
09/20/2023,$46.08,2772707,$46.53,$47.26,$46.00
09/19/2023,$47.12,2579995,$47.99,$48.10,$46.88
09/18/2023,$47.26,2363718,$48.12,$48.23,$46.92
09/15/2023,$47.32,7050677,$47.85,$47.99,$46.97
09/14/2023,$48.18,3061996,$48.57,$48.79,$47.87
09/13/2023,$48.04,5220944,$48.47,$48.63,$47.32
09/12/2023,$48.31,10265460,$46.24,$48.31,$46.17
09/11/2023,$45.65,9055894,$45.74,$46.465,$45.34
09/08/2023,$47.32,2398348,$47.22,$47.69,$46.955
09/07/2023,$46.68,2533247,$46.90,$47.63,$46.46
09/06/2023,$47.12,2405732,$47.25,$48.05,$46.5413
09/05/2023,$47.39,3172674,$48.22,$48.69,$47.23
09/01/2023,$48.28,2954710,$47.42,$48.7086,$47.42
08/31/2023,$46.96,3708682,$47.65,$47.74,$46.95
08/30/2023,$47.34,2149144,$47.47,$47.87,$47.22
08/29/2023,$47.25,1292287,$46.77,$47.3999,$46.33
08/28/2023,$46.79,1817888,$47.04,$47.615,$46.525
08/25/2023,$46.66,1985156,$46.74,$46.89,$45.65
08/24/2023,$46.26,2477277,$46.55,$46.93,$46.15
08/23/2023,$46.98,2513575,$47.08,$47.21,$46.60
08/22/2023,$47.64,1525232,$48.31,$48.68,$47.61
08/21/2023,$48.19,2031085,$48.62,$48.84,$47.61
08/18/2023,$48.28,1802792,$47.35,$48.57,$47.09
08/17/2023,$47.99,1643993,$48.19,$48.77,$47.62
08/16/2023,$47.36,2014530,$47.73,$48.27,$47.05
