Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.73,1050330,$48.29,$49.32,$48.19
01/04/2024,$48.70,963144,$48.20,$48.98,$48.20
01/03/2024,$48.21,823483,$49.36,$49.36,$48.02
01/02/2024,$49.75,1049193,$49.33,$50.745,$49.26
12/29/2023,$49.83,622901,$50.58,$50.66,$49.80
12/28/2023,$50.66,668202,$50.25,$50.88,$50.09
12/27/2023,$50.68,657838,$50.88,$51.02,$50.35
12/26/2023,$50.79,369103,$50.52,$51.16,$50.05
12/22/2023,$50.22,518505,$50.71,$50.94,$49.995
12/21/2023,$50.17,539184,$50.48,$50.50,$49.6388
12/20/2023,$49.85,1084566,$50.65,$51.35,$49.84
12/19/2023,$50.72,1129465,$49.80,$51.08,$49.51
12/18/2023,$49.58,1087561,$50.61,$50.61,$49.49
12/15/2023,$50.08,4109422,$51.39,$51.55,$49.76
12/14/2023,$51.61,3650241,$49.36,$52.36,$49.36
12/13/2023,$47.91,1826985,$45.01,$48.06,$44.385
12/12/2023,$44.98,709536,$45.08,$45.17,$44.738
12/11/2023,$45.17,776971,$44.77,$45.30,$44.49
12/08/2023,$45.07,886842,$45.18,$45.77,$44.80
12/07/2023,$45.08,837729,$44.25,$45.19,$43.97
12/06/2023,$44.00,1001581,$45.05,$45.78,$43.94
12/05/2023,$44.51,993256,$45.25,$45.25,$44.455
12/04/2023,$45.35,1471887,$43.58,$45.53,$43.58
12/01/2023,$44.10,1964762,$41.81,$44.64,$41.435
11/30/2023,$41.86,853825,$42.05,$42.45,$41.68
11/29/2023,$41.85,830937,$41.52,$42.31,$41.52
11/28/2023,$41.15,438645,$41.27,$41.35,$40.7201
11/27/2023,$41.25,686786,$41.15,$41.28,$40.73
11/24/2023,$41.48,281776,$41.41,$41.75,$41.14
11/22/2023,$41.40,505607,$41.40,$41.535,$40.74
11/21/2023,$40.91,352399,$41.50,$41.55,$40.86
11/20/2023,$41.76,479947,$41.54,$41.82,$41.11
11/17/2023,$41.69,668698,$41.25,$41.81,$41.12
11/16/2023,$40.73,777253,$41.11,$41.58,$40.46
11/15/2023,$41.32,964250,$40.73,$42.10,$40.73
11/14/2023,$40.86,1573717,$39.27,$41.40,$39.27
11/13/2023,$37.70,360656,$37.31,$37.88,$36.99
11/10/2023,$37.63,378794,$37.36,$37.66,$36.76
11/09/2023,$37.14,562839,$37.99,$38.0582,$36.96
11/08/2023,$38.04,467506,$38.83,$38.83,$37.98
11/07/2023,$38.65,422731,$38.92,$39.04,$38.50
11/06/2023,$39.22,597254,$39.95,$40.28,$38.99
11/03/2023,$39.94,1210392,$39.71,$40.76,$39.43
11/02/2023,$38.60,1090587,$36.14,$38.66,$36.14
11/01/2023,$35.74,891064,$35.70,$36.00,$34.90
10/31/2023,$35.81,577549,$36.03,$36.26,$35.61
10/30/2023,$35.87,672933,$35.69,$35.96,$35.10
10/27/2023,$35.16,625699,$36.03,$36.13,$34.81
10/26/2023,$36.22,745345,$35.10,$36.37,$35.10
10/25/2023,$35.40,999427,$35.47,$36.05,$34.76
10/24/2023,$35.80,835599,$36.17,$36.2096,$35.39
10/23/2023,$35.91,1285651,$35.47,$36.22,$35.41
10/20/2023,$35.60,2721060,$38.40,$38.435,$35.25
10/19/2023,$35.40,1280871,$35.74,$36.50,$35.27
10/18/2023,$35.87,1095746,$37.09,$37.27,$35.85
10/17/2023,$37.48,1043627,$36.81,$38.19,$36.755
10/16/2023,$37.08,605613,$36.66,$37.17,$36.595
10/13/2023,$36.23,757367,$37.42,$37.585,$35.905
10/12/2023,$37.00,683032,$37.36,$37.4459,$36.4775
10/11/2023,$37.71,748242,$37.50,$38.03,$37.21
10/10/2023,$37.43,609116,$37.32,$37.79,$37.25
10/09/2023,$37.01,748819,$36.36,$37.185,$36.18
10/06/2023,$36.66,996861,$36.34,$37.28,$36.03
10/05/2023,$36.665,614130,$35.57,$36.795,$35.57
10/04/2023,$35.71,678140,$35.31,$35.91,$34.905
10/03/2023,$35.25,930782,$35.94,$35.98,$34.89
10/02/2023,$35.79,968136,$37.10,$37.14,$35.49
09/29/2023,$37.07,841931,$37.28,$37.805,$36.91
09/28/2023,$36.85,573407,$36.37,$37.27,$36.28
09/27/2023,$36.32,810661,$36.73,$36.945,$35.89
09/26/2023,$36.30,621762,$36.61,$37.20,$36.11
09/25/2023,$37.07,755244,$36.46,$37.12,$36.30
09/22/2023,$36.56,793566,$36.53,$36.69,$36.06
09/21/2023,$36.30,809503,$36.81,$37.04,$36.24
09/20/2023,$37.21,641649,$37.98,$38.405,$37.175
09/19/2023,$37.72,688873,$38.04,$38.38,$37.52
09/18/2023,$37.96,977285,$38.39,$38.55,$37.92
09/15/2023,$38.44,2201694,$38.28,$38.72,$38.00
09/14/2023,$38.67,1031234,$38.77,$39.68,$38.50
09/13/2023,$38.10,679089,$39.48,$39.48,$37.89
09/12/2023,$39.22,693899,$38.69,$39.37,$38.60
09/11/2023,$38.60,752044,$38.87,$39.30,$38.55
09/08/2023,$38.56,846548,$38.75,$38.925,$38.06
09/07/2023,$38.57,1368523,$38.90,$39.50,$38.43
