Date,Close/Last,Volume,Open,High,Low
10/23/2023,$15.59,1876976,$15.55,$15.695,$15.485
10/20/2023,$15.70,2761230,$15.86,$15.86,$15.60
10/19/2023,$15.78,3198916,$15.73,$15.795,$15.57
10/18/2023,$15.70,2880960,$15.60,$15.785,$15.58
10/17/2023,$15.58,3338587,$15.51,$15.74,$15.44
10/16/2023,$15.48,2716005,$15.53,$15.57,$15.40
10/13/2023,$15.46,3504251,$15.35,$15.555,$15.33
10/12/2023,$15.25,3616831,$15.18,$15.27,$15.06
10/11/2023,$15.13,4543192,$14.76,$15.25,$14.755
10/10/2023,$14.82,1609996,$14.75,$14.90,$14.675
10/09/2023,$14.80,2712513,$14.59,$14.80,$14.57
10/06/2023,$14.44,3799054,$14.49,$14.59,$14.25
10/05/2023,$14.48,2638296,$14.27,$14.50,$14.25
10/04/2023,$14.41,4877660,$14.62,$14.675,$14.33
10/03/2023,$14.66,4131756,$15.11,$15.16,$14.57
10/02/2023,$15.18,4080539,$15.31,$15.34,$15.125
09/29/2023,$15.32,4525691,$15.54,$15.54,$15.295
09/28/2023,$15.41,4535889,$15.16,$15.47,$15.16
09/27/2023,$15.27,4311255,$15.25,$15.3733,$15.17
09/26/2023,$15.19,4232510,$15.48,$15.57,$15.18
09/25/2023,$15.67,8507466,$15.51,$15.76,$15.37
09/22/2023,$15.79,21175740,$15.79,$16.045,$15.76
09/21/2023,$15.67,4849047,$15.57,$15.795,$15.555
09/20/2023,$15.61,3852983,$15.40,$15.68,$15.40
09/19/2023,$15.44,3758573,$15.36,$15.47,$15.31
09/18/2023,$15.25,2220252,$15.23,$15.30,$15.13
09/15/2023,$15.15,6122428,$15.22,$15.35,$15.135
09/14/2023,$15.22,4627548,$15.19,$15.29,$15.09
09/13/2023,$14.99,2576401,$14.99,$15.03,$14.87
09/12/2023,$14.91,2023172,$14.76,$14.92,$14.76
09/11/2023,$14.70,3750680,$14.79,$14.821,$14.65
09/08/2023,$14.72,4158161,$14.80,$14.92,$14.70
09/07/2023,$14.76,4198755,$14.79,$14.84,$14.65
09/06/2023,$14.78,5859893,$15.30,$15.30,$14.76
09/05/2023,$15.32,3479617,$15.49,$15.495,$15.32
09/01/2023,$15.45,2723617,$15.25,$15.45,$15.25
08/31/2023,$15.25,2779444,$15.21,$15.29,$15.17
08/30/2023,$15.25,2778606,$15.22,$15.3199,$15.18
08/29/2023,$15.21,3949733,$15.14,$15.22,$15.0325
08/28/2023,$15.12,2775423,$15.16,$15.275,$15.09
08/25/2023,$15.18,3725938,$15.31,$15.37,$15.085
08/24/2023,$15.24,3046164,$15.27,$15.38,$15.24
08/23/2023,$15.35,3314065,$15.44,$15.44,$15.18
08/22/2023,$15.33,2283193,$15.46,$15.48,$15.33
08/21/2023,$15.42,4723427,$15.37,$15.46,$15.30
08/18/2023,$15.31,6084556,$14.95,$15.31,$14.89
08/17/2023,$15.05,4642362,$15.20,$15.30,$15.00
08/16/2023,$15.14,5584368,$15.22,$15.25,$15.08
08/15/2023,$15.23,3934121,$15.24,$15.28,$15.15
08/14/2023,$15.29,3086108,$15.31,$15.35,$15.19
08/11/2023,$15.25,1718763,$15.03,$15.25,$14.99
08/10/2023,$15.03,1876944,$15.14,$15.14,$14.95
08/09/2023,$15.04,2181260,$15.11,$15.22,$15.03
08/08/2023,$15.11,5498784,$14.98,$15.16,$14.875
08/07/2023,$15.07,3533496,$14.94,$15.07,$14.895
08/04/2023,$14.92,5089762,$14.84,$15.11,$14.50
08/03/2023,$14.72,4461800,$14.51,$14.73,$14.40
08/02/2023,$14.47,2305054,$14.66,$14.71,$14.415
08/01/2023,$14.71,5284747,$14.79,$14.84,$14.57
07/31/2023,$14.88,2159544,$14.81,$14.91,$14.775
07/28/2023,$14.74,3873654,$14.62,$14.82,$14.585
07/27/2023,$14.89,3442914,$15.06,$15.06,$14.86
07/26/2023,$14.95,5384744,$14.94,$14.995,$14.825
07/25/2023,$14.92,4287940,$15.09,$15.11,$14.88
07/24/2023,$15.02,3783467,$14.84,$15.09,$14.835
07/21/2023,$14.77,2468947,$14.75,$14.82,$14.698
07/20/2023,$14.72,3529030,$14.67,$14.72,$14.61
07/19/2023,$14.64,2734411,$14.63,$14.71,$14.58
