Date,Close/Last,Volume,Open,High,Low
10/23/2023,$16.07,1348252,$16.02,$16.20,$15.91
10/20/2023,$16.13,1411935,$16.16,$16.25,$16.075
10/19/2023,$16.26,1322072,$16.16,$16.3575,$16.11
10/18/2023,$16.27,2324525,$16.19,$16.36,$16.16
10/17/2023,$16.19,1939309,$16.06,$16.36,$16.06
10/16/2023,$16.11,2166949,$16.05,$16.13,$15.92
10/13/2023,$15.96,2021412,$16.00,$16.0748,$15.94
10/12/2023,$15.85,2645049,$15.98,$15.98,$15.69
10/11/2023,$15.89,3710525,$15.31,$15.93,$15.29
10/10/2023,$15.48,2406687,$15.45,$15.52,$15.24
10/09/2023,$15.38,1574602,$15.22,$15.39,$15.135
10/06/2023,$15.05,2629643,$14.96,$15.17,$14.76
10/05/2023,$15.04,3225965,$14.85,$15.04,$14.71
10/04/2023,$14.89,7022538,$15.24,$15.31,$14.80
10/03/2023,$15.30,5452968,$15.97,$15.99,$15.24
10/02/2023,$15.99,2709320,$16.14,$16.16,$15.91
09/29/2023,$16.12,3568663,$16.24,$16.40,$16.045
09/28/2023,$16.22,4750211,$15.98,$16.26,$15.925
09/27/2023,$16.04,2928478,$16.06,$16.165,$15.95
09/26/2023,$15.96,3510036,$16.21,$16.27,$15.93
09/25/2023,$16.34,4757161,$16.27,$16.61,$16.11
09/22/2023,$16.61,3537252,$16.38,$16.70,$16.38
09/21/2023,$16.335,1524811,$16.30,$16.46,$16.255
09/20/2023,$16.32,1369477,$16.18,$16.40,$16.18
09/19/2023,$16.21,1308520,$16.15,$16.25,$16.095
09/18/2023,$16.06,1123607,$16.02,$16.105,$15.93
09/15/2023,$15.97,1447799,$15.94,$16.13,$15.94
09/14/2023,$16.03,1513375,$15.89,$16.095,$15.89
09/13/2023,$15.80,826848,$15.75,$15.83,$15.695
09/12/2023,$15.74,1123997,$15.60,$15.75,$15.60
09/11/2023,$15.56,2515659,$15.74,$15.74,$15.4925
09/08/2023,$15.62,1643088,$15.62,$15.715,$15.59
09/07/2023,$15.61,2134586,$15.57,$15.65,$15.485
09/06/2023,$15.59,2311023,$15.94,$15.97,$15.50
09/05/2023,$16.05,1470193,$16.24,$16.2799,$16.04
09/01/2023,$16.19,1210745,$16.20,$16.2507,$16.10
08/31/2023,$16.04,2985679,$16.12,$16.13,$15.97
08/30/2023,$16.05,1891701,$16.10,$16.11,$16.015
08/29/2023,$16.04,2256181,$15.95,$16.06,$15.84
08/28/2023,$15.94,2006917,$16.01,$16.09,$15.93
08/25/2023,$15.97,4313738,$15.92,$16.015,$15.79
08/24/2023,$15.91,1299158,$15.84,$16.04,$15.82
08/23/2023,$15.97,2979236,$15.89,$16.04,$15.685
08/22/2023,$15.88,1520407,$15.94,$15.995,$15.85
08/21/2023,$15.91,2383659,$15.99,$16.02,$15.8088
08/18/2023,$15.87,2129919,$15.49,$15.89,$15.45
08/17/2023,$15.59,2142361,$15.73,$15.835,$15.57
08/16/2023,$15.66,2344572,$15.70,$15.78,$15.63
08/15/2023,$15.75,1628932,$15.88,$15.92,$15.74
08/14/2023,$15.92,1440523,$15.92,$15.975,$15.825
08/11/2023,$15.89,859522,$15.70,$15.91,$15.66
08/10/2023,$15.66,1163407,$15.73,$15.765,$15.59
08/09/2023,$15.70,1405918,$15.81,$15.865,$15.68
08/08/2023,$15.74,1808974,$15.64,$15.78,$15.53
08/07/2023,$15.73,2502594,$15.67,$15.76,$15.58
08/04/2023,$15.65,3203553,$15.48,$15.85,$15.2501
08/03/2023,$15.39,1966731,$15.13,$15.39,$15.08
08/02/2023,$15.19,4205010,$15.45,$15.45,$15.095
08/01/2023,$15.45,3670782,$15.65,$15.65,$15.34
07/31/2023,$15.69,1474537,$15.63,$15.71,$15.59
07/28/2023,$15.53,1829027,$15.55,$15.61,$15.445
07/27/2023,$15.78,2316209,$15.83,$15.87,$15.71
07/26/2023,$15.79,1469950,$15.77,$15.85,$15.70
07/25/2023,$15.80,2085397,$15.84,$15.8994,$15.76
07/24/2023,$15.81,2005993,$15.73,$15.92,$15.705
07/21/2023,$15.67,2272098,$15.59,$15.71,$15.55
07/20/2023,$15.52,1668101,$15.54,$15.54,$15.40
07/19/2023,$15.46,3364833,$15.41,$15.54,$15.38
07/18/2023,$15.39,3487330,$15.14,$15.44,$15.11
07/17/2023,$15.19,3299300,$15.11,$15.255,$15.05
07/14/2023,$15.09,3694779,$15.48,$15.48,$15.055
07/13/2023,$15.48,3349720,$15.46,$15.5952,$15.44
07/12/2023,$15.46,6087506,$15.50,$15.55,$15.34
07/11/2023,$15.31,5745811,$15.27,$15.495,$15.17
07/10/2023,$15.16,6281241,$15.058,$15.205,$14.965
07/07/2023,$15.02,2700757,$14.61,$15.03,$14.59
07/06/2023,$14.61,2365586,$14.69,$14.765,$14.505
07/05/2023,$14.81,2680481,$14.93,$14.95,$14.80
07/03/2023,$14.93,917025,$14.84,$14.995,$14.81
06/30/2023,$14.83,1479509,$14.84,$14.93,$14.72
06/29/2023,$14.71,1745686,$14.56,$14.73,$14.535
06/28/2023,$14.53,1308974,$14.43,$14.54,$14.33
06/27/2023,$14.40,2604699,$14.18,$14.42,$14.15
06/26/2023,$14.23,2338427,$13.85,$14.36,$13.84
06/23/2023,$13.82,1870101,$13.84,$13.93,$13.78
06/22/2023,$13.97,2434970,$14.02,$14.095,$13.94
06/21/2023,$14.11,1396346,$14.00,$14.21,$13.925
06/20/2023,$13.99,2732293,$14.06,$14.06,$13.815
06/16/2023,$14.02,3368478,$13.96,$14.16,$13.94
06/15/2023,$13.97,2960990,$13.87,$14.065,$13.86
06/14/2023,$13.87,2812367,$14.07,$14.095,$13.80
06/13/2023,$13.96,1659809,$13.98,$14.16,$13.88
06/12/2023,$13.92,2629596,$14.12,$14.15,$13.865
06/09/2023,$14.24,3669930,$14.54,$14.55,$14.19
06/08/2023,$14.56,2536965,$14.57,$14.65,$14.41
06/07/2023,$14.57,1949196,$14.38,$14.655,$14.32
06/06/2023,$14.24,2418848,$14.03,$14.30,$13.99
06/05/2023,$14.16,1411045,$14.37,$14.42,$14.05
06/02/2023,$14.17,3581779,$13.92,$14.19,$13.85
06/01/2023,$13.78,2204408,$13.63,$13.82,$13.51
05/31/2023,$13.60,5067293,$13.90,$13.9134,$13.47
05/30/2023,$14.02,1797378,$14.20,$14.26,$13.96
05/26/2023,$14.30,1601496,$14.17,$14.365,$14.04
05/25/2023,$14.16,1873453,$14.02,$14.17,$13.95
05/24/2023,$14.19,1317860,$14.23,$14.275,$14.10
05/23/2023,$14.16,1357790,$14.18,$14.28,$14.095
05/22/2023,$14.10,2313858,$14.06,$14.2305,$14.04
05/19/2023,$14.06,3696483,$14.15,$14.1991,$14.03
05/18/2023,$14.04,3335889,$13.81,$14.09,$13.759
05/17/2023,$13.85,3215861,$13.66,$13.895,$13.55
05/16/2023,$13.52,2941539,$13.79,$13.80,$13.47
05/15/2023,$13.85,6677085,$13.43,$13.88,$13.365
05/12/2023,$13.26,1425718,$13.25,$13.33,$13.12
05/11/2023,$13.17,1986712,$13.22,$13.23,$13.09
05/10/2023,$13.33,1520812,$13.42,$13.42,$13.185
05/09/2023,$13.31,2292272,$13.30,$13.445,$13.20
05/08/2023,$13.26,1898316,$13.60,$13.60,$13.18
05/05/2023,$13.50,4859038,$13.07,$13.545,$12.95
05/04/2023,$12.81,2852309,$12.89,$12.9197,$12.585
05/03/2023,$12.89,3760349,$12.78,$13.025,$12.72
05/02/2023,$12.91,5592123,$13.26,$13.27,$12.695
05/01/2023,$13.41,1779522,$13.36,$13.485,$13.28
04/28/2023,$13.40,2361763,$13.28,$13.51,$13.25
04/27/2023,$13.58,1708716,$13.48,$13.67,$13.39
04/26/2023,$13.48,1800244,$13.57,$13.635,$13.40
04/25/2023,$13.58,2246297,$13.72,$13.75,$13.5399
04/24/2023,$13.86,1347735,$13.72,$13.95,$13.72
04/21/2023,$13.77,2650793,$13.74,$13.77,$13.595
04/20/2023,$13.55,2392160,$13.59,$13.605,$13.41
04/19/2023,$13.66,3276564,$13.58,$13.665,$13.51
04/18/2023,$13.65,2027238,$13.64,$13.70,$13.545
04/17/2023,$13.63,3265164,$13.69,$13.785,$13.575
04/14/2023,$13.68,4160502,$13.68,$13.76,$13.57
04/13/2023,$13.65,3592918,$13.56,$13.705,$13.53
04/12/2023,$13.63,3279455,$13.80,$13.83,$13.60
04/11/2023,$13.68,2639967,$13.71,$13.895,$13.65
04/10/2023,$13.68,2068263,$13.61,$13.80,$13.61
04/06/2023,$13.55,3648661,$13.47,$13.685,$13.41
04/05/2023,$13.50,1787854,$13.48,$13.53,$13.285
04/04/2023,$13.46,3224702,$13.68,$13.70,$13.24
04/03/2023,$13.69,3923469,$13.52,$13.7227,$13.445
03/31/2023,$13.12,1732539,$13.06,$13.17,$13.0225
03/30/2023,$13.04,1259496,$13.10,$13.11,$12.98
03/29/2023,$12.95,2196834,$12.94,$12.99,$12.75
03/28/2023,$12.82,3126650,$12.56,$12.86,$12.53
03/27/2023,$12.58,1978887,$12.33,$12.64,$12.24
03/24/2023,$12.18,2304902,$11.99,$12.245,$11.86
03/23/2023,$12.16,3205845,$12.63,$12.73,$12.105
03/22/2023,$12.56,1941348,$12.81,$12.895,$12.55
03/21/2023,$12.81,2220957,$12.53,$12.8994,$12.435
03/20/2023,$12.27,2719240,$12.33,$12.61,$12.26
03/17/2023,$12.26,2613144,$12.32,$12.40,$12.02
03/16/2023,$12.47,3694185,$12.135,$12.47,$11.79
03/15/2023,$12.25,5168504,$12.65,$12.775,$12.0725
03/14/2023,$13.02,2805908,$13.00,$13.335,$12.885
03/13/2023,$12.90,3136254,$13.02,$13.30,$12.81
03/10/2023,$13.34,2394279,$13.59,$13.69,$13.305
03/09/2023,$13.58,1437276,$13.88,$13.925,$13.56
03/08/2023,$13.78,1840715,$13.75,$13.80,$13.565
03/07/2023,$13.72,1888460,$13.89,$13.9109,$13.705
03/06/2023,$13.94,2424509,$14.12,$14.125,$13.92
03/03/2023,$14.08,2013155,$14.01,$14.17,$13.95
03/02/2023,$14.05,2432349,$13.84,$14.05,$13.685
03/01/2023,$13.80,3424233,$13.84,$13.88,$13.61
02/28/2023,$13.91,5890392,$13.90,$14.08,$13.785
02/27/2023,$13.87,3986013,$13.73,$13.87,$13.66
02/24/2023,$13.70,2630309,$13.56,$13.72,$13.425
02/23/2023,$13.62,3187133,$13.54,$13.65,$13.39
02/22/2023,$13.39,3419619,$13.32,$13.475,$13.21
02/21/2023,$13.35,2882769,$13.37,$13.45,$13.20
02/17/2023,$13.40,3196227,$13.54,$13.54,$13.255
02/16/2023,$13.65,1961557,$13.60,$13.70,$13.525
02/15/2023,$13.70,1870377,$13.58,$13.71,$13.455
02/14/2023,$13.65,2114269,$13.46,$13.685,$13.37
02/13/2023,$13.42,1490003,$13.26,$13.48,$13.26
02/10/2023,$13.38,2947708,$13.13,$13.40,$13.09
02/09/2023,$13.05,4347910,$13.38,$13.49,$13.03
02/08/2023,$13.20,3206514,$13.42,$13.42,$12.9738
02/07/2023,$13.21,2818046,$13.13,$13.22,$13.00
02/06/2023,$13.14,2540934,$13.38,$13.42,$13.13
02/03/2023,$13.38,2063941,$13.48,$13.66,$13.35
02/02/2023,$13.39,1663286,$13.24,$13.44,$13.11
02/01/2023,$13.18,3383658,$13.07,$13.26,$12.80
01/31/2023,$13.09,6831291,$13.05,$13.09,$12.77
01/30/2023,$13.01,1822215,$13.26,$13.27,$13.00
01/27/2023,$13.54,2223506,$13.53,$13.63,$13.46
01/26/2023,$13.46,2786255,$13.38,$13.52,$13.33
01/25/2023,$13.28,2927371,$13.27,$13.345,$13.155
01/24/2023,$13.27,2343326,$13.17,$13.30,$13.02
01/23/2023,$13.21,4610574,$13.13,$13.345,$13.10
01/20/2023,$13.04,1975818,$13.03,$13.13,$12.89
01/19/2023,$12.96,3399690,$12.84,$13.02,$12.82
01/18/2023,$12.91,2358529,$12.97,$13.075,$12.7815
01/17/2023,$12.87,2472325,$12.98,$13.025,$12.79
01/13/2023,$12.88,899722,$12.86,$12.93,$12.78
01/12/2023,$12.89,3080525,$12.835,$12.89,$12.725
01/11/2023,$12.70,2070753,$12.68,$12.75,$12.51
01/10/2023,$12.65,1970732,$12.48,$12.70,$12.46
01/09/2023,$12.47,1794784,$12.63,$12.63,$12.44
01/06/2023,$12.47,2129215,$12.42,$12.63,$12.39
01/05/2023,$12.24,2531691,$12.21,$12.25,$12.08
01/04/2023,$12.24,2068001,$12.07,$12.36,$12.06
01/03/2023,$12.19,2098975,$12.40,$12.495,$12.07
12/30/2022,$12.44,1980809,$12.30,$12.46,$12.20
12/29/2022,$12.39,2088284,$12.20,$12.405,$12.13
12/28/2022,$12.18,3878481,$12.46,$12.46,$12.115
12/27/2022,$12.48,1295751,$12.50,$12.55,$12.395
12/23/2022,$12.47,1770241,$12.13,$12.47,$12.06
12/22/2022,$12.02,2495656,$12.23,$12.23,$11.805
12/21/2022,$12.24,2207356,$12.22,$12.25,$12.075
12/20/2022,$12.05,2774795,$12.08,$12.21,$12.01
12/19/2022,$12.11,2742666,$12.21,$12.32,$11.985
12/16/2022,$12.15,3251219,$12.13,$12.17,$11.95
12/15/2022,$12.33,3677206,$12.30,$12.37,$12.14
12/14/2022,$12.37,3306053,$12.52,$12.52,$12.065
12/13/2022,$12.46,4330353,$12.51,$12.53,$12.255
12/12/2022,$12.24,1642448,$12.05,$12.27,$12.00
12/09/2022,$12.00,2207329,$12.31,$12.35,$11.96
12/08/2022,$12.26,2423042,$12.59,$12.65,$12.26
12/07/2022,$12.39,3673277,$12.64,$12.68,$12.36
12/06/2022,$12.62,3451678,$12.82,$13.03,$12.55
12/05/2022,$12.88,2075883,$13.11,$13.21,$12.79
12/02/2022,$13.00,1621838,$12.88,$13.02,$12.8501
12/01/2022,$12.96,2277200,$13.36,$13.415,$12.95
11/30/2022,$13.23,6851053,$13.11,$13.28,$12.895
11/29/2022,$13.08,1966956,$12.83,$13.095,$12.7601
11/28/2022,$12.73,1887018,$12.68,$12.81,$12.61
11/25/2022,$12.94,936028,$12.96,$13.04,$12.875
11/23/2022,$12.86,1519616,$12.90,$12.95,$12.80
11/22/2022,$13.06,1898131,$12.92,$13.13,$12.74
11/21/2022,$12.74,4876900,$12.59,$12.785,$12.375
11/18/2022,$13.01,4373915,$12.71,$13.02,$12.635
11/17/2022,$12.84,2649225,$12.68,$12.85,$12.545
11/16/2022,$12.77,2547898,$12.83,$12.85,$12.625
11/15/2022,$12.93,2755598,$12.98,$13.3595,$12.8817
11/14/2022,$12.93,1387768,$12.94,$13.2074,$12.92
11/11/2022,$12.99,2357334,$13.17,$13.20,$12.875
11/10/2022,$12.98,2030743,$12.95,$13.035,$12.82
11/09/2022,$12.75,3280781,$13.05,$13.09,$12.71
11/08/2022,$13.23,2932715,$13.19,$13.285,$13.06
11/07/2022,$13.17,2715451,$13.17,$13.23,$13.015
11/04/2022,$13.14,2771007,$13.27,$13.38,$13.02
11/03/2022,$13.03,3708170,$12.55,$13.30,$12.55
11/02/2022,$12.62,2885326,$12.81,$12.945,$12.62
11/01/2022,$12.90,2266640,$12.72,$12.94,$12.61
10/31/2022,$12.54,1612204,$12.40,$12.62,$12.34
10/28/2022,$12.42,2785077,$12.51,$12.57,$12.07
10/27/2022,$12.67,2453591,$12.56,$12.75,$12.53
10/26/2022,$12.43,1509933,$12.42,$12.46,$12.2966
10/25/2022,$12.31,3528182,$12.38,$12.40,$12.1999
10/24/2022,$12.41,1987671,$12.49,$12.50,$12.335
10/21/2022,$12.38,1511402,$12.25,$12.455,$12.115
10/20/2022,$12.19,2450403,$12.44,$12.4906,$12.13
10/19/2022,$12.33,1651785,$12.15,$12.385,$12.14
10/18/2022,$12.21,2568823,$12.01,$12.23,$11.975
10/17/2022,$11.99,2165624,$11.73,$12.04,$11.73
10/14/2022,$11.65,1681493,$11.88,$11.98,$11.63
10/13/2022,$11.96,1820683,$11.61,$11.99,$11.4499
10/12/2022,$11.70,2002717,$11.68,$11.88,$11.58
10/11/2022,$11.71,2888281,$11.41,$11.85,$11.25
10/10/2022,$11.50,2374132,$11.68,$11.90,$11.475
10/07/2022,$11.71,3069160,$11.91,$11.94,$11.62
10/06/2022,$11.91,2383152,$11.87,$12.055,$11.73
10/05/2022,$11.95,2347628,$11.84,$12.01,$11.57
10/04/2022,$11.88,3133730,$11.52,$11.905,$11.46
10/03/2022,$11.37,2321419,$11.30,$11.46,$11.19
09/30/2022,$10.91,2495610,$10.83,$11.065,$10.77
09/29/2022,$10.91,2119399,$10.97,$10.97,$10.54
09/28/2022,$11.00,2820681,$10.64,$11.01,$10.535
09/27/2022,$10.55,2896716,$10.66,$10.81,$10.4601
09/26/2022,$10.45,3055805,$10.89,$10.94,$10.45
09/23/2022,$11.01,3947911,$11.45,$11.5514,$10.79
09/22/2022,$11.86,2623107,$12.31,$12.355,$11.85
09/21/2022,$12.16,2086153,$12.47,$12.478,$12.14
09/20/2022,$12.28,3699679,$12.30,$12.385,$12.09
09/19/2022,$12.39,1965495,$11.97,$12.39,$11.97
09/16/2022,$12.31,3524703,$12.80,$12.80,$12.26
09/15/2022,$12.90,2298731,$12.75,$13.02,$12.71
09/14/2022,$12.90,2929048,$12.62,$12.975,$12.60
09/13/2022,$12.45,2479766,$12.54,$12.64,$12.40
09/12/2022,$12.70,2221994,$12.70,$12.745,$12.52
09/09/2022,$12.52,1788842,$12.27,$12.555,$12.25
09/08/2022,$12.08,2065060,$11.94,$12.08,$11.79
09/07/2022,$11.94,3046451,$11.81,$11.955,$11.72
09/06/2022,$12.06,1594953,$12.34,$12.40,$12.015
09/02/2022,$12.19,1646874,$12.21,$12.35,$12.01
09/01/2022,$11.96,3366338,$11.905,$12.06,$11.78
08/31/2022,$11.98,6105881,$11.99,$12.315,$11.89
08/30/2022,$12.25,2177236,$12.50,$12.525,$12.1793
08/29/2022,$12.67,1867292,$12.66,$12.9067,$12.62
08/26/2022,$12.69,1434335,$12.83,$12.96,$12.66
08/25/2022,$12.89,2673350,$12.95,$12.96,$12.75
08/24/2022,$12.86,4313557,$12.61,$12.90,$12.57
08/23/2022,$12.58,5021825,$12.09,$12.76,$12.00
08/22/2022,$11.84,1425475,$11.83,$11.94,$11.725
08/19/2022,$11.94,1001839,$12.07,$12.13,$11.90
08/18/2022,$12.16,2225257,$11.89,$12.17,$11.77
08/17/2022,$11.67,1786697,$11.72,$11.875,$11.575
08/16/2022,$11.83,1958228,$11.83,$11.88,$11.715
08/15/2022,$11.69,2771729,$11.65,$11.78,$11.51
08/12/2022,$11.84,2224719,$11.73,$11.87,$11.62
08/11/2022,$11.72,2344460,$11.58,$11.825,$11.5631
08/10/2022,$11.42,1569958,$11.45,$11.50,$11.24
08/09/2022,$11.38,3039441,$11.23,$11.435,$11.14
08/08/2022,$11.18,3305773,$11.23,$11.406,$11.07
08/05/2022,$11.22,6038668,$10.96,$11.485,$10.83
08/04/2022,$11.20,5893475,$11.20,$11.42,$10.95
08/03/2022,$10.94,3650743,$11.00,$11.055,$10.84
08/02/2022,$10.96,2394629,$11.05,$11.115,$10.84
08/01/2022,$11.04,2762510,$10.96,$11.04,$10.754
07/29/2022,$11.19,2562092,$11.16,$11.37,$11.14
07/28/2022,$11.13,1918417,$10.98,$11.1475,$10.76
07/27/2022,$11.17,2792850,$10.94,$11.215,$10.81
07/26/2022,$10.91,2021071,$11.05,$11.1747,$10.815
07/25/2022,$10.97,5148876,$10.80,$11.02,$10.72
07/22/2022,$10.68,1839233,$10.83,$11.04,$10.5814
07/21/2022,$10.91,1559002,$10.79,$10.92,$10.605
07/20/2022,$11.09,1984486,$10.91,$11.10,$10.76
07/19/2022,$10.97,2586922,$10.68,$10.99,$10.59
07/18/2022,$10.57,4148957,$10.47,$10.67,$10.44
07/15/2022,$10.21,2054701,$10.20,$10.26,$10.00
07/14/2022,$9.95,2530798,$10.00,$10.005,$9.65
07/13/2022,$10.26,2170767,$10.07,$10.315,$10.005
07/12/2022,$10.18,2200282,$10.23,$10.43,$10.095
07/11/2022,$10.50,2174688,$10.44,$10.60,$10.27
07/08/2022,$10.56,2978072,$10.47,$10.69,$10.335
07/07/2022,$10.33,3472674,$10.03,$10.405,$10.03
07/06/2022,$9.80,3794544,$9.83,$10.0797,$9.385
07/05/2022,$10.01,6105924,$10.40,$10.41,$9.6694
07/01/2022,$10.53,2821537,$10.33,$10.5975,$10.06
06/30/2022,$10.32,3446226,$10.27,$10.505,$10.235
06/29/2022,$10.49,2791336,$10.72,$10.75,$10.39
06/28/2022,$10.59,2622950,$10.83,$10.93,$10.48
06/27/2022,$10.55,1679439,$10.49,$10.62,$10.375
06/24/2022,$10.27,2420648,$10.11,$10.38,$10.055
06/23/2022,$9.99,2951735,$10.28,$10.36,$9.809
06/22/2022,$10.20,3578352,$10.16,$10.40,$10.16
06/21/2022,$10.60,3359684,$10.32,$10.72,$10.32
06/17/2022,$10.15,5277912,$10.39,$10.54,$9.85
06/16/2022,$10.46,5020270,$10.75,$10.795,$10.43
06/15/2022,$10.98,2751404,$11.20,$11.35,$10.815
06/14/2022,$11.20,2326049,$11.45,$11.61,$11.12
06/13/2022,$11.32,2392748,$11.71,$11.80,$11.295
06/10/2022,$12.08,1579010,$12.19,$12.25,$11.945
06/09/2022,$12.35,1387236,$12.42,$12.47,$12.26
06/08/2022,$12.41,1328976,$12.60,$12.60,$12.30
06/07/2022,$12.61,1899508,$12.20,$12.63,$12.16
06/06/2022,$12.28,1816609,$12.35,$12.53,$12.2471
06/03/2022,$12.45,2673715,$12.30,$12.545,$12.221
06/02/2022,$12.33,1625567,$12.26,$12.37,$12.065
06/01/2022,$12.27,2603409,$12.10,$12.38,$11.91
05/31/2022,$11.96,3387689,$12.32,$12.35,$11.85
05/27/2022,$12.08,2455009,$11.82,$12.18,$11.77
05/26/2022,$11.81,2161293,$11.88,$11.92,$11.745
05/25/2022,$11.76,2362773,$11.38,$11.77,$11.37
05/24/2022,$11.33,1905325,$11.41,$11.47,$11.15
05/23/2022,$11.53,3012533,$11.31,$11.60,$11.245
05/20/2022,$11.23,2426613,$11.36,$11.455,$11.06
05/19/2022,$11.30,2420804,$11.35,$11.56,$11.22
05/18/2022,$11.56,3390734,$11.69,$11.72,$11.32
05/17/2022,$11.61,3326901,$11.45,$11.645,$11.36
05/16/2022,$11.32,3117262,$11.22,$11.43,$11.155
05/13/2022,$11.09,2023734,$10.84,$11.17,$10.84
05/12/2022,$10.73,3174193,$10.82,$10.89,$10.55
05/11/2022,$10.74,2184734,$11.09,$11.325,$10.72
05/10/2022,$10.86,2705733,$10.935,$11.145,$10.555
05/09/2022,$10.86,3836449,$11.36,$11.47,$10.83
05/06/2022,$11.62,3536974,$11.74,$11.85,$11.44
