Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.67,455433,$48.02,$49.08,$48.02
01/04/2024,$48.59,745749,$49.32,$49.45,$48.485
01/03/2024,$49.10,418414,$49.38,$49.55,$48.885
01/02/2024,$49.60,381333,$48.75,$50.04,$48.75
12/29/2023,$49.10,342770,$49.25,$49.54,$49.06
12/28/2023,$49.54,295057,$49.18,$49.80,$49.145
12/27/2023,$49.41,317302,$49.26,$49.62,$49.19
12/26/2023,$49.23,254122,$49.65,$49.67,$49.21
12/22/2023,$49.39,384995,$49.61,$49.965,$49.00
12/21/2023,$49.23,391781,$49.46,$49.84,$48.74
12/20/2023,$49.19,881744,$48.41,$49.93,$48.37
12/19/2023,$48.56,994023,$47.38,$48.99,$47.38
12/18/2023,$47.29,708124,$47.15,$47.355,$46.7012
12/15/2023,$46.70,1464073,$47.87,$47.89,$46.47
12/14/2023,$47.74,748259,$46.04,$47.95,$46.04
12/13/2023,$45.93,652645,$43.92,$45.94,$43.92
12/12/2023,$44.15,387142,$45.06,$45.06,$44.02
12/11/2023,$45.13,579557,$44.90,$45.65,$44.76
12/08/2023,$44.99,376631,$44.70,$45.215,$44.49
12/07/2023,$44.85,384658,$45.24,$45.49,$44.64
12/06/2023,$45.34,431639,$46.04,$46.33,$45.28
12/05/2023,$45.63,476774,$45.57,$45.85,$45.20
12/04/2023,$45.79,662736,$45.89,$46.25,$45.30
12/01/2023,$46.07,781207,$45.69,$46.535,$45.69
11/30/2023,$45.84,568163,$45.98,$46.26,$45.52
11/29/2023,$45.98,426743,$46.62,$46.97,$45.81
11/28/2023,$46.13,296236,$46.68,$46.84,$45.99
11/27/2023,$46.68,330499,$46.74,$47.37,$46.65
11/24/2023,$47.63,121021,$47.74,$47.8399,$47.43
11/22/2023,$47.65,128460,$47.44,$47.69,$47.26
11/21/2023,$46.98,150647,$47.03,$47.075,$46.49
11/20/2023,$47.34,128031,$47.32,$47.51,$46.84
11/17/2023,$47.29,278919,$47.45,$48.03,$47.15
11/16/2023,$47.07,171070,$47.18,$47.27,$46.66
11/15/2023,$47.32,264502,$47.61,$48.08,$47.04
11/14/2023,$47.68,328767,$46.09,$47.72,$45.94
11/13/2023,$44.84,205959,$44.84,$45.16,$44.495
11/10/2023,$45.07,293769,$44.53,$45.22,$44.27
11/09/2023,$44.37,260692,$44.95,$44.95,$44.09
11/08/2023,$44.60,267136,$45.22,$45.50,$44.53
