Date,Close/Last,Volume,Open,High,Low
01/05/2024,$89.17,1153059,$87.54,$90.85,$87.54
01/04/2024,$88.18,836425,$89.99,$90.13,$88.10
01/03/2024,$90.34,680954,$92.74,$92.97,$90.08
01/02/2024,$94.36,565916,$94.13,$96.298,$93.29
12/29/2023,$94.77,621479,$95.44,$96.28,$94.23
12/28/2023,$95.86,514818,$95.97,$96.00,$94.76
12/27/2023,$96.29,477252,$95.96,$96.67,$95.72
12/26/2023,$95.72,520764,$95.28,$96.28,$94.9785
12/22/2023,$94.61,528009,$94.18,$95.28,$93.8765
12/21/2023,$94.44,791117,$92.67,$94.72,$92.65
12/20/2023,$91.45,777535,$92.09,$93.64,$91.38
12/19/2023,$92.89,589724,$92.41,$93.03,$91.77
12/18/2023,$92.05,815031,$92.69,$93.77,$91.2236
12/15/2023,$91.89,4130499,$92.43,$92.895,$90.62
12/14/2023,$93.05,1262724,$90.47,$93.705,$89.74
12/13/2023,$88.18,1351630,$85.11,$88.21,$83.03
12/12/2023,$84.98,1334007,$87.72,$87.78,$84.38
12/11/2023,$87.73,877222,$89.15,$89.29,$86.76
12/08/2023,$89.86,527938,$89.71,$90.71,$88.85
12/07/2023,$89.87,626745,$88.18,$90.15,$87.835
12/06/2023,$88.32,890285,$87.18,$91.275,$86.78
12/05/2023,$86.22,956971,$86.10,$86.46,$83.93
12/04/2023,$86.55,618765,$87.07,$88.33,$86.38
12/01/2023,$87.41,874011,$82.45,$87.69,$82.24
11/30/2023,$82.47,1436963,$85.43,$85.565,$82.00
11/29/2023,$85.88,684757,$88.03,$89.05,$85.79
11/28/2023,$86.92,528310,$86.86,$88.1019,$86.10
11/27/2023,$87.17,888077,$89.08,$89.95,$86.605
11/24/2023,$90.57,184456,$89.85,$91.03,$89.55
11/22/2023,$89.91,338906,$90.25,$91.02,$89.43
11/21/2023,$89.58,592212,$91.29,$91.6671,$89.36
11/20/2023,$91.55,371256,$92.19,$92.3278,$90.68
11/17/2023,$92.18,411289,$91.85,$92.51,$91.07
11/16/2023,$90.66,553048,$93.50,$94.04,$90.25
11/15/2023,$94.36,581243,$91.99,$95.28,$91.99
11/14/2023,$91.60,605793,$89.52,$92.84,$89.52
11/13/2023,$86.55,390057,$87.81,$88.05,$86.52
11/10/2023,$87.81,475531,$87.52,$88.89,$86.65
11/09/2023,$86.85,587193,$90.00,$90.07,$86.36
11/08/2023,$89.48,564299,$90.28,$91.06,$89.35
11/07/2023,$90.06,643563,$90.56,$91.51,$89.27
11/06/2023,$91.04,675873,$92.40,$93.03,$90.78
11/03/2023,$92.65,681221,$90.45,$93.00,$90.45
11/02/2023,$88.70,591427,$87.97,$88.965,$87.14
11/01/2023,$86.64,514511,$85.73,$86.78,$84.40
10/31/2023,$86.42,1198821,$84.86,$87.49,$84.86
10/30/2023,$84.50,556896,$86.35,$87.045,$84.15
10/27/2023,$85.27,976463,$87.11,$87.55,$84.96
10/26/2023,$85.29,1024037,$87.34,$87.47,$84.69
10/25/2023,$86.85,1353862,$88.27,$89.2652,$84.80
10/24/2023,$89.51,1556249,$89.00,$92.73,$88.20
10/23/2023,$91.98,1105031,$93.00,$93.435,$91.58
10/20/2023,$93.16,929591,$94.75,$94.75,$92.25
10/19/2023,$94.87,510459,$96.00,$96.845,$94.395
10/18/2023,$96.33,536932,$98.16,$99.09,$96.22
10/17/2023,$99.42,496910,$97.12,$100.20,$97.11
10/16/2023,$97.67,423273,$98.25,$99.29,$96.97
10/13/2023,$97.13,419211,$96.38,$97.495,$96.185
10/12/2023,$96.37,550315,$98.47,$98.47,$95.365
10/11/2023,$98.55,571239,$100.25,$100.89,$98.37
10/10/2023,$99.97,306017,$98.45,$100.6299,$98.44
10/09/2023,$98.17,367082,$96.54,$98.39,$95.655
10/06/2023,$97.43,311230,$96.45,$98.455,$95.42
10/05/2023,$97.16,487762,$97.87,$98.7099,$96.25
10/04/2023,$98.33,658619,$99.10,$99.75,$96.94
10/03/2023,$99.22,566725,$101.71,$101.81,$98.705
10/02/2023,$102.64,468651,$104.00,$104.315,$102.37
09/29/2023,$104.14,427759,$105.39,$106.17,$103.87
09/28/2023,$104.02,416944,$101.73,$104.72,$101.6101
09/27/2023,$101.71,586055,$102.60,$103.235,$100.715
09/26/2023,$102.28,395701,$103.81,$104.21,$102.23
09/25/2023,$104.87,399459,$104.01,$105.50,$103.76
09/22/2023,$104.37,383455,$105.00,$105.50,$104.08
09/21/2023,$104.45,528239,$105.50,$105.97,$104.052
09/20/2023,$106.20,326075,$106.76,$107.955,$106.15
09/19/2023,$106.44,400477,$106.68,$107.455,$106.18
09/18/2023,$106.86,812752,$106.95,$108.02,$106.36
09/15/2023,$106.84,4446629,$106.26,$107.12,$105.46
09/14/2023,$106.62,674582,$106.52,$107.14,$105.19
09/13/2023,$105.61,687810,$106.82,$106.82,$104.85
09/12/2023,$107.10,573478,$106.48,$107.87,$106.01
09/11/2023,$106.58,831785,$108.55,$109.35,$105.85
09/08/2023,$108.45,278339,$107.90,$108.699,$107.22
09/07/2023,$107.74,636320,$107.15,$108.58,$106.69
09/06/2023,$108.25,662526,$110.10,$111.0299,$107.86
09/05/2023,$110.07,733338,$112.81,$113.28,$109.85
09/01/2023,$114.01,315968,$113.00,$114.24,$112.77
08/31/2023,$112.09,450189,$112.50,$113.565,$111.62
08/30/2023,$112.56,463317,$113.43,$114.0862,$112.42
08/29/2023,$114.23,422447,$112.73,$114.4979,$112.18
08/28/2023,$112.62,463627,$111.31,$112.89,$111.00
08/25/2023,$110.68,354391,$111.64,$112.27,$110.21
08/24/2023,$111.00,466449,$110.88,$112.23,$110.00
08/23/2023,$111.09,510241,$110.37,$111.9499,$109.95
08/22/2023,$110.81,647538,$112.23,$113.095,$109.90
08/21/2023,$112.57,678514,$114.65,$115.41,$112.31
08/18/2023,$114.59,746915,$113.80,$114.8475,$113.03
08/17/2023,$114.35,570895,$117.09,$117.71,$114.22
08/16/2023,$116.73,664501,$120.71,$121.33,$116.42
08/15/2023,$121.33,404209,$122.93,$123.74,$121.25
08/14/2023,$123.70,442504,$123.73,$123.735,$121.74
08/11/2023,$124.32,394031,$123.89,$125.37,$123.75
08/10/2023,$124.38,399161,$126.36,$127.29,$124.27
08/09/2023,$125.80,504792,$125.86,$127.24,$125.115
08/08/2023,$126.03,668900,$127.35,$127.50,$125.291
08/07/2023,$128.82,594524,$130.67,$130.78,$128.67
08/04/2023,$130.30,535258,$132.27,$132.45,$129.97
08/03/2023,$132.28,419797,$133.00,$133.77,$132.21
08/02/2023,$133.50,436861,$131.25,$133.73,$130.88
08/01/2023,$132.88,608435,$134.69,$135.02,$132.60
07/31/2023,$135.84,1869879,$134.97,$136.15,$134.13
07/28/2023,$134.81,584497,$135.59,$136.68,$134.095
07/27/2023,$134.33,743310,$137.91,$138.49,$133.85
07/26/2023,$137.17,873486,$134.04,$137.605,$132.85
07/25/2023,$132.81,1086492,$133.79,$134.18,$127.04
07/24/2023,$134.53,734255,$134.51,$136.55,$134.24
07/21/2023,$134.38,581602,$135.26,$135.69,$133.4001
07/20/2023,$134.30,486228,$135.07,$135.2875,$133.41
07/19/2023,$135.35,926592,$131.84,$135.83,$130.79
07/18/2023,$132.10,844515,$128.88,$132.72,$128.7923
07/17/2023,$129.43,372053,$126.87,$129.745,$126.21
07/14/2023,$127.86,409318,$129.49,$129.49,$126.44
07/13/2023,$129.71,347740,$129.71,$129.805,$128.075
07/12/2023,$129.61,858413,$130.00,$131.09,$127.00
07/11/2023,$128.79,994481,$123.44,$129.09,$123.2645
07/10/2023,$123.06,554318,$121.54,$124.2099,$121.54
07/07/2023,$121.97,618084,$121.25,$123.31,$120.501
07/06/2023,$121.25,410342,$119.81,$121.375,$119.47
07/05/2023,$121.35,392104,$121.56,$122.16,$120.5918
07/03/2023,$122.23,214321,$120.67,$122.76,$120.54
06/30/2023,$120.93,359293,$120.42,$121.73,$119.43
06/29/2023,$119.60,364125,$118.75,$119.71,$118.18
06/28/2023,$118.26,276616,$117.92,$118.77,$117.09
06/27/2023,$118.30,365840,$117.06,$118.422,$116.25
06/26/2023,$117.22,828636,$115.85,$119.17,$115.67
06/23/2023,$115.36,1255388,$114.61,$116.13,$114.27
06/22/2023,$116.24,575858,$119.13,$119.13,$115.44
06/21/2023,$119.17,336314,$118.17,$119.995,$117.7706
06/20/2023,$119.33,447934,$121.00,$121.57,$119.26
06/16/2023,$121.28,1056626,$122.49,$122.49,$120.305
06/15/2023,$121.69,483880,$119.78,$122.45,$119.24
06/14/2023,$120.87,541590,$120.30,$121.88,$119.44
06/13/2023,$120.67,588160,$117.74,$120.95,$117.67
06/12/2023,$117.17,487900,$117.41,$118.62,$115.76
06/09/2023,$116.83,389846,$117.70,$118.70,$116.65
06/08/2023,$117.79,331910,$118.01,$118.35,$116.91
06/07/2023,$118.01,511591,$117.00,$118.48,$116.05
06/06/2023,$116.25,704021,$113.10,$116.46,$112.765
06/05/2023,$112.08,781111,$114.83,$115.505,$111.87
06/02/2023,$115.88,781978,$112.26,$116.40,$111.13
06/01/2023,$110.60,625765,$107.50,$110.71,$106.76
05/31/2023,$107.71,914477,$107.17,$108.35,$105.59
05/30/2023,$108.97,607177,$108.90,$109.6442,$107.95
05/26/2023,$108.15,480954,$106.23,$108.26,$105.285
05/25/2023,$106.20,360139,$104.38,$106.34,$104.285
05/24/2023,$104.82,292108,$106.54,$106.54,$104.07
05/23/2023,$106.51,433321,$105.14,$107.44,$105.10
05/22/2023,$105.64,330724,$105.70,$106.86,$105.36
05/19/2023,$105.78,416446,$108.56,$108.60,$105.28
05/18/2023,$108.40,508170,$106.50,$108.78,$105.64
05/17/2023,$106.65,599557,$102.98,$106.849,$102.88
05/16/2023,$102.76,487957,$102.96,$103.61,$102.05
05/15/2023,$104.10,329751,$104.00,$104.58,$103.07
05/12/2023,$104.11,550512,$103.60,$104.79,$103.04
05/11/2023,$103.46,488172,$102.68,$103.82,$101.32
05/10/2023,$102.89,475000,$105.65,$106.35,$100.9233
05/09/2023,$104.29,378982,$104.66,$105.245,$104.19
05/08/2023,$105.67,390259,$105.82,$106.25,$104.795
05/05/2023,$105.24,540982,$106.09,$106.85,$103.22
05/04/2023,$104.09,376878,$105.45,$106.085,$103.46
05/03/2023,$106.79,526154,$108.68,$110.51,$106.49
05/02/2023,$108.30,635491,$108.89,$109.25,$104.97
05/01/2023,$109.77,530895,$108.90,$111.14,$108.28
04/28/2023,$108.65,998228,$108.66,$109.68,$108.09
04/27/2023,$108.71,709217,$106.90,$108.76,$105.73
04/26/2023,$105.97,662414,$107.69,$108.995,$105.67
04/25/2023,$106.98,1249362,$112.30,$112.30,$105.24
04/24/2023,$109.41,809304,$109.25,$111.13,$108.92
04/21/2023,$109.16,463734,$109.41,$109.95,$107.87
04/20/2023,$109.03,467227,$107.97,$109.555,$107.42
04/19/2023,$108.90,248346,$109.15,$109.28,$108.00
04/18/2023,$109.07,358893,$108.55,$109.24,$107.605
04/17/2023,$108.21,399167,$108.27,$108.81,$106.50
04/14/2023,$107.94,639730,$107.55,$109.28,$106.63
04/13/2023,$106.99,531259,$107.42,$107.46,$105.87
04/12/2023,$106.81,496084,$111.02,$111.095,$106.21
04/11/2023,$110.07,743666,$107.80,$110.87,$107.5162
04/10/2023,$107.05,724416,$102.86,$107.165,$102.86
