Date,Close/Last,Volume,Open,High,Low
12/15/2023,$37.37,10601110,$37.18,$37.48,$36.72
12/14/2023,$37.01,13038620,$36.98,$37.275,$36.5299
12/13/2023,$36.51,11785320,$36.11,$36.875,$35.895
12/12/2023,$36.13,12002900,$35.06,$36.37,$35.05
12/11/2023,$35.36,9800797,$35.67,$35.92,$35.17
12/08/2023,$34.91,14879580,$34.56,$35.36,$34.33
12/07/2023,$34.02,6256226,$33.49,$34.04,$33.37
12/06/2023,$33.52,7300839,$34.09,$34.44,$33.495
12/05/2023,$34.11,7725264,$34.45,$34.67,$33.935
12/04/2023,$34.50,13240480,$33.97,$34.63,$33.92
12/01/2023,$34.79,12507300,$34.17,$35.03,$33.95
11/30/2023,$34.07,18353640,$34.05,$34.85,$33.66
11/29/2023,$33.28,11225770,$32.76,$33.29,$32.69
11/28/2023,$32.25,7186587,$31.93,$32.46,$31.815
11/27/2023,$32.08,10431620,$31.90,$32.75,$31.90
11/24/2023,$31.67,1956282,$31.69,$31.845,$31.48
11/22/2023,$31.76,4699763,$31.86,$31.965,$31.4501
11/21/2023,$31.57,8894130,$31.91,$31.96,$31.12
11/20/2023,$32.13,7857149,$31.47,$32.45,$31.45
11/17/2023,$31.49,10713450,$31.26,$31.63,$30.96
11/16/2023,$31.27,10465850,$31.45,$31.595,$31.19
11/15/2023,$31.66,10239280,$32.28,$32.30,$31.38
11/14/2023,$32.17,11664530,$31.85,$32.52,$31.85
11/13/2023,$31.49,12175350,$31.02,$31.615,$30.945
11/10/2023,$31.07,12501810,$30.72,$31.07,$30.3301
11/09/2023,$31.26,9249145,$31.571,$31.87,$30.955
11/08/2023,$31.37,7882682,$30.72,$31.6175,$30.65
11/07/2023,$30.95,13478950,$30.90,$31.36,$30.65
11/06/2023,$30.92,9929900,$31.05,$31.14,$30.32
11/03/2023,$30.94,14262650,$30.95,$31.36,$30.505
11/02/2023,$30.72,16014070,$30.48,$31.24,$30.32
11/01/2023,$29.92,22556340,$29.93,$30.16,$28.92
10/31/2023,$29.88,64674960,$29.44,$29.9899,$27.92
10/30/2023,$25.10,24035250,$24.685,$25.305,$24.465
10/27/2023,$24.36,7904047,$24.27,$24.5899,$24.13
10/26/2023,$24.10,18218640,$24.97,$25.05,$23.59
10/25/2023,$25.56,9656489,$26.50,$26.54,$25.25
10/24/2023,$26.79,6355404,$27.00,$27.38,$26.615
10/23/2023,$26.64,10894190,$26.64,$26.885,$26.01
10/20/2023,$25.96,10218460,$25.88,$26.38,$25.61
10/19/2023,$26.55,7087133,$26.89,$27.3562,$26.465
10/18/2023,$26.83,7705650,$27.54,$27.65,$26.70
10/17/2023,$28.00,8100730,$27.67,$28.26,$27.43
10/16/2023,$27.51,5984647,$26.54,$27.665,$26.41
10/13/2023,$26.62,8575396,$27.64,$27.72,$26.60
10/12/2023,$27.77,7831796,$28.48,$28.5399,$27.635
10/11/2023,$28.46,5288494,$28.57,$28.76,$28.34
10/10/2023,$28.60,9350983,$28.62,$29.04,$28.44
10/09/2023,$28.24,8004506,$28.00,$28.72,$27.83
10/06/2023,$28.08,12467400,$26.76,$28.24,$26.68
10/05/2023,$27.01,8621569,$26.70,$27.02,$26.4721
10/04/2023,$26.39,6729553,$25.99,$26.48,$25.78
10/03/2023,$25.95,7645794,$26.80,$27.09,$25.725
10/02/2023,$27.04,5670477,$26.95,$27.46,$26.91
09/29/2023,$27.03,9241963,$26.70,$27.10,$26.70
09/28/2023,$26.49,7267394,$25.91,$26.52,$25.82
09/27/2023,$26.07,7147922,$25.90,$26.46,$25.90
09/26/2023,$25.91,7572204,$26.07,$26.435,$25.87
09/25/2023,$26.06,7109372,$26.53,$26.835,$25.97
09/22/2023,$26.72,9917732,$26.717,$27.015,$26.53
09/21/2023,$26.45,11022590,$26.99,$27.33,$26.07
09/20/2023,$27.02,40018600,$27.90,$28.31,$26.82
09/19/2023,$26.21,33509510,$25.18,$26.88,$24.38
09/18/2023,$25.40,10261130,$25.75,$25.85,$25.195
09/15/2023,$25.71,11111400,$25.99,$26.08,$25.38
09/14/2023,$26.02,11885250,$26.51,$26.81,$25.83
09/13/2023,$26.30,12224080,$27.72,$27.72,$26.26
09/12/2023,$27.87,5623413,$27.73,$28.125,$27.53
09/11/2023,$27.91,5220116,$27.56,$28.05,$27.40
09/08/2023,$27.55,4846491,$28.08,$28.47,$27.53
09/07/2023,$28.00,5950022,$27.40,$28.135,$27.25
09/06/2023,$27.65,10834690,$28.53,$28.53,$27.335
09/05/2023,$28.78,11040380,$27.50,$28.90,$27.45
09/01/2023,$27.65,4603790,$27.82,$28.06,$27.62
08/31/2023,$27.49,10222720,$27.33,$28.17,$27.30
08/30/2023,$27.29,6835675,$27.45,$27.455,$26.82
08/29/2023,$27.36,7772608,$27.06,$27.58,$26.8901
08/28/2023,$27.11,5953181,$27.06,$27.495,$27.00
08/25/2023,$26.91,6922536,$26.85,$27.04,$26.32
08/24/2023,$26.74,6050917,$27.50,$27.60,$26.63
08/23/2023,$27.29,6431698,$27.015,$27.49,$26.85
08/22/2023,$26.97,7847475,$27.19,$27.4487,$26.82
08/21/2023,$27.52,11394640,$27.06,$27.71,$26.81
08/18/2023,$26.45,9199107,$26.07,$26.57,$25.79
08/17/2023,$26.70,16558700,$26.42,$27.51,$26.32
08/16/2023,$26.21,15967420,$25.37,$26.59,$25.22
08/15/2023,$25.70,4874201,$25.89,$26.04,$25.53
08/14/2023,$26.15,7309491,$25.61,$26.94,$25.48
08/11/2023,$25.78,5798506,$25.55,$25.91,$25.38
08/10/2023,$25.92,7642315,$26.41,$26.79,$25.91
08/09/2023,$26.18,7874030,$26.82,$26.82,$26.06
08/08/2023,$26.79,8690488,$26.80,$26.86,$26.11
08/07/2023,$27.17,8829722,$26.60,$27.43,$26.57
08/04/2023,$26.66,10170920,$27.25,$27.53,$26.595
08/03/2023,$27.16,15387580,$27.71,$28.57,$27.015
08/02/2023,$27.85,24203020,$28.44,$29.0999,$27.12
08/01/2023,$28.96,24567070,$28.60,$29.00,$28.105
07/31/2023,$28.99,11090040,$28.52,$29.32,$28.52
07/28/2023,$28.45,10046000,$27.22,$28.485,$27.08
07/27/2023,$26.86,9967317,$28.34,$28.48,$26.70
07/26/2023,$27.70,8652184,$27.18,$27.83,$26.75
07/25/2023,$27.20,11813550,$27.75,$27.86,$27.105
07/24/2023,$27.79,8300197,$28.00,$28.14,$27.33
07/21/2023,$27.96,9471179,$28.62,$28.81,$27.84
07/20/2023,$28.46,8862301,$29.38,$29.49,$28.39
07/19/2023,$29.84,10039050,$30.44,$30.71,$29.61
07/18/2023,$30.31,18453260,$30.75,$30.86,$29.59
07/17/2023,$29.15,9841574,$29.14,$29.42,$28.93
07/14/2023,$28.71,4539632,$28.595,$28.97,$28.56
07/13/2023,$28.63,10044230,$28.77,$29.09,$28.55
07/12/2023,$28.77,7512943,$28.88,$29.049,$28.21
07/11/2023,$28.62,9419206,$27.65,$28.88,$27.60
07/10/2023,$27.51,5387895,$27.38,$27.54,$27.1019
07/07/2023,$27.45,7216849,$27.49,$28.00,$27.32
07/06/2023,$27.20,9210050,$27.90,$28.06,$27.16
07/05/2023,$27.73,12992930,$26.96,$27.825,$26.30
07/03/2023,$27.24,4772962,$27.32,$27.53,$26.97
06/30/2023,$27.34,9820916,$27.65,$27.945,$27.30
06/29/2023,$27.64,9221234,$28.08,$28.09,$27.34
06/28/2023,$28.14,16007310,$27.32,$28.35,$27.32
06/27/2023,$26.40,9137001,$25.99,$26.60,$25.67
06/26/2023,$25.61,11834550,$25.92,$26.59,$25.59
06/23/2023,$26.24,20187220,$25.95,$26.72,$25.90
06/22/2023,$26.14,14883980,$24.79,$26.16,$24.59
06/21/2023,$24.90,9485433,$25.12,$25.29,$24.545
06/20/2023,$25.21,11464790,$25.31,$25.49,$24.7601
06/16/2023,$25.36,12968220,$24.91,$25.44,$24.74
06/15/2023,$24.96,8600066,$24.10,$25.36,$24.10
06/14/2023,$24.42,7175992,$24.23,$24.675,$24.15
06/13/2023,$24.25,7094395,$24.16,$24.295,$23.76
06/12/2023,$24.10,5748420,$23.88,$24.195,$23.85
06/09/2023,$23.87,9297568,$24.05,$24.47,$23.745
06/08/2023,$23.94,6857213,$24.01,$24.26,$23.61
06/07/2023,$24.35,8078561,$24.629,$25.01,$24.165
06/06/2023,$24.63,10031050,$24.02,$25.19,$23.79
06/05/2023,$24.10,9816592,$23.86,$24.68,$23.77
06/02/2023,$23.47,11906810,$23.72,$24.145,$23.355
06/01/2023,$23.61,14676730,$23.74,$23.83,$23.46
05/31/2023,$23.94,11359260,$24.01,$24.09,$23.37
05/30/2023,$24.41,6773524,$24.45,$24.51,$23.91
05/26/2023,$24.23,9142312,$23.78,$24.3399,$23.67
05/25/2023,$23.74,10383330,$24.45,$24.52,$23.53
05/24/2023,$24.31,12021360,$23.54,$24.47,$23.44
05/23/2023,$23.76,22213800,$23.095,$24.20,$23.00
05/22/2023,$23.26,14986440,$22.68,$23.565,$22.63
05/19/2023,$22.70,9994359,$22.45,$22.835,$22.34
05/18/2023,$22.46,10593350,$21.87,$22.49,$21.84
05/17/2023,$21.95,9867145,$21.56,$22.21,$21.481
05/16/2023,$21.59,11345710,$21.96,$22.0575,$21.535
05/15/2023,$22.05,14146390,$21.39,$22.13,$21.255
05/12/2023,$21.40,11794070,$21.56,$21.64,$21.02
05/11/2023,$21.48,10061920,$21.64,$21.71,$21.095
05/10/2023,$21.53,13799110,$21.79,$22.17,$21.225
05/09/2023,$21.47,7630228,$21.37,$21.685,$21.355
05/08/2023,$21.59,10442580,$20.98,$21.8171,$20.88
05/05/2023,$21.01,13314260,$20.94,$21.10,$20.75
05/04/2023,$20.78,13026820,$20.80,$21.265,$20.60
05/03/2023,$20.91,18100220,$21.35,$21.50,$20.89
05/02/2023,$21.37,17014720,$21.82,$21.96,$21.0401
05/01/2023,$22.06,19465990,$23.04,$23.08,$21.81
04/28/2023,$23.00,63305230,$24.50,$24.50,$22.10
04/27/2023,$27.27,20927320,$27.65,$27.80,$26.65
04/26/2023,$26.61,10696400,$27.81,$27.96,$26.41
04/25/2023,$27.74,11995300,$27.47,$27.965,$27.40
04/24/2023,$27.63,7548952,$27.41,$27.81,$27.175
04/21/2023,$27.39,8431771,$27.43,$27.58,$27.145
04/20/2023,$27.53,9033822,$27.58,$28.36,$27.46
04/19/2023,$28.22,7239432,$27.83,$28.4399,$27.605
04/18/2023,$28.18,8140441,$28.83,$28.95,$28.18
04/17/2023,$28.62,5566793,$28.395,$28.65,$28.10
04/14/2023,$28.58,6780149,$28.39,$28.67,$28.04
04/13/2023,$28.46,6361046,$28.025,$28.6499,$28.025
04/12/2023,$27.74,8407878,$28.40,$28.565,$27.62
04/11/2023,$28.19,6976272,$28.00,$28.415,$27.66
04/10/2023,$27.94,6063196,$27.92,$28.04,$27.59
04/06/2023,$28.25,9221235,$27.37,$28.455,$27.21
04/05/2023,$27.33,9260565,$27.79,$28.04,$27.125
04/04/2023,$27.98,11447300,$27.95,$28.19,$27.595
04/03/2023,$27.75,9502384,$27.87,$27.94,$27.33
03/31/2023,$27.27,6176253,$26.60,$27.33,$26.53
03/30/2023,$26.34,9922552,$26.70,$26.87,$26.24
03/29/2023,$26.50,10139390,$27.03,$27.055,$26.32
03/28/2023,$26.84,10493810,$27.93,$28.04,$26.79
03/27/2023,$28.07,16383790,$28.84,$29.27,$27.77
03/24/2023,$27.47,5594383,$27.54,$27.775,$27.22
03/23/2023,$27.61,8997785,$27.91,$28.525,$27.22
03/22/2023,$27.47,10408190,$27.50,$28.215,$27.325
03/21/2023,$27.52,9634678,$27.00,$27.835,$26.928
03/20/2023,$26.75,7853493,$25.85,$26.77,$25.78
03/17/2023,$26.37,10014360,$26.50,$26.83,$26.145
03/16/2023,$26.53,12338660,$25.13,$26.595,$25.0183
03/15/2023,$25.03,10570200,$24.49,$25.04,$24.13
03/14/2023,$24.99,15149630,$24.37,$25.255,$24.21
03/13/2023,$23.69,11172230,$23.79,$24.18,$22.95
03/10/2023,$24.17,10817630,$24.60,$24.67,$23.64
03/09/2023,$24.84,9641937,$25.75,$26.10,$24.78
03/08/2023,$25.74,11871210,$26.31,$26.31,$25.57
03/07/2023,$26.64,8850646,$26.72,$27.4562,$26.59
