Date,Close/Last,Volume,Open,High,Low
01/05/2024,$91.46,84698,$91.18,$92.42,$91.10
01/04/2024,$89.72,81108,$89.67,$90.24,$89.46
01/03/2024,$89.97,131350,$90.22,$90.67,$89.8319
01/02/2024,$92.28,124969,$93.03,$93.19,$91.64
12/29/2023,$95.11,55509,$95.00,$95.34,$94.43
12/28/2023,$95.56,109103,$96.42,$96.981,$95.52
12/27/2023,$95.27,90693,$95.21,$96.1789,$95.03
12/26/2023,$92.32,95626,$92.10,$92.5662,$91.92
12/22/2023,$93.73,87279,$93.56,$94.06,$93.25
12/21/2023,$94.48,88184,$94.62,$94.7497,$93.6587
12/20/2023,$93.71,85043,$95.02,$95.39,$93.65
12/19/2023,$95.51,143050,$94.52,$95.76,$94.46
12/18/2023,$94.24,259601,$94.11,$94.54,$93.76
12/15/2023,$91.41,174502,$92.14,$92.58,$91.369
12/14/2023,$90.61,266974,$90.00,$91.29,$89.795
12/13/2023,$89.31,222366,$86.52,$89.51,$85.885
12/12/2023,$89.13,49092,$89.35,$89.35,$88.38
12/11/2023,$89.46,146010,$88.48,$89.54,$88.48
12/08/2023,$89.85,139387,$89.81,$90.345,$89.36
12/07/2023,$86.31,155926,$85.02,$86.47,$84.80
12/06/2023,$85.50,176524,$86.50,$86.97,$85.385
12/05/2023,$88.69,127530,$87.99,$88.88,$87.8975
12/04/2023,$90.64,132479,$91.02,$91.71,$90.44
12/01/2023,$93.42,129964,$90.97,$93.54,$90.87
11/30/2023,$93.20,110053,$93.52,$93.55,$92.758
11/29/2023,$93.79,71803,$94.00,$94.38,$93.65
11/28/2023,$92.99,70120,$92.39,$93.33,$92.34
11/27/2023,$90.58,117220,$90.50,$90.75,$90.094
11/24/2023,$91.11,27382,$90.77,$91.29,$90.77
11/22/2023,$91.19,54055,$91.11,$91.48,$90.665
11/21/2023,$91.30,98719,$91.96,$92.22,$91.19
11/20/2023,$92.43,146362,$91.74,$92.745,$91.56
11/17/2023,$89.87,96103,$90.02,$90.04,$89.51
11/16/2023,$90.07,102539,$90.36,$90.50,$89.66
11/15/2023,$90.87,180843,$91.96,$91.96,$90.75
11/14/2023,$92.03,215344,$89.81,$92.16,$89.81
11/13/2023,$85.89,144120,$86.22,$86.30,$85.51
11/10/2023,$86.47,151312,$85.51,$86.47,$85.50
11/09/2023,$87.09,194028,$88.34,$88.57,$87.00
11/08/2023,$87.63,145536,$87.82,$88.44,$87.17
11/07/2023,$89.38,357184,$89.40,$89.44,$87.80
11/06/2023,$97.00,817380,$96.73,$98.00,$95.36
11/03/2023,$83.44,261040,$83.08,$83.89,$83.02
11/02/2023,$80.64,253453,$80.24,$80.879,$80.09
11/01/2023,$76.47,395393,$74.70,$76.86,$74.68
10/31/2023,$76.51,309285,$76.32,$76.69,$75.90
10/30/2023,$80.37,194985,$80.32,$80.835,$80.065
10/27/2023,$77.97,279168,$78.13,$78.94,$77.79
10/26/2023,$78.10,296907,$77.96,$78.86,$77.68
10/25/2023,$81.32,417271,$82.87,$83.00,$81.15
10/24/2023,$88.56,366937,$87.91,$89.0625,$87.90
10/23/2023,$84.57,182398,$83.34,$85.39,$83.20
10/20/2023,$83.34,349198,$84.00,$84.745,$83.33
10/19/2023,$89.10,231269,$88.08,$90.37,$87.73
10/18/2023,$91.51,103320,$92.34,$92.61,$91.255
10/17/2023,$93.52,135433,$92.77,$93.80,$92.64
10/16/2023,$94.16,157822,$94.00,$94.855,$93.55
10/13/2023,$94.10,85725,$95.32,$95.32,$93.62
10/12/2023,$94.96,204214,$96.58,$96.67,$94.13
10/11/2023,$95.32,231504,$95.00,$95.44,$94.5702
10/10/2023,$92.61,371645,$91.98,$93.45,$91.88
10/09/2023,$96.82,190118,$96.00,$97.33,$95.48
10/06/2023,$96.77,182016,$95.49,$97.52,$95.1275
10/05/2023,$96.12,149708,$95.12,$96.395,$94.79
10/04/2023,$95.50,306517,$94.77,$95.915,$94.43
10/03/2023,$98.34,282972,$99.75,$100.58,$98.23
10/02/2023,$100.51,157922,$101.93,$102.26,$99.93
09/29/2023,$102.50,95811,$103.00,$103.46,$101.91
09/28/2023,$102.01,109191,$100.23,$102.40,$99.73
09/27/2023,$100.31,135068,$100.12,$100.40,$99.34
09/26/2023,$99.40,168808,$99.99,$100.69,$99.26
09/25/2023,$101.84,451886,$100.80,$101.84,$100.71
09/22/2023,$106.48,131310,$107.83,$107.83,$106.24
09/21/2023,$107.38,136502,$107.48,$107.92,$107.235
09/20/2023,$110.79,75006,$112.32,$112.805,$110.69
09/19/2023,$111.17,105481,$112.06,$112.06,$110.575
09/18/2023,$113.66,270376,$113.00,$114.08,$112.82
09/15/2023,$108.64,276483,$109.54,$109.86,$108.28
09/14/2023,$104.83,159853,$104.73,$105.31,$104.11
09/13/2023,$100.90,309461,$100.00,$101.38,$99.59
09/12/2023,$103.38,209334,$103.20,$104.225,$102.9671
09/11/2023,$108.19,90421,$108.45,$108.45,$107.3101
09/08/2023,$108.88,80346,$109.47,$109.69,$108.7904
09/07/2023,$106.31,102505,$106.26,$106.72,$105.99
09/06/2023,$108.48,124740,$109.12,$109.73,$108.25
09/05/2023,$112.25,243484,$111.88,$112.58,$111.7004
09/01/2023,$107.28,163759,$107.05,$107.58,$106.735
08/31/2023,$109.76,152708,$109.82,$110.205,$109.365
08/30/2023,$110.46,159955,$109.89,$111.00,$109.8351
08/29/2023,$112.08,123877,$109.98,$112.09,$109.6545
08/28/2023,$112.34,151450,$111.71,$112.67,$111.70
08/25/2023,$109.98,248599,$108.74,$110.4463,$108.26
08/24/2023,$107.99,292883,$108.82,$109.06,$107.56
08/23/2023,$104.38,121464,$103.25,$104.75,$102.9795
08/22/2023,$104.27,115739,$104.83,$104.975,$104.27
08/21/2023,$103.80,169087,$103.14,$103.95,$102.91
08/18/2023,$102.56,144110,$101.77,$103.08,$101.68
08/17/2023,$103.16,256711,$103.95,$104.36,$102.69
08/16/2023,$102.44,471615,$101.83,$103.28,$101.54
08/15/2023,$106.81,248542,$107.93,$108.06,$106.61
08/14/2023,$108.35,177559,$107.99,$108.89,$107.575
08/11/2023,$108.56,142359,$108.78,$109.50,$108.30
08/10/2023,$111.90,226842,$113.33,$113.93,$111.69
08/09/2023,$112.13,202674,$113.47,$113.47,$111.51
08/08/2023,$112.97,278569,$112.26,$113.18,$111.94
08/07/2023,$108.25,429129,$107.76,$108.79,$107.33
08/04/2023,$113.19,263559,$112.79,$114.80,$112.48
08/03/2023,$113.14,536019,$112.66,$114.91,$112.63
08/02/2023,$112.30,566831,$112.53,$113.715,$111.94
08/01/2023,$118.89,409038,$120.12,$120.50,$118.245
07/31/2023,$125.49,529611,$125.00,$125.51,$124.53
07/28/2023,$120.90,579908,$120.94,$121.00,$119.30
07/27/2023,$115.02,761501,$116.66,$116.69,$114.165
07/26/2023,$127.75,1214457,$125.15,$128.82,$125.08
07/25/2023,$131.86,2069191,$128.15,$133.085,$127.42
07/24/2023,$118.19,2880254,$124.35,$125.39,$116.04
07/21/2023,$105.69,985059,$105.68,$106.85,$105.53
07/20/2023,$96.87,226017,$97.33,$97.64,$96.59
07/19/2023,$98.20,676361,$98.70,$98.70,$97.4457
07/18/2023,$97.18,563702,$95.56,$97.25,$95.4101
