Date,Close/Last,Volume,Open,High,Low
01/05/2024,$27.75,5119419,$27.51,$27.86,$27.49
01/04/2024,$27.62,5214357,$27.75,$27.93,$27.57
01/03/2024,$27.66,6852304,$27.50,$27.72,$27.4114
01/02/2024,$27.51,6433901,$27.00,$27.555,$26.97
12/29/2023,$27.10,3459798,$27.06,$27.205,$26.94
12/28/2023,$27.15,5019670,$27.04,$27.25,$26.99
12/27/2023,$27.04,4851843,$27.00,$27.07,$26.89
12/26/2023,$26.98,3862797,$26.75,$27.13,$26.75
12/22/2023,$26.82,7840918,$26.49,$26.99,$26.46
12/21/2023,$26.39,3340135,$26.56,$26.65,$26.2001
12/20/2023,$26.41,6088030,$26.83,$26.90,$26.39
12/19/2023,$26.88,8630907,$26.94,$27.03,$26.73
12/18/2023,$26.82,7730412,$26.91,$27.00,$26.75
12/15/2023,$26.90,19912500,$26.77,$26.915,$26.47
12/14/2023,$27.04,9426536,$27.49,$27.69,$27.015
12/13/2023,$27.27,9514089,$26.16,$27.31,$26.04
12/12/2023,$26.17,4538979,$26.40,$26.40,$26.09
12/11/2023,$26.33,6871311,$25.91,$26.37,$25.89
12/08/2023,$26.06,4743118,$26.08,$26.10,$25.76
12/07/2023,$26.09,3732587,$26.15,$26.24,$26.00
12/06/2023,$26.33,6802560,$26.15,$26.37,$26.015
12/05/2023,$26.02,7373538,$26.36,$26.36,$25.87
12/04/2023,$26.36,4178599,$26.28,$26.62,$26.24
12/01/2023,$26.48,5803178,$26.10,$26.505,$25.995
11/30/2023,$26.12,7320789,$26.00,$26.21,$25.90
11/29/2023,$26.03,5782904,$26.36,$26.40,$25.96
11/28/2023,$26.39,6452859,$26.26,$26.53,$26.15
11/27/2023,$26.24,6601262,$26.31,$26.36,$26.12
11/24/2023,$26.31,1951228,$26.14,$26.32,$26.08
11/22/2023,$26.24,4851677,$26.42,$26.44,$26.095
11/21/2023,$26.31,7679546,$26.24,$26.315,$26.045
11/20/2023,$26.17,5153273,$26.00,$26.22,$25.82
11/17/2023,$26.09,5279831,$26.17,$26.23,$26.00
11/16/2023,$26.02,7931174,$25.99,$26.24,$25.90
11/15/2023,$25.80,7560427,$25.65,$25.98,$25.65
11/14/2023,$25.74,6503773,$25.39,$25.84,$25.39
11/13/2023,$24.95,3894773,$25.33,$25.37,$24.9301
11/10/2023,$25.34,3831566,$25.41,$25.425,$25.2112
11/09/2023,$25.20,5901626,$25.65,$25.69,$25.20
11/08/2023,$25.65,9414640,$25.73,$26.00,$25.295
11/07/2023,$25.93,17500200,$25.22,$26.05,$25.14
11/06/2023,$25.15,7230357,$25.34,$25.425,$25.13
11/03/2023,$25.37,6263916,$25.53,$25.62,$25.255
11/02/2023,$25.08,10167830,$24.87,$25.525,$24.78
11/01/2023,$24.70,13290290,$24.64,$24.96,$24.36
10/31/2023,$24.57,5437397,$24.43,$24.615,$24.24
10/30/2023,$24.39,4142130,$24.30,$24.605,$24.10
10/27/2023,$24.28,7560256,$24.65,$24.76,$24.14
10/26/2023,$24.74,8125175,$24.45,$24.86,$24.42
10/25/2023,$24.38,7413568,$24.12,$24.43,$23.99
10/24/2023,$24.14,8334184,$23.88,$24.235,$23.80
10/23/2023,$23.68,7318599,$23.48,$23.94,$23.36
10/20/2023,$23.76,6929822,$23.83,$24.03,$23.75
10/19/2023,$23.82,5111272,$24.04,$24.30,$23.82
10/18/2023,$24.07,5020489,$24.17,$24.235,$23.7699
10/17/2023,$24.21,3690268,$23.99,$24.245,$23.93
10/16/2023,$24.18,4374962,$23.97,$24.27,$23.74
10/13/2023,$23.89,4728655,$23.86,$23.97,$23.58
10/12/2023,$23.65,6906028,$24.04,$24.05,$23.39
10/11/2023,$24.11,4608324,$23.95,$24.17,$23.79
10/10/2023,$23.86,6896984,$23.77,$23.96,$23.7107
10/09/2023,$23.75,5399485,$23.44,$23.76,$23.34
10/06/2023,$23.44,9265249,$22.68,$23.58,$22.355
10/05/2023,$22.96,6374573,$22.88,$23.11,$22.63
10/04/2023,$22.91,7780673,$22.65,$23.095,$22.50
10/03/2023,$22.98,9309245,$22.39,$23.07,$22.20
10/02/2023,$22.55,11611490,$23.45,$23.45,$22.35
09/29/2023,$23.56,6497697,$23.59,$23.81,$23.30
09/28/2023,$23.38,8641098,$24.08,$24.08,$23.34
09/27/2023,$23.94,4435794,$24.18,$24.34,$23.935
09/26/2023,$24.27,4767494,$24.87,$24.91,$24.16
09/25/2023,$25.00,3179745,$24.97,$25.06,$24.815
09/22/2023,$25.13,3310271,$25.16,$25.42,$25.01
09/21/2023,$25.25,4871398,$25.58,$25.68,$25.25
09/20/2023,$25.67,3257121,$25.63,$25.8982,$25.47
09/19/2023,$25.51,3484269,$25.72,$25.87,$25.50
09/18/2023,$25.67,3880848,$25.69,$25.73,$25.40
09/15/2023,$25.66,7311652,$25.60,$25.79,$25.57
09/14/2023,$25.68,3772742,$25.51,$25.72,$25.46
09/13/2023,$25.37,5037118,$25.13,$25.41,$25.02
09/12/2023,$25.07,4858475,$25.03,$25.19,$24.88
09/11/2023,$25.03,5022427,$24.72,$25.13,$24.72
09/08/2023,$24.75,5274751,$24.56,$24.79,$24.495
09/07/2023,$24.52,5386164,$24.34,$24.73,$24.23
09/06/2023,$24.40,5339899,$24.41,$24.51,$24.195
09/05/2023,$24.29,6810686,$24.70,$24.75,$24.18
09/01/2023,$24.76,6259180,$25.12,$25.13,$24.53
08/31/2023,$24.92,4397353,$25.32,$25.345,$24.91
08/30/2023,$25.23,3045507,$25.25,$25.41,$25.12
08/29/2023,$25.27,3593158,$25.27,$25.435,$25.15
08/28/2023,$25.27,3606505,$25.27,$25.48,$25.18
08/25/2023,$25.27,3950442,$25.06,$25.365,$25.06
08/24/2023,$25.04,3586376,$25.24,$25.60,$25.03
08/23/2023,$25.21,3320698,$25.40,$25.435,$25.09
08/22/2023,$25.30,3328095,$25.20,$25.37,$25.12
08/21/2023,$25.22,3761089,$25.20,$25.45,$24.905
08/18/2023,$25.30,4634753,$25.11,$25.38,$25.07
08/17/2023,$25.15,5741048,$25.35,$25.585,$25.14
08/16/2023,$25.36,5334622,$25.55,$25.60,$25.34
08/15/2023,$25.48,4008292,$25.81,$25.86,$25.47
08/14/2023,$26.02,4513149,$26.10,$26.15,$25.88
08/11/2023,$26.18,2709062,$26.19,$26.215,$26.045
08/10/2023,$26.10,4916575,$26.35,$26.545,$25.9825
08/09/2023,$26.23,4409690,$26.11,$26.52,$26.09
08/08/2023,$26.10,4882665,$26.09,$26.16,$25.76
