Date,Close/Last,Volume,Open,High,Low
10/23/2023,$14.85,7758293,$14.83,$15.26,$14.66
10/20/2023,$15.05,8096034,$15.44,$15.49,$15.0016
10/19/2023,$15.46,9884728,$15.07,$15.49,$14.895
10/18/2023,$15.24,6731825,$15.31,$15.38,$15.08
10/17/2023,$15.16,7525095,$15.00,$15.27,$14.92
10/16/2023,$15.03,6893788,$14.95,$15.065,$14.57
10/13/2023,$14.83,9635476,$14.43,$14.875,$14.30
10/12/2023,$14.04,9344356,$14.27,$14.295,$13.99
10/11/2023,$14.07,6949502,$13.69,$14.08,$13.67
10/10/2023,$13.91,5608415,$14.01,$14.06,$13.875
10/09/2023,$14.03,8965990,$13.73,$14.07,$13.66
10/06/2023,$13.22,10430840,$12.80,$13.38,$12.78
10/05/2023,$12.62,8922506,$12.34,$12.735,$12.34
10/04/2023,$12.60,12374600,$13.23,$13.26,$12.49
10/03/2023,$13.44,12458670,$13.36,$13.54,$13.24
10/02/2023,$13.45,8742810,$14.02,$14.02,$13.33
09/29/2023,$13.96,7958774,$14.13,$14.13,$13.885
09/28/2023,$14.07,8229391,$13.87,$14.125,$13.79
09/27/2023,$14.01,11369450,$13.73,$14.13,$13.655
09/26/2023,$13.46,9969642,$13.37,$13.65,$13.30
09/25/2023,$13.57,9370789,$13.09,$13.61,$13.07
09/22/2023,$13.14,12568900,$13.47,$13.605,$13.045
09/21/2023,$13.29,18528080,$13.37,$13.64,$13.18
09/20/2023,$13.18,25855020,$13.31,$13.57,$13.17
09/19/2023,$13.43,6789665,$13.75,$13.79,$13.29
09/18/2023,$13.55,9413174,$13.86,$13.98,$13.48
09/15/2023,$13.69,47108290,$13.72,$13.86,$13.53
09/14/2023,$13.81,7781839,$14.24,$14.305,$13.76
09/13/2023,$14.03,7214951,$14.34,$14.39,$13.91
09/12/2023,$14.34,8052343,$14.18,$14.37,$14.08
09/11/2023,$14.01,9614126,$14.39,$14.485,$13.925
09/08/2023,$14.31,7097778,$14.18,$14.44,$14.18
09/07/2023,$14.17,8562534,$14.38,$14.645,$14.17
09/06/2023,$14.49,9070871,$14.50,$14.58,$14.08
09/05/2023,$14.62,13832410,$15.14,$15.30,$14.60
09/01/2023,$14.43,5627089,$14.29,$14.61,$14.28
08/31/2023,$14.18,6462062,$14.05,$14.21,$13.89
08/30/2023,$14.00,6527195,$13.80,$14.15,$13.72
08/29/2023,$13.75,6036015,$13.76,$13.93,$13.50
08/28/2023,$13.63,5627091,$13.60,$13.645,$13.41
08/25/2023,$13.41,5522406,$13.48,$13.48,$13.145
08/24/2023,$13.20,5991799,$13.37,$13.46,$13.15
08/23/2023,$13.38,9137464,$13.29,$13.59,$13.01
08/22/2023,$13.43,17660490,$13.38,$13.845,$13.22
08/21/2023,$13.18,28830590,$12.55,$13.34,$12.40
08/18/2023,$12.89,6168966,$12.40,$12.89,$12.24
08/17/2023,$12.55,7802077,$12.47,$12.79,$12.39
08/16/2023,$12.23,4747178,$12.47,$12.68,$12.19
08/15/2023,$12.16,4579947,$12.29,$12.32,$12.095
08/14/2023,$12.37,4820828,$12.32,$12.48,$12.20
08/11/2023,$12.44,7076967,$12.25,$12.615,$12.20
08/10/2023,$12.16,5843758,$12.28,$12.45,$12.095
08/09/2023,$12.29,5797495,$12.45,$12.625,$12.25
08/08/2023,$12.28,7823172,$11.85,$12.37,$11.78
08/07/2023,$12.09,6963765,$12.06,$12.14,$11.84
08/04/2023,$12.00,9428709,$11.71,$12.14,$11.70
08/03/2023,$11.59,11234930,$11.50,$11.90,$11.17
08/02/2023,$11.56,8907052,$11.51,$11.63,$11.25
08/01/2023,$11.66,5479611,$11.54,$11.68,$11.36
07/31/2023,$11.69,6790894,$11.48,$11.70,$11.45
07/28/2023,$11.35,5227515,$10.97,$11.35,$10.9406
07/27/2023,$10.97,5603039,$11.36,$11.39,$10.93
07/26/2023,$11.19,7610292,$11.22,$11.385,$11.115
07/25/2023,$11.37,5037370,$11.27,$11.61,$11.175
07/24/2023,$11.34,8354910,$11.29,$11.50,$11.215
07/21/2023,$11.25,3486671,$11.25,$11.3139,$11.12
07/20/2023,$11.18,4613856,$11.30,$11.375,$11.005
07/19/2023,$11.13,8848516,$11.05,$11.54,$11.03
07/18/2023,$11.02,7636439,$10.60,$11.245,$10.60
07/17/2023,$10.66,7552935,$10.71,$10.865,$10.585
07/14/2023,$10.74,8361651,$11.39,$11.44,$10.70
07/13/2023,$11.48,11617540,$11.48,$11.83,$11.43
07/12/2023,$11.45,4794198,$11.48,$11.49,$11.295
07/11/2023,$11.42,6276231,$11.15,$11.49,$11.15
07/10/2023,$11.06,4566366,$10.915,$11.08,$10.85
07/07/2023,$10.93,5701544,$10.59,$11.11,$10.59
07/06/2023,$10.56,5223059,$10.72,$10.84,$10.305
07/05/2023,$10.82,6271291,$10.98,$11.115,$10.81
07/03/2023,$10.87,3158013,$10.95,$11.035,$10.74
06/30/2023,$10.96,8269818,$11.00,$11.08,$10.88
06/29/2023,$10.92,5326701,$10.85,$10.99,$10.77
06/28/2023,$10.76,9873216,$10.47,$10.89,$10.36
06/27/2023,$10.48,8006293,$10.44,$10.57,$10.32
06/26/2023,$10.51,6952538,$10.40,$10.63,$10.365
06/23/2023,$10.29,12144310,$9.97,$10.405,$9.945
06/22/2023,$10.18,5647078,$10.25,$10.35,$10.115
06/21/2023,$10.48,7082784,$9.99,$10.50,$9.98
06/20/2023,$10.00,7972011,$10.37,$10.40,$9.79
06/16/2023,$10.50,9657428,$10.58,$10.58,$10.195
06/15/2023,$10.44,7218130,$10.07,$10.575,$10.07
06/14/2023,$10.07,5468568,$10.46,$10.51,$9.93
06/13/2023,$10.31,4671121,$10.26,$10.615,$10.15
06/12/2023,$10.10,5303530,$10.11,$10.37,$9.9943
06/09/2023,$10.37,4679339,$10.49,$10.52,$10.31
06/08/2023,$10.46,8031431,$10.51,$10.60,$10.29
06/07/2023,$10.57,11693340,$10.15,$10.70,$10.12
06/06/2023,$10.03,7323222,$9.56,$10.05,$9.51
06/05/2023,$9.77,5507840,$10.07,$10.12,$9.552
06/02/2023,$9.85,6438489,$9.73,$9.90,$9.605
06/01/2023,$9.44,3845910,$9.29,$9.65,$9.29
05/31/2023,$9.33,6745289,$9.17,$9.40,$9.11
05/30/2023,$9.37,5057409,$9.48,$9.52,$9.26
05/26/2023,$9.66,5881616,$9.60,$9.69,$9.355
05/25/2023,$9.48,7218406,$9.76,$9.8775,$9.41
05/24/2023,$10.02,6039354,$9.85,$10.15,$9.81
05/23/2023,$9.83,6884866,$10.15,$10.23,$9.80
05/22/2023,$10.07,12391430,$9.67,$10.25,$9.64
05/19/2023,$9.61,8238860,$9.44,$9.72,$9.41
05/18/2023,$9.29,6965306,$9.04,$9.31,$8.995
05/17/2023,$9.13,6717610,$9.25,$9.25,$8.94
05/16/2023,$9.07,4735802,$9.30,$9.41,$9.0599
05/15/2023,$9.40,5790881,$9.53,$9.56,$9.32
05/12/2023,$9.49,4643488,$9.44,$9.525,$9.26
05/11/2023,$9.30,5658241,$9.28,$9.565,$9.22
05/10/2023,$9.48,6775036,$9.53,$9.64,$9.315
05/09/2023,$9.48,11963610,$9.89,$10.005,$9.43
05/08/2023,$10.19,8154522,$10.45,$10.495,$10.025
05/05/2023,$10.19,5663933,$10.19,$10.35,$10.10
05/04/2023,$9.74,5303636,$9.73,$9.86,$9.53
05/03/2023,$9.65,5311697,$9.60,$9.885,$9.54
05/02/2023,$9.88,7537625,$10.26,$10.31,$9.63
05/01/2023,$10.43,3995225,$10.32,$10.55,$10.17
04/28/2023,$10.45,6303529,$10.12,$10.53,$10.075
04/27/2023,$10.08,4862371,$9.90,$10.14,$9.77
04/26/2023,$9.85,4396126,$10.02,$10.14,$9.80
04/25/2023,$10.09,5417906,$10.40,$10.49,$10.0112
04/24/2023,$10.61,3769037,$10.31,$10.705,$10.31
04/21/2023,$10.43,4836966,$10.41,$10.47,$10.26
04/20/2023,$10.46,5241319,$10.48,$10.63,$10.35
04/19/2023,$10.78,4711040,$10.67,$10.81,$10.43
04/18/2023,$10.89,5477020,$10.95,$11.065,$10.745
04/17/2023,$10.94,8343252,$11.17,$11.34,$10.93
04/14/2023,$11.23,4300033,$11.28,$11.40,$11.045
04/13/2023,$11.30,4534457,$11.46,$11.525,$11.30
04/12/2023,$11.26,4296613,$11.33,$11.535,$11.24
04/11/2023,$11.31,4901812,$11.26,$11.38,$11.02
04/10/2023,$11.14,6018083,$11.13,$11.3805,$11.03
04/06/2023,$10.95,3957264,$11.05,$11.20,$10.9325
04/05/2023,$11.14,4322380,$11.04,$11.20,$10.82
04/04/2023,$11.03,6403024,$11.59,$11.63,$10.885
04/03/2023,$11.54,11426000,$10.96,$11.59,$10.86
03/31/2023,$10.50,6697485,$10.42,$10.55,$10.32
03/30/2023,$10.29,4092076,$10.39,$10.39,$10.13
03/29/2023,$10.23,4685965,$10.15,$10.29,$10.065
03/28/2023,$9.93,7046010,$9.90,$10.1192,$9.83
03/27/2023,$9.90,5730722,$9.73,$10.01,$9.52
03/24/2023,$9.59,6419685,$9.24,$9.66,$9.13
03/23/2023,$9.48,5037755,$9.83,$10.0475,$9.40
03/22/2023,$9.77,5541953,$10.17,$10.225,$9.74
03/21/2023,$10.11,7512264,$9.88,$10.23,$9.81
03/20/2023,$9.55,6749793,$9.46,$9.93,$9.41
03/17/2023,$9.34,17008830,$9.56,$9.65,$9.24
03/16/2023,$9.69,9323607,$9.13,$9.75,$9.11
03/15/2023,$9.39,14036980,$9.81,$9.81,$9.02
03/14/2023,$10.34,9003865,$10.33,$10.76,$10.13
03/13/2023,$10.25,11498620,$10.27,$10.49,$10.0439
03/10/2023,$10.74,14437310,$10.93,$11.19,$10.58
03/09/2023,$10.96,8437417,$11.23,$11.4799,$10.94
03/08/2023,$11.16,27871470,$11.30,$11.60,$10.98
03/07/2023,$11.68,7186968,$11.74,$12.00,$11.65
03/06/2023,$11.76,5744037,$11.67,$11.975,$11.51
03/03/2023,$11.86,8994113,$11.61,$12.05,$11.60
03/02/2023,$11.91,8742764,$11.02,$11.995,$10.96
03/01/2023,$11.14,10166360,$10.99,$11.15,$10.815
02/28/2023,$10.81,9182460,$11.40,$11.47,$10.81
02/27/2023,$11.17,8964001,$11.11,$11.48,$10.905
02/24/2023,$11.00,10097250,$10.57,$11.035,$10.43
02/23/2023,$10.57,15445330,$9.45,$10.8153,$9.40
02/22/2023,$9.16,7521483,$9.30,$9.4095,$9.01
02/21/2023,$9.32,6535606,$9.61,$9.7891,$9.23
02/17/2023,$9.75,7921772,$10.11,$10.14,$9.69
02/16/2023,$10.31,4494960,$10.43,$10.56,$10.30
02/15/2023,$10.49,5568796,$10.50,$10.52,$10.125
02/14/2023,$10.70,3914569,$10.44,$10.79,$10.295
02/13/2023,$10.52,4674743,$10.40,$10.68,$10.22
02/10/2023,$10.52,5751627,$10.12,$10.57,$10.01
02/09/2023,$9.93,6090351,$10.41,$10.42,$9.89
02/08/2023,$10.39,8747982,$10.35,$10.58,$10.23
02/07/2023,$10.30,6487202,$9.89,$10.33,$9.695
02/06/2023,$9.81,6508014,$10.16,$10.26,$9.655
02/03/2023,$10.19,6350413,$10.21,$10.735,$10.18
02/02/2023,$10.23,6715017,$10.70,$10.70,$10.0525
02/01/2023,$10.64,9258966,$10.75,$10.835,$10.37
01/31/2023,$10.87,8107267,$10.18,$10.89,$10.12
01/30/2023,$10.21,7089959,$10.74,$10.74,$10.19
01/27/2023,$10.81,7947224,$11.04,$11.16,$10.77
01/26/2023,$11.00,9187165,$10.72,$11.025,$10.4241
01/25/2023,$10.58,6933965,$10.35,$10.71,$10.21
01/24/2023,$10.47,7955752,$10.77,$10.80,$10.43
01/23/2023,$10.71,7020849,$10.69,$10.94,$10.59
01/20/2023,$10.54,3998046,$10.60,$10.63,$10.355
01/19/2023,$10.48,6065303,$10.04,$10.58,$9.92
01/18/2023,$10.12,7361791,$10.21,$10.55,$10.08
01/17/2023,$10.10,4525043,$10.12,$10.19,$9.91
01/13/2023,$10.02,7172371,$9.71,$10.07,$9.54
