Date,Close/Last,Volume,Open,High,Low
01/05/2024,$128.76,51351,$127.85,$130.27,$127.85
01/04/2024,$128.44,39430,$129.79,$130.76,$128.44
01/03/2024,$128.95,70673,$131.59,$131.59,$128.74
01/02/2024,$132.32,48343,$131.06,$135.05,$131.06
12/29/2023,$132.86,65747,$134.10,$134.1498,$132.29
12/28/2023,$134.92,36259,$134.67,$135.52,$133.90
12/27/2023,$135.40,38605,$134.46,$135.77,$134.00
12/26/2023,$134.93,43620,$133.64,$134.99,$132.72
12/22/2023,$132.70,60294,$133.09,$133.93,$132.38
12/21/2023,$132.48,71037,$132.52,$133.40,$129.31
12/20/2023,$130.51,92331,$133.05,$135.325,$130.39
12/19/2023,$132.61,55073,$131.76,$134.05,$130.07
12/18/2023,$131.38,65499,$133.73,$133.73,$130.20
12/15/2023,$132.99,318964,$137.00,$137.00,$132.60
12/14/2023,$135.43,121207,$133.18,$136.66,$130.91
12/13/2023,$131.09,79774,$124.57,$131.56,$123.975
12/12/2023,$124.38,29478,$125.20,$125.54,$123.3654
12/11/2023,$125.48,39853,$123.81,$125.69,$123.81
12/08/2023,$124.70,48000,$122.00,$124.70,$121.87
12/07/2023,$122.69,51811,$119.41,$122.69,$119.41
12/06/2023,$119.44,53449,$120.00,$122.89,$118.77
12/05/2023,$119.30,32863,$119.70,$119.88,$118.08
12/04/2023,$119.48,48061,$115.11,$119.48,$114.80
12/01/2023,$116.22,53325,$111.34,$116.23,$110.81
11/30/2023,$111.00,62513,$112.08,$112.08,$110.46
11/29/2023,$111.84,45946,$112.01,$113.13,$111.09
11/28/2023,$110.86,43257,$109.97,$111.74,$109.65
11/27/2023,$110.98,40312,$111.18,$111.93,$110.47
11/24/2023,$111.67,15292,$111.14,$112.59,$111.14
11/22/2023,$112.02,24180,$112.89,$112.94,$110.77
11/21/2023,$111.67,44115,$113.98,$113.98,$111.41
11/20/2023,$115.01,37453,$111.9423,$115.01,$111.9423
11/17/2023,$114.25,49978,$112.94,$114.735,$112.69
11/16/2023,$112.65,45890,$113.68,$113.68,$110.73
11/15/2023,$114.46,56249,$114.50,$115.41,$113.28
11/14/2023,$114.06,65638,$108.94,$114.06,$107.755
11/13/2023,$105.48,40749,$105.04,$105.55,$103.26
11/10/2023,$104.92,53763,$104.92,$104.95,$102.215
11/09/2023,$103.84,43363,$104.77,$104.77,$102.915
11/08/2023,$105.05,30149,$105.61,$105.61,$103.27
11/07/2023,$105.89,27943,$106.72,$106.775,$104.94
11/06/2023,$107.31,37783,$108.75,$108.75,$106.81
11/03/2023,$109.09,52191,$107.45,$110.83,$106.10
11/02/2023,$106.37,36238,$101.52,$106.37,$101.52
11/01/2023,$100.83,43052,$101.31,$101.35,$99.16
10/31/2023,$101.39,32983,$101.83,$101.9513,$100.60
10/30/2023,$101.01,31582,$101.11,$102.445,$100.3557
10/27/2023,$100.12,41635,$102.04,$102.11,$99.52
10/26/2023,$102.70,42825,$99.80,$103.215,$99.0749
10/25/2023,$100.13,75987,$95.32,$101.005,$95.32
10/24/2023,$96.70,79238,$95.87,$98.10,$93.96
10/23/2023,$93.51,41330,$93.625,$95.71,$93.3463
10/20/2023,$93.60,49198,$96.20,$96.39,$92.5744
10/19/2023,$95.87,40102,$96.95,$97.29,$95.87
10/18/2023,$96.43,82895,$98.55,$98.55,$96.42
10/17/2023,$98.86,57583,$95.84,$100.12,$95.84
10/16/2023,$96.33,29934,$94.99,$96.57,$94.99
10/13/2023,$94.17,32012,$96.28,$96.48,$94.14
10/12/2023,$96.13,24342,$97.80,$97.80,$95.5198
10/11/2023,$96.89,28713,$96.53,$97.36,$96.50
10/10/2023,$96.14,24210,$96.80,$97.58,$95.97
10/09/2023,$96.06,21810,$95.31,$97.62,$95.31
10/06/2023,$95.99,28327,$95.68,$97.62,$94.78
10/05/2023,$96.60,47060,$94.36,$96.69,$94.065
10/04/2023,$94.65,42779,$92.53,$94.76,$92.30
10/03/2023,$92.89,42652,$92.43,$93.52,$91.78
10/02/2023,$92.83,74013,$94.48,$94.89,$92.44
09/29/2023,$94.52,75570,$95.78,$95.78,$94.16
09/28/2023,$94.86,71463,$94.49,$96.10,$94.47
09/27/2023,$94.04,44686,$95.39,$95.39,$93.48
09/26/2023,$94.41,49203,$95.20,$97.12,$94.26
09/25/2023,$96.26,30128,$94.46,$96.26,$94.28
09/22/2023,$94.93,25634,$95.80,$95.80,$94.40
09/21/2023,$95.21,37553,$96.00,$96.64,$94.75
09/20/2023,$96.81,48801,$97.98,$98.40,$95.68
09/19/2023,$97.10,30327,$97.90,$98.08,$96.73
09/18/2023,$97.64,39835,$101.40,$101.40,$97.45
09/15/2023,$100.96,231563,$101.79,$102.68,$100.95
09/14/2023,$102.56,35933,$100.18,$102.56,$99.74
09/13/2023,$99.14,42560,$99.93,$100.45,$98.87
09/12/2023,$100.52,38826,$99.92,$103.16,$99.515
