Date,Close/Last,Volume,Open,High,Low
01/05/2024,$72.85,147175,$72.66,$73.54,$72.145
01/04/2024,$73.11,186814,$73.92,$73.92,$72.43
01/03/2024,$73.87,191929,$75.15,$75.54,$73.80
01/02/2024,$75.35,134062,$75.21,$75.95,$74.84
12/29/2023,$75.78,103906,$76.43,$76.49,$75.45
12/28/2023,$76.33,77418,$76.17,$76.33,$75.74
12/27/2023,$76.30,80496,$76.82,$76.905,$76.105
12/26/2023,$76.52,64442,$76.11,$76.82,$75.863
12/22/2023,$75.72,91272,$75.00,$76.095,$75.00
12/21/2023,$75.06,134220,$74.51,$75.07,$74.06
12/20/2023,$73.88,196746,$74.28,$75.29,$73.80
12/19/2023,$74.51,200497,$74.21,$74.99,$74.21
12/18/2023,$73.71,173817,$74.29,$74.35,$73.295
12/15/2023,$74.21,751843,$74.16,$75.03,$73.62
12/14/2023,$73.63,312157,$74.39,$74.99,$73.32
12/13/2023,$73.87,212389,$71.38,$74.00,$71.215
12/12/2023,$71.46,207214,$71.08,$71.705,$70.46
12/11/2023,$70.81,236748,$70.58,$71.10,$70.265
12/08/2023,$70.25,142360,$69.78,$70.58,$69.72
12/07/2023,$70.07,173917,$69.39,$70.15,$68.87
12/06/2023,$69.07,117085,$70.34,$70.34,$68.71
12/05/2023,$69.88,122021,$69.66,$69.955,$69.17
12/04/2023,$69.94,179802,$69.14,$70.77,$69.14
12/01/2023,$69.59,169801,$67.82,$69.80,$67.48
11/30/2023,$67.39,175382,$68.00,$68.80,$66.946
11/29/2023,$67.61,124860,$68.53,$69.25,$67.595
11/28/2023,$68.28,91458,$67.68,$68.49,$67.52
11/27/2023,$67.87,75756,$67.93,$68.19,$67.58
11/24/2023,$67.83,37704,$67.49,$68.01,$67.37
11/22/2023,$67.57,71432,$67.56,$67.9995,$67.19
11/21/2023,$67.10,105880,$67.50,$67.50,$66.79
11/20/2023,$67.63,132814,$67.09,$67.725,$66.98
11/17/2023,$67.26,257216,$67.86,$67.90,$67.14
11/16/2023,$67.38,263366,$68.27,$68.71,$67.14
