Date,Close/Last,Volume,Open,High,Low
10/20/2023,$14.42,617209,$14.49,$14.59,$14.22
10/19/2023,$14.41,526763,$14.86,$14.96,$14.36
10/18/2023,$14.86,988107,$15.38,$15.38,$14.78
10/17/2023,$15.49,872365,$15.66,$16.30,$15.39
10/16/2023,$15.78,921168,$15.39,$15.86,$15.13
10/13/2023,$15.44,581920,$15.40,$15.53,$15.15
10/12/2023,$15.37,788033,$15.51,$15.51,$15.20
10/11/2023,$15.60,569243,$16.28,$16.355,$15.28
10/10/2023,$16.38,596061,$16.59,$16.59,$16.15
10/09/2023,$16.52,399191,$16.24,$16.63,$15.90
10/06/2023,$16.24,331683,$15.97,$16.41,$15.78
10/05/2023,$16.23,595302,$15.88,$16.53,$15.81
10/04/2023,$15.95,644434,$16.18,$16.20,$15.84
10/03/2023,$16.24,439450,$16.23,$16.42,$16.08
10/02/2023,$16.34,768364,$16.80,$16.84,$15.89
09/29/2023,$16.68,1388445,$17.26,$17.31,$16.33
09/28/2023,$17.13,573195,$17.60,$17.60,$17.03
09/27/2023,$17.57,406304,$17.50,$17.78,$17.24
09/26/2023,$17.49,614312,$17.36,$18.16,$17.20
09/25/2023,$17.19,799970,$17.02,$17.21,$16.44
09/22/2023,$17.11,658605,$16.99,$17.15,$16.56
09/21/2023,$16.98,824961,$16.86,$17.05,$16.54
09/20/2023,$17.00,543483,$17.68,$17.81,$16.97
09/19/2023,$17.68,519280,$17.69,$17.91,$17.58
09/18/2023,$17.65,687292,$17.78,$18.015,$17.58
09/15/2023,$17.90,2338565,$18.07,$18.07,$17.39
09/14/2023,$18.00,594853,$18.51,$18.66,$17.86
09/13/2023,$18.44,598811,$18.78,$18.95,$18.43
09/12/2023,$18.81,389734,$18.79,$19.18,$18.75
09/11/2023,$18.86,774385,$19.07,$19.07,$18.645
09/08/2023,$19.05,445433,$18.72,$19.13,$18.635
09/07/2023,$18.76,793801,$19.65,$19.76,$18.72
09/06/2023,$19.78,437755,$19.58,$19.85,$19.15
09/05/2023,$19.57,454817,$19.65,$19.90,$19.18
09/01/2023,$19.54,588607,$19.98,$20.225,$19.45
08/31/2023,$19.82,490726,$19.97,$20.29,$19.67
08/30/2023,$19.93,415547,$20.32,$20.32,$19.63
08/29/2023,$20.25,326691,$20.25,$20.46,$20.105
08/28/2023,$20.25,295230,$19.87,$20.365,$19.76
08/25/2023,$19.92,372479,$19.38,$20.15,$19.11
08/24/2023,$19.29,531006,$20.40,$20.40,$19.12
08/23/2023,$20.37,498159,$20.20,$20.58,$20.06
08/22/2023,$20.19,869278,$19.56,$20.52,$19.46
08/21/2023,$19.53,493928,$19.145,$19.64,$18.785
08/18/2023,$19.13,617713,$18.57,$19.41,$18.57
08/17/2023,$18.75,584083,$18.51,$19.06,$18.48
08/16/2023,$18.54,901661,$18.67,$18.75,$18.09
08/15/2023,$18.76,453449,$19.03,$19.18,$18.72
08/14/2023,$19.05,508242,$18.74,$19.06,$18.64
08/11/2023,$18.91,525697,$18.68,$19.27,$18.67
08/10/2023,$18.80,530781,$18.19,$18.82,$18.00
08/09/2023,$18.23,793590,$18.22,$18.53,$17.82
08/08/2023,$18.19,679444,$18.96,$19.01,$17.93
08/07/2023,$18.93,755679,$19.05,$19.26,$18.72
08/04/2023,$19.18,701066,$18.53,$19.46,$18.3149
08/03/2023,$18.57,377820,$18.40,$18.85,$18.22
08/02/2023,$18.57,455694,$18.95,$18.99,$18.445
08/01/2023,$19.02,1217617,$19.28,$19.35,$18.77
07/31/2023,$19.40,574202,$19.04,$19.528,$18.80
07/28/2023,$19.09,681380,$18.97,$19.42,$18.965
07/27/2023,$18.78,774554,$19.39,$19.39,$18.651
07/26/2023,$19.13,618708,$19.34,$19.68,$19.10
07/25/2023,$19.36,396505,$19.59,$19.93,$19.36
07/24/2023,$19.58,583796,$19.95,$20.15,$19.28
07/21/2023,$20.00,947132,$19.97,$20.19,$19.41
07/20/2023,$19.90,827491,$19.95,$20.19,$19.56
07/19/2023,$19.94,666812,$20.77,$20.84,$19.88
07/18/2023,$20.69,1008903,$21.17,$21.44,$20.58
07/17/2023,$21.11,875825,$21.23,$21.81,$20.88
07/14/2023,$21.25,911620,$21.46,$21.77,$21.1917
07/13/2023,$21.395,1606002,$20.53,$21.96,$20.50
07/12/2023,$20.44,2326345,$23.19,$23.24,$20.20
07/11/2023,$23.01,792294,$23.40,$23.40,$22.71
07/10/2023,$23.48,920354,$23.06,$23.54,$22.64
07/07/2023,$23.16,988122,$23.62,$23.63,$22.75
07/06/2023,$23.66,1109794,$23.72,$23.83,$22.49
07/05/2023,$23.39,2949455,$23.51,$24.17,$21.97
07/03/2023,$22.31,7759788,$26.70,$26.81,$16.65
06/30/2023,$27.62,1588179,$27.79,$28.30,$27.06
06/29/2023,$27.67,827981,$28.16,$28.37,$27.2485
06/28/2023,$28.09,1040156,$28.29,$28.57,$27.60
06/27/2023,$28.08,808543,$28.94,$29.25,$28.01
06/26/2023,$28.75,1139575,$28.25,$28.81,$27.26
06/23/2023,$27.61,2589270,$27.28,$27.89,$26.87
06/22/2023,$27.54,1262611,$27.26,$28.93,$27.08
06/21/2023,$27.51,828998,$26.99,$27.87,$26.75
06/20/2023,$26.99,1178765,$27.82,$28.69,$26.96
06/16/2023,$27.71,4384677,$29.08,$29.08,$27.2346
06/15/2023,$28.68,718297,$28.49,$28.93,$28.12
06/14/2023,$28.72,625344,$29.09,$29.09,$28.4125
06/13/2023,$29.11,489092,$28.91,$29.35,$28.7379
06/12/2023,$28.98,1104261,$29.42,$30.10,$28.57
06/09/2023,$29.09,725222,$29.50,$29.56,$28.72
06/08/2023,$29.36,842187,$28.83,$29.42,$28.395
06/07/2023,$28.99,712179,$28.89,$29.17,$27.75
06/06/2023,$28.91,749801,$28.85,$29.30,$28.43
06/05/2023,$28.77,1232709,$28.06,$29.08,$28.04
06/02/2023,$28.20,725409,$27.58,$28.259,$27.27
06/01/2023,$27.49,1573258,$25.85,$27.97,$25.71
05/31/2023,$26.07,975282,$25.43,$26.14,$25.06
05/30/2023,$25.47,940256,$26.25,$27.1004,$25.36
05/26/2023,$26.25,850274,$25.29,$26.45,$25.21
05/25/2023,$25.36,1149645,$26.07,$26.54,$25.34
05/24/2023,$25.12,1211180,$25.00,$25.15,$24.44
05/23/2023,$25.20,2036235,$25.57,$25.96,$25.10
