Date,Close/Last,Volume,Open,High,Low
01/26/2024,$11.31,32446,$10.98,$11.31,$10.95
01/25/2024,$10.98,27945,$10.748,$11.06,$10.74
01/24/2024,$10.76,21405,$10.75,$10.84,$10.70
01/23/2024,$10.63,31791,$10.43,$10.67,$10.43
01/22/2024,$10.48,12486,$10.51,$10.56,$10.37
01/19/2024,$10.47,10368,$10.35,$10.53,$10.25
01/18/2024,$10.27,19252,$10.38,$10.615,$10.21
01/17/2024,$10.40,29370,$10.41,$10.46,$10.14
01/16/2024,$10.41,24997,$10.53,$10.6042,$10.39
01/12/2024,$10.65,25873,$10.47,$10.68,$10.35
01/11/2024,$10.47,19748,$10.49,$10.51,$10.35
01/10/2024,$10.56,14914,$10.58,$10.61,$10.41
01/09/2024,$10.53,36776,$10.41,$10.71,$10.33
01/08/2024,$10.52,17724,$10.58,$10.65,$10.44
01/05/2024,$10.575,39732,$10.615,$10.67,$10.36
01/04/2024,$10.66,31054,$10.42,$10.67,$10.38
01/03/2024,$10.43,23885,$10.35,$10.46,$10.16
01/02/2024,$10.34,42568,$10.07,$10.48,$10.07
12/29/2023,$10.07,23256,$10.02,$10.13,$10.02
12/28/2023,$10.02,22887,$10.05,$10.08,$9.94
12/27/2023,$10.04,36749,$10.02,$10.13,$10.02
12/26/2023,$10.00,38388,$10.00,$10.04,$9.92
12/22/2023,$10.00,27379,$10.05,$10.10,$9.91
12/21/2023,$10.05,19723,$9.98,$10.08,$9.94
12/20/2023,$9.95,37011,$9.95,$10.03,$9.90
12/19/2023,$9.95,37391,$9.79,$9.96,$9.79
12/18/2023,$9.79,36921,$9.82,$9.88,$9.765
12/15/2023,$9.82,57832,$9.70,$9.83,$9.70
12/14/2023,$9.74,53085,$9.84,$9.85,$9.62
12/13/2023,$9.64,136560,$9.68,$9.97,$9.56
12/12/2023,$9.72,25430,$9.792,$9.88,$9.72
12/11/2023,$9.83,18325,$9.85,$9.86,$9.80
12/08/2023,$9.88,13550,$9.868,$9.90,$9.775
12/07/2023,$9.75,45424,$9.82,$9.89,$9.62
12/06/2023,$9.82,40726,$9.77,$9.9899,$9.77
12/05/2023,$9.77,34158,$9.99,$10.01,$9.68
12/04/2023,$10.04,46572,$9.91,$10.09,$9.91
12/01/2023,$9.94,49676,$9.80,$9.97,$9.795
11/30/2023,$9.76,34805,$9.80,$9.83,$9.59
11/29/2023,$9.79,25441,$9.68,$9.83,$9.68
11/28/2023,$9.70,23735,$9.84,$9.84,$9.70
11/27/2023,$9.80,28623,$9.73,$9.83,$9.725
11/24/2023,$9.84,20846,$9.76,$9.95,$9.76
11/22/2023,$9.83,21438,$9.72,$9.83,$9.67
11/21/2023,$9.69,37215,$9.66,$9.80,$9.62
11/20/2023,$9.70,56926,$9.59,$9.74,$9.475
11/17/2023,$9.63,38927,$9.65,$9.75,$9.5549
11/16/2023,$9.58,62613,$9.55,$9.62,$9.41
11/15/2023,$9.60,43772,$9.55,$9.74,$9.48
11/14/2023,$9.55,71715,$9.49,$9.68,$9.33
11/13/2023,$9.38,14381,$9.35,$9.38,$9.18
11/10/2023,$9.35,16174,$9.37,$9.395,$9.225
11/09/2023,$9.42,18012,$9.64,$9.64,$9.405
11/08/2023,$9.59,9344,$9.58,$9.65,$9.49
11/07/2023,$9.50,18788,$9.65,$9.76,$9.44
11/06/2023,$9.58,36572,$9.53,$9.75,$9.42
11/03/2023,$9.47,23085,$9.53,$9.655,$9.47
11/02/2023,$9.46,15838,$9.54,$9.57,$9.46
11/01/2023,$9.48,10270,$9.4936,$9.7597,$9.42
10/31/2023,$9.70,15364,$9.78,$9.86,$9.58
10/30/2023,$9.85,24730,$9.88,$9.94,$9.66
10/27/2023,$9.87,22945,$9.91,$9.96,$9.705
10/26/2023,$9.88,28128,$9.73,$9.89,$9.515
10/25/2023,$9.70,27142,$9.80,$9.80,$9.5158
10/24/2023,$9.78,27871,$9.445,$9.80,$9.445
10/23/2023,$9.63,27777,$9.64,$9.77,$9.48
10/20/2023,$9.61,47852,$9.26,$9.61,$9.04
10/19/2023,$9.28,10495,$9.48,$9.64,$9.28
10/18/2023,$9.49,24769,$9.16,$9.505,$9.16
10/17/2023,$9.40,33241,$9.26,$9.62,$9.19
10/16/2023,$9.25,18917,$9.5515,$9.5515,$9.23
10/13/2023,$9.40,17755,$9.44,$9.44,$9.20
10/12/2023,$9.21,43501,$9.145,$9.2749,$8.88
10/11/2023,$9.22,18465,$9.70,$9.70,$9.22
10/10/2023,$9.66,22206,$9.40,$9.76,$9.40
10/09/2023,$9.43,16716,$9.40,$9.53,$9.36
10/06/2023,$9.46,14271,$9.41,$9.56,$9.30
10/05/2023,$9.47,20790,$9.42,$9.66,$9.34
10/04/2023,$9.41,24264,$9.29,$9.47,$9.25
10/03/2023,$9.29,33351,$9.45,$9.48,$9.05
10/02/2023,$9.41,21606,$9.48,$9.58,$9.27
09/29/2023,$9.69,17796,$9.565,$9.83,$9.565
09/28/2023,$9.60,25835,$9.54,$9.72,$9.325
09/27/2023,$9.43,76945,$9.66,$9.69,$9.21
09/26/2023,$9.65,13551,$9.83,$9.9999,$9.64
09/25/2023,$9.97,7221,$9.97,$10.075,$9.93
09/22/2023,$9.98,38374,$9.81,$10.11,$9.75
09/21/2023,$9.88,14095,$9.64,$9.91,$9.51
09/20/2023,$9.67,39063,$9.60,$9.855,$9.36
09/19/2023,$9.55,28477,$9.57,$9.64,$9.41
09/18/2023,$9.59,26076,$9.72,$9.76,$9.45
09/15/2023,$9.68,66545,$9.92,$9.9899,$9.63
09/14/2023,$10.00,19552,$9.94,$10.04,$9.8452
09/13/2023,$9.96,172062,$9.75,$10.08,$9.65
09/12/2023,$9.75,22649,$9.85,$9.85,$9.57
09/11/2023,$9.86,23365,$9.95,$9.95,$9.69
09/08/2023,$9.95,22395,$9.90,$9.95,$9.77
09/07/2023,$9.94,18577,$9.95,$10.05,$9.85
09/06/2023,$9.98,22910,$9.96,$10.14,$9.855
09/05/2023,$10.02,18226,$9.95,$10.19,$9.72
09/01/2023,$9.91,27701,$9.95,$10.00,$9.76
08/31/2023,$9.82,24841,$9.73,$9.99,$9.71
08/30/2023,$9.59,10236,$9.72,$9.73,$9.49
08/29/2023,$9.50,25142,$9.48,$9.55,$9.30
