Date,Close/Last,Volume,Open,High,Low
10/25/2023,$31.10,10081360,$32.24,$32.55,$30.58
10/24/2023,$32.72,12501430,$30.98,$33.19,$30.98
10/23/2023,$30.57,8140649,$31.25,$31.6299,$30.50
10/20/2023,$31.75,9053362,$31.13,$31.93,$30.825
10/19/2023,$31.67,11888370,$30.41,$32.07,$30.02
10/18/2023,$30.19,6356584,$30.64,$30.81,$30.00
10/17/2023,$31.00,8933800,$30.07,$31.21,$30.00
10/16/2023,$30.41,10329210,$30.55,$30.86,$29.85
10/13/2023,$30.51,9612544,$31.46,$31.92,$30.415
10/12/2023,$31.63,6984641,$31.87,$31.96,$31.35
10/11/2023,$31.76,7434079,$31.08,$31.92,$31.05
10/10/2023,$30.91,6027282,$30.33,$31.1791,$30.33
10/09/2023,$30.21,6910708,$29.79,$30.48,$29.63
10/06/2023,$30.46,10213630,$29.40,$30.61,$29.34
10/05/2023,$29.82,11835350,$29.96,$30.205,$29.08
10/04/2023,$29.59,10800370,$28.54,$29.62,$27.90
10/03/2023,$28.42,6777324,$28.29,$28.95,$28.20
10/02/2023,$28.68,10985060,$28.97,$29.62,$28.47
09/29/2023,$28.96,11191750,$28.28,$29.09,$28.28
09/28/2023,$27.83,7659638,$27.23,$28.25,$27.11
09/27/2023,$27.39,12076740,$27.17,$27.715,$26.7824
09/26/2023,$27.01,9262640,$26.00,$27.03,$25.98
09/25/2023,$26.14,8665505,$25.24,$26.20,$24.88
09/22/2023,$25.39,7105849,$25.42,$25.77,$25.175
09/21/2023,$25.31,12371140,$25.96,$25.99,$25.15
09/20/2023,$26.25,7819474,$27.22,$27.29,$26.20
09/19/2023,$26.96,14646190,$27.59,$27.59,$26.12
09/18/2023,$27.61,9491257,$27.725,$27.95,$27.226
09/15/2023,$27.91,20289140,$27.98,$28.55,$27.67
09/14/2023,$27.75,11438950,$27.935,$28.40,$27.645
09/13/2023,$27.74,24008770,$27.61,$27.975,$26.64
09/12/2023,$29.21,8515516,$28.40,$29.575,$28.38
09/11/2023,$28.55,8200331,$29.205,$29.205,$28.525
09/08/2023,$29.01,10802790,$28.947,$29.305,$28.42
09/07/2023,$28.79,6489111,$28.53,$28.845,$28.11
09/06/2023,$29.09,8241398,$28.95,$29.35,$28.37
09/05/2023,$29.13,7976684,$28.245,$29.14,$28.16
09/01/2023,$28.44,9283842,$28.62,$29.3209,$28.315
08/31/2023,$28.29,7757373,$28.40,$28.60,$27.9703
08/30/2023,$28.18,7740476,$27.82,$28.40,$27.52
08/29/2023,$27.76,7218915,$27.10,$28.16,$26.901
08/28/2023,$27.10,5891096,$27.13,$27.2199,$26.8401
08/25/2023,$26.81,6730353,$26.735,$27.07,$26.29
08/24/2023,$26.55,9558204,$26.50,$26.94,$26.2412
08/23/2023,$26.42,11129480,$26.49,$26.72,$26.25
08/22/2023,$26.62,9324928,$26.94,$27.13,$26.60
08/21/2023,$26.96,11922090,$27.54,$27.78,$26.88
08/18/2023,$27.51,8922508,$27.54,$28.28,$27.405
08/17/2023,$27.85,16019850,$29.11,$29.12,$27.751
08/16/2023,$29.24,8396460,$29.53,$30.075,$29.16
08/15/2023,$29.77,8075973,$30.17,$30.3762,$29.76
08/14/2023,$30.54,12842050,$29.52,$30.6051,$29.35
08/11/2023,$29.83,13476290,$30.12,$30.30,$29.6404
08/10/2023,$30.61,23008080,$30.06,$31.17,$30.00
