Date,Close/Last,Volume,Open,High,Low
10/20/2023,$80.04,4008890,$81.75,$82.31,$79.90
10/19/2023,$82.08,4056153,$82.85,$83.84,$81.9664
10/18/2023,$82.83,4635641,$85.65,$85.875,$82.74
10/17/2023,$86.50,2335583,$86.50,$88.0799,$85.77
10/16/2023,$86.70,2011647,$86.68,$87.98,$86.57
10/13/2023,$86.11,3203866,$88.10,$88.87,$85.32
10/12/2023,$88.87,2326606,$89.41,$90.27,$87.59
10/11/2023,$89.20,1759944,$89.33,$90.52,$87.855
10/10/2023,$89.33,2351949,$88.98,$91.26,$88.90
10/09/2023,$88.23,3089292,$88.00,$88.73,$86.42
10/06/2023,$90.88,2186045,$88.09,$91.66,$87.8401
10/05/2023,$88.77,2761984,$89.82,$90.7201,$88.66
10/04/2023,$89.36,3436061,$87.16,$89.55,$87.16
10/03/2023,$86.78,5288940,$90.51,$90.945,$86.19
10/02/2023,$91.70,2685549,$91.75,$93.22,$91.1238
09/29/2023,$92.14,3992248,$93.81,$95.9556,$91.15
09/28/2023,$94.13,2889202,$91.47,$94.7689,$91.38
09/27/2023,$91.96,2247964,$91.07,$92.4237,$90.2035
09/26/2023,$90.46,2407157,$90.00,$91.68,$89.8656
09/25/2023,$90.97,3065776,$90.45,$92.29,$89.56
09/22/2023,$91.24,3586001,$95.30,$95.30,$91.04
09/21/2023,$94.32,2314538,$95.00,$95.44,$93.58
09/20/2023,$96.21,1506065,$98.67,$98.9799,$96.21
09/19/2023,$98.32,2991799,$98.23,$98.9799,$97.34
09/18/2023,$95.92,2523018,$96.67,$97.38,$95.89
09/15/2023,$97.42,5411616,$98.78,$99.435,$96.72
09/14/2023,$99.77,4112315,$98.20,$100.41,$97.97
09/13/2023,$97.35,3310559,$97.77,$98.66,$96.80
09/12/2023,$99.00,2646174,$97.23,$100.36,$97.08
09/11/2023,$97.66,2331630,$98.25,$98.355,$94.88
09/08/2023,$97.35,2783199,$97.15,$98.60,$95.91
09/07/2023,$97.18,3173104,$98.08,$98.33,$95.96
09/06/2023,$98.86,3085685,$97.70,$99.10,$96.3701
09/05/2023,$98.96,3053585,$97.71,$99.20,$94.561
09/01/2023,$97.70,1856593,$99.21,$99.75,$97.045
08/31/2023,$98.94,2025518,$98.92,$99.865,$98.40
08/30/2023,$98.94,1794483,$100.50,$101.00,$98.72
08/29/2023,$100.53,2478666,$98.30,$101.18,$96.90
08/28/2023,$98.32,1591131,$100.00,$100.525,$98.07
08/25/2023,$99.77,2328228,$98.90,$100.37,$98.18
08/24/2023,$99.05,2519848,$101.25,$101.80,$99.02
08/23/2023,$102.41,3176192,$99.43,$103.90,$98.78
08/22/2023,$99.36,2677718,$100.00,$100.21,$97.59
08/21/2023,$99.27,1784531,$99.95,$100.41,$97.775
08/18/2023,$99.20,2750760,$98.10,$100.44,$97.77
08/17/2023,$99.53,3103398,$101.77,$102.24,$99.50
08/16/2023,$101.18,2024552,$102.63,$104.28,$101.09
08/15/2023,$103.51,1931020,$103.72,$104.34,$102.905
08/14/2023,$103.75,1708841,$102.68,$103.76,$101.51
08/11/2023,$102.82,1751783,$102.48,$103.155,$101.261
08/10/2023,$103.57,1806640,$104.20,$104.86,$102.51
08/09/2023,$103.17,2086290,$105.93,$106.41,$103.07
08/08/2023,$106.15,1901138,$106.30,$106.74,$105.14
08/07/2023,$108.06,3198382,$104.70,$108.24,$104.485
08/04/2023,$103.92,2127590,$105.00,$105.75,$102.70
08/03/2023,$104.72,2450064,$104.60,$107.08,$104.15
08/02/2023,$105.20,4673882,$106.50,$107.10,$104.09
08/01/2023,$107.44,3249083,$107.06,$108.70,$105.56
07/31/2023,$109.11,3211147,$109.67,$110.30,$107.50
07/28/2023,$108.57,4046283,$111.00,$112.95,$108.18
07/27/2023,$109.68,12693210,$109.00,$112.08,$105.75
07/26/2023,$100.88,3450974,$102.24,$102.58,$99.51
07/25/2023,$101.62,2168250,$102.11,$102.4999,$100.96
07/24/2023,$102.93,3169188,$102.17,$102.94,$99.94
07/21/2023,$102.38,3436720,$102.07,$102.8699,$101.3238
07/20/2023,$101.11,3128172,$99.15,$102.26,$98.6424
07/19/2023,$99.41,2529391,$99.17,$99.48,$98.16
07/18/2023,$99.37,3081491,$98.97,$100.83,$98.16
07/17/2023,$98.76,2919752,$97.55,$99.90,$97.30
07/14/2023,$97.76,2846230,$99.36,$99.55,$97.38
07/13/2023,$99.27,3406075,$100.19,$100.90,$98.27
07/12/2023,$99.31,4127584,$102.24,$102.52,$99.19
07/11/2023,$101.28,2390634,$103.27,$103.41,$100.5201
07/10/2023,$103.20,2435594,$101.85,$103.47,$100.96
07/07/2023,$102.01,1990845,$101.93,$103.15,$101.36
07/06/2023,$101.77,3050319,$101.38,$102.32,$100.67
07/05/2023,$103.24,3015791,$102.70,$104.17,$102.05
07/03/2023,$103.20,1906737,$103.50,$103.9099,$102.26
06/30/2023,$103.74,3653177,$103.03,$104.75,$102.63
06/29/2023,$101.56,3409418,$103.39,$103.98,$101.49
06/28/2023,$103.13,4766132,$101.43,$105.21,$101.01
06/27/2023,$101.43,5630593,$98.22,$101.715,$97.91
