Date,Close/Last,Volume,Open,High,Low
01/05/2024,$39.54,1427974,$39.21,$39.65,$39.18
01/04/2024,$39.31,2073149,$39.19,$39.47,$39.145
01/03/2024,$38.70,781298,$38.49,$38.83,$38.475
01/02/2024,$38.66,689587,$39.04,$39.08,$38.53
12/29/2023,$39.66,529011,$39.50,$39.67,$39.45
12/28/2023,$39.38,510564,$39.56,$39.6395,$39.37
12/27/2023,$39.50,592208,$39.29,$39.525,$39.25
12/26/2023,$39.39,413770,$39.17,$39.43,$39.16
12/22/2023,$39.27,574950,$39.20,$39.30,$39.085
12/21/2023,$39.11,912774,$38.91,$39.125,$38.78
12/20/2023,$38.70,844465,$38.96,$39.155,$38.70
12/19/2023,$38.95,1069423,$38.92,$39.16,$38.885
12/18/2023,$38.69,814326,$38.74,$38.75,$38.56
12/15/2023,$38.20,1747294,$38.33,$38.475,$38.085
12/14/2023,$39.03,1323742,$38.98,$39.20,$38.80
12/13/2023,$39.98,752343,$39.84,$40.03,$39.5752
12/12/2023,$39.71,491461,$39.51,$39.72,$39.465
12/11/2023,$39.15,485071,$38.96,$39.23,$38.96
12/08/2023,$38.96,670841,$38.70,$38.9788,$38.68
12/07/2023,$38.96,672046,$38.92,$38.97,$38.75
12/06/2023,$38.80,693848,$39.11,$39.18,$38.785
12/05/2023,$38.81,674649,$38.62,$38.845,$38.56
12/04/2023,$38.59,1036842,$38.37,$38.59,$38.285
12/01/2023,$38.56,1880284,$38.51,$38.73,$38.455
11/30/2023,$38.58,1181639,$38.51,$38.61,$38.39
11/29/2023,$38.63,652171,$38.81,$38.84,$38.525
11/28/2023,$38.72,937466,$38.72,$38.895,$38.605
11/27/2023,$38.59,841297,$38.64,$38.765,$38.585
11/24/2023,$38.40,552388,$38.46,$38.55,$38.36
11/22/2023,$37.84,530170,$37.98,$38.06,$37.80
11/21/2023,$37.79,1375148,$37.64,$37.885,$37.579
11/20/2023,$37.37,411699,$37.18,$37.435,$37.125
11/17/2023,$37.05,759716,$37.01,$37.145,$36.89
11/16/2023,$36.79,510667,$36.49,$36.81,$36.46
11/15/2023,$36.28,689654,$36.43,$36.455,$36.16
11/14/2023,$36.21,883561,$36.64,$36.64,$36.04
11/13/2023,$36.36,500346,$36.11,$36.40,$36.06
11/10/2023,$36.34,707857,$36.28,$36.36,$35.86
11/09/2023,$35.97,1166143,$36.16,$36.39,$35.97
11/08/2023,$35.70,1526484,$35.78,$35.85,$35.635
11/07/2023,$35.56,660698,$35.54,$35.74,$35.50
11/06/2023,$35.39,432456,$35.28,$35.45,$35.235
11/03/2023,$35.11,939055,$34.98,$35.16,$34.585
11/02/2023,$35.31,825746,$35.15,$35.34,$35.08
11/01/2023,$34.95,719588,$34.76,$34.99,$34.68
10/31/2023,$34.85,575149,$34.92,$34.995,$34.695
10/30/2023,$34.78,574867,$34.55,$34.815,$34.485
10/27/2023,$34.08,663848,$34.27,$34.30,$33.945
10/26/2023,$34.36,654181,$34.45,$34.64,$34.34
10/25/2023,$34.64,582742,$34.76,$34.90,$34.575
10/24/2023,$34.54,712782,$34.57,$34.725,$34.365
10/23/2023,$34.79,719612,$34.68,$34.98,$34.58
10/20/2023,$34.43,665031,$34.63,$34.69,$34.36
10/19/2023,$34.93,705906,$34.98,$35.29,$34.87
10/18/2023,$35.04,623274,$35.42,$35.46,$35.00
10/17/2023,$35.38,593524,$35.27,$35.49,$35.13
10/16/2023,$35.35,612735,$35.28,$35.43,$35.17
10/13/2023,$35.49,517900,$35.87,$35.89,$35.32
10/12/2023,$35.61,555239,$35.82,$35.875,$35.44
10/11/2023,$35.83,614377,$35.78,$35.84,$35.60
10/10/2023,$35.57,625098,$35.60,$35.74,$35.51
10/09/2023,$35.17,622980,$34.76,$35.17,$34.75
10/06/2023,$35.13,900925,$34.58,$35.29,$34.38
10/05/2023,$34.83,785792,$34.80,$34.865,$34.58
10/04/2023,$34.36,886875,$34.27,$34.375,$33.945
10/03/2023,$33.31,707809,$33.46,$33.605,$33.245
10/02/2023,$33.37,649211,$33.42,$33.50,$33.245
09/29/2023,$33.70,981163,$34.24,$34.24,$33.6415
09/28/2023,$33.71,653115,$33.65,$33.88,$33.55
09/27/2023,$33.33,766283,$33.58,$33.6334,$33.13
09/26/2023,$33.46,601232,$33.66,$33.74,$33.44
09/25/2023,$33.99,549694,$33.77,$34.02,$33.71
09/22/2023,$34.05,570482,$33.94,$34.225,$33.88
09/21/2023,$34.22,644219,$34.58,$34.58,$34.21
09/20/2023,$34.83,568782,$35.00,$35.14,$34.82
09/19/2023,$34.52,458012,$34.51,$34.60,$34.34
09/18/2023,$34.58,359074,$34.53,$34.645,$34.475
09/15/2023,$34.64,865086,$34.76,$34.875,$34.5821
09/14/2023,$34.67,619850,$34.32,$34.675,$34.23
09/13/2023,$34.34,601422,$34.17,$34.39,$34.17
09/12/2023,$33.93,685927,$33.99,$34.065,$33.92
09/11/2023,$34.09,521058,$33.88,$34.095,$33.79
