Date,Close/Last,Volume,Open,High,Low
01/05/2024,$19.39,8809408,$18.87,$19.505,$18.80
01/04/2024,$18.97,6867936,$18.81,$19.20,$18.68
01/03/2024,$18.80,8616421,$19.20,$19.27,$18.76
01/02/2024,$19.50,7612840,$19.15,$19.695,$19.06
12/29/2023,$19.38,4118279,$19.52,$19.5799,$19.33
12/28/2023,$19.55,3783145,$19.57,$19.615,$19.50
12/27/2023,$19.54,4563318,$19.59,$19.645,$19.41
12/26/2023,$19.57,4500091,$19.30,$19.62,$19.22
12/22/2023,$19.27,4685533,$19.24,$19.41,$19.08
12/21/2023,$19.14,6790957,$19.18,$19.275,$18.935
12/20/2023,$18.97,8305528,$19.26,$19.58,$18.96
12/19/2023,$19.36,8389774,$19.11,$19.43,$19.01
12/18/2023,$19.13,10048680,$19.69,$19.69,$19.08
12/15/2023,$19.53,21975410,$19.48,$19.735,$19.195
12/14/2023,$19.60,21939260,$18.76,$19.78,$18.60
12/13/2023,$18.10,11750790,$17.25,$18.15,$17.18
12/12/2023,$17.26,6671008,$17.49,$17.50,$17.23
12/11/2023,$17.47,6780691,$17.38,$17.59,$17.34
12/08/2023,$17.44,7372592,$17.33,$17.70,$17.22
12/07/2023,$17.25,8886498,$16.97,$17.28,$16.865
12/06/2023,$17.10,9195696,$17.21,$17.595,$17.08
12/05/2023,$17.00,14188270,$17.50,$17.50,$16.98
12/04/2023,$17.64,8158145,$17.34,$17.71,$17.31
12/01/2023,$17.57,11017610,$16.62,$17.645,$16.60
11/30/2023,$16.68,10424090,$16.59,$16.81,$16.51
11/29/2023,$16.47,7337046,$16.18,$16.6058,$16.16
11/28/2023,$16.00,9558049,$15.98,$16.075,$15.82
11/27/2023,$15.97,6079218,$15.92,$16.07,$15.79
11/24/2023,$16.05,2510387,$16.09,$16.14,$15.96
11/22/2023,$16.04,3770005,$16.12,$16.17,$15.87
11/21/2023,$15.96,6156453,$16.20,$16.25,$15.94
11/20/2023,$16.30,5744949,$16.32,$16.3799,$16.08
11/17/2023,$16.41,6684958,$16.24,$16.425,$16.105
11/16/2023,$16.08,9392688,$16.17,$16.28,$15.87
11/15/2023,$16.20,9286098,$15.95,$16.30,$15.92
11/14/2023,$15.92,8531483,$15.51,$16.14,$15.49
11/13/2023,$14.99,5927224,$14.97,$15.11,$14.86
11/10/2023,$15.12,6380431,$15.10,$15.1599,$14.875
11/09/2023,$15.02,6527260,$15.33,$15.405,$14.965
11/08/2023,$15.25,6332074,$15.32,$15.38,$15.14
11/07/2023,$15.36,6646784,$15.37,$15.475,$15.28
11/06/2023,$15.48,8445968,$15.76,$15.87,$15.41
11/03/2023,$15.74,12918020,$15.86,$16.15,$15.69
11/02/2023,$15.43,9298668,$14.69,$15.44,$14.60
11/01/2023,$14.54,9314995,$14.50,$14.6675,$14.37
10/31/2023,$14.53,9568574,$14.31,$14.61,$14.275
10/30/2023,$14.22,14051380,$14.19,$14.34,$13.95
10/27/2023,$14.01,10743980,$14.29,$14.37,$13.965
10/26/2023,$14.43,13223960,$14.09,$14.62,$14.01
10/25/2023,$14.06,17128240,$14.05,$14.31,$13.715
10/24/2023,$14.17,19157540,$14.22,$14.395,$14.00
10/23/2023,$14.19,16855660,$14.25,$14.58,$14.18
10/20/2023,$14.44,37373000,$14.465,$14.95,$13.82
10/19/2023,$16.48,11228850,$16.68,$16.90,$16.42
10/18/2023,$16.54,9921294,$16.67,$16.80,$16.48
10/17/2023,$16.79,8344014,$16.44,$16.98,$16.44
10/16/2023,$16.54,7750956,$16.22,$16.55,$16.135
10/13/2023,$16.03,7569286,$16.46,$16.485,$15.945
10/12/2023,$16.29,6367119,$16.52,$16.55,$16.155
10/11/2023,$16.49,5637398,$16.55,$16.82,$16.38
10/10/2023,$16.57,9235928,$16.59,$16.77,$16.51
10/09/2023,$16.41,9831885,$16.39,$16.61,$16.26
10/06/2023,$16.52,11894230,$16.35,$16.67,$16.135
10/05/2023,$16.56,10817330,$16.29,$16.68,$16.23
10/04/2023,$16.42,10824340,$16.46,$16.52,$16.17
10/03/2023,$16.38,12657090,$16.39,$16.47,$16.03
10/02/2023,$16.52,12951860,$17.08,$17.13,$16.46
09/29/2023,$17.20,8740040,$17.25,$17.52,$17.1325
09/28/2023,$17.04,7952936,$16.87,$17.25,$16.85
09/27/2023,$16.94,10992860,$16.92,$17.00,$16.62
09/26/2023,$16.87,8436730,$17.09,$17.31,$16.855
09/25/2023,$17.30,7504835,$17.03,$17.33,$16.945
09/22/2023,$17.06,7457235,$17.44,$17.51,$17.04
09/21/2023,$17.42,7095745,$17.75,$17.955,$17.42
09/20/2023,$17.81,8504533,$18.12,$18.23,$17.78
09/19/2023,$17.94,7735477,$17.86,$17.96,$17.72
09/18/2023,$17.80,4871259,$17.90,$17.95,$17.69
09/15/2023,$17.96,15295630,$17.80,$18.03,$17.70
09/14/2023,$17.98,9729682,$18.08,$18.21,$17.83
09/13/2023,$17.86,6359956,$18.39,$18.39,$17.75
09/12/2023,$18.19,6196315,$18.05,$18.33,$18.00
09/11/2023,$17.97,7318282,$18.15,$18.315,$17.95
09/08/2023,$17.92,7580202,$17.85,$18.015,$17.58
09/07/2023,$17.79,9863990,$18.06,$18.27,$17.72
09/06/2023,$18.11,7013491,$18.25,$18.35,$17.91
09/05/2023,$18.42,5747878,$18.57,$18.805,$18.36
09/01/2023,$18.56,7725607,$18.55,$18.66,$18.46
08/31/2023,$18.34,10171470,$18.46,$18.56,$18.30
08/30/2023,$18.58,6490914,$18.86,$18.925,$18.54
08/29/2023,$18.87,6524966,$18.82,$18.98,$18.635
08/28/2023,$18.77,4098845,$18.72,$18.93,$18.62
08/25/2023,$18.54,4915999,$18.80,$18.895,$18.46
08/24/2023,$18.77,5525978,$18.80,$19.105,$18.68
08/23/2023,$18.80,8154934,$18.36,$18.81,$18.18
08/22/2023,$18.42,9387164,$19.34,$19.44,$18.375
08/21/2023,$19.39,6299835,$19.62,$19.66,$19.285
08/18/2023,$19.54,5633257,$19.45,$19.755,$19.32
08/17/2023,$19.60,6373113,$19.62,$19.73,$19.52
08/16/2023,$19.49,6008537,$19.62,$19.71,$19.42
08/15/2023,$19.74,5476951,$20.00,$20.09,$19.73
08/14/2023,$20.29,4501503,$20.46,$20.46,$20.21
08/11/2023,$20.62,4138249,$20.60,$20.82,$20.48
08/10/2023,$20.69,5667507,$20.78,$20.89,$20.60
08/09/2023,$20.61,6060541,$20.79,$20.855,$20.53
08/08/2023,$20.90,8611536,$20.34,$20.945,$20.09
08/07/2023,$20.98,7619782,$20.74,$21.02,$20.64
08/04/2023,$20.61,7428861,$20.43,$20.85,$20.39
08/03/2023,$20.50,7033301,$20.17,$20.51,$20.02
08/02/2023,$20.26,9115130,$20.08,$20.34,$19.985
08/01/2023,$20.35,6832603,$20.26,$20.365,$20.06
07/31/2023,$20.37,5374166,$20.30,$20.44,$20.20
07/28/2023,$20.25,4619033,$20.21,$20.28,$19.965
07/27/2023,$19.96,5404144,$20.36,$20.46,$19.92
07/26/2023,$20.23,7745044,$20.22,$20.41,$20.06
07/25/2023,$19.94,6688845,$20.15,$20.29,$19.87
07/24/2023,$20.00,7794324,$19.95,$20.23,$19.835
07/21/2023,$19.72,12963600,$20.62,$20.68,$19.365
07/20/2023,$20.35,10674350,$20.09,$20.40,$19.85
07/19/2023,$20.02,8669573,$19.93,$20.13,$19.57
07/18/2023,$19.64,5532585,$19.20,$19.75,$19.15
07/17/2023,$19.20,5433747,$18.95,$19.35,$18.89
07/14/2023,$18.95,8047762,$19.48,$19.48,$18.82
07/13/2023,$19.24,6131674,$18.98,$19.27,$18.92
07/12/2023,$18.89,6345213,$19.00,$19.27,$18.82
07/11/2023,$18.71,5445385,$18.60,$18.73,$18.39
07/10/2023,$18.46,5901176,$18.18,$18.53,$18.13
07/07/2023,$18.33,8389265,$17.87,$18.51,$17.87
07/06/2023,$17.84,7491601,$17.99,$18.00,$17.565
07/05/2023,$18.13,7620117,$18.16,$18.42,$18.01
07/03/2023,$18.29,4241285,$17.84,$18.365,$17.80
06/30/2023,$17.82,7588488,$17.81,$17.92,$17.59
06/29/2023,$17.69,6982498,$17.60,$17.835,$17.555
06/28/2023,$17.37,5953398,$17.51,$17.52,$17.24
06/27/2023,$17.52,3835415,$17.27,$17.57,$17.16
06/26/2023,$17.32,8858779,$17.13,$17.38,$17.10
06/23/2023,$16.95,11736560,$17.00,$17.015,$16.77
06/22/2023,$17.15,7546982,$17.65,$17.68,$17.14
06/21/2023,$17.69,5499248,$17.86,$17.90,$17.59
06/20/2023,$17.87,7007097,$18.04,$18.04,$17.71
06/16/2023,$18.12,17528540,$18.39,$18.48,$17.99
06/15/2023,$18.32,7753562,$17.98,$18.45,$17.91
06/14/2023,$18.01,8320968,$18.60,$18.73,$17.82
06/13/2023,$18.45,13346720,$18.15,$18.58,$18.07
06/12/2023,$18.23,9517102,$18.30,$18.80,$18.00
06/09/2023,$18.47,7075183,$18.50,$18.67,$18.32
06/08/2023,$18.56,6480456,$18.55,$18.66,$18.27
06/07/2023,$18.68,15244990,$18.42,$18.77,$18.15
06/06/2023,$18.31,12295410,$17.82,$18.51,$17.725
06/05/2023,$17.80,7093024,$18.12,$17.93,$17.52
06/02/2023,$18.06,9686612,$17.71,$18.15,$17.56
06/01/2023,$17.36,7460873,$17.37,$17.47,$16.88
05/31/2023,$17.27,10726710,$17.71,$17.78,$17.11
05/30/2023,$17.89,9936675,$17.98,$18.07,$17.54
05/26/2023,$17.78,7317119,$17.44,$17.86,$17.29
05/25/2023,$17.38,7356354,$17.34,$17.59,$17.21
