Date,Close/Last,Volume,Open,High,Low
01/05/2024,$82.90,1404516,$82.53,$83.84,$82.19
01/04/2024,$83.10,1029785,$84.16,$84.16,$83.06
01/03/2024,$83.94,711496,$85.56,$85.56,$83.83
01/02/2024,$86.11,607169,$87.42,$87.78,$85.69
12/29/2023,$87.92,499794,$88.00,$88.39,$87.44
12/28/2023,$88.16,491427,$87.90,$88.31,$87.41
12/27/2023,$88.01,330210,$87.68,$88.36,$87.58
12/26/2023,$87.65,275719,$87.45,$87.80,$87.155
12/22/2023,$87.27,371093,$87.44,$87.86,$86.92
12/21/2023,$86.82,421565,$86.46,$86.895,$86.29
12/20/2023,$86.14,537860,$87.42,$88.215,$85.98
12/19/2023,$87.37,676705,$87.45,$87.8875,$86.95
12/18/2023,$87.20,617651,$87.31,$87.53,$86.66
12/15/2023,$87.01,2067540,$86.32,$87.93,$85.76
12/14/2023,$86.62,929479,$85.27,$86.87,$84.87
12/13/2023,$84.12,676073,$83.51,$84.30,$82.13
12/12/2023,$83.72,490853,$83.61,$84.195,$82.92
12/11/2023,$83.88,614115,$83.00,$84.11,$82.59
12/08/2023,$83.09,504112,$83.34,$83.74,$82.33
12/07/2023,$83.09,409941,$82.62,$83.10,$82.12
12/06/2023,$82.53,538160,$82.89,$83.79,$82.25
12/05/2023,$82.37,866464,$84.06,$84.06,$82.00
12/04/2023,$84.80,906516,$82.99,$85.07,$82.97
12/01/2023,$83.37,740130,$81.76,$83.43,$81.52
11/30/2023,$81.98,1348789,$80.82,$82.16,$80.14
11/29/2023,$80.50,551775,$80.85,$81.15,$80.22
11/28/2023,$80.37,523588,$81.42,$81.42,$80.32
11/27/2023,$81.44,641627,$80.87,$81.66,$80.52
11/24/2023,$81.26,208309,$81.54,$81.83,$81.22
11/22/2023,$81.53,556482,$81.51,$82.12,$81.04
11/21/2023,$81.61,692593,$82.14,$82.54,$81.61
11/20/2023,$82.42,710044,$80.94,$82.60,$80.53
11/17/2023,$80.85,546827,$80.53,$80.91,$79.78
11/16/2023,$79.78,685860,$80.09,$80.69,$78.81
11/15/2023,$80.08,841361,$80.46,$82.25,$79.96
11/14/2023,$80.48,1155567,$77.82,$80.92,$77.44
11/13/2023,$76.59,739466,$76.85,$77.10,$76.45
11/10/2023,$76.99,449886,$76.26,$77.12,$75.955
11/09/2023,$76.12,776462,$76.19,$76.83,$75.61
11/08/2023,$75.65,739634,$74.63,$75.94,$74.13
11/07/2023,$74.60,840574,$75.12,$75.42,$74.00
11/06/2023,$76.56,608127,$76.26,$76.6525,$75.71
11/03/2023,$76.35,639359,$76.94,$77.48,$76.05
11/02/2023,$75.83,820008,$74.82,$76.01,$74.46
11/01/2023,$73.98,890369,$74.33,$74.74,$73.335
10/31/2023,$74.77,597480,$74.23,$75.05,$73.86
10/30/2023,$74.05,670975,$73.40,$74.29,$73.13
10/27/2023,$72.99,809493,$73.26,$73.42,$71.90
10/26/2023,$73.30,993938,$73.27,$74.00,$72.91
10/25/2023,$73.56,1854945,$77.09,$78.52,$73.13
10/24/2023,$72.13,1731842,$72.94,$73.48,$70.28
10/23/2023,$72.46,893770,$73.67,$74.15,$72.33
10/20/2023,$73.66,1209970,$74.70,$75.09,$73.45
10/19/2023,$74.47,1134966,$75.51,$76.09,$73.875
10/18/2023,$75.55,610103,$76.41,$76.79,$75.54
10/17/2023,$76.97,593036,$75.90,$77.63,$75.46
10/16/2023,$76.37,775517,$76.61,$77.345,$75.765
10/13/2023,$75.70,714084,$77.25,$77.72,$75.50
10/12/2023,$77.10,555962,$77.36,$77.98,$76.60
10/11/2023,$77.00,621355,$76.83,$77.22,$76.05
10/10/2023,$76.65,630844,$76.53,$77.47,$76.255
10/09/2023,$76.40,632009,$74.25,$76.44,$74.23
10/06/2023,$74.70,772977,$73.12,$75.68,$72.965
10/05/2023,$73.77,895716,$73.59,$74.17,$72.4962
10/04/2023,$73.59,952252,$74.29,$74.36,$72.62
10/03/2023,$73.82,898492,$71.96,$73.83,$71.76
10/02/2023,$72.03,920858,$73.19,$73.32,$71.69
09/29/2023,$73.28,555986,$73.69,$74.17,$73.17
09/28/2023,$73.20,503165,$72.98,$73.97,$72.63
09/27/2023,$73.14,912602,$72.15,$73.17,$72.02
09/26/2023,$71.59,784593,$73.34,$73.435,$71.525
09/25/2023,$73.85,530952,$72.60,$74.16,$72.55
09/22/2023,$72.92,490750,$73.70,$74.0559,$72.86
09/21/2023,$73.55,783393,$73.81,$74.30,$73.05
09/20/2023,$74.33,502273,$76.00,$76.64,$74.21
09/19/2023,$74.90,709789,$74.05,$75.06,$73.53
09/18/2023,$74.15,554041,$74.95,$74.95,$73.5955
09/15/2023,$75.10,1627027,$74.80,$75.505,$74.5147
09/14/2023,$74.65,579259,$73.19,$74.72,$73.185
09/13/2023,$72.63,531005,$72.77,$73.01,$71.7825
09/12/2023,$72.34,386860,$72.06,$72.77,$71.75
09/11/2023,$72.35,468460,$73.42,$73.49,$72.182
09/08/2023,$73.20,669026,$73.52,$73.595,$72.795
09/07/2023,$73.27,1551684,$71.92,$73.56,$71.48
09/06/2023,$72.26,727338,$73.63,$74.19,$72.07
09/05/2023,$73.65,613665,$74.39,$74.60,$72.785
09/01/2023,$74.98,478574,$74.80,$75.29,$74.39
08/31/2023,$73.96,1235013,$75.13,$75.35,$73.84
08/30/2023,$75.59,450593,$75.40,$75.905,$75.00
08/29/2023,$75.40,605456,$74.44,$75.535,$74.02
08/28/2023,$74.67,482463,$75.08,$75.61,$74.44
08/25/2023,$74.96,422773,$74.87,$75.349,$74.29
08/24/2023,$74.22,691234,$74.98,$75.54,$74.21
08/23/2023,$75.27,965007,$75.41,$75.65,$74.60
08/22/2023,$75.22,662217,$75.03,$75.92,$75.01
08/21/2023,$75.07,632172,$74.77,$75.32,$74.39
08/18/2023,$74.65,535434,$73.44,$74.95,$73.44
08/17/2023,$73.96,686337,$74.17,$74.57,$73.81
08/16/2023,$74.10,371930,$74.73,$75.525,$74.10
08/15/2023,$74.86,453499,$75.40,$75.40,$74.53
08/14/2023,$76.02,556193,$75.95,$76.125,$75.29
08/11/2023,$76.19,629656,$76.01,$76.60,$75.82
08/10/2023,$76.26,994508,$76.26,$76.91,$75.46
08/09/2023,$76.28,779144,$76.05,$76.74,$75.55
08/08/2023,$75.82,695163,$74.53,$76.03,$74.05
08/07/2023,$75.54,830238,$75.77,$76.53,$75.275
08/04/2023,$75.11,830867,$75.82,$76.22,$74.95
08/03/2023,$75.72,1067843,$74.25,$75.98,$74.00
08/02/2023,$74.30,837341,$72.63,$74.47,$72.63
08/01/2023,$73.92,1350794,$73.72,$74.05,$72.82
07/31/2023,$74.15,1416569,$74.72,$74.96,$73.55
07/28/2023,$74.56,1441212,$74.45,$75.125,$73.47
07/27/2023,$73.15,2144486,$75.57,$76.74,$72.80
07/26/2023,$75.43,4185839,$72.00,$76.39,$70.64
07/25/2023,$80.21,1316708,$79.26,$80.77,$79.16
07/24/2023,$80.09,852865,$78.37,$80.48,$78.37
07/21/2023,$78.64,1081987,$81.91,$82.40,$78.41
07/20/2023,$81.64,2072203,$83.185,$83.40,$80.40
07/19/2023,$84.56,812087,$84.53,$84.85,$83.69
07/18/2023,$84.42,968022,$83.18,$84.635,$83.075
07/17/2023,$83.38,887409,$82.10,$83.48,$81.93
07/14/2023,$82.68,872508,$81.90,$82.89,$81.73
07/13/2023,$82.23,725583,$81.40,$82.46,$80.98
07/12/2023,$81.08,1189873,$81.86,$82.23,$80.86
07/11/2023,$80.82,1025500,$79.24,$80.89,$79.155
07/10/2023,$79.04,1156981,$77.35,$79.19,$77.00
07/07/2023,$77.53,1378339,$76.96,$78.79,$76.61
07/06/2023,$76.87,1427561,$76.56,$77.36,$75.77
07/05/2023,$77.33,1814903,$75.78,$78.13,$75.05
07/03/2023,$75.54,455305,$74.63,$76.01,$74.61
06/30/2023,$75.22,1204927,$74.38,$76.34,$74.01
06/29/2023,$74.07,770362,$72.59,$74.16,$72.45
06/28/2023,$72.35,719623,$72.33,$72.89,$71.58
06/27/2023,$72.06,644562,$72.08,$72.36,$71.20
06/26/2023,$71.87,812496,$70.62,$72.18,$70.53
06/23/2023,$70.53,2589833,$70.07,$71.21,$69.99
06/22/2023,$70.91,1038528,$71.35,$71.575,$70.18
06/21/2023,$71.74,739669,$71.12,$72.46,$70.67
06/20/2023,$71.56,905109,$72.97,$73.04,$71.56
06/16/2023,$73.42,1385884,$73.52,$73.84,$73.10
06/15/2023,$73.28,731375,$70.85,$73.38,$70.81
06/14/2023,$71.37,1119870,$74.85,$75.79,$70.975
06/13/2023,$74.92,587850,$73.72,$75.28,$73.50
06/12/2023,$73.43,641097,$72.65,$73.57,$72.455
06/09/2023,$72.72,820771,$72.96,$73.79,$72.50
06/08/2023,$72.89,778739,$72.99,$73.175,$72.28
06/07/2023,$72.71,941248,$71.89,$73.27,$71.53
06/06/2023,$71.50,792757,$69.31,$71.67,$69.2446
06/05/2023,$69.61,803177,$69.46,$70.24,$68.94
06/02/2023,$69.88,1058788,$67.19,$70.01,$67.19
06/01/2023,$66.36,1250628,$66.16,$66.76,$65.22
05/31/2023,$65.02,2813442,$66.39,$67.10,$64.65
05/30/2023,$66.77,581435,$67.87,$68.08,$66.39
05/26/2023,$67.50,708924,$67.30,$68.24,$67.07
05/25/2023,$67.16,1337263,$67.49,$67.59,$66.69
05/24/2023,$67.63,774560,$68.02,$68.05,$66.99
05/23/2023,$68.52,588642,$68.33,$69.51,$68.19
05/22/2023,$68.51,842902,$68.35,$69.11,$67.76
05/19/2023,$68.36,794596,$69.09,$69.22,$67.57
05/18/2023,$68.58,598730,$67.19,$68.675,$66.89
05/17/2023,$67.28,1019598,$66.42,$67.30,$65.83
05/16/2023,$66.20,845708,$67.38,$67.55,$66.18
05/15/2023,$67.64,689982,$67.20,$67.70,$66.87
05/12/2023,$67.08,672742,$67.35,$67.74,$66.57
05/11/2023,$67.15,894375,$67.05,$67.66,$66.10
05/10/2023,$67.54,791385,$67.77,$67.96,$66.76
05/09/2023,$66.87,1759665,$66.58,$66.89,$65.46
05/08/2023,$67.17,1886541,$69.13,$69.53,$67.03
05/05/2023,$69.00,1003579,$68.35,$69.01,$68.02
05/04/2023,$67.42,1922658,$68.21,$68.8099,$66.31
05/03/2023,$68.90,1532591,$71.15,$71.46,$68.66
05/02/2023,$70.97,1513883,$72.94,$72.94,$69.93
05/01/2023,$73.16,588448,$73.01,$74.24,$72.84
04/28/2023,$73.00,868326,$72.97,$73.32,$72.14
04/27/2023,$73.13,1598037,$72.68,$73.54,$71.51
04/26/2023,$70.63,1218558,$71.60,$72.06,$70.35
04/25/2023,$71.70,1294494,$72.12,$72.46,$70.995
04/24/2023,$72.86,998074,$73.40,$73.87,$72.59
04/21/2023,$73.30,1145045,$74.75,$74.91,$72.98
04/20/2023,$74.66,1460888,$74.50,$75.21,$73.095
04/19/2023,$75.55,570236,$75.42,$75.64,$74.75
04/18/2023,$75.66,596869,$76.52,$76.615,$75.40
04/17/2023,$76.18,680607,$75.41,$76.20,$75.15
04/14/2023,$75.32,649769,$75.62,$76.62,$74.44
04/13/2023,$75.55,767727,$74.34,$75.74,$74.01
04/12/2023,$73.94,795891,$76.43,$76.44,$73.67
04/11/2023,$75.51,630503,$75.19,$75.73,$74.71
04/10/2023,$74.96,693439,$74.01,$74.99,$73.83
04/06/2023,$74.01,813382,$74.62,$75.195,$73.91
04/05/2023,$75.04,804487,$77.02,$77.095,$74.78
04/04/2023,$77.48,615111,$79.87,$80.305,$77.07
04/03/2023,$79.62,952372,$80.33,$80.475,$78.39
03/31/2023,$80.57,1036145,$78.50,$80.78,$78.01
03/30/2023,$77.95,629318,$78.01,$78.12,$77.3838
03/29/2023,$77.15,491914,$77.35,$77.55,$76.57
03/28/2023,$76.30,637242,$75.99,$76.91,$75.57
03/27/2023,$76.20,746993,$75.60,$76.34,$75.02
03/24/2023,$74.70,624970,$73.55,$74.74,$73.12
03/23/2023,$74.06,554402,$74.70,$75.69,$73.545
03/22/2023,$74.63,980359,$77.14,$77.58,$74.54
03/21/2023,$77.26,1012993,$76.65,$77.51,$75.77
03/20/2023,$75.42,1148040,$73.66,$76.0197,$73.66
03/17/2023,$73.38,4813908,$75.01,$75.01,$72.34
03/16/2023,$75.06,1175910,$74.67,$75.55,$73.59
03/15/2023,$75.34,1367299,$75.70,$76.13,$74.46
03/14/2023,$77.15,1168042,$78.67,$79.39,$76.07
03/13/2023,$77.33,1435708,$76.50,$78.565,$75.755
03/10/2023,$77.41,947737,$78.58,$79.34,$76.87
03/09/2023,$78.84,952483,$80.71,$80.89,$78.84
03/08/2023,$80.56,575472,$80.87,$81.09,$79.58
03/07/2023,$80.68,651442,$81.38,$82.225,$80.23
03/06/2023,$81.25,986916,$81.51,$82.245,$81.10
03/03/2023,$81.32,870272,$81.08,$81.935,$80.62
03/02/2023,$80.62,680711,$80.29,$80.84,$79.76
03/01/2023,$80.84,722319,$80.50,$81.40,$80.10
02/28/2023,$80.62,1792111,$79.66,$81.59,$79.565
02/27/2023,$79.68,986355,$79.56,$80.25,$79.01
02/24/2023,$78.57,586910,$78.55,$78.87,$78.095
02/23/2023,$79.54,789405,$80.38,$80.96,$78.82
02/22/2023,$80.47,981072,$79.98,$80.6695,$79.12
02/21/2023,$79.98,868040,$81.42,$81.71,$79.855
02/17/2023,$82.42,890995,$82.52,$82.72,$81.14
