Date,Close/Last,Volume,Open,High,Low
01/03/2024,$22.79,1050111,$23.90,$24.26,$22.32
01/02/2024,$24.08,2156181,$20.92,$25.15,$20.71
12/29/2023,$20.99,863141,$20.98,$21.505,$20.09
12/28/2023,$20.71,1126239,$20.90,$21.66,$20.0518
12/27/2023,$20.49,1534612,$19.72,$20.55,$18.97
12/26/2023,$19.32,1336467,$20.05,$20.22,$18.91
12/22/2023,$20.11,1653909,$21.32,$21.90,$19.68
12/21/2023,$21.31,1606564,$20.61,$21.35,$20.04
12/20/2023,$20.02,1552496,$21.91,$21.91,$19.78
12/19/2023,$20.78,1670606,$23.41,$23.79,$20.71
12/18/2023,$21.46,1498315,$20.34,$23.1664,$20.34
12/15/2023,$20.45,3087017,$21.02,$21.265,$19.60
12/14/2023,$20.44,2977299,$21.77,$23.78,$19.68
12/13/2023,$21.60,4701731,$22.75,$24.00,$16.89
12/12/2023,$22.985,1348113,$25.49,$25.49,$22.91
12/11/2023,$25.49,776903,$25.27,$26.26,$24.36
12/08/2023,$25.28,877953,$24.37,$26.30,$23.91
12/07/2023,$24.65,1622222,$22.30,$26.49,$22.03
12/06/2023,$22.30,658382,$21.82,$23.24,$21.561
12/05/2023,$21.26,932307,$23.01,$23.43,$21.24
12/04/2023,$23.13,1912584,$20.05,$24.86,$20.05
12/01/2023,$20.15,1664188,$18.04,$20.2175,$17.6124
11/30/2023,$18.40,1758253,$18.20,$20.00,$18.145
11/29/2023,$18.23,1150550,$18.03,$19.64,$17.50
11/28/2023,$17.90,2338052,$18.65,$19.36,$17.26
11/27/2023,$19.17,2411871,$20.91,$21.35,$18.3101
11/24/2023,$20.95,737753,$22.58,$22.8157,$20.75
11/22/2023,$22.80,1222132,$23.80,$23.97,$21.73
11/21/2023,$23.88,754546,$24.59,$25.165,$23.83
11/20/2023,$24.93,1662303,$22.00,$25.16,$21.7391
11/17/2023,$21.87,1493068,$20.48,$22.89,$20.45
11/16/2023,$22.04,1587141,$24.01,$24.34,$21.535
11/15/2023,$24.28,1370498,$24.25,$25.22,$22.89
11/14/2023,$24.20,2171575,$22.60,$24.90,$22.2501
11/13/2023,$22.01,8259020,$25.61,$25.61,$16.65
11/10/2023,$25.60,2134677,$29.90,$30.25,$25.59
11/09/2023,$30.07,1009412,$31.52,$32.30,$29.8901
11/08/2023,$30.57,2904532,$31.80,$33.49,$27.00
11/07/2023,$34.78,1828282,$32.95,$36.09,$31.50
11/06/2023,$32.54,1438342,$41.62,$41.62,$32.10
11/03/2023,$41.56,301916,$40.06,$42.50,$39.895
11/02/2023,$39.43,327815,$37.44,$40.08,$37.44
11/01/2023,$36.42,146843,$35.89,$36.83,$35.47
10/31/2023,$36.21,137362,$36.32,$36.7791,$35.76
10/30/2023,$36.28,161159,$36.76,$37.05,$35.71
10/27/2023,$35.99,335031,$35.80,$36.29,$35.10
10/26/2023,$35.22,285161,$36.06,$36.773,$34.89
10/25/2023,$35.99,269361,$37.75,$38.95,$35.94
10/24/2023,$38.24,231362,$38.81,$39.21,$37.70
10/23/2023,$38.17,287144,$37.89,$38.94,$36.85
10/20/2023,$38.02,347900,$38.70,$39.2699,$37.70
10/19/2023,$38.65,189192,$40.42,$40.51,$38.57
10/18/2023,$40.49,217427,$41.32,$41.32,$40.37
10/17/2023,$42.01,207199,$41.08,$42.3306,$41.01
10/16/2023,$41.44,205618,$40.54,$41.64,$39.94
10/13/2023,$39.80,262667,$40.62,$41.225,$38.56
10/12/2023,$40.50,128438,$42.97,$43.02,$40.27
10/11/2023,$43.10,135231,$42.90,$43.41,$42.28
10/10/2023,$42.68,179399,$41.69,$43.04,$41.53
10/09/2023,$41.42,190234,$39.41,$41.695,$39.41
10/06/2023,$39.64,228604,$39.29,$40.47,$38.52
10/05/2023,$39.76,181570,$38.73,$39.915,$38.15
10/04/2023,$38.92,247147,$37.52,$39.01,$36.41
10/03/2023,$37.15,314759,$37.69,$38.41,$36.82
10/02/2023,$38.19,471655,$40.84,$41.375,$37.83
09/29/2023,$40.99,153084,$42.42,$42.77,$40.94
09/28/2023,$41.83,197596,$41.63,$42.65,$41.05
09/27/2023,$41.60,182027,$40.97,$41.865,$40.85
09/26/2023,$40.51,279678,$41.92,$42.295,$40.38
