Date,Close/Last,Volume,Open,High,Low
12/15/2023,$10.87,6562752,$10.94,$10.94,$10.79
12/14/2023,$10.94,5422132,$10.86,$11.065,$10.84
12/13/2023,$10.75,3478411,$10.54,$10.78,$10.48
12/12/2023,$10.53,3038646,$10.43,$10.575,$10.38
12/11/2023,$10.42,2564039,$10.50,$10.52,$10.42
12/08/2023,$10.50,2738911,$10.46,$10.59,$10.45
12/07/2023,$10.51,2008934,$10.44,$10.51,$10.37
12/06/2023,$10.41,3910415,$10.53,$10.59,$10.33
12/05/2023,$10.46,2919251,$10.48,$10.52,$10.42
12/04/2023,$10.52,3985004,$10.51,$10.58,$10.4716
12/01/2023,$10.56,3967363,$10.36,$10.57,$10.335
11/30/2023,$10.38,4209464,$10.30,$10.41,$10.2895
11/29/2023,$10.30,3136109,$10.22,$10.325,$10.22
11/28/2023,$10.15,2482094,$10.12,$10.195,$10.09
11/27/2023,$10.14,2784119,$10.14,$10.16,$10.09
11/24/2023,$10.18,1065833,$10.17,$10.225,$10.135
11/22/2023,$10.19,2535352,$10.15,$10.20,$10.08
11/21/2023,$10.11,2127057,$10.07,$10.14,$10.07
11/20/2023,$10.11,3495452,$10.08,$10.14,$10.02
11/17/2023,$10.07,2978335,$9.99,$10.09,$9.98
11/16/2023,$9.96,2872936,$10.10,$10.145,$9.94
11/15/2023,$10.12,3147221,$10.06,$10.15,$10.035
11/14/2023,$10.08,3477288,$9.92,$10.09,$9.92
11/13/2023,$9.72,1882595,$9.73,$9.805,$9.68
11/10/2023,$9.78,1988973,$9.78,$9.81,$9.72
11/09/2023,$9.69,2417451,$9.90,$9.93,$9.68
11/08/2023,$9.86,2123260,$9.85,$9.905,$9.785
11/07/2023,$9.85,2524791,$9.81,$9.89,$9.74
11/06/2023,$9.80,2620006,$9.90,$9.90,$9.76
11/03/2023,$9.89,3898353,$9.87,$9.96,$9.87
11/02/2023,$9.73,4098487,$9.64,$9.75,$9.615
11/01/2023,$9.52,3778483,$9.35,$9.53,$9.28
